star_point,comment,photo
5,"아 비싼 값하네요잉...
손가락이 너무 아파서 컴터 새로 사고도 게임을 할수가 없어서 답답해 하다가.. 여러가지 알아본후 구매하였습니다..
아 진짜 좋네요.
키압력 가볍구요. 끝느낌에 충격 크게안느껴집니다.
게다가 게이밍전용 키보드알 여분으로 주신거 꽂으니 대박... 손부담 더 줄고 게임속 이동등이 더 적은힘으로 가능해요.. 근데 저거끼면 타이핑은 좀 익숙해지셔야될듯. 저도 어제 3시간테스트빆에 못햇는데.. 아 너무 좋음. 만족만족만족만족만족 별5개입니당
포장은 상자콕되서 오긴햇지만 상품상태는 온전해서 먼길온상태니 이해해주고..
여분 키보드알은 노란상자에 진공포장되어잇음.
손가락 통증으로 게임생 끝난주알았는데....
게임생이 늘어난 것같습니다..ㅠ","['https://phinf.pstatic.net/checkout/20200205_181/1580863701682nQ6XJ_JPEG/20200204_103010.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_99/1580863701033bpoHs_JPEG/20200204_101423.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_210/1580863701861GObzl_JPEG/20200204_101549.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_228/1580863780253hfMtW_JPEG/1580863716878.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_51/1580863780443myIiD_JPEG/1580863742211.jpg?type=f287']"
4,"일단 예쁘네요. 커다란 키보드 전면에서 뿜어져 나오는 led 불빛이 참으로 오묘합니다. 키감은 개인적으론 잘 모르겠네요. 예전 쓰던 키보드랑 너무 달라서 좀 어색하긴 한데 적응이 필요할 듯 합니다.장점을 말해보면,1. 게임에 따라 마모가 잘 되는 키들을 따로 넣어준것이 참 좋았습니다. (fps용은 wasd, aos용은 asdf등) 이것도 적응이 좀 필요하긴 한데 약간 경사를 두어 딴 키와 차별화를 했네요. 2. 스피드 축이라 그런지 살짝만 눌러도 글짜가 쳐집니다. 구름 타법이라고 하던가요? 이것도 적응되면 편해보입니다.3. 안티 고스팅이라 그런지 여러키를 동시에 입력해도 씹히거나 하는 일이 없네요.4. 팜레스트가 좋네요. 양면으로 되어 있어 거친느낌 부드러운 느낌 둘 중에 선택해서 쓸 수 있고 자석 부착식이라 탈부착이 쉽습니다.장점을 얘기했으니 단점도 말해보자면,1. 통울림이 좀 있습니다. 제가 키를 좀 세게 치는 편인데 타자 치다보면 기타통 두들기는 것 처럼 통통~하는 느낌이 있네요.2. 미디어 키 부분을 쉽게 누르기 힘드네요. 미디어 키 부분이 약간 움푹 들어가 있어서 재생 정지등을 누르려면 무조건 손을 들어서 눌러야 되는게 좀 아쉽네요.3. 매크로 키 부분이 이외로 걸리적 거립니다. esc 누르려다 g1키 누르는게 한 두번이 아니네요. 차라리 매크로키를 펑션키 상단에 탈 부착 슬롯식으로 제조했었다면 어땠을까 하는 생각이 듭니다.하지만 그래도 번쩍이며 돌아가는 led를 보고 있으면 그런건 아무래도 좋게 생각되네요. 아무쪼록 고장없이 오래쓸 수 있었으면 합니다.",[]
5,"남동생 사줬는데 마음에 들어하더라구요 써보니까 좋다고 했어요
배송도 거의 하루만에 도착했고 뽁뽁이 포장까지 추가했더니 엄청 안전하게 배달됐어요ㅎㅎ
적축보다는 소리가 조금 더 나는 거 같다고는 했는데 그래도 문 닫으면 잘 안 들려서 괜찮은 거 같아요","['https://phinf.pstatic.net/checkout/20200725_199/1595683435353ewTok_JPEG/review-attachment-c8b67585-0c27-414f-97a3-d9be76e5fd2c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200725_164/1595683444102tsWWV_JPEG/review-attachment-fa2f9ab3-c843-4232-9478-2826fccf329a.jpeg?type=f287']"
4,"배송은 빠른편이고 안전하게 자ㄹ왔습니다.. 매크로키 왼쪽에있는 건 알고있었는데, 저희집 콘센트가 접지가 안된건지 원래그런건지 키보드 전판에 전기가 부드드 한 느낌이 느껴집니다 걍 이뻐서 좀 쓰고는 있는데 전기안타는걸로 갈아탈것같네요",['https://phinf.pstatic.net/checkout/20201014_128/1602658479255kB6XC_JPEG/review-attachment-de6aa507-b7e4-48d3-9edc-c6f05ae9a7d5.jpeg?type=f287']
5,"옆에 매크로키가 불편하기도하면서 장점이기도 합니다! 구매한지 일주일도 안됐는데 첨엔 esc잘못누를때가 많았는데 금방 익숙해졌고
타건은 기존쓰던 갈축보다 더 감이 좋네용
그러나 좀 울리는감이 살짝있습니다만 거슬릴정돈 아닙니다 불편하신분들은 윤활하셔야 할거에요 윤활됀 키보드는 괜찮네용",['https://phinf.pstatic.net/checkout/20200517_27/1589668060646fp4of_JPEG/image.jpg?type=f287']
5,5년정도 청축 기계식키보드만 사용하다가 이번에 큰맘먹고 커세어 제품 구매를 했습니다.갈축은 처음 써보는데 느낌 좋구요. 일단 너무 예쁘고 재질이나 마감 같은게 고급스러워서 마음에 듭니다. 그리고 배송도 뽁뽁이로 야무지게 보내주셔서 상당히 만족하네요. 많이 파십쇼,['https://shopping-phinf.pstatic.net/20191121_3/bc741022-1ebe-42ab-bcb5-e230a427edac.jpg?type=f287']
1,"이런 고가의 키보드를 뽁뽁이 포장 하나 없이
포장지에만 넣어서 보내다니...진짜 너뭄 실망이네요.
물류센터에서 일해봐서 아는데 이런 제품은 취급주의라고 붙여도 집어 던지면서 일하는건 다반사인데 본인 물건이라면 이렇게 포장을 했을까...
몇몇 키캡에 통울림이 있는거 말고는 제품 디자인이랑 성능은 만족스럽네요",[]
5,허세어라고 하기엔 키감이나 제품 마감 퀄리티가 좋습니다. 컴퓨터 관련 제품에 LED 있는거도 싫어하는 데 이건 이쁘니 마음에 드네요. 어중간하게 10만원대 제품을 써봤지만 느끼는 것은 어중간하게 지를 바에는 그냥 좋은거 하나 사는게 좋습니다. 아깝다고 생각하시면 10만 이하 대의 가성비로 사시는게 좋지만. 가격이 비싸도 그만한 값어치를 합니다. 단점은 손목 받침대 도킹하는 부분이 약해서 부서지기 쉬울거 같습니다. 해체하거나 키보드를 따로 들어올리지 않는 이상은 아무 문제 없어 보이지만요.,[]
5,허세어? ㄴㄴ 로지텍 지프로를 쓰다가 넘어왔습니다. 지프로에 딱히 하자가 있고 그런건 아니였지만 k95가 눈에 들어오고 나선 겜할때마다 아쉬움이 생기더라구요. 그래서 큰맘 먹고 정발판으로 질렀습니다. 처음 타건해봤을 땐 정말 감탄이 나왔습니다. 부드러운듯 사각 거리는 키에 낮은 압력.... 스태빌 소리 또한 걱정 많이 했지만 k70이나 다른 커세어 키보드 스태빌 소리마냥 철컥철컥 거리진 않았구요. 살짝 윤활 해주면 더 좋을듯?문제는 매크로키인데 저는 하루정도 매크로 키 키캡을 빼고 쓰다가 그 담날 다시 꼽아서 사용하니 쉽게 적응 했습니다 ㅋㅋ엘이디는 어마어마 합니다. Led보고 산다는 사람도 있을 정도니..특히 범선로고까지 led가 들어오는게 인상적입니다.팜레스트 또한 무겁고 단단하며 손목을 잡아주는 느낌이 들었지만 저같은 하드 fps 유저들에겐 오히려 독이 될 듯 합니다. 커세어에서 지원하는 소프트웨어도 대단했습니다.로지텍에서 지원하는 프로그램과는 차원이 다른 정밀함을 보여줍니다. 원하는대로 led를 설정 할 수 있습니다.심지어 부분부분 나눠 다른 효과를 줄 수도 있습니다.하우징이 알루미늄이라고 해서 엄청 무거울 줄 알았는데 항공기에 들어가는 알루미늄답게 생각보다 가볍습니다.키캡은 abs키캡입니다. 근데.. 이게 좀 맘에 안들긴 합니다. 맨들맨들 거리는 키캡이 좀 그렇습니다. 조만간 바꿔줘야 할듯 pbt로 괜히 2017 북미 키보드 랭킹 1위가 아닙니다.(대충 검색하다가 봄. 유튜브 키보드 관련 리뷰만 봐도 엄청나게 언급 되는 수준) K95을 허세어라고 욕하는 분들은 타건을 한번도 못해본 듯 합니다. 가격이 쎄다는게 유일한 단점 인 듯 나름 성의있게 리뷰 써봤습니다.한두푼 하는 물건도 아니고 저 같이 몇날며칠 고민하다가 사시는 분들에게 조금이나마 도움 됐길 바랍니다,['https://phinf.pstatic.net/checkout/20180719_41/1531933667163WNfz0_JPEG/PRREW_5787135319546484665.jpg?type=f287']
5,기존에 쓰던 키보드는 멤브레인 Nkey 썼었는데 엔키가 키캡이 넓은건지 모르겠지만...기계식 키보드는 처음 써보는거라 기계식 키보드가 모두 이런건지는 모르겠는데키캡 면적이 생각보다 좁아요... 멤브레인 쓰다가 넘어오시는 분들은 참고바람.회축(래피드 파이어)이라 부드럽게 키가 눌려서 좋네요.리뷰에서는 손만 위에 얹어도 눌린다고 막 그러시던데... 그런건 너무 과장이고...누르면 누르는데로 눌리는 느낌입니다 그냥 쑥쑥 들어가요.전체적으로 마음에 들어요~ 익숙해지면 정말 쓸만할것 같네요.게이밍으로는 정말 좋은것 같고 따로 사무용으로 넘패드 없는 작은 청축 기계식 키보드 하나 마련해야겠습니다.,['https://shopping-phinf.pstatic.net/20190627_18/097938db-3896-4a25-a838-1b232feb3511.jpg?type=f287']
