star_point,comment,photo
2,너무너무 만족한 키보드와 달리 커버는 호불호가 갈릴것 같네요 개인적으로는 불편했습니다 아직 익숙치않은 배열이라 키보드를 봐야하는데 생각보다 불투명해서 키각인이 잘 안보이네요 그리고 다수의 키보드 겸용이라 길이가 딱 떨어지지 않아서 해당가격의 키보드를 구입하는 고객의 니즈와는 동떨어지네요 (길이가 최소한 맞을줄 알았는데 테두리가 너덜거려요 ㅠ) 회사에서 사용중이라 퇴근후 먼지 쌓이지 않게 덮어두는 용도로 쓰고있습니다 키배열 딱맞는 커팅이나 박스형태로 뚜껑처럼 덮게하면 좋을것 같습니다!,['https://phinf.pstatic.net/checkout/20201119_69/1605751664034Ccq1P_JPEG/review-attachment-76f0e09a-31ed-4431-b5b7-28b00eac81f7.jpeg?type=f287']
5,"재구매했습니다. 집에서 사용할 목적으로 구매했습니다. 앞서 말했듯이 만족도가 너무 좋습니다. 연구실 인원들도 자기도 구매하고 싶다고 그러는데 제가 2개 있으니 하나 넘기라고 장난스럽게도 말하네요 -_-

키감이 매우 훌륭하나 소음이 살짝 있는 편이라 이번엔 키스킨까지 구매했습니다. 처음에 키스킨 구매할때는 퇴근할 때나 사용하지 않을 때 덮어둘려고 구매한건데 덮어놓고 타이핑해도 별다른 느낌 없고 소음이 적어져서 매우 만족스럽네요. 항상 키보드 근처에 마실걸 두다보니 불안했는데 덮어두니 괜찮은거 같습니다.

마우스패드는 게임용이라 아니라... 사무실에서 쓸 넓적한거 찾고 있었는데 마침.. 한번에 구매할 기회가 있어서 구매했습니다. 전체적인 질감은 부드럽고 무난히 사용할 수 있을 정도입니다.","['https://phinf.pstatic.net/checkout/20191105_258/1572932413194YdOiJ_JPEG/KakaoTalk_20191105_142405650.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191105_113/1572932413276vvSCc_JPEG/KakaoTalk_20191105_142406283.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191105_133/15729324132375DB4X_JPEG/KakaoTalk_20191105_142405957.jpg?type=f287']"
5,"사무실에서 사용중이며 윈도우 10 환경입니다.
적당히 시끄럽습니다. 근데 뭐랄까 요란한 소리가 아니라 고급진 딸깍이랄까요?? 타이핑으로 뭘 쓸때 정말 감성은 좋습니다. 왠지 글이 잘 써지는 기분??

외관은 되게 고급집니다. 누구든지 보면 와... 이럴정도로 되게 정갈하고 느낌있습니다.
. 다른 기계식 키보드도 많이 사용해봤지만 .

게임환경에서는 사용하지 않아서 모르겠습니다.
사무실 컴퓨터에 연결할 목적으로 구매한거라...","['https://phinf.pstatic.net/checkout/20191016_61/1571198587178SeCsI_JPEG/KakaoTalk_20191016_125633796.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_275/1571198587200N8zzh_JPEG/KakaoTalk_20191016_125634177.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191016_188/1571198587242Mg1Cy_JPEG/KakaoTalk_20191016_125634536.jpg?type=f287']"
5,"마우스는 어디서 굴러다니는거 사용하는데 자꾸 페어링이 끊기는데
구매한 키보드는 페어링도 진짜 빠르고 ,, 타격감 짱입니다 ,,
그래서 복붙해도 상관없는 내용 타자치는 재미에 살고 있슴다 ,,

정품 등록도 완료했고 사장님 많이 파세용 ,,",['https://phinf.pstatic.net/checkout/20201120_258/16058621340527xf6r_JPEG/review-attachment-605099cf-94f4-4d22-927b-f12bd57784be.jpeg?type=f287']
5,"사무실에서 사용할꺼라 적축에 풀스킨으로 주문했습니다.
손가락 관절이 아파서 기계식이 손가락에 무리가 안간다고 해서 한참 찾아보고 고민하다가 구입했습니다.
일단 키보드 높이가 낮아서 어색하고...
핸드폰으로 블루투스 연결하는게 제가 잘 못하는건지 어렵네요 ㅠㅠ

확실히 지금까지 사용해봤던 다른 키보드에 비해 비싼값을 하는 것 같아요. .
손가락에 무리가 안가는지 여부는 좀 더 써봐야 알 것 같아요.",['https://phinf.pstatic.net/checkout/20200608_83/1591596851001c9SaH_JPEG/F34D1499-69A7-4621-BE3D-051867C3B028.jpeg?type=f287']
5,"여러분 여기가 제일 가격도 저렴하구요.
배송도 토요일에 주문했는데 일요일에 벌써 배송준비를 해주셨더라구요. 그래서 좋았구요.
RGB LED 진심 너무 이쁩니다. 감탄밖에 안나와요 저는 불끄고 쓸일은 없지만 불켜고 써도 이쁩니다.",['https://phinf.pstatic.net/checkout/20201028_47/1603855706133aknOD_JPEG/review-attachment-fea27a76-e6f7-430b-a1ef-ae268f144620.jpeg?type=f287']
5,윈도우 PC에 쓰려고 샀는데 로우프로파일 기계식 키보드의 끝판왕인 것 같습니다.,"['https://phinf.pstatic.net/checkout/20200909_163/1599624704101lEVfP_JPEG/review-attachment-9cfa1677-55d3-46fb-93f4-6ed8a42fe2e8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_13/1599624710622GkVaN_JPEG/review-attachment-d848d410-cf24-4a89-a839-b0fb0c6da98d.jpeg?type=f287']"
5,청축 주문했는데 초고속 배송으로 적축이 왔어요. 교환역시 초고속으로 진행되었습니다. 상품도 좋아요. 많이 파세요!!,['https://phinf.pstatic.net/checkout/20201119_264/1605764720792nG2UR_JPEG/review-attachment-12cacfec-5bf7-4243-832c-329e3cde635c.jpeg?type=f287']
5,"실물깡패네요 첫인상 너무 멋지네요
회사에서 쓸거라 갈축했는데 오히려 기존 일반 유선키보드보다 조용하네요 키보드 높이 걱정했는데 저는 불편함 없었습니다 잘쓸게요!",['https://phinf.pstatic.net/checkout/20201119_58/160575144067950e6B_JPEG/review-attachment-2d89dca8-befd-4837-a258-e4e1615f6b22.jpeg?type=f287']
5,갈축 서걱거리는 느낌이 좋아요 소리도 꽤 크고 마음에 듭니다,['https://phinf.pstatic.net/checkout/20201104_291/16044205620456LQr7_JPEG/review-attachment-3420c7ed-63a5-4c85-bce0-4f93547fe2a3.jpeg?type=f287']
