star_point,comment,photo
4,"문서작업을 자주 하는데 기존에 쓰던 무선 키보드는 타이핑할 때 힘이 많이 들어가는 거 같아서 바꾸게 됐어요(로*텍 k380)

기계식 키보드는 초등학교때 이후로 써본 적이 없어서 익숙하진 않지만 쫀득한 키감과 힘을 덜 줘도 타이핑이 되는 것이 마음에 들어요

팜레스트도 같이 샀는데 잘한 거 같아요, 여기에 손목 받침 쿠션을 껴서 쓰니 아주 좋아요👍🏼

윈도우 유저인데 섬세하게 여분의 키캡을 주는 것도 맘에 들어요, 번창하세요!

나중에 기존 풀사이즈 버전의 무선 키보드도 만들어주면 좋겠어요. 키간격이 늘어나서 오타를 줄일 수 있지않을까 싶어요:-)","['https://phinf.pstatic.net/checkout/20200820_113/1597932130499XjkXb_JPEG/review-attachment-a06b34e8-edc0-4787-a74d-471aef1d09fd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_207/1597932148040iNPhD_JPEG/review-attachment-6ad2da44-614e-4098-ad90-451c15bad763.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_268/1597932165999bzF3g_JPEG/review-attachment-c02b99fb-694b-42dc-a3a6-ea4ce5d7b376.jpeg?type=f287']"
5,"직전에 쓰던 무소음흑축 텐키리스, 무선키보드 등 2개를 사무실 책상위에 올려놓고 쓰니 정신이 없었는데,
이 키보드 하나로 바꾸니 책상공간도 좋고
무소음흑축보다 키의 무게 감은 가볍고 소음은 조금 있는 편입니다.
그렇다고 소음이 사무실 주변사람들에게 거슬릴 정도는 아니고요 타이핑하는 나는 듣기 좋은 소리 입니다.
키배열은 적응이 좀 필요해요.
텐키의'0'키가 좀 작아 오타가 종종 발생하고요.
이부분을 회피하기 위해 화살표 좌우상하키를 바꿔서 쓰고 있습니다.

옵션으로 파는 블랙오링도 세팅했는데 처음부터 세팅하고 사용해서 그런지 블랙오링의 효과가 얼마나 있는지는 모르겠어요.

팜레스트는 무조건 필요합니다.

풀사이즈 키스킨은 좀 많이 남아요.
키스킨 씌우고 타이핑은 좀 이질감이 있어서 키보드 커버로 사용하고 있습니다.

전체적으로 .","['https://phinf.pstatic.net/checkout/20200611_90/1591832697908vtPtD_JPEG/1591832679262.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_196/1591832711428sSRnv_JPEG/1591832702074.jpg?type=f287']"
5,"어제 물건 잘 받고 이것저것 테스트 해봤는데 조금은 적응이

필요할 것 같네요! ㅎㅎ 영문각인으로 주문한 거라 아주 깔끔

하고 좋습니다. 몇개 키캡 불량으로 바로 보내주신다고 해서

AS처리는 빠르고 좋네요! 가격이 쫌 비싼 키보드라서...

알루미늄 바디라 해서 쫌 무거울 줄 알았는데 생각보다 그다지

무겁지 않고 이뿌네요!

키스킨 풀배열용 처음 사용해봤는데 생각보다 아주 좋아요!

키감이 색다른 느낌이 드네요!

비싼 키보드만큼 오랫동안 사용했으면 하네요!","['https://phinf.pstatic.net/checkout/20200507_275/1588817821311QRAXB_JPEG/KakaoTalk_20200506_214154116.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_5/1588817821596lxxos_JPEG/KakaoTalk_20200506_214159257.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_132/1588817821840TNLhx_JPEG/KakaoTalk_20200506_214214441.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_43/1588817821756Bvw4l_JPEG/KakaoTalk_20200506_214205171.jpg?type=f287']"
5,아... 드디어 도착하였습니다. 주문하고 도착하기까지 그 오랜 기다림이란...(사실 이틀 정도...) 설레는 마음으로 개봉을 하였습니다. 케이블을 연결하고 충전도 하면서 메인으로 사용할 iMac에도 연결하고 서브로 사용하는 맥북프로에도 블루투스로 연결하였습니다. 아직 본격적으로 사용하기 전이라 간단하게 개봉만 하였지만 그럼에도 시각적인 만족도는 최상입니다. 빨리 두드려 보고 싶네요.,"['https://phinf.pstatic.net/checkout/20200405_264/1586077985242wLeRO_JPEG/IMG_6163.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200405_169/1586077985311ywQSm_JPEG/IMG_6164.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200405_241/1586077985704YpTfC_JPEG/IMG_6168.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200405_228/1586077985548RP1wp_JPEG/IMG_6169.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200405_202/1586077985920Xxt0M_JPEG/IMG_6170.jpeg?type=f287']"
4,"키크론 k4 광적출 모델을 사용하다 보니 몇 가지의 작은 단점들을 발견해서 한 달 사용기 올립니다!

1. 키보드의 구분감이 떨어집니다!
: 영상 편집 일을 하고 있다보니 키보드 방향키를 많이 누르는데, 그 부분에 있어서 조금 불편합니다...
하지만 이런 부분에 있어서 방향키를 반대로 끼우니까 어느정도 구분감이 생겨서 극복하는 중입니다!


2. 오른쪽 쉬프트 키가 너무 작습니다!
: 저는 오른쪽 쉬프트키를 잘 사용하지 않는다고 생각했는데, 제가 생각보다 심심치 않게 오른쪽 쉬프트키를 쓴다는 걸 이 키보드를 쓰면서 알게 되었습니다!


3. 키압이 더 가벼운 느낌입니다!
: 커세어 키보드의 적축과 한성의 무접점 키보드를 쓰고 있는데, 개인적으로 표기된 키압보다 더 가벼운 느낌입니다!

이 부분에 있어서 개인마다 선호 차이가 있으리라 생각되지만, 작업을 할 때에 있어선 확실히 손목에 부담도 덜가고 손이 덜 아프지만 타이핑을 하는 재미는 조금 덜합니다 ㅠㅠ


4. 무선의 느린 반응성.
: 광축 자체는 반응이 굉장히 빠르지만, 무선으로 연결하였을 경우 시스템이 제 손가락보다 느린 느낌입니다. 그러니까 키보드를 굉장히 빠르게 누르지만, 막상 시스템에 입력이 그 스피드를 못따라오다보니 저도 모르게 입력이 안된줄 알고 키를 두 번씩 누르는 경우가 있습니다.

물론 훌륭한 키보드이지만 실 사용하다보니 조금의 단점들이 느껴지네요! 구매자분들은 참고하셨으면 좋겠습니다!",['https://phinf.pstatic.net/checkout/20200623_218/1592846917208zTJzb_JPEG/50FD7D92-ADBA-4F84-B3C8-517C86DE87B5.jpeg?type=f287']
4,"F1-F2, F7-F12 가 안눌리는 문제가 있습니다.
서비스 센터에서는 펌웨어 설치후 제대로 작동된다고 받았는데 여전히 안눌리더군요.
레딧 참고한 결과 키보드를 윈도우 모드로 유선연결하면 해당 키가 작동하지 않는다고 합니다.
무선연결을 하면 제대로 작동한다고 해서 따라하니 잘 작동되네요.
무선디바이스 싫어서 유선 쓰고 있었는데 어쩔수 없이 무선으로 바꿔 쓰게 되네요.

컴팩트한 .
게임은 안하고 작업용으로 쓰는데 F4, 5를 찾기가 쉽지는 않네요..
마우스에서 손떼고 키패드 누르는 것도 약간은 불편해서 한번씩 봐줘야 한다는게 좀 불편합니다.
백라이트 효과가 화려해서 기본 백라이트로 고정하고 싶은데 중간에 del키 누르다 실수로 백라이트 패턴키라도 한번 누르면 ...@_@
오늘 찾아보니까 펌웨어 업데이트하면 LED효과 고정이 있네요!

약간 손 많이 가는 이쁜 여자친구 같은 느낌입니다",['https://phinf.pstatic.net/checkout.phinf/20200815_196/1597469637549k8jyX_JPEG/review-attachment-fc97ac25-cbfd-4950-8dc6-23a83bbcec58.jpeg?type=f287']
5,"영문각인 키보드라 심플하고 깔끔해 보이네요

생각했던건 보다 무겁지 않고 적당한 것 같네요

비싼 키보드는 처음이라 또 약간의 키배열이 달라 적응이 필요

하지만 . 키캡불량이 몇개 있었지만 바로

키캠만 교환처리 해 주셔서 좋았습니다.

아무튼 오랫동안 쓰도록 해봐야겠네요!","['https://phinf.pstatic.net/checkout/20200507_55/15888179684876T7c3_JPEG/KakaoTalk_20200506_214154116.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_42/158881796879762R13_JPEG/KakaoTalk_20200506_214159257.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_256/15888179689656uqe3_JPEG/KakaoTalk_20200506_214205171.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_296/1588817968988Y9byn_JPEG/KakaoTalk_20200506_214214441.jpg?type=f287']"
5,"화이트 LED 적축으로 구매를 했는데, 좀 늦은 시간에 구매했음에도 불구하고 다음날 바로 도착하였습니다.
흑축위주로 쓰다가 처음 적축 써보는데 클링킹-! 소리없이 눌려서 타이핑 하기 아주 좋은 느낌입니다.

구성품은 USB케이블, 윈도우-mac os 용 여분 키캡, 키 리무버 정도였습니다.
딱 좋은 구성이 아닌가 싶네요.

구매했는데, del키가 좀 멀리 있고, 키들이 다 붙어있어서 약간 적응해야 할 시간이 필요할 것 같지만 대단히 만족스럽습니다.

다른 싸구려 키보드처럼 쉽게 고장 안나길 기대할 뿐입니다.","['https://phinf.pstatic.net/checkout/20200709_235/1594271143399fzPmJ_JPEG/review-attachment-74e280f4-e813-49e7-9310-cf0e24d1b720.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200709_230/1594271143517GgyBf_JPEG/review-attachment-090c4725-85c2-4ade-ac38-6f85695384ae.jpeg?type=f287']"
5,제품에 아무런 하자 없이 잘 왔네요. 의외로 배터리도 꽤 충전되어있는 상태로 와서 뜯어서 바로 블루투스로 연결할 수 있었습니다. 괜찮은 제품입니다. 다만 제가 산건 레드 광축이라서 그런지 예상한 것보다 훨씬 키압이 낮네요. 저는 진짜 살살만 눌러도 알아서 눌리니 참 맘에 드는데 혹시라도 관심 있으신 분들은 왠만하면 매장 등에 방문해서 직접 스위치별로 타건을 해보고 고르시길 바랍니다. 진짜 스치듯이 살살 눌러도 인식됩니다.,"['https://phinf.pstatic.net/checkout/20200507_247/1588787627554bUpJh_JPEG/IMG_1437.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200507_67/15887876277683MQka_JPEG/IMG_1438.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200507_183/1588787628217ATJ9M_JPEG/IMG_1439.JPG?type=f287']"
4,"1.상품 : 5점
- 일하면서 사용하기에 적당한 소음
(일반 키보드와 유사하게 느껴짐)
- 나머지는 다른 분들 리뷰 보시길..

2.배송 : 5점
- 타택배사에 비해 유독 CJ대한통운은

3.서비스 : 2점(상품설명에 미기재인 경우)
- 해당 상품에 사은품 표기가 되어있음(배송료 유료)
- 사은품 없이 본제품만 받음
- 문의 후 답변 : 사전예약 및 예약구매 시 지급
- 상품설명에 다시 확인 결과 답변 받은 내용 확인 안됨
(있으면 알려주세요)
**상품명:[키크론] K1 K2 K4 무선 기계식 키보드 <- 여긴 무료배송..

결론 : 제품은 괜춘","['https://phinf.pstatic.net/checkout/20200411_208/1586534560297lw3RX_JPEG/CB348A11-9249-421C-B9B5-58F8D97A1423.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_151/1586534560382eIYmn_JPEG/8C84B546-2B4A-4382-A635-029CE2A4B1D8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_180/1586534560417O785n_JPEG/C75542CE-5351-4E67-89E9-6533641C8045.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_196/1586534560416BBhqS_JPEG/94A5E9DE-0AA6-4D57-90B0-BD4766DDA912.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200411_245/1586534795444qaHab_JPEG/3C154075-51CE-4109-986F-F13999E33762.jpeg?type=f287']"
