star_point,comment,photo
5,"현재 k4 알루 RGB 청축을 사용하고 있었습니다. 갈축, 적축은 어떤 느낌일까 싶었고, 마침 집에 사용하던 애플 키보드가 키가 하나 고장났길래 핑계삼아 K6 RGB 핫스왑 갈축을 구입했습니다. 기계식 키보드에 클릭감이 좋고, 그런데 집에서는 밤에 작업하는 일이 자주 있어서 식구들에게 방해를 조금 덜 주고자 적축은 너무 클릭감이 없을 것 같아서 중간단계로 갈축을 구입했습니다. 확실히 기계식 키보드감을 가지면서도 청축보다는 소음이 적어지네요. 그래도 저는 청축이 좋습니다. K4는 숫자키패드가 있는 것이 큰 장점이지만, 방향키가 애매한 위치에 있어서 오타가 날 때가 자주 있었습니다. 아마 이번에 나오는 K8이 그런 점을 보완하기 위해 나온 것이 아닌가 싶기는 한데, K6작은 사이즈도 괜찮을 것 같습니다. 사진을 통해 보시듯이 포장상태는 항상 키크론이 깜끔해서 보내줍니다. 높낮이 조절이 K4보다 한단계 더 들어가 있습니다. K4와 비교해볼 때 사이즈도 68키가 혹 출장나갈 때 가지고 나가기도 K4보다 적절할 것 같습니다. 항상 계속 버전업되는 키크론. 기계식 키보드에 관심이 있으신 분들께 강추입니다","['https://phinf.pstatic.net/checkout/20200804_170/1596521116887ppqRa_JPEG/review-attachment-591c4231-3f8a-4fc2-90dd-43e52b3a2cf7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_76/1596521135210gcFck_JPEG/review-attachment-1aac251e-25bd-457a-abd6-8fdcf8bd6ab2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_17/1596521143698uCbzO_JPEG/review-attachment-cb44d8de-68af-488e-9c18-2e31d91792d1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_255/1596521153556YBIRo_JPEG/review-attachment-245e6749-41ee-4d86-a119-11fab5dc89c5.jpeg?type=f287']"
5,"포장상태는 아주 깔끔합니다. 그동안 K4 청축을 사용하다가 갈축은 어떤 느낌일까 궁금해서 추가구입하게 되었습니다. 팜레스트가 이전 K4와 높이가 달라져있습니다. 아마도 K6는 높낮이를 2단계로 조절할 수 있어서 감안된 높이같습니다. K4전용 팜레스트가 뒷면에 미끌어지지 말라고 붙여놓은 고무가 너무 허술해서 밀리고 없어지기도 했는데, 이번 K6 전용 팜레스트는 크기도 넓게 나와서 그런 아쉬움은 없을 듯 합니다. 네이버에 보면 키크론 용 팜레스트라고 나온 것들이 있는데, 전용이 아닌 것들이 있습니다. 아무래도 제품사이즈에 맞추어 전용으로 키크론 이름으로 나오는 것 구입하는 것이 정확할 것 같습니다. 구매 추천합니다.","['https://phinf.pstatic.net/checkout/20200804_82/1596521708174jF5fl_JPEG/review-attachment-48ec7d84-ab74-4e92-8588-4934e6a5b765.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_204/1596521716631sOmwu_JPEG/review-attachment-a21cc2be-c80e-4372-80ff-a46df1caa980.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_218/1596521766586se5pj_JPEG/review-attachment-ed87858c-5029-4134-be9d-8dc6602e6cad.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_9/1596521777913KQj87_JPEG/review-attachment-a0381c87-5a9e-4b07-895f-f1b7b3a7e618.jpeg?type=f287']"
5,"판매자분이 무척 친절하시고 제품도 높은 만족도를 줍니다. 진작살걸 그랬습니다. 요즘 문서업무가 너무많아 손목이 아파 찾아보다가 사용하는 맥북과 잘 호환되는 재택근무용 기계식 키보드라고 하여 구매하였습니다.

*제가 생각하는 장점


키보드 사이즈가 크면 피로감이 높더라구요. 밀도있게 타이핑가능합니다

2. 직관적인 사용법
왼쪽에 맥윈도우 변환 시 물리적인 버튼이 있어서 좋았습니다. 키보드로 눌러서 바꾸는 제품들 있는데 별롭니다..

3. 사용감
화이트led 갈축 구매하였습니다. (키린이라 중간으로 구매해보았습니다-) 예전 지인의 청축을 사용해본적 있는데(타 브렌드) 너무 심하게 딸깍거린다고 해야하나(물런 그런면을 선호하는 분들도 있겠죠).. 그런데 키크론 k6갈축은 고요하게 서걱서걱 거리는 느낌입니다. 업무가 잘 될것 같습니다.

4. 표면
합성수지 느낌 안좋아하시는 분들 있던데 저는 매끄러우면서도 부드러워서 괜찮았습니다.

5. 디자인
사실 디자인때문에 샀..

구매 추천합니다! 배송은 2일만에 도착했습니다~ 판매자님 고맙습니다~","['https://phinf.pstatic.net/checkout/20201015_229/1602716660845YzctY_JPEG/review-attachment-4b86ebea-8813-4ea1-b1ac-6e1ca26fccff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201015_47/1602716667319DQ6ER_JPEG/review-attachment-634f768d-7398-4bc8-9f8f-0a21fd02d8f7.jpeg?type=f287']"
4,"맥과 윈도우를 둘다 사용 하는데 항상 kvm을 사용해서 쓰고 했어요, 덕분에 선들이 지저분하고 무엇보다 왔다 갔다 할때 마다 띠롱띠롱 거리는 인식 사운드가 빡치더군요.
그러다 이걸 사게 되었는데 솔직히 대부분의 면에서 만족입니다, 몇개 아쉬운건, 일단 높이가 높다는 점 ( 저도 웬만큼 높은 키보드를 사용 하고 있었다고 생각 했는데 이건 아니다 싶을 정도로 높더군요.)

그리고 키 배치가 좀 문제가 있다는 점, 작은 레이아웃에 반해서 사기는 했는데 사기 전부터 좀 이건 아닐지도?? 라고 생각 했던 키 레이아웃이 결국 발목을 잡습니다... 특히 del, end, 조명키, `, ~ 키 등입니다.

왜 해당 위치에 있는지 솔직히 모르겠습니다, 펑션 1,2 번을 쓸거면 그냥 왼쪽 손에 가깝게 있으면 좋을거 같은데 말이죠.. 왜 이렇게 한쪽으로 그것도 한손으로 키기에 불편한 배치인지 모르겠네요, 이렇게 되면 결국 오른손을 때야 하는데 그로 인해 생기는 오타 발생률을 생각 안한것 같아서 아쉽네요.

장점은 5.1 지원이라 겁니다, 유선과 무선을 생각 하면 제법 빠릅니다, 동글이는 따로 5 버전으로 사시기 바랍니다 3버전하고 속도 차이가 조금 있는데 이게 은근 사람 신경쓰이게 차이가 납니다 ㅎㅎ;

만약 아직 구매를 안해셨다면! 8쓰세요 ㅎㅎㅎ;;; 사무용으로 쓰실거면 자기가 end, del,`~ 키등을 좀 쓰는 사람이다 싶으면 그냥 8나오는거 기다렸다가 사세요 ㅎㅎ;

아니고 저처럼 그냥 작은게 이뻐서 못 참겠다!! 하시는 분들은 구매 ㄱㄱ",['https://phinf.pstatic.net/checkout/20200905_94/1599289781711RfF5P_JPEG/review-attachment-b62e4b80-6bb3-48e3-8b61-dbf56ec4087e.jpeg?type=f287']
5,"키보드 자체는 작고 이쁩니다. 그리고 블루투스 연결도 잘 됩니다!

그런데 주황색ESC키캡이 살짝 벗겨져있네요 ㅠ 그래서 여분의 어두운ESC키캡으로 바꿔줬습니다.

그럼에도 제품이 정말 만족스럽습니다 ㅠㅠ 블루투스 기계식 키보드 입문으로 잘 선택한 것 같습니다. 잘 사용하겠습니다 :)","['https://phinf.pstatic.net/checkout/20200902_168/1599057306249KEjgY_JPEG/review-attachment-d2d9d71c-4706-4faa-84d0-31a93d6ade75.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_235/1599057306174HNWk7_JPEG/review-attachment-634f8456-1a26-4ebc-ae15-f06bae67aa8f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_256/1599058571702c2Ypx_JPEG/review-attachment-11fe4150-dfa0-4bce-813b-92ce66a7d0a6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_209/1599058571663ciX2O_JPEG/review-attachment-0922c4ed-0d4c-4821-8e18-f30ca9d35f0e.jpeg?type=f287']"
5,생각보다 훨씬 예쁜 디자인에 미니멀함도 마음에 듭니다 항상 생각했던 그런 디자인입니다 테두리도 작아서 작은 키보드가 더 돋보입니다 청축으로 구입했는데 키감도 좋습니다 이전에 다른 키보드 갈축을 썼는데 기계식은 역시 청축이네요,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_27_0/ded16535-cfd5-11ea-bc57-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_97/1595832789920t49Pg_JPEG/review-attachment-accbfefe-7135-4678-8ab8-279493101e0d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_254/1595832790829t5uFi_JPEG/review-attachment-f7414bf3-a909-4dda-b605-c3c59e47973d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_107/1595832791126THedu_JPEG/review-attachment-61f148b8-1fca-4c50-a76c-7dd9ea869588.jpeg?type=f287']"
5,"물건을 받고는 며칠을 사용해보았다.
간단하게 정리하면 알루미늄은 무게감이 꽤 있다.
사이즈가 만족스럽고 효율적으로 키를 모아넣어 작업에 불편함이 없었다. 키의 촉감은 나의 땀과 기름이 적극 반영되어 변할 수 있으니 촉각적인 청결 유지 요망.
구매 당시 사은품으로 받은 고무링, 아주 바람직했다.
손을 편안하게 하기위해선 거의 필수로 손목받침대로 높이를 조정해야만 했다. 그렇지않으면 오토바이 부릉부릉 하듯이 손을 치켜올려야 할 것이다.

전반적으로 안정적인 인상을 받았다. 알차고 구성진.
자판기를 자주 쓸 이들에게 심심찮은 격려가 되는 편안한 자판, 어여쁜 조명. 10만원 값을 한다.
그 나머지 값은, 에라 나도 모르겠다.",['https://phinf.pstatic.net/checkout/20200607_202/15915313310296mWez_JPEG/beauty_20200607205117.jpg?type=f287']
5,"진짜 좋고 마음에 듭니다. 특히 RGB LED를 살지 말지 고민했었는데..
쓸데없는 걱정이었어요. 진짜 이쁘고 마음에 듭니다. 안샀으면 후회할 뻔 했어요

키크론 키보드를 사용할 때 손목이 아프다고 하시는 분들도 계시던데 저는 여태 사용하면서 그런 느낌은 없었습니다! 손가락 좀 기신 분들은 걱정 안하셔도 될 것 같아요!

다만 ~키를 제가 가끔 사용하는 편인데 처음에 살짝 불편하더라구요. fn2를 눌러야되다보니. 그래도 적응이 되니 나쁘지않습니다!

완전 추천드려요~~","['https://phinf.pstatic.net/checkout/20200630_79/1593511700966fXgej_JPEG/KakaoTalk_Photo_2020-06-30-19-08-06.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200630_299/1593511713920NGUXG_JPEG/KakaoTalk_Photo_2020-06-30-19-07-52.jpeg?type=f287']"
5,"사실 키크론 제품 처음 써봅니다.
근데 많은 리뷰와 더불어 사용기가 많아서 믿고 사봤는데....
역시 좋네요 .. 게이트론 축이라 조금 망설였지만 사용 해보고
잘 샀다고 생각듭니다. 우선 기본적으로 휴대성이 좋아요 !
빠르고 안전한 배송도 감사합니다.","['https://phinf.pstatic.net/checkout/20200922_94/1600751503406P0QpD_JPEG/review-attachment-91119b11-5f1e-4618-9e00-da7d9f823640.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_130/1600751504148Dx964_JPEG/review-attachment-36e8d1d2-6af0-4337-968c-802e32c61184.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_108/1600751503912sCc7Q_JPEG/review-attachment-b8289a4f-ea43-4a72-9d61-6dc0a13ea4e9.jpeg?type=f287']"
3,"블루투스 불안정하고 키배열이 익숙하지않아 오타가 많긴 합니다. 특히 조명 버튼 좀 치워버렸으면ㅠㅠㅠ 그외에도 키캡은 금방 땀이나 지문이 묻어 지저분해지고 LED도 약하고, 키감도 다 그냥 그렇긴합니다^.ㅠ

다만 k2에 비하면 만족스럽네요ㅋㅋ k2 알리미늄rgb 샀었는데 제 기준엔 알루미늄 테두리가 오히려 별로였고 키배열도 k6랑 비슷한거같지만 더 오타심하고 손목받침대 해도 너무높은편이라 불편했어요. 무엇보다 블투버전이 낮아서그런지 제가 뽑기를 잘못한건지 페어링 왔다갔다 제대로 되지도않아서 컴퓨터를 몇번이나 껏다키고 재연결하고 쑈했는지.. 시간 뺏기고 스트레스받아서 반품했습니다

그래서 차라리 키배열이라도 멀쩡한 k8기다렸는데 일정이 자꾸 미뤄져서ㅜㅜ 하루라도 빨리 필요했기에 그냥 k6샀어요 k2에 비하면 높이가 확실히 낮아지고 컴팩트해진게 마음에드네요. 또 k2 rgb랑 알루미늄 테두리 별로라 그냥 플라스틱에 화이트led샀는데 이게 그냥 .

k6 구매예정이신분 쓰실때 물결기호나 f1~f12라인 많이 쓰시는분들은 매번 펑션조합하려면 귀찮을듯하니 참조하세요 오타덜하려면 k8기다리는게 나을듯합니당",[]
