star_point,comment,photo
3,"무사히 수령하였습니다.
아쉬운 점을 나열해보자면 아래와 같습니다.


* 기왕이면 [윈도우 로고] 키캡과 [Ctrl 한자] 키캡도 동봉 되었으면 하는 소소한 아쉬움이 있습니다.
(적어도 [Ctrl 한자] 키캡은 K2 키캡에 구성되어있는 사항입니다.)

* .
[만능 키보드 키스킨]이라는 제품이 판매되고 있지만, 키에 맞춰 성형된 것이 아니고 키 위에 얹혀서 사용하는 것이라 이용시 매우 잘 미끌어집니다. 텐키리스 키스킨이 몇 개인가 유통이 되고는 있지만(체리 텐키리스 키스킨, 레오폴드 FC750R PD 키스킨) K8과의 호환 여부가 불투명한 것이 현실입니다.

* 개인적으로는 상태 표시 LED(충전상황/블루투스/Caps Lock)의 밝기가 강하다고 느껴집니다.
상태 표시 LED에 관련된 밝기 레벨 조절 스위치가 있었으면 하는 아쉬움을 느꼈습니다.

* 제조사 차원에서의 리맵핑 프로그램이 지원되지 않는 것이 다소 아쉬울 따름입니다.
한글 윈도우 10 에서는 코타나 이용이 불가합니다. 그렇기에 원터치 코타나 키는 적어도 한국의 윈도우 사용자에게는 사용할 일이 없습니다. (지역설정을 바꾸면 되긴 합니다만 이래저래 번거롭습니다. 마이크가 없는 데스크톱 환경이기도 하고요.)
[스크린 캡쳐] 키와 [원터치 시리&코타나] 키는 SharpKeys 3.92 버전 기준으로 리맵핑이 불가합니다. (인식 불가 및 다른 키값과 혼용되기에 설정이 불가.)

* K8 제품의 특징상 팜레스트는 선택이 아닌 필수입니다.
바닥서부터 맨 앞쪽 키캡 끝까지의 높이가 35mm 가량 됩니다. (키캡 아래 까지만이면 23mm 정도 됩니다.)
문제는 키크론 K8 호두나무 팜레스트의 높이가 15mm 라는 것입니다.
(물론 개인차는 있겠지만) 적어도 높이가 25mm 는 되어야 할 것이며, 세로 길이 또한 80mm 가 아닌 100mm 는 되어야 쓸만할 것이라 여겨집니다. 마감 또한 오일 마감인지, 유리막 방수 코팅이 어느 정도 농도로 되었는지에 대한 정보가 공개되었으면 하는 바람입니다. (무슨 이유인지는 모르겠지만 2020년 10월 9일 20시 48분 기준으로 키크론 홈페이지에는 K8 팜레스트가 등록되어 있지 않습니다. K8 전용 및 공식 팜레스트라고 설명하며 판매하는 곳도 적지 않은 상황임에도 말입니다.)

* 단점이라기보다는 주의해야 하는 사항이 하나 있습니다.
키크론 K8은 Male 부분이 꺾인 USB C 타입 케이블이 제공됩니다만 길이가 길지는 않습니다.
따라서 길이가 긴 USB C 케이블과 연장젠더를 조합하는 환경을 구성하는 경우도 있겠습니다만, K8 본체의 Male 커넥터 부분이 좁게 되어 있어서 케이블 및 연장 젠더의 커넥터 성형 상태에 따라 이용을 못하는 경우가 생길 수 있습니다. 일단 저가형 연장 젠더는 대부분 사용이 불가 할 것으로 사료 됩니다.


위의 단점을 제외하면 크게 문제되는 것을 느끼지 못하였습니다.
이전부터 사용해온 팬터그래프 키보드보다는 확실히 타건 시 소리가 크게 들리긴 합니다.","['https://phinf.pstatic.net/checkout/20201009_286/1602227209855NrF0z_JPEG/review-attachment-faceb097-3f35-43b2-b5ba-a4d236891c43.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_120/1602227214510kKX2M_JPEG/review-attachment-fe420e70-08cd-4f92-bcc7-c6f29c14f59e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_259/1602227220431y60RD_JPEG/review-attachment-b54bb38d-c4d4-4ae7-bcd0-fe4c84cfcdaa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_48/1602227226655Hzc4b_JPEG/review-attachment-a2fc744a-f996-4287-8254-117e2afd0f07.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_257/1602227234259gGduK_JPEG/review-attachment-260932a8-2851-4857-85ce-501dbb85163a.jpeg?type=f287']"
5,"빠른 배송과 제품의 성능 디테일한 부분까지 아주 만족스럽습니다.
간단하게 아이폰과 페어링 해서 폴라리스 오피스에서 한글작성하면서 타이핑했는데 아주 편하고 신속하게 연결되고 끊김이 없이 입력되더군요!
백라이트기능은 무선밧데리를 생각해볼때 작동을 많이 안할것 같지만 야간작업시에 왠지 운치있을듯 하고 지금 필코적축과 타사 청축을 쓰고 있는데 소음때문에 갈축을 구입했습니다. 갠적으로 이정도 소리면 무난할것 같고 속기용으로 잘 활용해보아야 겠습니다. 정품등록은 바로 큐알코드로 해버렸네요. 그리고 키캡도 변경해주었습니다.
다른 사이트 갈축이 품절이라 이곳저곳 찾으러 다녔는데 왠지 가격은조금 아쉽군요! ㅎㅎㅎ;; 그래도 금액만큼 활용해주면 될테고 암튼 좋은제품 앞으로도 많이 판매해 주세요.","['https://phinf.pstatic.net/checkout/20201107_80/1604724971486w3qDg_JPEG/review-attachment-dd38450a-be37-4c60-83a8-c7dbf065c729.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201107_113/1604724971603UaOOx_JPEG/review-attachment-a0fcc0fd-5d17-4426-9d41-223830c733f3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201107_120/1604724971566Jtxfd_JPEG/review-attachment-de50030f-076e-4420-ad96-456600c55181.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201107_187/1604724971611QKjCe_JPEG/review-attachment-e0d6feb6-1e07-43cb-b37d-a9a04702010d.jpeg?type=f287']"
5,"담당자분이 많이 놀래셨나봐요.
주문 잘못한거면 어떡하지 걱정하셨나본데 주문 잘못한거 아니니까 너무 각정하지 마라 전해주세요.

체리축으로 스위치 교환하는데 확실히 품질은 체리쪽이 더 압도적인거 같아요.
게이트론은 스위치 제거할때 스위치가 뽑힌다는 느낌보단 억지로 뽑아버리는 느낌이 강하고 스위치에 상처 납니다. 몇개 뽑고나면 플라스틱 부스러기가 날려요.
불량축도 있던데 이건 검수에서 좀 아쉽네요.

통울림이 좀 심해서 배터리 부위 제외하고 3T정도의 스펀지 흡음재 사용하는 것을 추천드립니다. 배터리 부분은 잘라내고 써야지 안그러면 기판 휩니다.

스태빌 간이윤활 되아있던데 취향에 따라 직접 다시 윤활하셔야 할 수도 있습니다.

유무선 가능한 세컨드 키보드로 led장난(...) 키캡장난 할 텐키리스 rgb 갬성 키보드를 찾고 있었는데 딱 나오네요.

잘 쓰겠습니다.","['https://phinf.pstatic.net/checkout/20201009_230/1602211905893YWAOX_JPEG/review-attachment-cfa174a0-62e3-41a9-99de-cdba1bc9e106.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_75/1602211927133gqca1_JPEG/review-attachment-993de5bd-c4e5-4bc0-92ba-e175fd113d49.jpeg?type=f287']"
5,"택배박스가 아닌 비닐 포장지에 와서 깜짝 놀랐지만 안에는 뽁뽁이로 엄청 안전하게 잘 포장되어 있어서 안심하며 열어 보았습니다.
알루미늄으로 주문해서 그런지 묵직했고 생각보다 키보드의 높이가 좀더 높았습니다. 같이 주문한 팜레스트보다도 높아서 키보드와 팜레스트의 높이 차이가 조금 생기다보니 아쉽기는 했지만 키감도 나쁘지 않고 이뻐서 매우 만족하고 있습니다~","['https://phinf.pstatic.net/checkout/20200904_166/1599183439045WbbkO_JPEG/review-attachment-681eca3f-88f4-4315-a51b-6a173c2eddd5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_42/159918345710953wGU_JPEG/review-attachment-1d370a53-fef5-40db-989c-81fca61984ec.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_146/1599183473495bC6VY_JPEG/review-attachment-9a073ac2-7318-49b9-96df-939494e35b93.jpeg?type=f287']"
5,"전에 로지텍 K480을 써오다가 이번에 큰맘 먹고 키크론 k8로 갈아탔는데요. 포장이나 구성품들은 마음에 너무 들었고, 마감이나 품질도 정말 만족스럽습니다. 제일 걱정했던건 통울림이랑 높이가 꽤 높아 팜레스트가 필요한지 걱정이었는데 통울림이 그렇게 심하다는 생각이 들진 않았고, 손이 커서 그런지 팜레스트 없이 오래 타이핑해도 손에 큰 무리 없이 사용가능했습니다. LED모드도 정말 정말 다양하고 지금은 옵티컬 갈축으로 구매했는데 나중에 다른 축이든 교체할 수 도 있어서 마음대로 커스텀하고 싶으신 분들이라면 키크론 k8이 가장 나은 키보드가 아닐까 싶네요. 배터리도 생각보다 오래가고 블루투스 5.0이라 끊김도 없고 디자인도 이 정도면 정말 만족스럽습니다. 다만 펑션기능들이 데스크탑에 최적화되어있고 LED 광량이 그렇게 밝진 않은건 단점인 것 같습니다.",[]
5,"기계식 처음 쓰는 건데 아주 좋네요. 터치가 좀 가볍지만(적축) 느낌은 기존 매직키보드보다 훨씬 좋습니다. 야간에 컴퓨터 많이 하는데 RGB LED가 마음을 덜 외롭게 하는 효과가 있네요.

다만 한가지는, 화상회의시에 키보드소리가 마이크 너머로 더 많이 들어가는 것은 있네요. 내가 듣기에는 더 좋지만 회의시에는 참고하셔야 할듯요.

좌측 스위치들이 조절하기에 완벽한 느낌으류제공하고 있지는 않습니다만 어짜피 편함을 추구하기 위해 구매한 것은 아니니 괜찮습니다.

블루투스 등록만 잘 해 놓으면 전환시에도 퍽 불편없이 넘어갑니다.",['https://phinf.pstatic.net/checkout/20201028_24/1603862926772wR5DY_JPEG/review-attachment-d7c78d7a-79b9-427a-a30c-b250ce05a90a.jpeg?type=f287']
5,"그동안 청축을 써서 너무 시끄러웠는데, 갈축은 눌리는 압도 적당하고 좋네요 특히 맥과 윈도우 동시에 운용이 가능하다는것이랑, 기계식이지만 블루투스로 무선으로 사용이 가능하다는 것이 흡족스럽습니다.

다만, 확실히 키보드가 높아서 손이 작으신 분들은 팜레스트가 필수인것같아요. 손이 커서 한번도 불편했다고 느낀. 적 없지만 확실히 얘는 좀 높다는 느낌을 받고 있습니다",['https://phinf.pstatic.net/checkout/20201105_126/16045859619291WawM_JPEG/review-attachment-e73f1274-57d6-401b-b412-793b9c758702.jpeg?type=f287']
5,"키크론 제품 고민하다가 마침 k8 예약이 진행되고 있어서 구매하게 되었습니다.
맥북 사용자로써 사용하기에는 정말 좋았고, 알루미늄의 마감 또한 괜찮았습니다. 적축은 처음 사용해봐서 그런지 청축과 다른 소프트한 느낌이 신기해하면서 사용중입니다ㅎㅎㅎ 짤깍거리는 느낌이 없어서 속시원한(?)게 없지만 조용한 타건감을 원해서 적축을 선택하길 잘한 것 같네요ㅎㅎ (나중에 무접점도 개발하신다면 구매할 의사 있습니다ㅎㅎ)스테빌라이져도 잘 잡혔는데 쉬프트키가 약간 뻑뻑한 느낌이 좀 있네요. 먼지 끼임이 걱정되어서 사용후에는 뚜껑을 닫아놓는데 높이도 딱 알맞아서 좋네요ㅎㅎ 높이가 꽤 있어서 전용이든 아니든 꼭 필요한 제품이라고 생각합니다. 맥북의 스페이스그레이랑 잘어울려서 디자인적으로도 만족입니다. 앞으로도 키보드 개발 기대됩니다 :)",[]
5,"기계식 키보드 큰 맘 먹고 비싼 돈들여 구매했는데, 정말 맘에 듭니다. 키크론 K8 새로 나왔다고 해서 구매했는데, 윈도우 노트북과 맥OS 아이패드겸용으로 같이 쓸 수 있어서 너무 맘에 들어요. 진짜 평생 키보드로 남을 수 있을 것 같습니다.","['https://phinf.pstatic.net/checkout/20201012_123/1602431560857sziye_JPEG/review-attachment-9f55fdf5-826c-4ab1-b295-13c902c8d32f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201012_130/16024315610966c17q_JPEG/review-attachment-b8a55f9a-ae9e-44d1-b568-9fa62c9551f6.jpeg?type=f287']"
5,"배송도 빠르게왔고,
RGB 도 많이 밝지않고 은은하니 좋습니다.
갈축 키감도 상당히 좋고 소음도 크지않아
만족감이 높습니다.

맥과 PC를 같이 쓰는데 앙쪽 블루투스를 번갈아가며 잡을 수 있어 키보드는 한대로 사용할 수 있는 장점이 있네요! .

참. 팜레스트는 필수입니다.",['https://phinf.pstatic.net/checkout/20200905_32/1599282049611W31fm_JPEG/review-attachment-1aff8381-759d-4a43-acaf-e37668ac0223.jpeg?type=f287']
