star_point,comment,photo
5,"배송 패키징 꼼꼼 하구요 !
키보드 무게감 좋고 클릭감 좋고
심지어 높이조절 다리에 고무캡으로 쉽게 밀리지
않는것도 좋고 LED라이팅도 좋고!!!
다만 아쉽다면 상판마감이 조금 싼티(?)가
나보인다는거!?
로지텍 G102 마우스랑 쓰니 색감이 자연스레
어우러져서 더 이쁩니다
그리고 넘버락이나 캡스락 불이 안들어오길래
원래 이런가 싶어서 유심히 들여다 보니 홈키 위로
숨어있었네요 !!!

추가로 사은품으로 주신 장패드 두툼하며 재질이
아주 매끈매끈 해요!!

키보드 마우스는 한번 사면 최소 1년 이상을 쓰기에
고민이 많았는데 적당한 가격에
좋은제품 산거 같아 기분이 너무 좋네요😀😃😄","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_27_0/c6758658-183b-11eb-a2e1-505dac8c37f3_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_8/16037927599289fwSp_JPEG/review-attachment-09d22c05-ecb1-4fa1-8a0c-e3ce8d388202.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_66/1603792766806TzMYX_JPEG/review-attachment-bc61446d-0b15-4305-bb53-c42aa176c895.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_240/1603793042313RFcOu_JPEG/review-attachment-51521720-6c98-4ec5-993d-4b165f967918.jpeg?type=f287']"
5,키보드에 있는 여러가지 기능들은 다 있고 측면 led가 여러가지 색상으로 변하니 밤에 엄청이쁘네요 무게도 묵직해서 통울림이나 키보드가 밀리거나 하는게 없고 키감은 청축보다는 살작 부드러워서 소음도 많이 없고 좋습니다.여름이벤트 장패드도 깔마춤한거처럼 잘어울리네요 추천,"['https://shopping-phinf.pstatic.net/20200816_13/4982b97d-4925-414b-afd0-84bdbf08cd40.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200816_11/b225cd4b-04d4-4ae5-b6d1-fe6212410d1b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200816_21/c68d11cd-4a34-4627-a48d-f3d0edc0d8db.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200816_5/0d95fba3-1fb9-4ebc-a7fe-3ec24105a52c.jpg?type=f287']"
5,"전에 기계식 키보드 쓰다가 다시 일반 싸구려 키보드 썼었거든요. 사실 키보드라는 게 쓰다보면 적응돼서 다 거기서 거기라.. 그런데 요새 광축 키보드라고 또 새로운 게 나왔더군요? 그래서 궁금해서 구입해 봤는데.. 구입전에 유튜브 등을 검색해보니 광축이 기계식 비슷하다고 하긴 하더군요. 그래도 접점이 없어서 기계식보다 수명이 더 길다고 하기도 하고.. 아무튼 호기심에 이래저래 검색해 봤는데.. 비싼 건 또 엄청 비싸더군요. 수십만원 ㄷㄷ 그런데 녹스 키보드는 가격도 저렴하고 불량률 얘기도 별로 없고.. 아무튼 구입해 봤는데, 와.. 가격도 저렴한데 키감이나 LED 효과 등이 정말 좋더군요. 가격대 성능비가 상당한 것 같습니다. 그리고 일반 키보드에 비해 약한 힘으로도 입력이 되기 때문에 타이핑 속도가 상당히 올라갔네요. 전보다 엄청 빨리 칩니다 ㅎㅎ 키감은 청축에서 소리 왕창 낮추고, 키압 왕창 낮춘 느낌? 약한 청축 소리나는 적축 느낌이라고 하면 될까요 ㅎㅎ 갈축보다 키압이 더 낮습니다. 굳이 단점을 꼽자면, 한글이나 영문 글자체가 별로 안이쁘네요; 이쁜 폰트도 많은데 굳이 이런 걸.. 게다가 몇몇 숫자나 특수 문자 같은 게 이상하게 적혀 있습니다; 글자모양을 살짝 비틀었다고 해야 하나.. 좀 알아보기 어렵네요. 물론 키보드 늘상 치는 분들이야 어차피 자판 배열 다 외우니까 상관 없지만, 처음 키보드 배우는 분들은 좀 헷갈리지도.. 그리고 LED 효과는 숨쉬기 모드로 했는데, 키보드 테두리 LED는 밝은데 키보드 키 자체의 LED는 좀 어둡네요. 불 다 끄고 보면 밝지만, 일반적인 형광등 아래에서는 잘 안보이네요. 좀 더 밝게 했으면 좋았을텐데.. 몇몇 단점은 있지만, 전반적으로 . 상품평이 거의 없는 거 봐서 녹스라는 브랜드 자체를 사람들이 잘 몰라서 구입 안하는 것 같은데 (물론 저도 몰랐지만) 막상 써보면 상당히 좋습니다. 추천드려요.",['https://shopping-phinf.pstatic.net/20200901_14/b012648d-f570-451b-869b-9fac718f7fba.jpg?type=f287']
5,"계속 고민하다가 이번에 구입했는데, 터치감이 너무 좋네요. 쉽게 눌러지고 부드러운 타자감에 빠른 반응 속도까지 진작 안산게 후회되네요 특히, 화려한 LED 도 참 맘에 드네요. 비싼만큼 값어치한다고 교체용 여분 스위치 등도 같이 주시네요^^ 완전 만족스럽습니다.",['https://shopping-phinf.pstatic.net/20200816_23/faff5e63-80e6-474a-be8e-b531415d8b7b.jpg?type=f287']
5,몇주간 써봤는데 LED 설정이 다양하고 구체적이여서 예쁘고 너무 좋아요!!! 게임할때 키눌리는 느낌도 좋고 타자 속도도 빨라진 기분이예요. 완전 만족스러워요~~ 제가 게임을 과격하게 즐기는 키보드 워리어라 항상 고장날까 걱정하면서 쓰는데 구성에 여분 키부품도 있어서 조금 안심이네요.,[]
5,"생각보다 묵직해서 FPS게임이든 조작시 흔들림없이 바닥에 붙어있습니다.
타감은 적축이나 갈축의 느낌과 유사하여 힘이 많이 들지 않아 기존의 청축 등에서 불편감 느낀분들은 사용하기 좋을듯합니다.
방수 기능으로 음료수 마시면서 작업하기도 편하고, 또 LED 기능도 패턴과 강도가 다 조절이 되어서, 개인맞춤형으로 설정하기도 좋습니다.
제 경우는 키캡을 교체하였는데, 가격대비 너무 만족스럽습니다",[]
5,가격대비 사용감이 우수한 키보드로 유명해서 또 기계식 키보드를 사버렸네요. PC방에서 사용해보고 그 사용감에 반했거든요. 도금처리나 케이블 선이 촘촘하여 튼튼하고 장시간 사용시에도 편하고 가볍게 눌려지는 기분에 잘 사용 중이에여.,[]
5,"옆에 테두리 무지개색깔 들어오는게 유니크해서 사봤는데, 꽤 만족스럽네요! ㅎㅎ 기계식 갈축쓰다가 광축으로 넘어왔는데, 소음은 좀 많이 있는편이고 키감은 청축보다 가볍네요~ 마크도 이쁘고, 먼지 앉지않게 케이스도 주셔서 너무 좋습니다.번창하세요!",[]
5,엄훠나... 너무 휘양찬란해...ㅠㅠㅠ 관종인 나한테 딱이예요ㅠㅠㅠ 회사에서 사람들이 나만 보는 것 같아...끼아아앟 너무 됴아？？ 소리도 타닥타닥 너무 좋아요. 사람들이 다 돌아가면서 멋지다고 허시는데 넹 저도 그렇게 생각해요ㅋㅋㅋㅋ 아 월요일이였는데 일 할 맛 나넼ㅋㅋㅋ 지굼 넘나 행복해여♡♡,[]
5,"가성비 녹스.. 헤드셋만 써봤었는데 키보드도 역시나 가성비네요
추천합니다.","['https://phinf.pstatic.net/checkout/20200704_255/1593830710120hvwMK_JPEG/review-attachment-83617af4-052e-4339-b2ae-1a40effb84bd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200704_248/1593830710766i7QxY_JPEG/review-attachment-a849bf7f-8703-4c33-9602-a98daf8a5604.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200704_142/1593830710385VStwW_JPEG/review-attachment-4c1c2763-8fa4-4519-93c9-c7d6a1905d03.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200704_196/1593830710561fjGbt_JPEG/review-attachment-528a292a-1baa-4eb9-8ceb-02d958ba7608.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200704_60/1593830710953jkRzc_JPEG/review-attachment-9ea662ce-9eb6-4157-bd96-03dd28f2b809.jpeg?type=f287']"
5,"터치감 대만족.. 노트북만 10년썼는데
적응기는 필요하지만 너무좋음. 방수까지 있으니 편하게 음료 흘려도 될듯 ㅋㅋㅋ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_16_0/4a329668-f78d-11ea-b4e6-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_114/16001997618554mVNl_JPEG/review-attachment-a0fac65e-3ad6-4fd5-9aab-34054db5e658.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_24/1600199774006FHXDs_JPEG/review-attachment-6983995b-e218-4fed-87b7-afb36dac3fe5.jpeg?type=f287']"
5,일단 디자인이 너무 마음에 들어요 조명 들어오는 것도 예쁘고 타자 칠 때 소리가 거슬리지 않아서 사용하기 좋습니다. 입력도 버퍼링 없어요!,"['https://phinf.pstatic.net/checkout/20200825_274/1598320148129mMiVG_JPEG/review-attachment-45e7a331-7702-4455-966d-6fa9df6375e6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_73/15983201486354OoAv_JPEG/review-attachment-7d1cdb89-ea71-4fdc-9065-d17299b9927d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_268/15983201493278lpqn_JPEG/review-attachment-44ebf028-7df3-4913-8b52-4f6df353ff32.jpeg?type=f287']"
