star_point,comment,photo
5,"몇일 사용해 본 결과~ 추천해 볼만한 블루투스 무선 키보드 입니다.

책상위에서만 사용하는 키보드라면, 무선이나 유선이나 크게 상관 없다고 생각해요. 특히나 업무용PC에 장착하는 키보드라면, 정해진 내 자리에서 청소할 때말고 움직일 일이 없으니~

근데.. 딴짓하기 아주 좋습니다.
거치대도 있어서 스마트폰 끼워 놓고~
PC화면 보면서 업무하는 척하면서 스마트폰으로 톡하고 있거나~
개인적인 블로그를 한다던지~ 몰래 놀기 딱 좋아요!!

단축키로 페어링이 빠르게 되서 변환되는 딜레이를 못느끼거든요~
누가 오면 폰으로 딴짓하다가도 단축키 눌러 PC에 타자치면 됩니다.
ㅋㅋ 좋은 기능이네요 훗.

저는 집에서 사용하고 있는데 아이랑 거실에 앉아서 주로 리뷰할 때 사용합니다.
요즘 코로나 때문에 아이가 외부 활동을 안하고 있어서, 계속 붙어 있거든요.
아이 혼자 두고 PC 하고 있을 수도 없고 해서~
아이 옆에서 스마트폰이나 태블릿으로 저는 저대로~ 할거 하면서
아이 놀이하는거 같이 봐주고 해요~

뭐~ 단답형 문자는 폰으로 쓰는게 더 빠르겠지만~
누구랑 대화를 한다던지~
블로그로 일기를 쓴다던지 할 때는~ 확실히 키보드가 빠르잖아요~!!
게다가 키보드로 하면 양손이 자유로워서 스마트폰을 손에 쥐고 있을 때 손의 뻐근함이 생길일이 없죠~

여러모로 활용도가 크다고 생각해요.
또~ 상품 내용에도 설명되어 있다시피~
OS가 달라도 페어링하고 OS설정해 두면~
단축키(뒤로가기, 볼륨 등)를 각각의 OS에 따라 알아서 적용해주니
단축키 외우면 사용하기 편해요~

키감은 노트북같은 키감이라고 보시면 될 것 같아요~

소음은 영상에 청축 키보드랑 비교해 놨어요.
참고로 제가 키보드위에 날아다니는 손이라.
.
청축키보드도 소음 적다고해서 신랑이 사준건데..
(제 PC가 거실에 있는데 거실에서 자는 신랑이 밤마다 시끄럽다고;;ㅋㅋ)

~
저 같이 날아다니는 손가락 아니심 더 조용하리라 봅니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_16_0/f03a3161-afdd-11ea-8ee2-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_82/1592318066996pHYkI_JPEG/20200616_121920.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_114/1592318097536oc3Ne_JPEG/20200616_123405.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_37/1592318106105RkgKr_JPEG/20200616_120148.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_52/1592318112147J5QFe_JPEG/20200616_120106.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_215/1592318118322bLI8G_JPEG/20200616_120036.jpg?type=f287']"
5,지금까지 살면서 유선 키보드만 사용해오다가 최근 무선키보드 아이노트로 바꿧는데 사용감이 정말 만족스러웠습니다. 제일 조았던부분은 키보드에 스마트폰이나 태블릿pc를 거치할수 잇는 공간이 마련되어있어서 넷플릭스로 드라마시청하면서 작업을 한다거나 주식트레이딩을 할때도 참 좋았어요. 특히 주식트레이더다 보니 하루에 6시간 이상을 앉아서 주식방송을 들을때가 많은데 주식방송들으면서 차트도 하나 띄어놓고 매매에 집중할수있으니까 만족스럽게 사용중입니다.,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_10_0/ac594d5b-aafe-11ea-bdd7-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_10_0/8e0fda93-aafe-11ea-94c5-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_10_0/5bc08471-aafe-11ea-9723-a0369ff968b0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_2/15917819923610BREK_JPEG/KakaoTalk_20200610_182900952_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_91/1591781992404kzwNh_JPEG/KakaoTalk_20200610_182900952_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_195/1591781992506YoPp5_JPEG/KakaoTalk_20200610_182900952_06.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_272/1591781992534f8SFb_JPEG/KakaoTalk_20200610_182900952_07.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_271/15917819924384QvHN_JPEG/KakaoTalk_20200610_182900952_05.jpg?type=f287']"
5,"아이노트 K708RB 제품은 디자인도 굉장히 뛰어나며 무게감도 가벼운편에 속하는 블루투스 키보드인 것 같아요 그리고 구성품으로 건전지, 리시브가 들어있으며 별도로 키스킨과 청소솔도 들어있어요 부가적인 청소도구들이 있어서 키보드 관리하기도 수월한 편이라서 만족스러웠어요 3IN1 멀티페어링 기능이 있으며 버튼 한번으로 휴대폰, 컴퓨터, 태블릿으로 전환해 사용이 가능해요 기본적으로 멤브레인 타입으로 되어있다보니깐 키보드를 사용할 때 적응도 빠르게 되며 타건감 또한 나쁘지 않았어요 무선이라서 타자속도가 빨라도 딜레이 없이 작성이 가능하다는 점 또한 큰 장점으로 다가왔어요 쓸수록 만족감이 늘어만가는 K708RB 제품인 것 같아요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_18_0/43a148b9-b173-11ea-8435-a0369ff94ec8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200618_79/1592491904980M6Ng5_JPEG/%B8%D6%C6%BC%C6%E4%BE%EE%B8%B5_%C5%B0%BA%B8%B5%E5_13.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200618_225/1592491881610JVSmA_JPEG/%B8%D6%C6%BC%C6%E4%BE%EE%B8%B5_%C5%B0%BA%B8%B5%E5_10.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200618_222/159249188094076nIa_JPEG/%B8%D6%C6%BC%C6%E4%BE%EE%B8%B5_%C5%B0%BA%B8%B5%E5_7.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200618_267/1592491881735sTO3m_JPEG/%B9%AB%BC%B1_%C5%B0%BA%B8%B5%E5_16.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200618_235/1592491880675Qtdav_JPEG/%B9%AB%BC%B1_%C5%B0%BA%B8%B5%E5_14.JPG?type=f287']"
5,"디자인 깔끔하고 가볍고 키캡 색상이 예뻐서 책상 분위기가 살아납니다. 블루투스 전환도 느릴 줄 알았는데 누르자 마자 거의 바로 인식하는 수준으로 빠르게 되고 전원 버튼이 우측 상단에 위치해서 켜고 끄기도 편하게 되어 있네요.

무엇보다도 스마트폰을 거치할 수 있는 공간이 있는 점이 좋습니다. 카카오톡을 빨리 보내야 할 때가 있거나 장문을 쳐야할 땐 답답했는데 K708RB로 연결해서 채팅을 하니 굉장히 편합니다.

카톡이 안 되는 사무실에서 쓰니까 제일 좋았던 점이었네요. 이렇게 가성비 좋은 제품 앞으로도 많이 나왔으면 합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_18_0/bead11ff-b173-11ea-a86e-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200618_198/15924921120364cywV_PNG/image_%283%29.png?type=f287', 'https://phinf.pstatic.net/checkout/20200618_32/15924921121520PLuD_PNG/image_%285%29.png?type=f287', 'https://phinf.pstatic.net/checkout/20200618_296/1592492112203uIzQ5_PNG/image_%284%29.png?type=f287', 'https://phinf.pstatic.net/checkout/20200618_216/1592492113395kFxEv_PNG/image_%2818%29.png?type=f287', 'https://phinf.pstatic.net/checkout/20200618_217/1592492112212xctTO_PNG/image_%286%29.png?type=f287']"
5,"구석구석 깔끔하고 견고한 마감이 돋보입니다.
흰색 바탕에 파스텔 색상의 파랑과 분홍이 매치된 상큼한 디자인으로 인테리어 소품으로도 좋을것 같고 깔끔하고 유니크한 데스크테리어 아이템으로도 좋을것 같은 키보드네요 :)

뒷면 바닥엔 미끄럼 방지 고무가 있고 배터리를 넣을 수 있는 공간에 리시버도 함께 동봉되어있습니다.
기본으로 건전지가 함께와서 좋네요 ㅎㅎ


왼쪽 상단에는 스마트폰 거치홈이 있어 복잡한 책상을 조금 더 깔끔하게 사용할 수 있는데요.
카페나 집에서 스마트폰만 사용할 때 키보드만 있어도 거치가 가능해서 간편한 사용이 가능하겠네요 ㅎㅎ

실제로 사용해보니 라운드 키캡이 적용된 블록형 배열의 키보드라서 오타가 확실히 적습니다.

또한 기본 구성품으로 실리콘 키스킨이 동봉되어오는데 키스킨을 사용하면 키감이 떨어지기에 개인적으로는 사용하지 않는 편이긴 한데 장시간 보관할 때에는 아주 유용하게 사용될것 같습니다 :)

OS별 모드 기능도 저는 보통 안드로이드와 윈도우를 주로 사용하는데 사용하는 기기마다 편하게 사용할 수 있어서 참 마음에 드는 기능이네요 :)

또한 총 3가지 기기에 동시 연결이 가능해서 번거로운 연결작업 없이 상단의 단축키만 누르면 딜레이 없이 바로 기기간 전환이 가능합니다.
회사에서 몰래 몰래 카톡할 때 정말 좋겠네요 ㅎㅎ

사은품인 키보드 먼지 브러쉬도 정말 유용하게 사용될것 같습니다.


지금까지 쫀쫀한 키감, 3개의 기기에 멀티 페어링 기능, 기기간 빠른 전환속도, 파스텔 디자인으로 가격부터 주는 아이노트 블루투스 키보드였습니다! 가성비 좋은 블루투스 키보드를 찾으시는 분들께 좋은 제품같네요 :)","['https://phinf.pstatic.net/checkout.phinf/20200611_142/1591878985807lOIT4_JPEG/2020-06-11-19-18-07-634.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200611_149/1591878987935smQDF_JPEG/2020-06-11-19-19-10-246.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200611_20/1591879006661BECnx_GIF/2020-06-11-19-14-49-311%281%29.gif?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200611_71/1591878908526gW592_JPEG/Polish_20200611_213420766.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200611_216/1591878985658n475U_JPEG/2020-06-11-19-12-13-397.jpg?type=f287']"
5,"기존에 쓰던 inote 유선키보드(FS-8600K) 5,900원에 비하면 어마어마하게 비싼 무선 키보드네요. ★다른 분들은 좋다는 얘기만 하니까 저는 개인적인 비평을 하겠습니다. ①기존에 사용하던(FS-8600K) 펜타그래프방식이 이번에 구매한(K708RB) 멤브레인보단 조용한것 같아요. ②핸드폰 거치부분도 깊어서 가로 방향으로 꽂으면 하단부가 쏙 들어간 만큼 보이지 않네요. ③젤리케이스를 끼운 상태로 꽂으면 직각 수준으로 빨딱 서있습니다. ④뒷면 각도조절 발이 없습니다. 이상 이것빼곤 다 좋네요..ㅎ","['https://phinf.pstatic.net/checkout/20201029_19/1603955720993teA4i_JPEG/review-attachment-44b19352-d664-4411-9f7e-166647577450.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_55/1603955720959Hlfwl_JPEG/review-attachment-38d4f701-3825-4a64-a441-674818b21407.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_100/1603955720918yEQgu_JPEG/review-attachment-a558bcda-e3e4-4c46-8f3e-a49c3d048e13.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_96/1603955720889yrMF9_JPEG/review-attachment-1197a1c7-2a37-4eca-9f43-08a79e6ee08f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_176/1603955720824EXdaC_JPEG/review-attachment-a497ded3-0cc1-4ef2-b199-7075b032d0ee.jpeg?type=f287']"
5,"야외에서 태블릿이나 휴대폰으로 문서 작성을 할 때 주로 사용하고 있는데 쓰면 쓸수록 키감이 마음에 들고 무게면에서도 가벼워 휴대성이 좋다는 걸 또 한번 느끼고 있어요 게다가 제품의 컬러가 질리는 감이 없고 보면 볼수록 매력적이다 라는 생각을 자주 하게 되요

아이노트 K708RB 제품을 사용할 때마다 블루투스를 연결하는데 페어링되는 시간이 무척 빠르다보니깐 급하게 문서를 작성할 일이 생기면 바로 꺼내어 사용하게 되요

차, 카페, 집 어디서든지 사용을 할 수 있어서 정말 편리한 것 같아요 :)","['https://phinf.pstatic.net/checkout/20200720_285/15951779069313pQNo_JPEG/review-attachment-f97fffad-e238-4aa6-8cba-fcf30855eed9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_111/15951779313463GxjK_JPEG/review-attachment-838bc864-2322-452a-aef0-525fa6c22db3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_204/1595177932274lLPJs_JPEG/review-attachment-af59eaeb-2c90-4258-b500-0df1f6e257ab.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_31/159517793230723FBu_JPEG/review-attachment-34b5be50-aa8f-4c88-950d-26f16973ff4c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200720_227/1595177952083F8muR_JPEG/review-attachment-77d2d3de-b591-47ee-8d4f-d7ebebd9f6fc.jpeg?type=f287']"
5,"지금 아이노트 K708RB로 상품평을 작성하고 있습니다.
제가 타자가 빠른편인데도 밀리거나 오타는 발견되지 않고 있습니다. 이 가격에 가장 괜찮은 것 같아요!
아쉬운점은 검-회 라인이나 아니면 조금 더 무난한 색상의 키보드가 출시되면 좋을 것 같다는 생각을 했네요...
그 외의 단점은 하나도 없습니다. 멀티페어링도 완벽합니다!

.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_24_0/2a151fd8-b614-11ea-98d4-246e963a49a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200624_260/1593000620543CDJwP_JPEG/CYMERA_20200624_204111.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200624_91/1593000642405EPD10_JPEG/CYMERA_20200624_204644.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200624_93/15930006428100Kais_JPEG/CYMERA_20200624_204209.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200624_175/1593000643424XpIUh_JPEG/CYMERA_20200624_204651.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200624_4/15930006439494zJvS_JPEG/CYMERA_20200624_210403.jpg?type=f287']"
5,"키감도 좋고 크기도 크고 딱 책상에 놓고 쑤긱 좋아요. 무엇보다 멀티페아링 잔환이 정말 잘 되더라구요! 건전지도 넣어주세는 센스가 참 좋았습니다ㅎㅎ 제 흐기 보고 도움이 되셨으면 합니다!

참고로 휴대용으로는 좀 크고 무거운 것 같습니다. 전 원래 휴대 생각이 없었기 때문에 너무 마름에 들어요ㅎㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_31_0/2cf39f54-1b27-11eb-8645-a0369ff95ec0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_149/1604114049415lm3xq_JPEG/review-attachment-746241c3-b55e-448c-a867-69b2aafbd660.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_255/16041140496556nXTy_JPEG/review-attachment-cf023e34-c710-4e41-b6d8-d301387b644a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_171/1604114049912dgyow_JPEG/review-attachment-db5258df-5866-4596-87af-d90cc00f86bb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201031_238/1604114049857WFLbH_JPEG/review-attachment-f9ea242d-ad76-4bea-9808-fb6f933ae675.jpeg?type=f287']"
5,"색, 디자인 너무 이뻐요! 평소 블루컬러 키보드 원했는데 깔끔하고 이런 식(?)의 키보드는 잘 못봤거든요! 마음에 들어서 구입했습니다~

키감이 좋아서 계속 치고싶어져요
블루투스, 무선 키보드는 로지텍이라고만 들어서 살짝 고민했지만 그럴 고민이 무색하네요ㅎㅎ
USB로도 블루투스로도 연결 잘 됩니다 :)

단점이라면 사기 전 부터 인지 하고 있던 스페이스바가 긴건데, 쓰다보면 익숙해 지겠죠!

유용하게 잘 쓰겠습니다!","['https://phinf.pstatic.net/checkout/20200916_120/1600254324645RuWOA_JPEG/review-attachment-f1ec2849-e08c-4d06-9bb3-4978ae6eaa93.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_57/1600254336006Xx9V1_JPEG/review-attachment-c088b249-b54b-47fd-9931-7996f87ed0c8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_197/1600254344588uQzuG_JPEG/review-attachment-556c8b33-3395-4e7b-ab38-9e83eaf34810.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_62/1600254357144WheJn_JPEG/review-attachment-afea9bbc-0806-48b4-a8f4-cae91c27e676.jpeg?type=f287']"
