star_point,comment,photo
4,"블루투스키보드를 알게되면서 편리함에 반했습니다. 지금 리뷰도 아이노트 x-folding로 쓰고 있는데요.. 쓰면서 약간 불편한 점은
-엔터키가 약간 작고
-ㅠ 자가 오른손으로 치는데 힌지 왼편에 있어서 좀 적응해야 할 듯 하고
-ㅛ자 키가 좀 작습니다.
-스페이스바가 힌지 때문에 두개로 나뉘어 있는데 힌지를 칠때가 있습니다.
-무엇보다 지금까지도 제일 좀 아쉬운 것은 힌지 사이가 너무 벌어진게 보여서 디자인이 좀 아쉽다고 해야하나?
그래도 이런 모든 단점들은 접이식으로 부피와 무게를 줄이기 위한 것이므로 기쁜마음으로 적응하려고 합니다.
가격도 적당하고, 접으면 크기도 지갑만큼 작고, 너~무 가벼워서 만족하고 잘 쓰려고 합니다.",['https://phinf.pstatic.net/checkout/20201003_214/1601694567651YN86o_JPEG/review-attachment-e1372e83-a481-4929-98a4-1bf67f59dfe6.jpeg?type=f287']
5,"주문 하루만에 받았습니다.
이 제품으로 리뷰 작성했습니다.
(※첨부한 동영상에 타자소리와 입력속도 있습니다.)

1. 일단 초기 사용 시 완충해야합니다.
'connect'버튼을 몇 초정도 누르라는 얘기는 없어서
대충 누른후 안 되길래 당황했습니다.
2. 설명서에도 있는데 소형배터리를 쓰는 블루투스 제품이라
5v~9v를 지원하는 충전기는 사용하지 말라고 하네요.
안 읽었으면 몰랐을 뻔했습니다.
3. 'ㅠ' 자판을 많이 쓰지 않은편이라 다행이긴 하지만
왼쪽에 있는게 확실히 불편합니다.
'ㅛ'자판이 많이 작아 가끔 놓치지만역시 사용빈도가 아주
높은 글자는 아니어서 크게 문제는 되지 않습니다.
4. . 빠르네요.
5. 휴대용인데 자판 소음이 크게 나는 걸 좋아하지 않아서
소음이 확연히 난다는 다른 제품을 제끼고 샀는데
그냥 생각했던 정도입니다. 이게 최선이겠죠.. 욕심같아선 키스킨 끼우면 거의 안 날텐데 싶습니다....
(. 독서실까지는 아니어도 카페에서 신나게 쳐도 눈치 안보일 정도입니다.)
.
7. 자판 미끄러움도 타제품 리뷰에서 종종 보였는데
안 미끄럽습니다.
본체또한 안 미끄러지네요.
8. 적당한 크기에 적당한 무게에 적당한 사용감에 적당한 가격입니다. .","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_01_09_0/76ddb7c7-32db-11ea-95c6-505dacfbaa5c_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_01_09_0/863db994-32db-11ea-8ec2-505dac8c385b_03.jpg?type=f287']"
5,"본제품은 접이식 키보드로서 휴대성이 좋고 아래의 장점이 있습니다. 현재 저는 아이폰8, 아이패드 미니 5세대, 아이패드 프로 12.9와 같이 사용하고 있습니다.

1. 3개의 디바이스에 멀티 페이링 기능을 지원하기 때문에 디바이스간 오가면서 사용하기 좋습니다. 기기간 이동도 빠르고 접속도 빠르게 됨
2. 다른 접이식 키보드와 다르게 풀사이즈 키보드와 같은 크기, 같은 키 사이즈를 제공하기 때문에 타이핑시 오타가 적고 키감이 좋음.
3. 뛰어난 휴대성, 접으면 한 손으로 잡는데 무리가 없고 아이폰, 아이패드 등과 같이 가지고 다녀서 필요시 사용하면 됨. 아이패드의 키보드 케이스나 다른 접이식이 아닌 무선 키보드 등은 휴대하기 불편하나 본 제품은 접을 경우 외투 주머니에 쏙 들어가기 때문에 언제든 가지고 다닐 수 있어 좋았음.
4. 꽤 오래 가는 배터리 성능도 마지막 장점으로 선택 될 수 있겠음.

물론, 단점이 없는 것은 아니나 (펼쳤을시 키보드 사이즈는 풀사이즈와 거의 동일하나, 두께가 상당히 얇아서 바닥에 거의 붙어서 타이핑을 해야하는데 이는 태생적 한계이며 적응하면 키감도 익숙해지고 오타도 거의 발생하지 않음) 가격대비 훌륭한 성능을 가지고 있다고 판단되어서 강력 추천할 수 있는 제품이다.",['https://phinf.pstatic.net/checkout.phinf/20200302_30/1583127363039aL7K7_JPEG/A38A28D3-52E3-442B-8BBA-A502659E8F3D.jpeg?type=f287']
4,"재질도 괜찮고 가볍고 좋아요! 다만 ㅜ 키를 비롯한 일부 키가 눌러도 인식이 가끔 안되는 문제가 있어요. 키의 중앙이 정확하게 눌러져야 인식이 됩니다. 인식률만 개선되면 더좋을듯 합니다. 그리고 접었을때 자력은 쪼오금 약한듯 해요. 큰문제는 아니지만 자석이 조금더 강하다면 가방에서 열릴걱정은 없을듯
그외에는 아이패드나 갤럭시s8 모두 호환 잘되고 fn 기능키나 커맨드 키를 이용한 명령들도 잘됩니다. 키보드 본연의 용도까지만 바랬는데 추가기능들도 잘 작동해서 매우 만족합니다
무게는 갤럭시 s8이 더 무겁게 느껴졌는데 스펙상으로는 키보드가 더 무겁네요. 이정도면 매우 가볍게 느껴지고","['https://phinf.pstatic.net/checkout/20200118_158/1579278786010NJ1Tz_JPEG/20200116_003242.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200118_178/1579278830375XLw0Y_JPEG/20200116_003103.jpg?type=f287']"
4,"배송 빠르고 포장도 든든하고 제품마감도 좋습니다.
처음에 블투 설정할 때 연결버튼을 계속 누르고 있어야 하네요. Fn키+A 동시에 누르고 연결버튼 눌러도 연결이 안되서 처음엔 고장인줄~ㅠ
자판이 나뉘어 있다보니 일반 키보드와 좀 달라서 아직까지는 오타 작렬이네요. 곧 익숙해지겠죠?","['https://phinf.pstatic.net/checkout/20200421_34/1587434887339qv9QD_JPEG/20200418_225416.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200421_29/1587434897463FlHiR_JPEG/20200418_225624.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200421_259/1587434906650c5k4v_JPEG/20200418_225656.jpg?type=f287']"
4,"컴팩트하고 아이패드랑 같이 가지고 다니기 전혀 무리가 없는 사이즈라서 너무 맘에 들었습니다! 키도 제 기준 작지 않고 연결도 잘되고 좋았는데요, 다만 키를 좀 꾹꾹 눌러야 잘 입력되더라고요 대충 누르면 입력이 잘 안되는 문제가 있지만 가격도 괜찮고 너무 맘에 들고 잘 샀다는 생각이 드네요ㅎㅎ 추천합니다!!",['https://phinf.pstatic.net/checkout/20200923_105/1600842287740EP67P_JPEG/review-attachment-60f1d387-72f9-48c9-be62-ade9e002e7e0.jpeg?type=f287']
5,"불투 키보드만 해도 엘지 육각 롤형 키보다와 원바디 키보드와 이번 접히형 키보드 세 개를 사용하고 있는데 이번에 산 접이형 키보드 제가 보기에 아주 물건입니다. 평소 노트배드와 엘지 키보드를 들고 다니며 사용하고 있었는데 엘지 키보드가 다 좋은데 길이가 있다보니 제 손가방에 억지로 겨우 들어가서 이걸 어떻게 해야 하다가 접이형에 눈을 돌리게 되었는데 제 손가방에 쏙 들어가고 부피도 작아 표시도 나지 않고 질감이 아주 부드럽고 좋습니다. 그리고 키보드 터치감도 아주 좋고 키보드 하나 하나가 시원시원하게 커서 이 또한 마음에 듭니다. 그러나 가운데 접고 펴는 힌지 때문에 어쩔수 없겠지만 간격이 떨어져 있어 평소 키도드 치듯이 인접해 있는 키, 예를 들면 왼쪽 폴더 에 있는 T(ㅅ) G(ㅎ) B(ㅠ)와 오른쪽 폴더에 있는 Y(ㅛ ) H(ㅗ) N(ㅜ) 사이가 다른 키 간격보다 벌어져 있어 이것 때문에 자주 실수를 하게 되네요. 익숙해 지면 되겠지만 항상 사용하는 것이 아니다 보니 사용할 때 마다 실수가 꼭 나옵니다. 가운데 힌지가 있으면서도 간격이 떨어져 있지 않도록 구조가 된다면 획기적 상품이 되지 않을 까 기대해 봅니다. 아주 잘 만들었습니다.","['https://shopping-phinf.pstatic.net/20190628_0/6b2b1817-c41d-4299-8d93-71d1cbe4176f.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_26/8f3a7a63-1c35-449e-a41b-5316740cb7e9.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_2/3f27cf1c-8d5c-45c2-a4e1-3d5629fcfd4e.jpg?type=f287']"
5,"디자인때문에 로지텍을 살까 고민했었는데 이거 산거 후회안합니다!!!! 제일 좋은 점이 작은 크기로 접힌다는 것과 가벼운무게!!!! 예전에 아이패드 키보드 커버 샀다가 무거워서 쳐박템이 됐던 적이 있어서 이번엔 가벼운 것으로 골랐는데 너무 좋네요. 거기다가 키감도 너무 좋고 블루투스 연결도 여러가지 할 수 있어서 너무 좋아요!!! 단점은 다른 분들이 말씀해주신 것처럼 ㅠ, ㅅ 위치랑, 제 손가락 힘이 약한건지 ㅌ이 잘 눌리지 않네요.. 하지만 감수할만한 휴대성이에요~~",[]
4,"실용성을 위해서 접이식이면서 가벼운걸 샀는데 잘 선택한 거 같아요 아쉬운 점은 한영 전환방법이 설명서에 없어서 전화로 물어봤구요 전환법이 좀 불편해요.
(컨트롤 + shift 누르시면 됩니다) 엔터키 좀 작은거랑 그리고 다들 리뷰에 쓰셨지만 ㅠ자가 왼편에있는게 불편합니다. 적응하면 되겠죠? 다른 제품이랑 꼼꼼히 비교해보고 샀는데 완충시간도 적절하고 좋습니다. 뒷면이 단단해서 고급스러워보여요","['https://phinf.pstatic.net/checkout/20191204_7/15754425427488xqsf_JPEG/39572A64-9449-43AA-B307-3AF5D385C6F3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20191204_51/1575442542892NaEzN_JPEG/C8A6896F-3F54-48F3-9ECE-BBF899BAC421.jpeg?type=f287']"
5,"몇 달이나 쓰던 제품인데 아이가 키를 떼버리는 바람에(!!) 재구입했습니다. 접는 방식인데다 겉면이 가죽이라, 갖고 다니기 편하기도 하고 멋스럽고 질감도 좋습니다. 누를 때 키감도 편하고 좋아서 폰으로 일기를 쓰거나 카톡을 보낼 때도 편합니다. 들고 다니면서 쓰다가 제품명을 궁금해 하시던 분들도 많이 있었어요. 저처럼 폰으로 이것저것 적기 좋아하시거나 카톡 편하게 쓰시는 분들께 꽤 유용할 듯합니다. 번창하세요~","['https://phinf.pstatic.net/checkout/20200206_111/1580997353216OJmWj_JPEG/15809973295241845179293264970192.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200206_253/1580997377300JvHh0_JPEG/15809973578553602116707263522395.jpg?type=f287']"
