star_point,comment,photo
5,"유튜브 영상을 통해 알게 되었고 만족도 높다고 하셔서 구매하게 되었어요. 원래는 로지텍 k380 사용하고 있었는데 이 제품이 불량인지 중간에 연결이 끊겨서 열받기도하고
무엇보다 휴대하기가 불편하더라고요. K380이 무거운 키보드는 아니지만 사진에서 보여드린 것처럼 파우치에 넣어서 다니는데 파우치가 공간이 넉넉하지 않다보니 k380 들어가면 너무 뚱뚱해지더라고요. 그래서 무엇보다 작은 키보드가 필요했어요.

퇴근하고 집 오자마자 언박싱해서 사진찍고 만져보고 리뷰올립니다.

장점
1) 가볍고 작고 슬림합니다. 사진처럼 파우치에 쏙 들어가서 앞으로 외출 시에도 키보드 포기 안해도 되겠어요 ㅎㅎ

2) . - 저는 디자인쪽 사람이다보니 제품을 구매하면 제품 자체도 보지만 패키지의 상태나 마감도 보는데 종이의 마감이나 내용물의 상태가 깨끗하고 딱 떨어진다고 해야하나 . 그래서 저렴해보이거나 저렴한 느낌 전혀 없습니다.

3) 가격이 좋습니다. - 가격대가 3만원대인데 이런 휴대용 접이식 키보드는 흔치 않을 것이고 게다가 이 퀄리티는 더욱이 찾기 어려우리라 생각합니다.

4) 기능 - 블루투스 연결 기기를 3개까지 가능한데다가 홈으로, 일시정지, 재생, 볼륨 조절 등 기본적인 컨트롤이 키보드에서 모두 가능합니다.

5) 키보드가 살짝 꺾여있어서 손목이 좀 더 편합니다.

단점

1) ㅠ 키가 왼쪽으로 되어 있는데 이게 적응이 필요합니다. 저는 오른손으로 ㅠ 를 치다보니...

2) 키보드 중앙은 비어 있다보니 처음에 살짝 어색합니다. 금방 적응하실겁니다.

3) 작은 아쉬움이지만.. 화살표 위,아래가 작게 나뉘어져있어 .


전반적으로 너무 만족합니다. 아직 하루도 안됬지만 이정도면 몇 일 쓰다보면 사소한 불편함은 금방 적응하리라 생각합니다.","['https://phinf.pstatic.net/checkout/20201106_241/1604671286928qIjdk_JPEG/review-attachment-9eca8bea-50cf-4579-b2a2-f7cb02f594e8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_163/1604671287194Skcqd_JPEG/review-attachment-7aed841e-b474-4dd9-86ce-4ada9856e6a8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_271/1604671287533VapOp_JPEG/review-attachment-809834d4-bafb-4824-920e-7cfefdee877e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_129/1604671287595Ihgy8_JPEG/review-attachment-11c73001-2881-46a4-a829-754a907ddb95.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_120/1604671287110z5NFL_JPEG/review-attachment-4b6a4032-acf6-4350-a4d0-d86610a57cad.jpeg?type=f287']"
4,"로지텍 K380 쓰다가 갖고다니기에 너무너무너무 무거워서 새로 샀어요 일단 무게는 진짜 가벼워서 좋습니다 아이폰 엑스 제 핸드폰보다 가벼운.. 부분은 짱!
그런데 팔의 각도도 편한데... 제가 워낙 타자를 제 맘대로 배워서 익혀온지라 손 타자 배열이 안맞아서 손목이 꺽이네요.. 작은데 키보드가 작으니 손목이 꺽이는 현상이라서 오래 치긴 힘들것 같애요, (손목 꺽임샷 넣어봤는게 차이가 느껴지실진 잘 모르겠어욤;;)

전 로지텍 k380이랑 마이크로소프트 인체공학 키보드 써봤는데 키감은 나쁘진 않은데 저같은 손목이 약한 분들은 조금 무겁고 아프게 느낄수 있을 정도로 조금(?) 무거운 편...그게 좀 아쉽네요 ㅜㅜ 그래서 별 하나 뺏어요

아이폰도 세로로 잘 거치 되는데 약간 길이 조절이 어렵지만 큰 불편은 아니네요!

다들 만족하셨는데 저도 그렇습니다!","['https://phinf.pstatic.net/checkout/20201013_111/1602593466362MOWFf_JPEG/review-attachment-5781044e-2650-4b7e-9e68-62c4fa89dad1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_131/1602593466565Dty1b_JPEG/review-attachment-818efb01-7964-4f7a-b6b2-589b66fac168.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_158/1602593557225D4xyi_JPEG/review-attachment-ec7d2ce7-50d7-4b0a-bdfe-f9ec413789cb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_75/1602593557313erIhJ_JPEG/review-attachment-f4be6a93-8460-4b63-9307-4390cbefa536.jpeg?type=f287']"
4,"오 완전 가벼워요. 전에 다른 블루투스 자판 사서 썼는데 너무 무겁고 휴대가 안돼서 구매했어요. 그런데 자판에 적응하려면 좀 걸릴 것같아요. 접이식이라 자판 가운데가 모세의 기적처럼 갈라서 있기에 자판위에 손을 얹고 타이핑 칠때 뭔가 어색한건 있어요. 좀 더 쓰면 익숙해 지려나.
아참 페어링 엄청 잘 돼요. 첨에 그냥 펼치면 페어링 되는 줄 알고 계속 기다리고 휴대폰 껐다 켰는데 설명서 보니 역시 방법이 있더군요. 설명서 잘 읽어야 되겠다며 반성하는 시간을 가졌습니다. 어쨌거나 잇템 저렴하게 구매 한것 같아서 매우 만족 합니다. 이제 스터디 하러 카페갈때 가방에 쏙 넣고 다니면 되겠어요. 자판적응하는데 좀 시간 걸리는 것 빼고 대만족","['https://phinf.pstatic.net/checkout/20200717_149/1594952781068gFN2f_JPEG/review-attachment-bdf3cf0b-2b68-461b-b0c4-a444f7c48e26.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200717_176/1594952780744XoUk7_JPEG/review-attachment-bd2430bf-c4ae-4c88-9f29-fed1399ac95c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200717_120/1594952781092G94LP_JPEG/review-attachment-c66a9615-220a-4377-98b4-4663ff7ba444.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200717_111/1594952780894W1bTe_JPEG/review-attachment-0693713a-0dc4-4ba3-bab5-9bf919e27cf1.jpeg?type=f287']"
4,"1.사용설명서 개쉬움
2.페어링 개쉬움
3.얇아서 가볍고 보관에 매우 용이
4.입력지연시간 안느껴짐
5. 배송빠름
6.
7. 케이스에 폰 세워둘스 있음 아이이어 개좋음
-----------------------------
1. 연속으로 쭉누르면 입력이 안됨
(스페이스바나 delete는 연속됨)

2. ㅠ자 왼쪽에있는건 알고 샀으니 어쩔수없음","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_24_0/ec02e572-15ec-11eb-beee-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_65/1603539278672gHllL_JPEG/review-attachment-bc7a36a5-a4c9-4ebe-b3ca-fbcd2f5ba914.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_262/1603539278668FMKYV_JPEG/review-attachment-3b4d248a-ec39-484d-a0c1-91e5eff74af3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_77/1603539278783RGBYK_JPEG/review-attachment-9f845801-0e56-4a0a-95f7-19f27c2335a6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201024_41/1603539280146iPILa_JPEG/review-attachment-9f1e5c77-5427-467f-a130-3b35a1d40845.jpeg?type=f287']"
5,"한마디로 굿굿굿 입니다 .

인터넷, 유튜브 다 뒤져보고 구매한건데 ,
휴대성이 모든걸 씹어 먹습니다 .
사실 이전에는 아이패드 케이스와 일체형 키보드를 썼었는데 ,
무거웠어요 .
게다가 핸드폰하고는 호환이 안되니까 불편했는데 ,

이 제품은 3대까지 블루투스 연결 지원이 되니까 저처럼 기기를 여러대 가지고 다니는 분들은 신세계를 경험할수 있습니다 .
무엇보다 미니멀리즘이 대세잖아요 , 그걸 놓치지 않으면서도 편안하게 타이핑이 가능하고 ,
생산성을 말도 안되게 올려주니 사실 가성비가 너무 좋다고 생각합니다.

특히 . 저는 아이패드 미니가 겨우 들어갈만한 가방을 가지고 다니는데 전혀 무리없이 들어갑니다
(아이패드 미니와 비교사진은 따로 올릴께요)
게다가 얇아요. 얇은것에 비해서 .
이전에 로지텍에서 쓰던 케이스 키보드보다 (키감은 개인적으로 다 좋아하시는 느낌이 다를거라고 생각합니다 . )

그리고 유튜브에서는 딜리트키 , 백스페이스 키가 펑션키 눌러야 작동되는게 불편하다 이렇게 리뷰된게 있어서 걱정했는데 개선판인건가요 ?
이건 바로 바로 눌러지더라구요 .
그래서 그런불편함은 따로 없었구요 ,,
ㅠ키가 왼쪽에 있는게 조금 적응이 필요하지만
생각보다 금방 적응이 되더라구요 .
또 크기가 작은키보드이지만 키간간격도 충분한 느낌이라 불편하다고 생각이 안들었구요 ,
좌우가 분리되어있어 편하더라구요 .
저는 좌우 분리식 키보드는 처음써보는데 , 좋았어요 . .
만약 이 크기 키보드가 분리식이 아니었다면 팔을 가운데로 오므리고 써야해서 불편했을텐데 ,
딱 쓰기 좋은 각도라고 생각합니다 .

지금 한동안 사용해보고 리뷰하는건데 휴대용 키보드란것 감안하고 사서 그런가 크게 불편하다는게 없네요 ,
오히려 .
아무리 좋은 키보드라도 들고나가기 무거워서 부담되면,
안들고 나가서 못쓰면 결국 빵점이잖아요
언제든 부담 안되게 들고 나갈수있다. 최고의 장점입니다.

아 그리고 케이스 기본제공도 큰 장점이라고 생각합니다.
케이스가 기본 거치대 기능도 하니 이보다 좋을수 없죠 !

구매 고민하고 있으시거나
이글 보고 있으시다면
바로 구매 강추합니다.
(뭐 저는 판매자가 아니니 책임은 못지지만 ㅋㅋㅋ)

지르세요 !!","['https://phinf.pstatic.net/checkout/20200704_67/1593829787560CnDzK_JPEG/review-attachment-647a5456-7d51-490a-b5fe-c6f554aba9a6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200704_117/1593829814522WfH3M_JPEG/review-attachment-29818fd3-dca0-4e75-88fd-a25fe3ef4f66.jpeg?type=f287']"
5,"노트북을 책 받침대에 놓고 사용을 하고있어요!
그래서 타이핑을 많이하는 과제를 할 때마다 손목, 어깨에 무리가 많이 가서 너무 뻐근 하더라구요ㅠㅠ 그리고 블루투스 키보드가 있다는걸 알고 엄청 엄청 고민하고 서치해서 로지텍이랑 아이노트 두 제품 중에 고민하다 아이노트 이 제품으로 구매를 하였습니다!!
<장점>
- 공간 활용
폴드형 키보드이기 때문에 과제하다가 잠시 사용하지 않을때 딱! 접어서 옆에 보관하고 필요할 다시 사용할 수 있어 정말 정말 너무 좋습니다.
-타자감
타자감이 제가 사용하는 LG gram과 거의 비슷해요. 저는 가벼운듯 묵직한 타닥 하는 키보드 타자감을 좋아해서 그런지 타자감은 나쁘지 않다고 생각합니다.
-케이스 활용
구매하면 같이 오게되는 검정색 투명 케이스가 있어요. 맨 처음 받았을 때는 어떻게 조절하는지 모르고 뺐다가 저렇게 그냥 분리가 되버렸어요,,ㅠㅠ 힘 조절을 잘해야 될것 같아요. 저는 처음에는 쪼금 당황했는데 적응하고 사용법을 터득하게 되어 나름 .

<단점>
-
!
만약 도서관처럼 사용하는 곳이 주로 조용한 분위기라면 조금 힘들것 같아요.
- ESC
Esc만 누르면 작업이 진행되는게 아니라 Fn키를 같이 눌러야 기능이 적용되요ㅠㅠ
- ‘ㅠ’
후기를 많이 찾아보신 분들은 아실꺼에요.
ㅠ 자판이 왼쪽에 있습니다.
저는 구매하기전에 이 부분은 제가 신경쓸 부분은 아니라고 생각했는데,,, 사용해보니 초반에 ㅠ 자판 없어서 당황하고 그랬어요.
그런데 사용하다 보니 정말,,, 진짜 생각보다 빨리 적응했어요ㅋㅋㅋ
그래서 이 부분은 그렇게 크게 생각해야 될 부분은 아니지만 그래도 제가 느낀점을 알려드리고 싶어 작성했습니다:)

결론은 저는 정말 추천합니다!
친구나 지인들이 블루투스 키보드 알아 보고 있다고 하면 자신있게 완전 강추 해줄것 같아요!","['https://phinf.pstatic.net/checkout/20201126_297/1606326798117d8URV_JPEG/review-attachment-eb48ad08-eefd-4218-8f5e-998c1b6fea6b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_258/16063267984136BQDF_JPEG/review-attachment-f7a16fad-eb51-47a4-9f34-2a4d79621a87.jpeg?type=f287']"
5,"태블릿용으로 샀는데 찰떡템이예요❤️ 블루투스 키보드 제품이 너무 많아서 고르기 어려웠어요. 고심 끝에 이 제품을 샀는데, 이 제품을 산 제 자신이 넘 기특.. 흐흐흐 정말 마음에 듭니당!

*쓰면서 느낀 제품의 장점
1. 가볍고 얇아 들고 다니기 편함
2. 키보드 겉면 소재 덕분에 밀리지 않고 (먼지 붙는다는 후기도 있는데 저는 크게 상관없어서 괜찮았어요)
3. 블루투스 페어링 3개까지 가능(진짜 편함)
4. 충전시간(2hr) 짧고 배터리 오래 갑니당
5. 제품 장점 대비 만족스러운 가격대

*일상에서의 변화
내킬때마다 글을 쓰고 있음

*쓰면서 느낀 단점
아직 콩깍지가 씌어서 그냥 다 좋음","['https://phinf.pstatic.net/checkout/20200912_252/1599877973476OSkjx_JPEG/review-attachment-f3b94083-36be-40d8-96cf-8a1af649e5c9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_254/1599878031259fadEE_JPEG/review-attachment-a021b130-cad6-463b-8855-f9ca65769752.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_156/1599878095277Jn2gA_JPEG/review-attachment-229bcfda-a28e-4b9d-bc02-515516768439.jpeg?type=f287']"
5,"아이패드 키보드를 굉장히 오래 고민했어요. 저는 아이패드를 펜슬로 그림그리고, 유투브보고, 필기하는 정도로 사용했기 때문에 키보드의 중요성을 느끼지 못하고있었어요. 그런데 조금 긴 내용을 필기하거나 간단히 문서작업을 해야하는 경우가 생기더라구요. 노트북이 2kg이라 간단한 작업은 아이패드로 하고싶어서 최대한 컴팩트한 키보드를 사고싶어서 여러가지를 알아봤어요! 그중 고른게 요 제품입니다 ㅎㅎ
장점
1. 멀티페어링
2. 아이패드 거치 가능 (거치대가 가벼워서 태블릿을 거치하지 못하는 키보드들도 많아요)
3. 접이식
4. 무게 (가장 좋았던 점)
5. 충전식 ( 키보드는 건전지형도 많더라구요)

단점
1. 아기자기하진 않은 디자인
2. 태블릿 등 고속 충전기로는 충전 불가! 5V짜리 충전기를 사용하라고 써있더라구요. 고속 충전용 어댑터를 사용하시는 분들은 다른걸 사용하시거나 충전시에는 유의하셔야할 듯 합니다.

ㅎㅎ 유용하게 쓸 것 같습니다~","['https://phinf.pstatic.net/checkout/20200812_65/15972170394808MACp_JPEG/review-attachment-232b8218-9dc4-4adf-8feb-6a6902ccfabe.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200812_217/15972170394353aWem_JPEG/review-attachment-a9ab3a37-d4e4-49a8-9cf6-5b55f2705558.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200812_188/15972170394721TMuv_JPEG/review-attachment-d9c706d3-274a-44a6-b0aa-75c8c3186f69.jpeg?type=f287']"
4,"생각보다 편해요! 원래도 블루투스 키보드 사용했는데 이제품이 더 연결이 빠르고 손목이 덜아파요. 접어서 보관하니까 자리차지도 안해서 너무좋구요! 손목이 덜아픈게 젤 만족스러운 부분입니다

단점으로 종료버튼이 fn키와 esc키를 함께 눌러야 하는게 아쉽지만 작은크기를 위해 감수해야죠
또 ㅠ 자가 왼쪽에있어서 ㅍ 와 ㅠ 를 같이써야할때면 손가락이 고장날때가있습니다ㅋㅋㅋ
1열 더 늘려서 esc와 ㅠ자를 편리하게 바꿔주신다면 재구매의사있습미다!","['https://phinf.pstatic.net/checkout/20201022_163/1603335654999yS5gX_JPEG/review-attachment-c38ff65e-a2d1-4327-bb2b-d6b8c03abe68.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_231/16033356555413IVaI_JPEG/review-attachment-1041dfd9-d2a8-4959-a56d-4e78106f6aa2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_244/1603335655846AmoKO_JPEG/review-attachment-4a256e41-277c-4e5a-9078-170b4cbc86c1.jpeg?type=f287']"
5,"업무용 컴퓨터, 아이패드, 집 컴퓨터에 모두 사용할 수 있는 휴대용 자판을 찾다가 사게 되었습니다.

좋은점: 키감 좋구요 자판이 그렇게 작게 느껴지지도 않아서 정말 만족합니다. (리뷰도 이 자판으로 치고 있어요!)
무게도 가볍고 일단 접힌다는 점이 매력적입니다.
페어링도 굉장히 쉽고, 멀티페어링 후 전환도 정말 빠릅니다.
것 전혀 못 느꼈습니다. . 제 타자가 보통 스피드라 그런 걸수도 있겠지만요.
이 정도 가격에 이 정도 기능이라니 가성비 갑입니다.
전에 일자형 키보드만 썼는데 적응하는 데에 딱히 무리도 없구요. 손목에 무리가 덜 가는 듯한 느낌도 듭니다.
또 페어링 및 os 전환 단축키가 매우 직관적이라 좋습니다. 윈도우, 안드로이드, ios 모두에 쓰기 괜찮습니다.

보통인 점: 케이스에 쏙 들어가는 게 느낌이 좋아요. 그런데 아이패드 고정을 해보니
고정력은 우수하지만 고정 홈 단면 때문인지 패드에 미세한 기스가 생긴 거 같습니다.
저는 패드 케이스가 따로 있어서 거치 기능은 사용하지 않으려구요.
핸드폰 거치는 잘 되는데 플라스틱을 넣었다 뺐다 할 때 부러질 듯 살짝 불안한 느낌이 있습니다. 진짜 부러지진 않겠지만.

아쉬운 점: 다른 분들 말씀하셨다시피 'ㅠ'가 왼쪽에 있어 치다가 좀 머뭇거리게 되지만 시간이 지나면 해결될 문제 같습니다.
전 그것보다도 delete키를 사용하려면 ←와 fn키를 함께 눌러야하는 게 어색해서 불편했네요.
그렇지만 휴대용 소형 키보드인데 이건 다른 모델들도 마찬가지겠죠
또 한자 키가 없는데 사용하려면 어떻게 해야하는지? 이건 뭐 큰 부분은 아닙니다.

전체적으로 정말 . 앞으로 꾸준히 잘 사용할 것 같습니다.","['https://phinf.pstatic.net/checkout/20200222_82/15823549142013q2ti_JPEG/%C5%B0%BA%B8%B5%E5_1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_144/15823549146109eNb1_JPEG/%C5%B0%BA%B8%B5%E5_2.jpg?type=f287']"
