star_point,comment,photo
4,"- 택배 오자마자 뜯어서 키보드 연결해서 후기 써요!
- 포장 매우 꼼꼼히 뽁뽁이로 잘 싸여져서 우체국 택배로 잘 받았습니다.
- 비슷한 타사 3폴딩 모델이랑 비교하다가 어쨌든 2폴딩이랑은 다르게 스페이스바 사이가 떨어져 있지 않은점, 컬러랑 소재감, 30g정도 더 가벼움, 겉면에 밀림방지 팁 같은게 붙어있음, 이거에 끌려서 구매했는데
- 생각보다 오른쪽 쉬프트 키가 많이 작고 안쪽에 있어서 쌍자음 쓸때 불편하네요. 다른 리뷰들을 좀더 꼼꼼히 읽을걸....ㅎ.... 그래도 리뷰 쓰는동안 조금 적응되는것 같고요. 백스페이스 키는 크기는 작지만 오히려 위치는 쉬프트키보다 좀더 적응하기 쉬웠습니다.
- 가지고 다니기에 큰 무리 없을것 같고, 전반적으로 만족합니다.",['https://phinf.pstatic.net/checkout/20200915_174/1600178538428JsVxk_JPEG/review-attachment-96c5eefa-0c25-4269-8022-3b46325143a4.jpeg?type=f287']
3,"사실 갤럭시탭 키보드 수준을 생각했는데, 그렇지는 않ㄴ요.
키보드에는 별도의 적응 시간을 가져야 할 것 같습니다. 우측 시프트의 위치가 직관적이지는 않네요. 그리고 펼폇을 때 잡아주는 느낌도 없습니다.
고무 패드가 잇는 제품을 일부러 골랏는데, 펼친 부분을 지탱하는 부분이 패드보다 더 아래로 내려와 잇어서 고정이 되지 않고 키보드가 쉽게 움직입니다.

위의 리뷰는 해당 키보드로 작성되엇습니다. 쌍자음 치기가 어려워요. 그리고 위아래 키의 위치가 애매해서 자꾸 윗줄로 커서가 이동하네요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_28_0/617eaa22-119d-11ea-97f6-28b4484d608c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_19/1574917803357MYKgh_JPEG/20191128_114247.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_67/1574917810902GTiSW_JPEG/20191128_114724.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_131/1574917817382N61cQ_JPEG/20191128_114752.jpg?type=f287']"
4,우선 빠른배송 감사합니다 제품잘받았고 연결도잘되네요. 멀티페어링이되는것과 펼치면 가운데 공백없는 온전한 키보드형태라 적응이 쉽습니다. 반응속도도 딜레이 없이좋구요근데 메탈인줄았는데 약한플라스틱 재질이라 내구성이 몹시 약해보이고 접히는 힌지부분도 좀 촤락~하고 펴지는 느낌은아닙니다. 그냥 좀 가벼운 계산기같은 느낌이랄까요..그리고 한영키는 fn키와 같이 써야하는부분도 불편하네요. 그래도 폇을때 뒤로 넘어가지않아 무릎에도 놓고쓸수있습니다. 이게 큰장점입니다. 대체로 만족합니다.,"['https://phinf.pstatic.net/checkout/20190704_98/1562243506518EA35S_JPEG/IMG_20190704_211030.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190704_154/1562243506472dXTcn_JPEG/IMG_20190704_211023.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190704_255/1562243506611fCrb6_JPEG/IMG_20190704_211008.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190704_34/1562243506626nwhcG_JPEG/IMG_20190704_210339.jpg?type=f287']"
4,"핸드폰크기인데 더 가볍고 펼치면 바로 사용가능해서 좋아요! 그런데 5v에 1.2a이하 충전기 구하는게 힘드네요ㅜㅜ 5v이하는 있는데 대부분 1.2a이상이라 받고 4일 지났지만 아직 충전하지 못했어요.. 고속충전이라지만 요즘은 대부분 다 고속충전기라 그냥 충전기 구하는게 힘듭니다,, 그리고 키 배열과 크기가 아직 적응이 안되서 오타가 좀 나요! 그래도 이건 적응하면 되고 충전기가 문제네요........... 다른건 다 좋은데","['https://phinf.pstatic.net/checkout/20200530_99/159081659607986WpS_JPEG/20200530_142951.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200530_265/1590816604260dlTYM_JPEG/20200530_142933.jpg?type=f287']"
4,진짜 가벼워서 놀랐어요! 휴대용으로는 두말할 것 없이 좋은 것 같아요! 여러가지로 가성비로 좋고요! 다만 남성분들 손 크신 분들은 조금 불편할 수 있을 것 같습니다. 참고하시면 좋을 것 같아요! 그리고 제품포장이 조금 허술해 보인다고 해야하나.. 다 뜯어진 비닐에.. 안정적으로 온것 같지는 않았습니다. 포장이 좀 아쉬웠어요!!,['https://phinf.pstatic.net/checkout/20200910_230/1599703405158r7VF0_JPEG/review-attachment-b0caa27e-f3e8-4452-99fc-86da1f755f46.jpeg?type=f287']
4,"키보드 배열(특히 ""/ ?""랑 q왼쪽 위가 아니라 오른쪽 위에 1이 있다는 거)이 상당히 불편하긴 한데 적응이 되니까 좀 괜찮아요. Delete없는 것도 좀 많이 아쉽고 ㅠ 그래도 그 외에 타건감이나 휴대성이나 기능적인 면에선 모두 좋았습니다.",['https://phinf.pstatic.net/checkout/20200927_103/1601183653492x6H7s_JPEG/review-attachment-2b17cacf-fe6c-4d1c-b4ce-ee1ba88a6dbe.jpeg?type=f287']
2,"펼쳐지고나서 고정을 시켜주는것은 없어 바닥이 평평한곳이아니면 타이핑이 어렵습니다.
대부분 휴대용이 무릅등에 걸치고 쓸일도 많을텐데 최대약점이네요.
멀티페어링은 안드로이드 윈도우 맥 에서 잘되지만
뷰잉(안드로이드tv)에서는 한글전환이 안되서 사용이안됩니다
주문시참고하시고 특히나 펼침고정이안되는건 잘고민하셔야할듯.
저는 자꾸접혀서 키보드사용을 포기했네요",[]
4,혹시나 클까봐 5열 키보드를 찾았는데 예상 했던것 보다 작아서 휴대가 편합니다. 필요하신 분은 6열 키보드도 괜찮을 듯하네요. 광고에 나오는 되로 휴대 편하고 페어링 잘 되는데 멀티로 쓸때 전환에는 2초 정도 지연이 되지만 그다지 불편은 모르겠고 단점이라면 너무 가벼워서 기울거나 그런건 없는데 고정이 좀 않 되는 느낌이고 접을 때는 자석이 있어서 닫히는 느낌이 있는데 펼칠 때는 걸리는 것이 없어서 아쉽네요 볼 스프링 같은걸로 걸리는 것이 있으면 더 좋았을것 같습니다. 그리고 타사 제품은 케이스가 알루미늄 이던데 이것은 플라스틱입니다. 대체적으로 만족 스럽습니다.,[]
4,일단 가볍고 중간에 나눠져 있는 부분이 없어서 일단 키보드처럼 편하게 사용할수잇습니다 매우매우 만족하고 하나 아쉬운점은 펼쳤을때 양끝 미끌림방지고무가 제대로 밀착해서 닿질 않아서 좀 움직임이 있어요 그래도 쓰는데 큰 지장은 없습니다 강추해요,['https://phinf.pstatic.net/checkout/20200719_49/1595141583007DC4CU_JPEG/review-attachment-9dd21865-aa9e-4a21-893a-04d025053bfe.jpeg?type=f287']
4,"장점
- 가볍고 휴대하기 굉장히 용이
- 가격 대비 타격감 나쁘지 않다고 생각

단점
- 고무 패킹이 있긴 하나 타이핑 시 밀리는 현상
- FN + A,S,D버튼이 연결한 기기를 변경하는 키여서, command + A, S, D 버튼을 입력하려다가 잘못 누르는 바람에 연결 기기가 변경되는 상황이 빈번히 발생함","['https://phinf.pstatic.net/checkout/20200305_6/1583373811149sv0kc_JPEG/1.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200305_211/1583373816588q7uIx_JPEG/2.JPG?type=f287']"
