star_point,comment,photo
5,X folding blade 블루투스 키보드 후기 아이패드와 같이 사용할 휴대성 좋은 블루투스 키보드를 찾다가 이번에 새로 나온 이 제품을 구입하게 되었어요. 신상이다보니 후기가 없어서 고민하다 주문했는데 받아보니 생각보다 훨씬 좋아서 후기 남깁니다. 시중에 나온 어떤 블루투스 키보드보다 얇고 가벼운 것 같아요. 편하게 어디든 들고다닐 수 있겠어요. 접었을 때 6~7mm 정도이고 그 얇다는 아이패드프로 3세대 두께와 비교해봐도 거의 차이가 없네요. 멀티페어링 기능도 편리하고 타자감도 좋습니다. 포장 꼼꼼히 해주시고 사은품도 보내주셔서 감사합니다. 잘쓸게요~~!!,"['https://shopping-phinf.pstatic.net/20190627_26/90167813-a4d4-447f-8e63-f2782a461b2a.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_25/0c187bba-62f2-4543-94c0-4c7c180f72ae.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_26/dc02a712-1c06-4d89-b107-74e4329d8fef.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_17/2f63f7f1-8b8a-4830-bcbd-f37d6860b48b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_17/958f8866-591e-497b-b2f0-b7417a385eb9.jpg?type=f287']"
1,어떻게 자판의 배치가 전혀 엉뚱한 곳에 있을까요?'ㅛ'자는 원래 오른손이 쳐야 하는건데 왼손으로 칠 수 있는 위치에 있어요.이건 말도 안되는 자판 배치예요.그래서 잘 안쓰고 전시용품이 되어 버림. ㅠ쓸려고 노력도 해봤지만 ㅛ 키가 필요할때는 늘 멈춥니다.,['https://shopping-phinf.pstatic.net/20191118_23/31323a48-a093-4361-941b-a0f71bf3ce93.jpg?type=f287']
3,키보드 칸 크기가 불규칙적이고 왼쪽 오른쪽 칸 사이가 조금 멀어요. 예를 들면 ㅛ자를 쓸때 보통 오른손가락으로 누르게 되는데 왼쪽 칸에 있다보니 오타율이 조금 많아요...아이디어 메모용으로 휴대성 하나로만 생각하고 산 만큼 가볍고 엄청 얇아서 기본 파우치 안에 쏙 들어가네요. 빠른 배송 감사합니다.,[]
2,"장점. 얇습니다. 이정도 두께 쉽게 볼수 없을 정도 입니다.단점. 키캡 위치 배열이 아쉽습니다. 보통 모음은 오른손으로 입력하는데.. ㅛ,ㅠ가 왼쪽에 배치돼있어 입력이 쉽지 않습니다. 키감도 별로구오. 익숙해지는데 시간이 좀 걸리거나 다른제품을 구매할 것 같네요ㅠ",['https://phinf.pstatic.net/checkout/20190626_102/1561549361463z41JI_JPEG/image.jpg?type=f287']
4,"작고 휴대성은 뛰어난데 키보드의 감이나 키의 크기가 우리가 쓰던것과 달라서 어색합니다
그리고 키보드 자체가 만이 미끄러져요.....
멀티플 페어링 기능은 아주 좋습니다
잘 판단해서 사영하시면 될 것 같습니다",[]
5,키보드 치는 느낌이 별로네요,['https://phinf.pstatic.net/checkout/20200304_105/1583285184530rDfeY_JPEG/20200303_225328.jpg?type=f287']
5,이쁘고 좋네요!!!!,[]
3,"가격, 무게, 두께, 크기 다 만족스러우나, 키감은 대략 난감~~",[]
3,"아직 어색하긴 한데 엄청 가볍고 쓸만해요
근데 얇아서 뿌러질까봐 걱정되기는 해요 ㅋㅋ",[]
5,빠른 배송 맘에 듭니다 제품은 앏고 너무 디자인 이쁩니다 키보드 터치감 조금 아쉽네요~~~~,[]
5,굿,[]
4,처음 사용할줄몰라서 잠깐 헤매거 빼고는 좋습니다 포장도잘되어오고 무게감도 엄청가볍고 터치감도 좋습니다 다만 손이아주 큰사람에게는 조금불편할수도있을거같아요,[]
4,빠른 배송 아름다운 디자인 모두 마음에 듭니다.,[]
5,ㅠㅠ 휴대성은 넘나 좋은데 왜 한영전환은 안되나요?? 저만 안되는건가요 한영키 누르면 스페이스바처럼되네요.... 불량인건지 뭔지,[]
5,누르는 감도는 별로에요..,[]
3,엑스폴딩으로만 7개정도 구입한듯 합니다잘만들어오는데 내구성은 항상 좋은 점수를 못주겠네요이번에는 얼마나 버텨줄까 고민하면서 쓰고 있습니다이번 물건은 케이스가 있으면 좋을텐데 싶습니다,['https://shopping-phinf.pstatic.net/20191208_1/fa860c3f-1194-4c77-b9c7-8161d5e93ec8.jpg?type=f287']
5,배송이 빠르네요 제품 만족합니다,[]
5,배송도 빠르고 물건도 만족합니다..,[]
5,상품좋아요 진짜좋아요,[]
4,가벼움. 슬림함. 컴팩트.,[]
5,배송이 진짜 바로 다음날에 와서 놀랐네요. 고민하다 샀는데 안쓸땐 접어두고 하니 면적도 안차지하고 좋아요. 슬림해서 가지고다니기도 편하네요.,[]
4,너무 잘쓰고 있어요,[]
1,상당히 불편하고 페어링 하나를 하고 지웠는데 다른 것은 페어링이 안됨. 터치감 최악...쓰다보니 불편하고 안좋은 것이 엄청 느껴지네...,[]
5,굉장히 얇아요. 손가락 두꺼운 분은 불편할 수 있어요,[]
5,들고 다니기 부담없어 좋습니다.,[]
4,좋은데 밑이 너무 미끄러워서 사용하는데 조금 불편함,[]
4,접이식 이라 편하고 밧데리 용량도 오래가고 좋아요단 좀 익숙해져야 빠른 자속도가 나올듯..ㅠ,['https://shopping-phinf.pstatic.net/20190709_15/7ea57a43-793d-4342-96e1-0bacc093f50c.jpg?type=f287']
5,간편하고 좋아요~~,[]
4,배송빠르고 인식율 나쁘지않고 다좋은데접엇을때 고정부분이잇엇으면 더 좋앗을꺼같아요그리구 컷팅마감부분에 잡착제같은게 묻아잇는데 좀더 검수에 신경만쓰시면 될꺼같습니다,['https://shopping-phinf.pstatic.net/20190708_4/99a524ab-efd7-456d-99d2-732b242bb907.jpg?type=f287']
4,제가본 키보드 중에서는 가장 짱 작고 얇아요~,['https://phinf.pstatic.net/checkout/20190531_45/1559298931569kIgre_JPEG/image.jpg?type=f287']
3,"휴대성 괜찮고 디자인도 좋은데, 약간의 렉이 있고 오타가 너무많이나서 적응 포기했네요ㅠㅠ 성질급한사람은 힘들듯해요.",[]
5,잘 받았습니ㅏㄷ.,[]
1,"장점 -얇고 가벼워서 휴대하기 좋음단점 - 키감 90퍼 없음, ㅛㅠ가 왽ㅗ기라 누르기 힘듦, 오륹ㅗㄱ 쉬프트키 위치를 얼탱없게 만들어놔서 저렇게 오타가 나옴 빠른 속도로 타이핑 절대 못침 아이고 내돈 ㅠㅠ",['https://phinf.pstatic.net/checkout/20190307_246/1551955182017wS37M_JPEG/15519551643912555051342778756734.jpg?type=f287']
5,"메탈너무이쁘고 멋있고 좋아요
잘받았어요!!!!",[]
5,얇고 가볍고 좋습니다.자판이 양편으로 나누어져 있어 조금 적응이 필요한데불편한 정도는 아닙니다.잘 사용할 수 있으리라 기대합니다,['https://shopping-phinf.pstatic.net/20190627_14/adeb1bc3-7ff2-429f-a3f1-c8f1737c71ad.jpg?type=f287']
5,아주 마음에 드는 상품입니다.,['https://phinf.pstatic.net/checkout/20190313_44/1552459843001wttw9_JPEG/15524598219274979799758578200539.jpg?type=f287']
4,진짜 가볍네여 휴대성 좋아요,[]
5,휴대하기 편하고 핸드폰이랑 연동잘되서 업무용으로 급하게 쓸때 편하네요,[]
5,노트북 가방에 같이넣고 다니기가 좋네요 가볍고 작아서요키보드 감이 좋네요,['https://shopping-phinf.pstatic.net/20190628_6/30453438-4cca-47b2-a6b5-c553d358f4e3.jpg?type=f287']
4,"무난한듯 합니다. 힌지 부분이 생각보다 약해보여서 내구성이 의심이 갑니다만, 조심히 쓰면 문제 없을듯요",[]
5,괜찮다고 하네요....,[]
4,배송이 문제없이 잘 완료 되었습니다.생각보다 빨리 와서 좋았습니다.,[]
4,얇아요 근데 접히는 쪽 키는 오타나기 쉽네요 그래도 가벼운거 찾던거라서 적응하면 되요 뭐,[]
4,배송이 빠르고 물건이 좋내요~,[]
5,아직 사용은 안해봤지만 잘 쓰겠습니다,[]
5,잘 받았습니다 많이 파세요,[]
5,빠른배송 깔끔한 상품,[]
5,얇고 가벼워서 휴대하기 좋아요.,[]
5,배송도 빠르고 제품도 좋네요생각보다 작아서 들고다니기 좋네용,[]
2,정말 얇고 가벼워요 대신 키감은 기대하면 안될듯제께 불량인지 펼때마다 비닐접히는 소리가 납니다그리고 'ㅛ' 자랑 'ㅠ' 자가 오른쪽 편에 있는데 이 점이 생각보다 안익숙하고 불편하네요.,[]
3,디자인 좋고 편리합니다만 키감은 다소 아쉽습니다.,[]
3,휴대성에선 만족하지만너무 바닥에 붙어 있어서 아이패드에 직접 글자 치는거랑 차이를 모르겠음,[]
4,배송 빨랐고 가볍습니다,[]
5,"친구 생일 선물로 사는 거라 늦어질까 걱정했는데, 배송 최고 빠름",[]
4,휴대용으로 사용하기 괜츈,[]
5,빠르고 친절하시네요,[]
