star_point,comment,photo
5,"아이패드 프로 4세대 11인치 이번에 구입해서 사용중이라 가볍고 함께 들고 다닐만한 제품을 찾던중에 선택한 제품입니다.
일단 131g의 아주 가벼운 무게라 지갑보다 가벼워 휴대성은 완전 좋습니다
제품의 두께도 6mm로 슬림하고 접이식이라 손가방 주머니에도 들어갈 크기도 장지갑보다 오히려 작은 컴팩트한 사이즈라 무게, 사이즈, 중량 등 휴대성은 완전 좋습니다

두번째로
멀티 페어링이 되는 장점입니다. 아이폰xs, 아이패드, 안드로이드폰 3개의 기기에 각각 멀티페어링을 해둘 수 있고 윈도우모드, ios, 안드로이드 단축키에 맞는 단축기 세팅까지 블루투스 키보드 한대마 가지고 있으면 안드로이드 테블릿, 윈도우테블릿, 아이패드 등 어떤 제품에도 범용적으로 사용할 수 있습니다.
키보드가 컴팩트한 사이즈라 처음 손을 놓은 위치때문에 버벅였는데 하루 정도 사용하니 금방 손에 익네요

또한 아주 작은 미니 사이즈지만 터치패드까지 있어서 스크롤 등 간단한 터치패드 활용성도 나쁘지 않은 듯 합니다

테블릿 생산성 용도로 사용하실 분들은 아주 유용하게 사용할 수 있을 듯 합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_20_0/0c8d33bb-b305-11ea-98d4-246e963a49a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200620_84/1592664320898BjsmE_JPEG/0Y7A3549.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200620_185/15926642641386caxk_JPEG/%BE%C6%C0%CC%C6%D0%B5%E5_%C7%C1%B7%CE_4%BC%BC%B4%EB_%BA%ED%B7%E7%C5%F5%BD%BA_%C5%B0%BA%B8%B5%E5_%281%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200620_146/1592664272647PbVYI_JPEG/%B8%D6%C6%BC%C6%E4%BE%EE%B8%B5_%BA%ED%B7%E7%C5%F5%BD%BA_%C5%B0%BA%B8%B5%E5_%B5%F0%C0%DA%C0%CE_%287%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200620_59/1592664279272EYTBx_JPEG/%B8%D6%C6%BC%C6%E4%BE%EE%B8%B5_%BA%ED%B7%E7%C5%F5%BD%BA_%C5%B0%BA%B8%B5%E5_%B5%F0%C0%DA%C0%CE_%288%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200620_243/1592664293681OGrEu_JPEG/%BA%ED%B7%E7%C5%F5%BD%BA_%C5%B0%BA%B8%B5%E5_%C1%A2%C0%CC%BD%C4_%C3%E6%C0%FC_%B4%DC%C0%DA%BA%CE_%283%29.JPG?type=f287']"
5,"갤럭시s20 사용하고있는데 s20보다 가로 세로 살짝 더 크고
두께도 얇고 가벼워서 휴대성이 진짜 좋아요!
작지만 모든 기능이 키보드에 다 들어있어서
언제 어디서나 들고 다니면서 원하는 기기에 페어링 할 수 있는 장점도 크고요 :)
아무래도 손에 익히려면 시간은 좀 걸릴 것 같으나 (오타)
사람은 금방 적응 하는 동물이니 이건 큰 문제가 아니라고 생각합니다.
외부인 걸 감안한다면 충분히 만족스러워요♥","['https://phinf.pstatic.net/checkout/20200713_133/1594649625710tkl7s_JPEG/review-attachment-21a9329c-74e5-499f-a4dc-1a50113b1051.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_2/1594649641810VsprS_JPEG/review-attachment-087008c3-a0e6-47dc-8a0c-23b1535dd12a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_190/159464964291297LgH_JPEG/review-attachment-8925aa3e-3855-4a82-a8df-fa1007a195ff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_206/1594649634801LExvC_JPEG/review-attachment-159d863c-79ad-4ed6-8a09-338f7ef6e83a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_96/1594649644573v9QY4_JPEG/review-attachment-04607bce-8035-4c02-9e66-6e3b345ac37f.jpeg?type=f287']"
5,"접이식이라 얇고 가벼워 좋아요!

블루투스 키보드 휴대용으로 가지고 다니기 너무 편해서

실제 사용이 많아지고 있어요.

블루투스 키보드 몇가지 써보지만 오래가고 .

갤럭시 S10 5G 크기정도 밖에 안되는데요.

타건감도 부드럽고 빠른 페어링 속도에 멀티페어링 3대로 가는 곳마다 쓸 수 있네요.



외부에서 답답하게 스마트폰 작은 화면에서 키보드 치는 거와 차원이 달라요~

여러기기 연결이 필요하고 외부에서 문서작업 한다면 추천해요!","['https://phinf.pstatic.net/checkout/20200619_203/1592498240511AJxrV_JPEG/IMG_2767.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200619_293/1592498240643d6iYe_JPEG/IMG_2757.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200619_214/1592498240679Um4oe_JPEG/IMG_2771.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200619_48/1592498240524FqAk6_JPEG/IMG_2720.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200619_188/1592498240584wvEk4_JPEG/IMG_2721.JPG?type=f287']"
5,"나는 새로운 블루투스 멀티페어링 키보드를 샀습니다.
이 키보드는 아이노트의 슬림 터치 키보드 입니다.
크기가 접으면 휴대폰 정도로 크기가 작고 무게는 135g으로
작고 가벼워서 휴대하기 좋습니다.
지금 처음 타자를 치는데 타건감이 나름 괜찮고 소리는
약간 나기는 하는데 시끄러울 정도는 아닙니다.
지금 받아서 바로 태블릿에 블루투스를 연결하고 타자를
쳐보는데 오른쪽 shift키가 조금 작아서 낯선 것과
ㅠ가 왼쪽에 있는 것이 조금 신경쓰이기는 하지만
shift 크기에는 바로 적응해서 오타가 나지 않게 됐고
ㅠ가 왼쪽에 있는 것은 의식하고 치면 괜찮은 정도입니다.
사람은 적응의 동물이니 금방 적응할 수 있을 것 같습이다.
일단 지금 처음 받아본 저의 느낌은 매우 만족스럽습니다.
친구들이 생일 선물로 줬는데 앞으로 잘 쓸 것 같습니다.
특히 이전에 있던 블루투스 키보드와는 달리
3개의 기기에 멀티페어링 할 수 있어서 핸드폰, 갤탭, 노트북
세대 사이에서 왔다갔다 자유롭게 연결하면서 타자를 칠 수 있습니다.","['https://phinf.pstatic.net/checkout/20200922_202/1600769826564UsHXO_JPEG/review-attachment-9973ee1d-109e-43db-b6cf-1a3c7fc434fd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_203/1600769834916uVYkb_JPEG/review-attachment-0f735511-17bb-4cc9-9ec3-1fb7869c1eb0.jpeg?type=f287']"
5,기존에 사용하던게 반응속도도느리고 무거워서 이래저래 찾다가 요걸로 골랐는데 만족하며 쓰고있어요 ㅎㅎ 연결도 쉬운데다가 3대까지 등록가능해서 아이폰 아이패드 다 연결하고 쓰고있답니다. 생각보다 훨씬가벼운데다가 반으로 접어서 깔끔하게 가지고 다닐수 있어서 핸드백에 넣기도좋구요 터치패드도 아이패드 쓸대 엄청유용하게 쓰고있어요 가성비가 상당히 좋네요 엄지척!!!!!!!,"['https://phinf.pstatic.net/checkout/20200712_100/1594526351103JYD7L_JPEG/review-attachment-6036ac12-7a61-40b2-a9b3-d3ffaefa2160.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200712_112/1594526351169H3e2p_JPEG/review-attachment-a9282a5a-0e2f-47ac-9900-78c1b09105a1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200712_155/1594526351277RroT3_JPEG/review-attachment-0fa6801a-6cfd-49a7-be3b-dcc02b230366.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200712_127/1594526351265cF5tN_JPEG/review-attachment-57876f13-9acf-45cf-a579-0ec73e98cb2a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200712_268/1594526351523MRnzw_JPEG/review-attachment-602515b1-2d34-442f-901f-de7e93dd1afb.jpeg?type=f287']"
4,"정말 가볍고 좋습니다. 정말로 무게가 많이 가벼워요 페어링도 좋고 정말 잘 쓸 것 같습니다. 여기가 공식 사이트가 아니라서 좀 쓰기 뭣 하지만 구매하실 분은 참고하시라고 써요!!!
장점. 가벼움, 얇음, 휴대용으로 적합, 진짜 디자인이 최고로 깔끔하고 예뻐요. 그냥 흑백이고 포인트 색도 없어서 정말 최고입니다. 그리고 c타입이라 너무 좋아요... 전선 많은 거 너무 싫은데... 이거 말고 다른 거 사려 했다가 5핀이라....포기했어요.....

단점. 좌측에 탭, 캡, 쉬프트가 너무 큽니다. 아니 캡락 써봤자 얼마나 쓰나요 자리공간만 차지하고 그 세개 줄이고 가장 많이 누르게 되는 모음들 크기 늘리는 편이 더 나을 것 같습니다. ㅂ,ㅈ,ㄷ들 옹기종기 모여서 그 작은데서 뭐하는 지 그냥 그 세개 절반으로 줄이고 모음들 크게 해줬으면 좋겠네요..... 당연히 개선판 나오면 이거 팔고 당근 개선판 살 생각 있고..... 꼭ㅠ 고쳐지면 좋을 것 같네요...돈은....있으니 제발....ㅠㅜ다른 키보드처럼 오른쪽 쉬프트가 익숙해서 더더욱 왼쪽은.... 거슬리고 크기만 크고 별로.....크기 제발 줄면 좋겠네요!!!",['https://phinf.pstatic.net/checkout/20200924_275/16009312196701SdEl_JPEG/review-attachment-f2c3eab8-96e6-4e24-a1a5-4384fffce404.jpeg?type=f287']
5,무척이나 가벼운 무게와 슬림하고 컴팩트한 사이즈가 휴대하기 좋아서 언제 어디서든 편리하게 사용 가능한제품 다양한 기능과 마우스패드가 함께 장착이 되어 있어서 정말 편리한 블루투스 키보드 입니다. 그리고 90분 충전에 35시간을 사용할 수 있어 여행중에서도 사용하기 좋은 휴대용 키보드 입니다.,"['https://phinf.pstatic.net/checkout.phinf/20200713_181/1594580841953OnQ4n_JPEG/review-attachment-7cb7b372-5939-4b6c-a996-aa7a4ed1076a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200713_66/1594580898203gjYM4_JPEG/review-attachment-87e91596-cd9f-4617-9ae8-17660e14a7eb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200713_104/1594580840810ch2E8_JPEG/review-attachment-097b6d87-6fb3-4b6a-b311-7137932925f6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200713_167/1594580841281xAyzK_JPEG/review-attachment-e083a142-b265-4bb9-85dd-0cd8e894a0a1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200713_267/15945808415386ELK8_JPEG/review-attachment-a1028051-c918-4104-b9f9-930194407740.jpeg?type=f287']"
5,"기존에 사용중인 아이패드용 블루투스 키보드가
휴대성이 떨어져서 집에서 말고 잘 안쓰게되더라구요
아이노트 접이식키보드는 주머니에 들어갈 정도록
작고 가벼워서 휴대성 진짜 좋아요

카페나 밖에서 휴대하면서 작업하는
사람들에게 정말 좋은 제품이에요 강추!!","['https://phinf.pstatic.net/checkout/20200714_243/1594680490414QIOHq_GIF/review-attachment-90f81c6d-063f-4279-9441-92a44663752e.gif?type=f287', 'https://phinf.pstatic.net/checkout/20200714_143/1594680514296Y8sPM_JPEG/review-attachment-f2768e97-5296-4c46-b837-5183cc0da75b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200714_262/159468052473987wfn_JPEG/review-attachment-097621a3-2d9c-4fcf-97a9-87562cf1f445.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200714_89/1594680533741EG14i_JPEG/review-attachment-e0734ed7-430e-4fe6-bdb5-f3da1647a5f8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200714_89/1594680554466ClRYQ_JPEG/review-attachment-eb55b702-e5d5-4743-b389-d2e0a20e996f.jpeg?type=f287']"
5,"[무료체험]
접이식이라 크기도 작고 무게도 131g이라 아이패드와 같이 가지고 다니기 정말 좋았습니다. 여기에 블루투스 페어링이 잘 되고 안드로이드의 경우 터치패드까지 사용할 수 있으니 정말 가성비 넘치는 제품이었습니다.","['https://phinf.pstatic.net/checkout/20200727_78/1595798502585PoDpz_JPEG/review-attachment-c6c74030-2540-410e-af16-246b75588dd3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_242/159579850264075aXO_JPEG/review-attachment-1be544ee-d2e2-4eec-918e-75cde908a1f8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_154/1595798502665KPQsV_JPEG/review-attachment-6b7a3f14-8178-4a60-9f77-6cfb12573bc1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_46/1595798502959w0fPA_GIF/review-attachment-64bf4e50-af76-4f70-b714-5bbcf7642366.gif?type=f287', 'https://phinf.pstatic.net/checkout/20200727_138/1595798503056kt43G_JPEG/review-attachment-25fe1dde-2319-4c55-97dc-da3d116703ef.jpeg?type=f287']"
5,"아이패드에 사용할 키보드가 필요했는데 무게도 가볍고 접이식이여서

크기도 주머니에 들어갈 정도로 작습니다.

타건감은 키 반발력이 있어서 누르는 맛이 있어 좋네요.

.","['https://phinf.pstatic.net/checkout/20200615_58/1592210855248QVApR_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC04668.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200615_261/1592210854667yK7Qs_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC04676.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200615_223/1592210854703zEtKL_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC04684.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200615_98/1592210854724aIWku_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC04722.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200615_9/1592210854888a2vjG_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC04703.JPG?type=f287']"
