star_point,comment,photo
4,"가격 대비는 정말 좋고 휴대성도 뛰어나요. 가볍거든요. 약 200그램? 핸드폰 무게에요. 이 가격에 키보드에다가 터치패드까지 있어서 요 제품을 선택했는데요. (사실 폴딩 레이저 터치..가 계속 블투 연결된대서 그걸로 사고 싶었지만 품절이라, 요 제품으로 선택)

접이식이다 보니 책상 위에 놓고 쓰는게 아니면, 살짝 안정적이지 않은 느낌이에요. 휴대용 키보드라는 제품 특성상 생각보다 애매한 환경(침대위/무릎위)에 올리고 써야 할 때가 많아서요. 담에는 휴대성을 좀 포기하고, 접이식 아닌 걸로 구입해볼까 합니다.

그리고 가격 상 어쩔수 없겠지만 키감이 좀 애매합니다ㅠ","['https://phinf.pstatic.net/checkout/20200923_19/1600833362588StObE_JPEG/review-attachment-e1b6a115-d619-4477-a539-8a16ddfe19bf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_252/1600833362633btgi3_JPEG/review-attachment-b7880a79-ac34-4c2f-8260-beab7cb38a2f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_42/1600833362848L5Rrn_JPEG/review-attachment-30e0c08f-6e48-4bfd-9a2d-e9386a88c80d.jpeg?type=f287']"
5,"마우스 포인트까지 같이 제공되어 외출시 따로 마우스 기능를 따로 챙기지 않아도 되는 장품이 있네요.
키감은 크기 대비 꽤 괜찮은 편이고요, 흔히 이야기 하는 키씹힘도 적습니다.
단, 마우스에서 Drage (끌기) 기능은 없는 듯 하고 왼손잡이 이신 분들은 약간 아쉬울 수도 있을 듯 합니다.
포인터의 감은 일반적입니다.


Paring 수준도 높아 자주 On/Off해도 문제없이 잘 연결/해제되며,
.

역시나 다른 분들 평처럼 전자기기임에도 불구하고 Air Cap으로 처치되지 않고 배송된점은 다소 아쉽지만
그래도 물건은 이상없이 잘 받아 보았습니다.

휴대용으로 글 작성을 자주 하셔야 하는 분들께 드립니다.","['https://phinf.pstatic.net/checkout/20190923_140/1569199285290Qh5Gi_JPEG/020190922_193059.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190923_96/15691992969488KYVF_JPEG/120190922_193051.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190923_199/1569199301827ISPXf_JPEG/120190922_192949.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190923_51/1569199307381gBNNk_JPEG/120190922_192923.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190923_237/15691993131853vjzA_JPEG/120190922_192912.jpg?type=f287']"
4,"태블릿하고 스마트 TV, 폰에서 쓰려고 구매했어요. 일단 태블릿이나 폰에선 자판 입력은 잘 돼요. 물론 다른 분들의 평처럼 일부 자판은 잘 안되는... 어쩔 수 없는 부분은 있지만... 그 외 기능키도 잘 되는 편인데, 터치패드는 좀 이상하네요. 부위마다 민감도가 달라서 포인터가 빨랐다 느렸다... 가장자리 부분은 좀 인식이 안되는 듯. 그냥 있는거에 만족해야 되는 수준이네요.
그런데 티비에서는 자판입력을 거의 못쓴다고 봐야됩니다. 한/영 전환이 안되네요. 제품마다 다르겠지만 호환성이 좀 떨어지는 듯. 리모컨으로 한/영 전환하고 자판으로 치고.. 못 쓰겠음. 반으로 접히는 신형 제품을 사려다가 터치패드가 너무 작아서 이걸로 했는데 좀 아쉽네요. 그냥 안접히는 걸로 살걸 그랬나봐요",[]
5,남친 선물해 줬는데 좋아하네요. 타자랑 터치가 잘 된다고 하는데 오타가 많이나서 처음엔 적응이 조금 필요하다고 합니다. 작고 트랙패드도 되고 으헤헤헤 라고 합니다. 그래서 요즘 타자 연습 하고 있다는데 점점 좋아지고 있다고.. 귀엽네영~,"['https://phinf.pstatic.net/checkout/20200710_74/15943518757625pOmR_JPEG/review-attachment-705c354e-6fac-4bd6-bc72-20b71b4b0b44.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200710_142/1594351875750picrj_JPEG/review-attachment-38113fbe-9881-4dc4-a353-82197e6703ea.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200710_141/1594351875857sYhm6_JPEG/review-attachment-b05d4ff1-0a4a-49d8-bc9c-d1927af13788.jpeg?type=f287']"
5,"이번에 학교에서 기자로 활동하게 되어서, 스마트폰으로도 좀 더 빠르게 타이핑을 할 수 있는 편리성 아이템인 ""블루투스 키보드""를 구매하게 되었습니다. 노트북이 있기는 한데 너무 오래된 거라 크기도 크고, 무게도 무거워서 휴대할 수가 없더라구요. 그래서 야외에서는 주로 스마트폰으로 간략하게 기사 작성을 하고, 집에가서 PC로 수정하고 편집하는 식으로 하는편인데, 스마트폰으로는 타이핑에 한계가 있어서 스마트폰이랑 블루투스로 연결되서 사용할 수 있는 이 제품을 사게 된것 입니다. 배송은 금요일에 주문해서 월요일에 받았을 만큼 총알배송으로 받아 봤구요. 아무래도 전자기기 제품이다보니 파손주의에 신경써야하는 제품인데, 뽁뽁이에 말아져서 와서 안전하게 받아 볼 수 있었습니다.
첫 느낌은 역시 휴대성 제품이라 손바닥에 딱 들어올 사이즈로 아담하고 컴팩트한 인상을 주었습니다. 시중에는 다양한 블루투스 키보드가 있지만, 제가 그 중에서 가장 중요하게 생각했던것이 바로 '휴대성' 이었거든요.
(접어지지 않는)작은사이즈의 키보드도 있지만, 저는 사용할때는 넓직하게 사용하고 보관하고 휴대할때는 작은 사이즈로 간편하게 들고 다닐수있는 제품을 원했는데, 이 제품 '퓨전FNC X-Folding Touch Pro 블루투스 키보드'는 그런 저의 니즈를 완벽하게 소화시킨 제품으로 왼쪽, 오른쪽 양쪽이 접히는 폴딩스라일입니다.

3단 접이식 타입이라서 키보드의 소재또한 메탈이라서 내구성 또한 좋게 설계되었더라구요. 두께도 6.1mm 의 초슬림 두께에다가 아주 가벼운 무게(197g정도)라서 가볍게 파우치에 넣어가지고 다니기 좋았습니다.
(양쪽을 3단 모두 접었을때 자석으로 착 달라붙어서 어떤 충격에 의해 쉽게 열리거나 하지 않아서 좋았어요)
그리고 키보드 뒤쪽으로 귀퉁이마다 미끄럼 방지 스티커가 붙어있어서 바닥에 놓았을때도 타이핑시 키보드가 밀리지 않아서 여러모로 신경을 많이 쓴 제품이라는게 느껴졌습니다. 또 키보드니까 제일 중요한게 타이핑기능인데, 블럭 타입적용으로 되어있어서 타이핑이 자연스럽고 편안한 느낌이었습니다. 키 간격이 일반 키보드보다 넓어서 오타 발생도 적고, 타이핑 시 피로가 누적되지 않기 때문에 안정적인 타이핑이 가능해서 너무 좋았습니다. Scissor Switch 시저 스위치 탑재 키보드라서 X자 형태의 받침 구조가 키를 누르면 부드럽고 가벼운 반발력으로 오랜시간 타이핑을 해도 손과 손목, 어깨가 아프지 않아 편안하구요, 타이핑 할때도 손에 착착 감기는 . 아무래도 기사를 자주 써야하기때문에 오랜시간 키보드를 타이핑해야하는데 이부분이 참 마음에 들더라구요~ 동영상후기를 보면 나오기는 하는데, 블루투스 페어링을 할때 , 키보드의 전원을 우선 ON으로 켜고, 페어링 버튼을 누르면 페어링 모드가 되는데요, 동시에 여러대는 혼선이 생겨서 '한번에' 페어링은 안되지만, 여러대의 스마트기기를 페어링 연결해서 사용할 수는 있습니다. 블루투스 3.0 방식을 사용하고 있어서 .이 블루투스 키보드의 또하나 숨겨진 장점이 바로 '터치패드'가 있다는 점인데요.
제가 찾아본 바로는 블루투스키보드랑 터치패드랑 함께 탑재된 제품중에 이렇게 3단 폴딩제품은 이제품이 유일했던것 같아요. 노트북 사용하는거랑 거의 흡사하게 , 키보드 타이핑하면서 바로 터치",[]
1,"8.24일 결제했다고 나오네요. 그럼 이제 사용한지 두달째 된 거네요. 집에서만 사용하고, 집에서도 열번정도? 사용한 거 같네요. 떨어트린 적도 없고 한번쓸때 많아야 두시간 정도 사용했어요.
근데 어제부터 ㅂ,ㅈ,ㄷ,ㄱ 키가 안먹히다 먹히다 하더니 오늘은 ㅕ,ㅑ,ㅐ,ㅔ 키도 같은 증상에 끊었다가 다시 연결하면 괜찮아질까 싶어 시도했더니 이젠 연결 자체가 안되네여 ㅋㅋ
고장 나기 전에도 키먹음이 심해서 한 문장 쓰는데 두번은 꼭 뒤로가서 수정을 해줬어야 했어요.
패드는 정말 편하던데 정작 키보드가 제 몫을 못 합니다.
돈 버리지 말구 다른거 사세요 제발 ㅠㅠ",[]
5,터치패드가 있는 키보드가 있으면 좋겠다고 생각했는데 아주 마음에 듭니다! 디자인도 좋고.. 원래 쓰던 같은 회사 다른 제품보다 키감이 더 부드럽네요. 부드러운 만큼 처음엔 잘 안 눌리나 싶어 살짝 적응이 필요했지만 이젠 편하게 잘 씁니다!,['https://phinf.pstatic.net/checkout/20200727_244/1595858547246pkIwj_JPEG/review-attachment-0764128e-b778-41d1-92f2-29909aa09516.jpeg?type=f287']
3,몰랐는데 사진으로 보시는거 처럼 접히는 부분. F 같은 자판은 되게 안 눌러집니다. 크기도 상대적으로 작고....블루투스 키보드 다른거 로지텍게 훨씬 잘 쳐 집니다. 이건 휴대용이라서 접혀서 샀는데 잘 쳐지진 않아요. 오타도 많이 나고.,['https://phinf.pstatic.net/checkout/20200725_64/15956099583379wpLt_JPEG/review-attachment-5093b140-179e-454c-a1fe-9f169dbc13da.jpeg?type=f287']
4,"해당제품 키보드로써 아쉬운 점이 있습니다. 어떤점이냐면 겹치는 부분이 일부 키보드가 작은 부분이 있고 이로인한 키가 조금 잘 안눌리는 점, 또한 제품을 키거나 끌 시 블루투스가 자동으로 연결이 안된다는 점이 단점이나 디자인, 마우스 인식, 쉬운 한글, 영어 전환등 좋은 기능도 많이 있습니다. 가격을 생각하면 위에서 언급한 단점을 제외하고는 만족합니다. 좋은제품 판매해 주셔서 감사하고, 번창하시길 바랍니다.",['https://phinf.pstatic.net/checkout/20200419_133/15872310585129wmWT_JPEG/1587231028753.jpg?type=f287']
4,"스마트TV와 아이패드에서 사용하려고 구매했습니다
접었다 펼때 힌지에서 끽끽소리가 나네요ㅋ
간단히 사용할때는 큰 불편함이 없지만 타자를 많이 친다면 자판크기도 다르고 힌지부분이 튀어나와있어 적응을 많이 해야됩니다
터치패드도 마우스 클릭은 가능하나 클릭 유지버튼이 없어 불편할 수도 있습니다
그래도 대체적으론 만족스럽네요","['https://phinf.pstatic.net/checkout/20200110_20/1578634381434Doin2_JPEG/02354C0C-6B9D-4968-860D-409480FEBCEA.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200110_186/1578634381850mogeN_JPEG/945D8034-5753-4922-B2DC-F3538548C675.jpeg?type=f287']"
