star_point,comment,photo
5,"상자가 찌그러진 상태로 배송되고 봉인 씰이 뜯어져 있어서 누가 반품한 것을 보낸게 아닐까 의심했는데 상품 상태는 완전 멀쩡하네요. 배달 과정의 문제라고 생각하겠습니다.

내용물은 키보드와 알카라인 건전지 2개입니다.
생각보다는 커요. 사이즈를 알고 샀는데도 아이패드 10.5 보다 길어서 좀 놀랐습니다.

페어링도 아주 쉽고 뭐 사용법도 말할 것 없이 단순합니다.

타자 치는 소리는 크지는 않지만 존재감 있습니다.
도서관에서 사용은 케바케일 것 같고
여러명이 사용하는 독서실에서는 절대 못 쓸 소리입니다...
다른 키 보다도 스페이스키가 .
찰칵(?)하는 소리가 추가적으로 납니다. 아무래도 길어서 그렇겠지요.

키는 매끈하지 않고 매트하게 마무리 되어있습니다.
그리도 키보드 상판은 나무랄데 없지만 . 하지만 가격을 생각하면 아주 양호하구요.","['https://phinf.pstatic.net/checkout/20200409_114/1586368764525sx9zU_JPEG/20200409_001457_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200409_52/1586368773096TCy1J_JPEG/20200409_001534_HDR%281%29.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200409_82/1586368783498eyqDh_JPEG/20200409_001739_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200409_88/1586368789657ceoGs_JPEG/20200409_002023_HDR.jpg?type=f287']"
5,"다른 판매처보다 2천원 정도 더 비쌌는데 실버? 화이트가 여기밖에 없었구 빨리 받고싶어서 주문했어요...ㅠ

저는 회사에 항상 아이패드를 가지고 다녀야해서 가벼워야 했어요.
더 가볍고 부피도 작은 접이식 키보드도 사서 써봤는데 아무래도 타자감이 안좋아서 안쓰게 되더라구요.
그래서 접지않는 키보드중에서 무게, 타자감(손맛?), 디자인 순으로 골라봤습니다.

1. 무게 : 정말 가벼워요! 제 노트9보다 훨씬 가벼워요.
처음에 코지 제품을 먼저 봤는데 이게 더 가벼워서 골랐습니다. 그리고 건전지라서 충전에 대한 압박감도 없어서 좋아요

2. 타자감(손맛?) : 이건 접이식 키보드를 쓰고 알게됐어요ㅠ 키보드랑 배치가 다르니까 너무 힘들더라구요..
익숙해지지도 않고 자꾸 경첩이 걸리적 거리고 너무 작은건 오타도 잘 나구...
그리고 건전지를 넣는 부분때문에 각도가 기울어져 있는데 오히려 저는 좋아요! 손목이 덜 아픕니당

3. 디자인 : 심플한게 최고죠!
원래 매직키보드를 사려고 하다가 너무 얇아서 손목도 아프고 애지중지 해야할거 같아서 비슷한제품이 있길래 골랐어요ㅋㅋ
재질은 고급지진않고 딱 가격만큼이에요

추가로 타자소리도 어느정도 있는 편이에요
근데 저는 집,회사랑 가끔 카페?에서 쓸거라 괜찮아요
그리고 저는 오히려 이런 가벼운 타자소리가 좋아요
개취라서...ㅎㅎ

너무 기대는 하지마시고 비싼 키보드보다 막 쓰고 가벼운게 최고시다! 하는 분들께 추천드러용

그리고 아이패드에 단축키도 가능해서 편해여!
홈버튼 잠금풀기 등등 다 되더라구여!
나중에 고장나면 하나 더 살거에욤!!

제 갠적인 바람이지만... 이제 아이패드에 트랙패드도 가능하니... 가벼운걸로 만들어주신다면 최고일것 같아요...ㅎㅎ","['https://phinf.pstatic.net/checkout/20200515_22/1589548158683pWS5l_JPEG/20200515_200028.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200515_197/1589548170401ITROl_JPEG/20200515_200206.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200515_104/1589548188896MaPa8_JPEG/20200515_220901.jpg?type=f287']"
4,"일단 가격이 워낙 저렴하니 가격을 생각하면 만족스러운 제품입니다.
페어링잘되구요. 타이핑 딜레이타임도 그렇게 크게 느껴지거나 하진 않아요.

다만 성능적인 면에서는 아직 많이 사용해 보지 않아서 정확하게 판단할 수 없지만 타이핑감이 약간 불편하긴 합니다. 민감하신 분들은 같은 회사의 38BT나 로직텍K380과 비교하면 많이 떨어지는 걸 느끼실 수 있을 듯.

다만 간단히 외부에서 테블릿용으로 활용하기에는 크게 무리없을듯 하지만 장기간의 타이핑을 요하는 작업을 하시는 분들에게는 조금 불편하실 것 같네요.

그래도 뭐니뭐니해도 이제품의 최대 강점은 역시나 가격. 1만원정도면 구매할 수 있으니 가격을 생각하면 이정도면 아주 훌륭하다고 생각되네요.","['https://phinf.pstatic.net/checkout/20201030_253/1604039109243xA4Gv_JPEG/review-attachment-988c4db5-1c7b-405d-9b41-63741ad72d4c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201030_22/1604039109195kCnfm_JPEG/review-attachment-e5bbd15f-099d-4a33-ab6a-0207579ddada.jpeg?type=f287']"
4,"전반적으로 만족스럽습니다
1. 아주 가볍고 작고 꽤 납작함
2. 디자인 예쁨
3. 노트북 키보드랑 비교했을 때 키가 조금 높고, 힘 많이 안 줘도 쉽게 눌리는 그런 키보드는 아님. 은근히 손가락 힘 필요. 그래도 크게 불편함 없음
4. 타자 밀리는 거 없음
5. 아주 가끔 자판 안 누르고 있는데 키 하나가 지 혼자 계속 눌러질 때 있음. 그냥 아무데나 클릭 몇번하면 멈춤.
6. 노트북(lg그램) 연결속도가 좀 느림. 절전모드였다가 켰을 때 처음 인식하는 데까지 5초~10초 걸리는듯. 이후에는 속도 문제 없음.
7. 설명서 보고 따라하면 한/영 키 문제없이 작동함.
8. Caps lock 자판 상단에 초록불로 표시됨
9. 노트북 문제일 수도 있는데, 노트북 연결했다가 핸드폰 연결하는 건 바로 되는데 핸드폰 연결했다가 노트북으로 연결하려 하면 잘 안됨. 블루투스 연결 지웠다가 디바이스 찾는 것부터 다시해야 됨.

[모바일(아이폰)에서]
1. 연결 빠름
2. 한영키 잘 작동
3. 한 키 계속 누른다고 연속으로 안 쳐짐. 'ㅋㅋㅋ' 치려면 ㅋ 세 번 눌러야 함.
4. 복사, 잘라내기, 붙여넣기같은 단축키가 좀 이상함. Ctrl+C누르면 지워지고 ctrl+b누르면 커서 뒤로 움직이고",['https://phinf.pstatic.net/checkout/20200930_24/16014417718920heJX_JPEG/review-attachment-898955d5-e811-4651-a979-21a866f85390.jpeg?type=f287']
4,"방금 막 배송 받은 키보드로 리뷰를 씁니다..

버튼 누르는 정도: 제가 노트북 키보드만 몇 년을 사용해서 그런지 이 키보드 버튼 반발력이 꽤 강하네요

소리: 반발력이 꽤 있기에 소리가 요란합니다. 독서실, 도서관은 절대 안되고 까페도... 이 정도면 주위분들이 싫어하실 듯 하네요. 뭐 집에서 쓰는 당장은 괜찮은데 외출시에도 사용하려고 무게 가장 가벼운 걸로 샀는데... 소리가 이정도이면;;; 밖에서 사용하려면 키보드 소리도 고려해야한다는 것을 배웠네요. 타자가 그렇게 빠르지 않은 제가 써도 소리가 꽤 큰데 타자 빠르신분들이 여러 문장을 쉬지 않고 치시면... 까페에서 주위분들께 큰 방해가 되겠습니다.

무게: 굉장히 가볍습니다. 건전지 2개를 넣고 나면 무게가 급상승하지만 그것을 감안해도 가볍습니다.

타건감: 괜찮습니다. 손이 크신 분들은 또 모르겠는데 손이 작은 저한테는 일반 키보드와 크기나 키 간격 차이를 별로 못느끼겠네요. (그래도 일반 키보드가 더 편하기는 합니다.) 오타 잘 안나네요


결론: 가지고 다니며 쓰기에 가벼운 무게-장점과 강한 키 반발력으로 인한 소음- 단점이 있다.

이 가격에 이 이상을 바라는 건 도둑놈 심보이지요. 키보드라는 기기 자체가 워낙 독서실 등 조용한 공간에서는 금하는 것이기도 하고요. 저는 만족합니다.",['https://phinf.pstatic.net/checkout/20200421_194/1587444334732wPTXM_JPEG/15874443088471805953258133583244.jpg?type=f287']
5,"하루만에 배송와서 깜짝 놀랐어요. 다른 리뷰에서 본 것처럼 카페나 도서관에서 쓰기엔 소리가 크지만 집에서 사용할 때는 불편하지 않은 크기에요. 블루투스 연결 잘 되고, 특히 가벼워서 정말 좋아요. 건전지, 키보드 같이 오고요, 설명서가 한글로 나와 있습니다. 저렴한 가격에 디자인도 성능도 마음에 듭니다. 가성비 최고인 것 같습니다!","['https://phinf.pstatic.net/checkout/20200925_5/1601039967024yhEDy_JPEG/review-attachment-0b1d0930-5f6e-4fec-b1c6-f8feb205642b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_4/1601039967184qSyz9_JPEG/review-attachment-5a3cf755-5275-4da8-a0f6-e6d357fe5650.jpeg?type=f287']"
5,"가성비가 내려오는 제품이에요. 급하게 필요해서 너무 비싼 제품을 구매하긴 그렇고 적당한 게 이 제품 같아서 구매했는데 상당히 만족스럽습니다ㅜㅜ 저는 조용한 곳에서 쓸 것도 아니고 타자치는 소리도 좋아하기 때문에 딱 좋아요. 그렇게 엄청 시끄럽지도 않고요. 아주 가끔 페어링이 안 될 때가 있는데 진짜 아주 가끔이라 괜찮구요, 컴퓨터랑 페어링해서 쓸 때 꼭 설명서 보고 한영키 설정 해주세욥.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_31_0/4c460861-a33a-11ea-94c5-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200531_129/1590928038767WXBfc_JPEG/image.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200531_125/1590928398157IQpRI_JPEG/image.jpg?type=f287']"
5,처음으로 아이패드를 사고 블투 키보드에 꽂혀서 사게 됐는데 저렴한 가격치고 인식도 바로바로 잘 되고 건전지 형식이라 사용하기 편리하고 좋습니다!! 무지 가볍고 크기도 적절해요. 원래는 그램 노트북을 사용하는지라 키감이 좀 많이 딸깍거리고 세게 눌러야하는 부분이 있지만은 그래도 네모난 키보드라 다른 동글동글 키보드에 비해 적응은 빠른거 같습니다 (그래서 로지텍 못 샀음..) +11인치 파우치에는 안 들어가요!!,"['https://phinf.pstatic.net/checkout/20200908_122/15995296217390GUu4_JPEG/review-attachment-fa8407e6-b4fe-47c3-9388-0a3de5a5cce5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_58/1599529621748jweuT_JPEG/review-attachment-db61945a-4eda-4e96-9c9f-d159e0be10da.jpeg?type=f287']"
5,"아이패드 키보드로 한달넘게 사용 중입니다.
*타자감: 괜찮아요. 자판도 뭉게짐없이 바로바로 올라옵니다. 다만 조용한 공간에서는 키스킨이 필요할 것 같습니다.

*색: 스페이스 실버 느낌도 나고 빛깔 괜찮아요. 은색잘못 뽑으면 촌스러울 법도 한데 세련된 느낌이에요.

*연결:동봉된 설명서로 하다보면 페어링되는데 문제는 없습니다. 한번 연결된후 기기의 블루투스를 또 끄지 않는 이상 키보드 누르다보면 처음 1,2초간은 연결이 안되다가 그 이후에는 잘됩니다.

*배송:기억상으로는 예정일보다 빨리 온것같습니다.

*메리트:휴대하고 다니기기 너무 좋은 사이즈입니다.자판알크기는 일반 노트북 크기와 비슷하니 적당합니다.

*이 모든 걸 따졌을 때 다른 블루투스 키보드가 너무 비싸서 가성비 터지고 휴대하기 좋은 블루투스 키보드찾으시면 이 키보드 적극 추천합니다!!😊

+) 저만 이런건지 모르겠지만 Caps Lock버튼이 자꾸 한영버튼 처럼 작동하네요,,",['https://phinf.pstatic.net/checkout.phinf/20200513_102/1589295688771bS9df_JPEG/20200513_000055.jpg?type=f287']
4,"키보드 사이즈는 저 컴싸 올려놓은 거 참고해주세요~!! 아이패드 에어3랑 사용하고 있는데 패드보다 조금 더 커요.
페어링은 굉장히 빠르게 됐구요, 자판 칠때 렉걸리는 거 없이 잘 됩니다. 진짜 한번 블루투스 연결 끊겼고, 천번 치면 2~3번정도 지멋대로 눌리는 정도?? 진짜 좋아요
비싼 무선키보드 사용해보기 전에 한번 써보는 셈치고 구매했는데 진짜 마음에 들어서 재구매 하고 싶다는 생각도 했습니다. 가성비 갑이에요
타자소리도 별로 안커요. 근데 도서관이나 독서실은 못할 것 같아요. 일반 노트북 소리정도는 나거든요.
엄청 가벼워서 들고 다니는데 부담도 없습니다.

단점은.. 제가 아직 사용법을 다 몰라서 그런 걸 수도 있는데, 컨트롤 씨, 컨트롤 브이 이런ㄴ게 안되는거 같아요. 근데 어차피 손으로 화면 터치해서 사용하니까 크게 불편하지는 않아요
고민되신다면 구매를 추천드립니다",['https://phinf.pstatic.net/checkout/20200430_216/1588258396581UEEyj_JPEG/image.jpg?type=f287']
