star_point,comment,photo
1,"비닐포장되어 있음에도 상자에 검게 먼지 묻어있음
마감도 불량, 키보드판에 이물질 묻어있었고 손목거치대도 글루건 같은게 묻어있었음
블프 특가로 40퍼 세일해서 샀는데 그게 아니라면 땅을 치고 후회했을듯
이게 사진으로는 잘 안보이는데 실물로는 엄청 선명합니다
교환 부탁했는데 그냥 돌려보내주네요.
절대 사지마세요!","['https://phinf.pstatic.net/checkout/20191223_2/1577027728057IlVfv_JPEG/%B9%DD%C7%B01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191223_95/1577027727536EmHza_JPEG/%B9%DD%C7%B03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191223_289/1577027727787SSOXL_JPEG/%B9%DD%C7%B02.jpg?type=f287']"
5,배송이 거의 퀵 서비스 수준이시네요~~ 아주 좋아요 적축 타건감도 생각만큼 괜찮구요 특가 가격대에서는 흠잡을 곳 없습니다. 다만 윈도우 잠금키가 별도로 없다는게 저에게는 조금 아쉬운 면이 있네요... 경쟁모드로 사용해서 하면 가능하지만 소프웨어로 글어가도 rgb 모드로 경쟁모드는 안돼는거 같아서 아쉽네요~ 나머지는 최고입니다.,[]
4,"포장이 조금 불안해서 걱정했는데, 제품상에 큰 하자는 없네요. 키감은 체리 적축이라 상당히 좋습니다. 다만 볼륨 조절 휠을 돌릴때 사각거리는 소리와. LED불빛을 고정 해놨을때 F5~F8 까지 LED가 위치상 유독 밝게 보이고, 스페이스바 LED또한 밝습니다.","['https://phinf.pstatic.net/checkout/20191207_99/1575674187379k8Kt8_JPEG/20191205_180337.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191207_222/1575674197634uTF9W_JPEG/20191206_002235.jpg?type=f287']"
5,"프나틱 기어 스트릭 체리 적축 게이밍 키보드 사용소감 게임을 좋아하는 유저로써 지금까지 많은 게이밍 키보드를 사용해봤지만 이 제품처럼 고급지고 필요한 기능만 쏙쏙~~ 지원하는 제품은 처음인것 같네요. 개인간 특성을 타기는 하겠지만 제 취향에 딱 맞는 제품으로 화려한 RGB 조명효과는 물론다양한 편의기능, 리니어 타입의 장점을 고스란히 담고 있는 키보드입니다. 편안한 타건 역시 장시간 문서작성을 하는 분들에게 적합하구요. 팜레스트가 기본으로 포함되어 손을 편하게 올려둘 수 있고, 장시간 타이핑에서도 손목 보호효과가 좋아요.","['https://phinf.pstatic.net/checkout/20180914_252/1536928725240y06Pe_GIF/Untitled3.gif?type=f287', 'https://phinf.pstatic.net/checkout/20180914_300/1536928846829AUANs_JPEG/14.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180914_247/1536928846892sl5Mg_JPEG/27.jpg?type=f287']"
5,"프나틱 기어 스트릭 체리 적축 후기입니다. 청축/갈축/적축 중에서 게이밍에 제일 적합하다는 적축을 사용해보았습니다. 화려한 RGB감성과 성능까지 두루 갖춘 제품을 구매하고 싶다면, 강력 추천합니다.게다가 키보드 후면에 나만의 명패를 장착할 수도 있다는것이매력적으로 다가오는것 같습니다.","['https://phinf.pstatic.net/checkout/20180909_240/1536496515644c5IMc_JPEG/20180909_153250.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180909_95/15364965158375Lqcl_JPEG/20180909_152923.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180909_125/1536496515990U2XnY_JPEG/20180909_152438.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180909_38/1536496516140sVpEd_JPEG/20180909_153508.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180909_68/1536496516313tamvv_JPEG/20180909_153542.jpg?type=f287']"
5,"역시나 프로게이머의 게이밍기어 프나틱 기대이상 배틀그라운드와 빠른 타자를 목적으로 가볍고 조용한 적축을 선택했는데 기대이상입니다. 타건감이나 디자인, 성능, 완성도가 상당히 뛰어나며, 게이밍에 최적화되어 있는 만큼 게임을 즐기는 분들이라면 절대 후회하지 않을 듯하네요. 그동안 해외직구로만 비싸게 구매할 수 있었던 프나틱기어인만큼 국내정식 출시버전 가격치고도 합리적인 수준이 아닌가 하네요.","['https://phinf.pstatic.net/checkout/20180914_7/1536924772199EF5mQ_JPEG/%ED%81%AC%EA%B8%B0%EB%B3%80%ED%99%98_DSC04520.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20180914_202/1536924772346aSUWu_JPEG/%ED%81%AC%EA%B8%B0%EB%B3%80%ED%99%98_DSC04552.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20180914_26/1536924772460EQfVz_JPEG/%ED%81%AC%EA%B8%B0%EB%B3%80%ED%99%98_DSC04552-1.JPG?type=f287']"
5,"딱히 단점이라고 꼽을 게 없는 제품 타건감 정말 좋습니다. 잡스러운 소음 거의 없습니다. 슬림하지만 안정적인 타이핑이 가능하고 밝고 선명한 RGB 라이트닝 성능도 만족스럽습니다. 가격만 2만 정도 저렴하면 정말 높은 인기를 끌 제품이라고 확신합니다.체험단을 통해 무료로 제공받아 작성한 후기지만, 딱히 단점으로 꼽을만한 내용이 없기에 '적극추천' 박고 갑니다.","['https://phinf.pstatic.net/checkout/20180915_282/15369374747339iLXg_JPEG/IMG_2369.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20180915_283/1536937474874bFFTn_JPEG/IMG_2336.JPG?type=f287']"
5,"프나틱기어 스트릭 기계식 키보드 매우 만족중입니다! ﻿ ﻿기존에 12만 원짜리 청축 기계식 키보드를 사용하고 있었는데 디자인도 별로고 오래 사용해서 이번에 이렇게 프나틱 기어 스트릭 기계식 키보드 갈축을 구매해보았습니다.확실히 청축보다 타격감이 좋으며, 특히 손목 받침대와 소프트웨어를 통한 다양한 기능과 RGB 기능이 특히 마음에 드는것 같습니다. 프나틱 기어 스트릭 체리 기계식 키보드 아는 지인분들에게도 추천해드리고 싶은 그런 키보드입니다!!",['https://phinf.pstatic.net/checkout/20180915_36/15369380818001k0kq_JPEG/IMG_4432.JPG?type=f287']
5,LED 불빛이 진짜 이뻐요 소프트웨어 설치해서 LED를 내 마음대로 바꿀수 있어 좋아요타컨감도 깔끔하고 볼륨조절 미디어조절 음소거 등 여러가지 기능을 키보드로 다 할수 있어 편의성도 뛰어나요배송도 다음 날 바로 와서 만족합니다~,['https://phinf.pstatic.net/checkout/20180830_73/15355980382648hCDS_JPEG/IMG_1109.JPG?type=f287']
4,적응이 좀 필요한 키보드 예전에 로지텍 무선 키보드 사용하다가 이번에 이걸로 바꿨는데 적응하기에는 시간이 좀 걸릴거 같습니다 가격이 좀 나가고 적축 청축 이런거 모르는사람들은본인에게 맞는 키보드 고르기가 좀 애매할거 같습니다저도 아직 적응중,[]
5,스테빌라이저도 괜찮고 팜레스트 좋아요 굿굿,['https://phinf.pstatic.net/checkout/20201130_156/1606748173487l549p_JPEG/review-attachment-a5e8c0dc-67b8-480e-a830-9869fa4eb9ad.jpeg?type=f287']
5,배송 빠르고 좋아 보입니다.^^,['https://phinf.pstatic.net/checkout/20201120_226/1605872887061e7G26_JPEG/review-attachment-7e6a3a15-5c16-472d-8370-da868487150a.jpeg?type=f287']
5,타건감 좋아용 ㅎㅎㅎ,['https://phinf.pstatic.net/checkout/20201124_131/1606156985305GImLG_JPEG/review-attachment-90929c6c-96e4-4978-9f3e-ba5e0eee5c09.jpeg?type=f287']
5,"키감도 쫀득하니 고급지고 마감훌륭합니다.
팜레스트 3단계 조절되어 손크기에 맞게 쓰면되고 탈부착이라 용이합니다. 다만 팜레스트 폭이 좀더 넓었으면 하네용","['https://phinf.pstatic.net/checkout/20191205_274/1575548156225lLAjy_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191205_79/1575548156586vf1ad_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191205_29/1575548156936fleqE_JPEG/1.jpg?type=f287']"
5,"작년 출시때 비싼느낌 때문에 클러치 마우스만 구매하였는데 40프로 가까운 할인 때문에 구매하였습니다.
상판 이노다이징처리 고급스럽고 조절가능한 손목받침대도 잘 설계되었습니다. 올해 블프직구 안한게 참 다행이네요.","['https://phinf.pstatic.net/checkout/20191214_82/1576304581181F9OPU_JPEG/1576304554243.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191214_200/1576304606356fHrcV_JPEG/1576304589788.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191214_157/1576304662183XFUKh_JPEG/1576304620322.jpg?type=f287']"
5,생각보다 rgb감성이 이쁘고 고급스럽습니다키보드에 각종 기능이 유용하고 할인을 크게 받고 사서 만족스럽네요,[]
5,사용중입니다! 키압 좋고 클릭음 좋고~ 쵝오에요!,[]
4,"신랑이꺼 컴퓨터 새로 뽑아주면서 키보드 구매하게되었어용
pc방에서 적축키보드 써보구 좋다고해서 이걸로 구매했네용
아주 만족하는것같아용 많이파세용~~",['https://phinf.pstatic.net/checkout/20200708_117/1594188514948BiSIn_JPEG/review-attachment-59f2b1d9-4bce-459d-a505-7ca824fa1f78.jpeg?type=f287']
4,택배사가 토요일 배송을 안해서 좀 늦었지만 상품은 멀쩡하게 잘 왔습니다. 좋네요,[]
5,믿고쓰는 체리 적축입니다. 소리도 그렇게 크진 않고 상판이 알루미늄이라 통울림도 크지 않아서 좋습니다.,[]
5,명성 그대로 완벽합니다. 개인적으로는 커세어보다 더 좋네요~! 손목 받침대도 약간 불량이 있었는데 바로 대응해주시고 빠른 배송에 서비스도 최고였습니다~!,['https://phinf.pstatic.net/checkout/20200613_40/1592008071947SUKAi_JPEG/1.jpg?type=f287']
4,타건감 좋고 LED밝기도 좋습니다. 다만 팜레스트가 키보드와 너무 잘 분리되네요..,[]
5,포장이 상당히 고급스럽습니다. 비싼 키보드 라는 느낌을 받게 합니다. 선물용으로도 좋아보여요.,[]
5,확실히 평소가격대가 비쌌던만큼 값어치하네요 고급진게 아주좋네요 팜레스트가 자석식 아닌게 아쉽네요,[]
5,좋응 제품 싸게 잘 산거 같아요 대만족입니다ㅎㅎㅎㅎㅎㅎ,[]
5,배송 좋고 물건 좋고 완벽합니다. ㅇㅇㅇㅇㅇㅇㅇ,[]
5,"지방인데도 배송 다음날 바로 왔어요.
마감이 생각보다 훨씬좋아서 맘에듬.","['https://phinf.pstatic.net/checkout/20191208_107/1575787752202SmoND_PNG/%C4%B8%C3%B3.PNG?type=f287', 'https://phinf.pstatic.net/checkout/20191208_191/1575787787008POlb1_PNG/%C4%B8%C3%B31.PNG?type=f287']"
5,너무 이쁘고 키감도 좋아여 ㅎㅎ,"['https://phinf.pstatic.net/checkout/20191213_1/1576234109337cfadG_JPEG/image.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191213_179/1576234167489GwWsp_JPEG/image.jpg?type=f287']"
5,필요해서 구매했어요,[]
5,"지인에게 들어서 구입하게된 프나틱기어 키보드.
우선 키감이 손에 착착 붙어서 키보드 작업만 하고 싶을정도로 아주 만족스럽습니다
LED도 이쁘고 다른 단축키들도 사용하기 편해서 좋아요!","['https://phinf.pstatic.net/checkout/20191209_99/1575843820867qdgwo_JPEG/IMG_nnurw6.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191209_94/1575843831797QXKAt_GIF/20191207_014214_1.gif?type=f287']"
5,배송도빠르고 블프세일로 싸게잘산거같아용 맘에듭니다!!,"['https://phinf.pstatic.net/checkout/20191211_131/1576048818866l7m1o_JPEG/20191210_180819.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191211_83/1576048835165SYpFy_JPEG/20191210_175802.jpg?type=f287']"
5,배송겁나빠르네요ㅎ 완전만족합니다^^ 애들이 더조하하네요~~~,"['https://phinf.pstatic.net/checkout/20191206_25/1575630461430RsPLf_JPEG/20191206_190613.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191206_91/15756304956579wze3_JPEG/1575630478637.jpg?type=f287']"
5,우리아들이 너무좋아하네요.잘 사용할께요,[]
5,원래는 청축을 썼는데 너무 시끄럽고 새로운 축을 써보고 싶어 갈축을 사용했는데 키감이 쫀쫀한? 느낌이라 좋네요! 키보드도 이쁘고 맘에 너무 듭니다!,['https://phinf.pstatic.net/checkout/20200202_147/1580579327916uDPdz_JPEG/20200202_021010.jpg?type=f287']
5,"깔끔한 외관부터 다양한 기능까지 만족합니다. 생각보다 훨씬 고급져보이네요ㅎㅎ매크로 기능부터 경쟁모드, LED모드 커스터마이징까지 용이한 기능들이 넘쳐나서 만족합니다!","['https://phinf.pstatic.net/checkout/20180914_30/1536923695752Tafpq_JPEG/DSC01062.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180914_166/1536923695900diusD_JPEG/DSC00908.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180914_14/1536923696079vQyeV_JPEG/DSC00912.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180914_118/1536923696351CAtQC_JPEG/DSC00969.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180914_248/1536923696535xE5Nd_JPEG/DSC00973.jpg?type=f287']"
