star_point,comment,photo
5,잘 받았습니다 배송도 빠르네요,['https://phinf.pstatic.net/checkout/20201127_134/1606475491882V0XWM_JPEG/review-attachment-44b263c2-ce9e-433c-98ac-1740a7897fc0.jpeg?type=f287']
5,아주 잘 받았습니다 ^^,['https://phinf.pstatic.net/checkout/20201118_55/1605706328601uwVN7_PNG/review-attachment-5bd1a365-776b-4596-9ed2-bf445201e3a5.png?type=f287']
5,잘 되네요 많이 파세요 .,[]
4,좋아요,[]
5,정상작동하고 다 좋네요!!,[]
5,"마유스 키보드 함께쑤니 편하네요.
커서가 가끔 튀기는 하나... 나쁘지 않아요",['https://phinf.pstatic.net/checkout/20200320_158/1584667710676iTXV4_JPEG/1584667698518.jpg?type=f287']
5,배송빠르고좋아요 ㅎㅎ ㅋ,['https://phinf.pstatic.net/checkout/20200323_249/1584930981378lhP7J_JPEG/photo-1539693010221-cd218dfe6565.jpg?type=f287']
5,배송이빠릅니다 굿ㅎㅎ,['https://phinf.pstatic.net/checkout/20200325_235/1585109590439BnY1y_JPEG/photo-1539693010221-cd218dfe6565.jpg?type=f287']
4,대구성 좋고 아주 좋아요,[]
4,조금 부실하지만 쓸만해요,[]
5,너무 필요해서 구매하게 된 상품입니다.배송도 빠르고 제품도 너무나 좋아요!다음에도 또 구매하겠습니다.,[]
5,배송이 빨랐습니다.,[]
5,저렴하게 잘 구매햇습니다 재구매의사 잇습니다,[]
5,빠른 배송 감사합니다.,[]
5,만족합니다만족합니다,[]
5,배송이빨라요 만족합니다,[]
5,납품용으로 잘쓰고 있어요,[]
5,agqwqwdsgsd,[]
5,goodgood,[]
