star_point,comment,photo
5,"전반적인 품질은 나쁘지 않습니다.
가성비로 치면 최고 수준입니다!
***
적축으로 구입했습니다.
일단 체리축이나 오테뮤축은 아닙니다.
가격은 분명 저가 중국산 키보드인데 브랜드를 달고 나와서 그런지 .
키감은... 글쎄요 호불호가 갈리겠지만 체리축에 길들여져 있는 저한테는 좀 색다릅니다. 에 6점 주고 싶네요.
기계식 키보드 입문자 분들은 가급적 청축으로 구매하실 것 추천... 적축은 청축 질리는 분들이 구입하는 거라서.",[]
5,아들이 좋아합니다~,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_19_0/1855346b-2a66-11eb-9aae-505dac8c3607_03.jpg?type=f287']
5,"항상 청축만 쓰다가 갈축으로 바꾸어봤는데 정말 딱 좋아하는 키감과 색감이 아주 좋습니다. 깔끔하고 책상에서 쓰기 딱 좋은거 같아요.
그리고 배송도 아주 빠르고 좋습니다. 가성비 최고 갑인거 같아요",['https://phinf.pstatic.net/checkout/20201008_43/1602155099369n8gqv_JPEG/review-attachment-117cbc13-f26b-43c1-b4f0-8f0daa9f074c.jpeg?type=f287']
5,적축 키보드 주문했습니다. 배송도 빠르게 오고 지금 쓰고 있는데 적당한 소리와 경쾌한 타격감에 매우 만족합니다,['https://phinf.pstatic.net/checkout/20200912_193/15998792253885UOjn_JPEG/review-attachment-24ac5892-4e53-41d7-a3e4-1274d8641818.jpeg?type=f287']
5,아들이 이쁘답니다~,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_19_0/21a5164b-fa7b-11ea-93a6-48df37ae3fca_03.jpg?type=f287']
4,배송 안전하고 빠르며 가격대비 전반적으로 좋습니다만.. 알루미늄 다이케스팅이 측면이 조금 우둘거리고.. 독수리타법분들에게 문자 판독이 좀 어렵습니다.,"['https://phinf.pstatic.net/checkout/20200327_292/1585282407203BrXqf_JPEG/DSC_0898.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200327_37/15852824200004PgjN_JPEG/DSC_0897.JPG?type=f287']"
5,"집들이 선물로 드렸는데, 너무 좋아하시네요. 좋은 선물 할 수 있게도와주셔서 고맙습니다:-)",[]
5,저렴한 가격에 잘 샀어요. 많이 파셔요,[]
5,너무 좋아요 잘쓰고 있어요,[]
4,남자친구가 저소음 키보드는 키가 너무 낮아서 싫고 일반 기계식은 소리가 너무 커서 싫다고 해서 고민 많이 하고 구매했어요! 생각보다 소리 작고 맘에든다고 하네요. 저렴한 가격에 구매 했습니다 ! 잘쓸게용,['https://phinf.pstatic.net/checkout/20200522_285/1590117985287JH5E8_JPEG/F4519817-B136-4760-B862-A9B481BF5966.jpeg?type=f287']
5,맘에 드네요. 한 번 써보고 싶었던 키보드입니다,[]
5,조카한테 선물 했는데 너무 좋아하네요~~~~,[]
5,디자인 예뻐요 가성비도 좋고!,['https://phinf.pstatic.net/checkout/20200517_234/158972258824250DS9_JPEG/2020-05-12-20-33-46-449.jpg?type=f287']
5,정말 좋아요 추천드려요,['https://phinf.pstatic.net/checkout/20200610_82/15917941289019asEA_JPEG/15917941168123156462943950042725.jpg?type=f287']
5,"배송, 포장상태 빠르고 좋으며, 키 감이 너무 좋네요, 가성비 최곱니다",[]
3,FN키 눌러 이거저거 해보다 블루스크린 뜸ㅜㅜ 그뒤로 한번씩 블루스크린뜸ㅜㅜ,[]
4,타건감도 좋고 가성비 있네요,[]
5,빠른배송 감사합니다. 잘쓸게요,['https://phinf.pstatic.net/checkout/20200528_146/1590651721250gTUuv_JPEG/KakaoTalk_20200527_200948163.jpg?type=f287']
5,되게 가볍고 좋습니다.. 강추드려요,['https://phinf.pstatic.net/checkout/20200507_224/158879742953640t0k_JPEG/15887974134766283599568325241362.jpg?type=f287']
4,"게이밍키보드 생각보다 좋네요..
게임하려고 산건 아니지만
좋습니다~",[]
5,조카가 사달래서 사줬는데 조용하고 부드럽고 좋다네요.,[]
5,잘쓰고있어요 땡큐입니다,['https://phinf.pstatic.net/checkout/20200504_184/15886023563537jQS9_JPEG/1588602348048.jpg?type=f287']
4,솔직히 가격만큼입니다 . 가성비가 좋다고 말할 수는 없을 것 같습니다,"['https://phinf.pstatic.net/checkout/20200105_211/1578204561717rruDS_JPEG/20191231_165957.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200105_85/1578204574819bGWpX_JPEG/20191231_165505.jpg?type=f287']"
5,"동생 선물해주려면 주문했는데
동생이 너무 좋아하네요ㅎ
너무 이뻐요♡잘쓸께요^^",['https://phinf.pstatic.net/checkout/20200426_23/1587896196649GRHvb_JPEG/20200426_183149.jpg?type=f287']
5,키캡 바꿀수도 있고 가격에 비해 좋네요 ㅎㅎ,['https://phinf.pstatic.net/checkout/20200416_114/1587030265550OwMaW_JPEG/20200416_184339.jpg?type=f287']
5,만족합니다 ~~~^^,['https://phinf.pstatic.net/checkout/20200423_251/1587645333425voznR_JPEG/9B345275-610B-4CDC-B288-3D8E60CB5A85.jpeg?type=f287']
5,아들이 만족해요 블링블링해요,[]
3,"구매해서 사용한지 조금되었는데 조금지나니까 알트키 부분이 먹통이더라구요
계속 먹통은 아닌데 한번씩 안먹는 느낌.. 작업할때 알트탭하는데 먹통이라 조금 곤란한 정도입니다.

키감이나 사용감은 좋아요",[]
5,가볍고 쓸만해요ㅋ 아쉬운건 614 키보드인줄 알고 샀어요ㅠ,['https://phinf.pstatic.net/checkout/20200405_61/1586054817445uYNmd_JPEG/20200405_114622.jpg?type=f287']
5,배송도 빠르고 가격도 적당합니다 넘좋아요,['https://phinf.pstatic.net/checkout/20200405_105/1586078060598FDG7n_JPEG/image.jpg?type=f287']
5,남친이 갈축을 좋아해서 사줬는데 인생키보드라고 엄청나게 좋아하는!,[]
3,감사합니다 2일걸렸네요,['https://phinf.pstatic.net/checkout/20200404_17/1585981234692xeT9D_JPEG/1585981226223.jpg?type=f287']
5,아들이 좋아하네요..,[]
5,"동생 선물로 사줬는데 소리도 많이 크지않고, 키감이 가벼우면서도 적당히 무게감 있는 느낌이라서 좋은 것 같아요! 그리고 예뻐요!",['https://phinf.pstatic.net/checkout/20200205_86/1580885061848ecaSW_JPEG/265E97F7-B8AF-4771-922A-958CABB92340.jpeg?type=f287']
4,👍👍👍👍👍👍👍,['https://phinf.pstatic.net/checkout/20200519_274/1589894450697zWMhM_JPEG/15898944151051123769318520699056.jpg?type=f287']
5,가성비 좋고 디자인도 예쁘고 LED 라이트도 예뻐요~,[]
