star_point,comment,photo
4,"예뻐요.. 핑크 사려다가 손목 받침대 색깔이 안이뻐서 회색 샀는데 회색도 이쁘네요
불 안들어오면 레고같고 불 들어오면 너무 예뻐요😭
손목 받침대는 가볍게 붙는 자석이라 키보드 움직 일 때마다 떨어지지만.. 별로 키보드 움직일 일이 없어서 괜찮아요
다만, 쓴지 이틀 째 되는 날? USB 꼽혀있고 잘 쓰다가 갑자기 키보드 아무것도 안눌려서 당황했는데
USB 뽑고 다시 꽂으니까 다시 잘 되네요
챡챡 눌리는게 좋아요","['https://phinf.pstatic.net/checkout/20200811_162/1597093665938e2DVD_JPEG/review-attachment-0789c94e-0778-475e-8920-e4c30fefe45c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_45/1597093665670DS7mt_JPEG/review-attachment-771a37b0-ede5-4459-8289-52314f147913.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_117/15970936657993wYr9_JPEG/review-attachment-195d19a2-7c07-4654-8eba-2c4bc7cb5b1d.jpeg?type=f287']"
5,기계식 키보드를 처음 써봐서 그런가 너무 신나네요. 사무용으로 써야 해서 텐 키가 포함된 가성비 좋은 제품을 찾고 있었는데 너무 마음에 듭니다. 화이트그레이와 그레이화이트 사이에서 고민을 많이 했었는데 구매를 하고 구매 취소를 하고 구매 취소 철회까지 하면서 고민한 결과 판매자분께 죄송한 마음이 들어 그레이그레이나 화이트화이트 보내주셔고 감사히 쓰겠노라 마음 먹었습니다만 이렇게 그레이화이트를 받아보니 제 노트북이랑 잘 어울리네요. 결함없는 좋은 제품 보내주셔서 감사드립니다. 번창하십셔 !,['https://phinf.pstatic.net/checkout/20200821_230/15980161701426V0JI_JPEG/review-attachment-22dbe031-b6dc-437b-a9d8-c39e79803fd6.jpeg?type=f287']
3,"일단 디자인이 너무 이뻐서 키보드 고장난김에 확 질러버렸구여..
사무실에서 사용할려고 샀는데 사무실에서 쓰기에는 소음이 조큼 큰 편이긴해요.. 그래도 이쁘니까 용서 해줄려고요
LED모드도 엄청 다양해서 가끔 일하기 싫을때 LED 모드 바꾸면서 놀면 재밌어요😙
누르는 키감은 확실히 기계식 키보드라서 그런지 좋은거 같아요!
오래쓰면 손가락이 좀 아픈거 같기도 해여
소음상관없고 이쁜게 좋다 하시면 무조건 사세영",[]
4,전에 쓰던게 청축 게이밍 키보드였는데 좀 누르는게 가벼운? 느낌이 드는거 빼면 다를게 없어요! 딱히 특색있지도 그렇다고 부족한것도 없는 것 같아요. 싸게 잘 산거 같아요. 볼륨 조절은 스피거가 없어서 확인 못해봤지만 이어폰 꼈을때는 조절이 안되네요. 근데 어차피 볼륨 조절은 사용 잘안할거같고 가격대비 굿~,['https://phinf.pstatic.net/checkout/20200813_133/1597275520945279ak_JPEG/review-attachment-ff6274e4-23e4-4c2e-8419-d18e01d0bcb2.jpeg?type=f287']
5,"디자인은 좋아요. 색상과 손목 받침대까지 있어 괜찮습니다.
다만, 엔터, 스페이스바 키는 기본소리와 조금 다르게 가볍고 날리는 느낌입니다. 특히 엔터가. 그거 말고는 가격대비 디자인, 성능은 만족합니다.
사무실에서 쓰려고 적축을 했는데, 기계식이다 보니 아주 조용하지는 않습니다만 이 정도면 사무실에서도 충분히 가능해요~",[]
5,"예쁘네요! 디자인도 깔끔하고 군더더기없고, LED도 과하지 않고 은은하니 좋습니다.
이전에 쓰던 키보드도 적축이었는데, 그것보다 조금 더 부드럽게 눌리네요. 소리도 조금 더 가볍구요. 게이밍 시 느껴지는 무게감은 덜하지만 문서작업할 때 터치가 더 부드럽고, 오래 사용해도 부담이 적은 느낌이 있어 만족스럽네요. 잘쓰겠습니다.",[]
5,이미 하나주문해서 사용중 지인을 위해 추가 주문하였습니다.확실히 가성비도 좋고 제품 마감도도 훌륭합니다. 하지만 조금더 가격이 나가는기계식 키보드에 비해서는 부족한 면이 있습니다. 키감이 가볍기도 하고 저소음은 맞지만 아예 소음이 안나지는 않습니다. 하지만 가격대비로는 꽤 훌륭한 제품이라고 단언할수 있습니다.참고삼아 화이트핑크도 사진찍어 올립니다.,[]
4,"4시전 결제하니 배송은 하루만에 왔어요
저소음이래서 구매했는데 기존 쓰던 키보드보단 소음이 있어요 저소음은 아닌듯요...사무실서 살짝 눈치보알수도 았을정도입니다
기계식키감이 좋아 집이고 사무실이고 모두 기계식 쓰는데 키감은 좋고 디자인도 이뻐요
손목보호대도 있어 좋아요",[]
5,사무용 사용을 위해 가성비 제품을 찾던중 알아내어 주문하였습니다.확실히 가성비도 좋고 제품 마감도도 훌륭합니다. 하지만 조금더 가격이 나가는기계식 키보드에 비해서는 부족한 면이 있습니다. 키감이 가볍기도 하고 저소음은 맞지만 아예 소음이 안나지는 않습니다. 하지만 가격대비로는 꽤 훌륭한 제품이라고 단언할수 있습니다.,[]
5,청축이라서 소리도 경쾌하게 나니 좋네요 리뷰에 스프링소리가 많이 난다고 적혀있었는데 청축 그대로의 소리라 좋네요 ㅎㅎ 어머님도 누르는데 소리가 나니까 좋다고 하십니다. 그래도 청축이라 타자소리가 많이 나니까 사시는 분들 청축인거 꼭 생각하시고 사세요,[]
