star_point,comment,photo
5,"필립스라는 이름답게 키보드도 참 잘 만들었습니다.

세련되면서도 화려한 LED 디자인으로 일단 외관상으로는 마음에 안들 수가 없었어요. 그런데 다른 키보드에서는 볼 수 없었던 다이얼식 버튼은 LED를 조절할 때도 유용하지만, 볼륨을 쉽게 조절할 수 있게 하는 부분이 굉장히 편리하더라구요.

손목받침대는 처음에는 안 붙이고 사용하려고 했는데, 한번 붙여서 사용해보니 확실히 손목이 바닥에 붙게 되니까 손목에 무리도 없이 아주 편안합니다.

청축이 혹시나 너무나 시끄럽지는 않을까 고민했었는데, 눌리는 느낌이 굉장히 좋고 탁깍 거리는 소리도 뭔가를 누르고 있다는 느낌이 강해서 그런지 키보드 두드리면 기분이 참 좋네요. 이래서 기계식 키보드가 요즘 인기인가 봅니다.

나중에 키캡이나 축이 고장나면 별개로 교체도 가능한 것 같아서 한번 사서 오래 쓸 수 있을 것 같습니다. 가격도 착한편인데 .","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_04_0/1a59f211-d59f-11ea-b01d-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_153/1596469038138RFXqq_JPEG/review-attachment-03159277-c5c1-42ad-bb0c-67ebf197566c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_60/1596469038062BVwmq_JPEG/review-attachment-a1d36f35-afb0-4d05-b48e-0ab9a64e826c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_70/1596469038505NRYs3_JPEG/review-attachment-6a449e6b-a5eb-487c-83df-9a48f8b7b4d7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_121/1596469038352C4TTB_JPEG/review-attachment-5c8ea239-ad87-4cb6-8a71-ccab703f116e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200804_240/1596469038593yLdR3_JPEG/review-attachment-3afec133-d19d-43a5-879b-0e1ba8e2d2e1.jpeg?type=f287']"
5,"필립스에서 키보드 나오는 거, 처음 알았고, 처음 써봅니다.
전에 기계식 키보드 몇가지 써봤는데, 이번 필립스 LED 기계식 게이밍 키보드 아주 만족스럽네요.

LED 조명 컬러가 고정되어 있긴 해도, 20가지나 되는 다양한 조명효과가 지원돼서 그날 기분에 따라 바꿔가며 쓰면 재미있습니다.
게다가 LED 컬러가 기능별로 하늘색, 빨강, 분홍, 민트, 초록, 노랑으로 나눠져 있어서 한 눈에 구분지어 들어 옵니다.

오른쪽 위 구석에 있는 둥그런 노브 다이얼 컨트롤러가 참 멋집니다.
특별한 느낌으로 키보드 분위기도 살려주고, 스피커 소리나 조명 밝기 조절을 편하게 할 수 있어 편리합니다.
바로 옆에 있는 G1, G2, G3 특수 기능키도 영상이나 음악 들을 때, LED 조명 기능에도 아주 유용합니다.

필립스 LED 기계식 키보드를 제대로 100% 쓰려면, 작은 설명서지만, 어떤 기능이 있는지 한번 보시는 것이 좋습니다. 아니면, 여기에 제품 소개에 있는 기능키 사용법을 참고하세요.

아 그리고, 자석식 손목 보호대 이것은 저에게는 필수네요. 손목 느낌에서 이거 있고 없고 차이가 큽니다. 자석식이라 분리와 장착이 아주 편리합니다. 가져다 대면, 붙고, 살짝 힘주면 떨어집니다. 아주 강력하게 붙는 건 아니어요. 이동 중에는 떨어질 수 있으므로 미리 분리해서 옮기세요.

키캡 표면을 작지만 오돌도돌하게 해놔서, 땀 많은 사람에게도 쾌적합니다.
키캡과 스위치 고정도 잘되어 있어, 쉽게 빠지지 않아서 좋네요. 이거 너무 쉽게 빠지면, 게임하다 난감할 수 있고, 키캡 쉽게 분실 될 수도 있거든요.

직구 제품은 한글이 없다 보니, 불편한데, 이건 국내 유통 제품이라, 한글이 기본적으로 들어 있습니다. 단순히 인쇄가 아니라, 이중사출 키캡으로 되어 있어 지워지지 않고, 예쁜 조명도 그대로 살아 있습니다.

적축이라 클릭 거리는 느낌 없습니다. 부드럽게 키 입력되므로, 너무 힘줘서 누를 필요 없습니다. 키수명도 5천 만 회라고 하니 .

이 정도 기능과 성능에 가격도 이 정도면, 가히 가성비 키보드라 불러도 손색 없다 생각합니다.","['https://phinf.pstatic.net/checkout/20200808_178/1596884161902YzwuA_JPEG/review-attachment-a51fc86c-c638-44a2-98a3-05b205d60035.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_169/1596884161665erNcG_JPEG/review-attachment-b5adccbd-0fc0-4f17-82c2-1b78a669ddef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_184/1596884161573xcfFT_GIF/review-attachment-a0a18cd9-b2ea-419e-b6bf-81a73a10ea9a.gif?type=f287', 'https://phinf.pstatic.net/checkout/20200808_274/1596884162015uFrtT_JPEG/review-attachment-7bc461d2-7291-4f3a-8bb5-72a041b29a9e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_83/1596884162069Npu5Y_JPEG/review-attachment-fcd8c72f-abb0-4221-be82-ee143ecdfabd.jpeg?type=f287']"
5,"청축은 기계식키보드가 가진 본연의 타격음을 제대로 살려줍니다.
사무실에서 업무용으로 쓰는건 비추인건 다들 아실듯 하네요. 하지만, 집에서 게임을 즐길때는 그야말로 기분이 좋아지는 경쾌한 타격음이 일품입니다. 거기에 20가지 LED를 선택할 수 있고, 사용자가 지정할 수도 있으니까요. 키캡리무버로 키캡 교체도 가능하니까 커스터마이징하시는 분들도 좋아할듯 합니다. 손목받침대가 자석으로 키보드 본체와 연결되니까 분리도 쉽게 부착도 쉽습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_06_0/752fe09a-d7d1-11ea-8d02-a0369ff94ec8_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_06_0/84a6775f-d7d1-11ea-ae35-a0369ff963bc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_243/1596710511777uwCbU_JPEG/review-attachment-8f3193f8-8ce1-48a6-8ebf-3ddc85b85807.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_289/1596710511914PrX37_JPEG/review-attachment-c2ffd04c-d297-49a5-a337-ea81bac9cbfb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_87/1596710511744gkN0P_JPEG/review-attachment-fcd02479-ca37-4094-869f-924f73dfb5db.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_54/1596710512027Du7J1_JPEG/review-attachment-091f8e92-0767-4928-8f54-a52f3e859d2e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_158/1596710512449bl6IC_JPEG/review-attachment-9c4e734b-7335-45c9-9528-9c31933de6c5.jpeg?type=f287']"
5,"기계식키보드를 항상 사용해보고 싶었었는데 요건 가격도 너무 괜찮고 후기도 좋아서 구매하게 되었어요.
평소에 낮엔 일하는 프리랜서이고 ㅎ 오후에는 취미로 게임도 하는데 적축이 조용하면서 정숙성이 느껴지는 제품이라고해서 요걸로 선택했습니다 *_*
일할때 사용할때에도 소리가 괜찮고 키감이 부드러워 손가락에 큰 무리없이 사용하고있구용
특히 밤에 LED 켜두면 정말 환상적입니다 ㅠ.ㅠ
사실 필립스 LED TV도 구매하려고 고민을 하고있는데 역시 이 키보드의 화려하고 다양한 모드에 반해버렸어요 ^*^ 밤에 영롱하게 빛나는거보면 정말 최고... 란 말이 절로나옵니다^*^~!
커스텀 led모드도 되고 셋팅되어있는 모드도 많아서 지루함없이 게임할 수 있어용 ㅎ
추천!!
그리고 펑션키 사용하면 단축모드 다양하게 쓸 수 있능것도 잘 사용하고있습니다 ^^","['https://phinf.pstatic.net/checkout/20200811_24/1597121101666pcpIN_JPEG/review-attachment-435d9fda-efb5-49ba-a544-9464ca9a04ed.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_114/1597121023307LzLPI_JPEG/review-attachment-54fa1ed2-5027-430f-af32-cd04c6377f98.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_248/1597121075044oLKHt_JPEG/review-attachment-908f09b2-61c9-4cb5-bf72-c5271e7ad613.jpeg?type=f287']"
5,정말 좋은 키보드예요. 소리에 민감해서 적축 샀는데 너무 좋아요. 노트북으 카감 처럼 촉촉한 키감이 마음에 들어요. 그리고 게이밍에 특화된 LED도 좋고 언제든지 편하게 쓸수 있어 더 마음에 드는것 같아요. 그리고 다이얼로 음량 조절이 된다는것 자체가 너무 환상적인것 같아요.ㅎ,"['https://phinf.pstatic.net/checkout/20200811_298/1597116807481Oe32q_JPEG/review-attachment-be485b49-5e0d-4108-9bb6-59bce50156cd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_208/159711680745896vii_JPEG/review-attachment-e8708295-5995-47e7-818f-e08f4ec7f373.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_29/1597116807708CoxsT_JPEG/review-attachment-8ecdee9d-ac08-4e93-b4a6-1412a37a6683.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_236/15971168076714Yrof_JPEG/review-attachment-24b4dc97-7d8f-4eb8-84f8-37b4138878f3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_143/1597116807830Qmcmb_GIF/review-attachment-8ca523eb-b1cb-4e4e-9066-68d3a0cfaa1c.gif?type=f287']"
5,필립스 기계식 키보드 정말 100% 만족합니다. 또한 오타도 줄게 되어서 작업시간도 줄일 수 있었네요 또한 게이밍 키보드로 화려한 led가 더욱 박진감 넘치게 게임을 즐길 수 있게 해주고 꼭 필요한 부분에 라이팅이 되어 정말 편리한 제품 입니다. 완전 만족합니다. 타격감도 정말 좋아요,"['https://phinf.pstatic.net/checkout/20200809_131/1596965259110caCCI_JPEG/review-attachment-f2d9c28b-ce59-40c7-9efe-d494fb7e469f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200809_120/1596965257684VghqJ_JPEG/review-attachment-56529cd4-e34d-4b87-a67a-4f70260a9750.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200809_148/1596965258977mPdPo_JPEG/review-attachment-4d105293-8c08-459c-beaa-6280104c938a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200809_238/1596965258556qB4Gl_JPEG/review-attachment-cf3c3816-279b-4cd2-af44-f8034919378d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200809_144/1596965259418of9dm_JPEG/review-attachment-3daa8d1b-c5dc-45c6-8a5c-47b0688a3034.jpeg?type=f287']"
5,"배송 빠르구요. 이 가격에 다양한 LED 모드, 퀼 컨트롤 조그휠까지 사실 혜자스러운 제품입니다. 거기다 필립스꺼라 사후지원에 대한 걱정도 안해도 되고...그리고 이중사출키캡으로 제일 극혐하는 지워지는 현상도 없는게 좋습니다. LED 모드도 20가지인데 마음에 드는 모드가 많아서 좋아요. 부담없이 입문해보고 싶으신분들에게 강추드립니다.","['https://phinf.pstatic.net/checkout/20200810_145/1597024546863t6gdI_JPEG/review-attachment-06e5073a-3ef5-4fba-974e-7998389e9416.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_199/1597024546693Bbxda_JPEG/review-attachment-b5547ab2-eb2f-4052-a835-0048dc461480.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_265/1597024546785NPeAo_JPEG/review-attachment-eccd6d62-145c-4b70-91fe-be50ad950765.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_83/1597024546863C78Og_JPEG/review-attachment-1fb44881-86a1-4f3b-9884-947c392c4bec.jpeg?type=f287']"
5,"기계식 키보드에 게이밍 감성이 더해진 필립스 SPK8605

다른것보다 가격에서 승리다!

십만원대 고가 제품가 견 줄만한 제품 퀄리티는 어디에도 없을거 같네요.

적축의 부드러운 타격감과 조용한 기계식의 소음?

기계식의 키감은 살아있으면서 조용하게 사용이 가능합니다.

LED 조명과 오디오 볼륨 조절은 노브 다이얼로 사용성이 좋습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_06_0/1dfc3f04-d74f-11ea-8a13-a0369ff95678_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_175/15966542254087sLnK_JPEG/review-attachment-9a99ab40-6e0a-46b7-b7e2-369d34b8a6af.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_241/1596654225456eyUkv_JPEG/review-attachment-0d0a07c7-05fa-466f-a9f0-af153cc33d59.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_7/1596654248346tgdx1_JPEG/review-attachment-f3bc73fe-8943-4c79-955f-41ebe5849c0d.jpeg?type=f287']"
5,"자석식 손목보호대가 생각보다 타자치거나 게임할 때 엄청 편해요. 키감도 경쾌해서 게임할 때 좀더 피시방 느낌이 나는 것 같고, 다이얼 하나로 볼륨조절이 쉽게 되는 게 진짜 편하네요. 이정도 기능들이 있는데 가격이 비싸지는 않아서 가성비 정말 좋은 게이밍키보드예요.","['https://phinf.pstatic.net/checkout/20200808_74/1596889518685EqWXo_JPEG/review-attachment-215c0c21-933b-4c2c-a770-12cb97aa5adb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_180/1596889538785DFGAu_JPEG/review-attachment-606ea4cc-6754-4f67-9a61-8abd25656ca2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_242/1596889575053A3Yzq_JPEG/review-attachment-b93bf601-2662-40bd-9188-83a2c8304862.jpeg?type=f287']"
5,"신제품이 나와서 얼른 구입해봤습니다.
LED 잘 들어오고요, 에러가 나거나 불편함은 없습니다.
팜레스트는 사용자에따라 필요가 없을수도 있겠으며, 전작대비 자력이 약해져서 잘 떨어집니다.
청소도구, 축교환도구가 없는점은 조금 아쉽습니다.(요부분에서 기계식 입문자는 다른제품으로 시작하는것도 나쁘지 않을것 같다는 생각)
대부분의 키보드 리뷰들이 통울림이다 스프링소리가 거슬린다 여기에 중점을 맞추고 있는데 일부러 세계 두드리고 귀기울이지 않는이상 신경쓸 필요는 없는것 같습니다.","['https://phinf.pstatic.net/checkout/20200623_48/1592870229409839Yi_JPEG/C6C85EC6-15DF-4226-AAA4-CADE2C365DAB.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_204/1592870230098ghTrO_JPEG/2D087B27-E1EE-49E6-AA29-1E61F692E328.jpeg?type=f287']"
