star_point,comment,photo
5,"수도권이라 그런지 금요일 오전에 주문했는데 토요일에 빠르게 바로 배송 받았어요! 로** 제품으로 전부터 알아보고 있었는데 얼마 전에 이 제품 발견하고 후기가 좋아서 이걸로 결정했어요!
키가 동글동글한 것보다 상대적으로 네모모양이어서 좀 더 넓은 느낌을 받아서 좋았고 손이 작은 편이 아닌데 편하게 잘 타이핑하고 있습니다. 문서 몇 번 작성해봤는데 손목 피곤함도 딱히 느껴지지 않았어요
타자도 빠른 편인데 딜레이 느껴지지도 않고 좋아요! 제가 타자가 빨라서 그런지 독서실이나 도서관에서 쓰기엔 부적합할 것 같아요. 근데 독서실에서 살 목적으로 구매한건 아니라 .
! 건전지도 센스있게 같이 보내주셨어요
아이패드 프로 2세대 10.5인치 사용중인데 아이패드보다 조금 더 옆으로 긴 수준이고, 라이브워크 파우치에도 잘 들어가고 지퍼까지 잠깁니다!
친구한테 추천할만한 제품이라고 생각합니다! (직접 타이핑 하는 영상도 첨부했는데 동영상에서는 실제보다 소리가 좀 더 크게 느껴지는 것 같아요!)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_22_0/64828e8f-e447-11ea-b703-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_110/1598080392894rg5sX_JPEG/review-attachment-d6dafdf7-74e3-442f-8489-de17908fa3d6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_80/1598080415153dKxdo_JPEG/review-attachment-7f53e8bf-070f-4b87-a9eb-97271d299c22.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_12/1598080422909KrlvE_JPEG/review-attachment-4692f288-ac24-4c15-a81f-cd1b034027c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_270/159808042989728jWc_JPEG/review-attachment-0038a86f-2f2c-4fe5-a4ce-bfb7f7e5527e.jpeg?type=f287']"
5,"장바구니에 블랙 색상 담아만 놨다가 실버 올라온 거 보고 바로 실버로 질렀네요. 블랙은 키스킨 씌우면 좀 애매할 것 같아서 실버로 구매했는데 너무 마음에 들어요. 손이 작은 편인 제가 쓰기에 딱 좋은 크기네요. 누를 때 약간 탄력있게 눌러져서 힘이 들어가는 게 흠이라면 흠이지만, 이건 개인 취향 차이라 뭐..

지금 후기 쓰는 것도 키보드로 쓰고 있는데 반응 속도도 거의 같고 각도가 딱 쓰기 좋은 각도네요. 무엇보다 꼼꼼하게 에어캡 빵빵한 걸로 포장되어 와서 파손 걱정도 덜 했어요. ㅎㅎ

키보드가 약-간 오목해서 칠 때 손가락 닿는 부분이 편하네요. 그리고, fn키 누르고 F10키 누르니까 바로 블루투스 검색이 되네요. 설명서에 쓰인대로 F10버튼만 누르면 검색이 안 되고... 원래 이런건가요? (뭐 등록도 빠릿빠릿하게 잘 되긴 하지만.. 설명서에 써진대로 하는데 안되는 건 처음 봐서요.)

가격적인 면에서는 매우 만족합니다. . , 건전지와 키스킨이 기본 구성이라니. 어쨌든 전체적으로 매우 만족합니다! 탭이랑 쓰려고 샀는데 편하고 좋아요~","['https://phinf.pstatic.net/checkout/20201119_24/1605767484292yLaTc_JPEG/review-attachment-2589674f-a54e-42cd-aef1-6a5a3c7fea6a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_149/1605767495299cJVoU_JPEG/review-attachment-99d2aaae-315f-4d0f-87da-ad15b8ca9307.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_47/1605767503899yjFUG_JPEG/review-attachment-8c5b56df-13e4-4c83-8630-e29d9cf6d049.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_128/1605767514134pzEa2_JPEG/review-attachment-fe845abe-df44-4838-bd6f-775a4cf7ba64.jpeg?type=f287']"
5,"블루투스 키보드로 가장 잘 알려져 있는 로**과 이 한성 제품을 고민하다가
여러 측면에서 한성 컴퓨터가 더 나을 것 같아 선택 했습니다.
1. 최신제품
뭐 잘은 모르겠습니다만 로**은 출시된 지 4-5년 정도 됐다고 하더라고요. 이 제품은 따끈한 신상이라 기능이 더 좋다고 알고 있습니다.

2. 가격
더 좋은 기능을 가졌음에도 가격은 1만원 정도 더 저렴하죠.
후기에서 타 제품 키감이 더 좋다는 말도 더럿 있었는데요. 저는 개인적으로 큰 차이 못 느끼겠어요
테스트로 로**제품 써본 적 있는데 그냥 똑같아요. 오히려 한성이 조금 더 커서 손가락이 큰 사람한테는 이 제품이 더 잘 맞을 것 같다는 생각이 드네요.

3. 키스킨이 기본 구성
사실 키스킨 자체는 얼마 안 하지만 배송비 때문에 몇천원 더 소비해야 한다는 게
아까울 수 있는데 이 제품은 기본 구성포함이니 추가로 구매해야 하는 귀찮음도 덜어주고, 돈도 절약할 수 있어 일석이조 같습니다.
또한 키스킨이 주는 타이핑의 안정감과 타이핑 소리를 줄일 수 있다는 것도 좋고요.

4. 한글 버전
이 제품은 한글버전 뿐이라 구매하는데 헷갈리지 않아서 좋아요
타 제품은 병행과 코리아 버전, 2가지라 헷갈렸거든요. 검색하니 가격적인 측면에서도 차이가 났고요.

기기이다보니 잠시 써봐선 모르고, 또 어떤지 정확하게 파악이 불가능하겠지만
현재로서는 굉장히 만족합니다.

개인적으로 실버가 11월 중으로 출시된다고 해서 실버를 구매하고 싶었는데
아쉽게도 그러진 못했네요ㅠㅠ

보기에만 예쁜 제품이 아니라 실용성이 좋은 제품같아 만족합니다ㅎㅎ
다들 고민하고 있다면 한성으로 넘어오세요
국산품을 애용합시다 하하하","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_06_0/cd85f942-1ff5-11eb-bbe3-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_260/1604642597844BNpOR_JPEG/review-attachment-cc01a636-0698-4a18-8b86-f86c1558be32.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_228/1604642598489iapGG_JPEG/review-attachment-6f35a390-563f-4b1b-99b8-d346e1c9e3bb.jpeg?type=f287']"
5,"박스는 없었지만..음 빵빵한 완충제라서 제품에 이상은 없었습니다. 배터리도 기본 옵션으로 오는게 참 좋네요. 키스킨도 착용된 상태로 포장되어 있습니다. 근데 딱히 없어도 엄청 시끄러운 정도는 아닙니다. 키스킨 끼니까 타자 소리가 작아지기도 하고 타건감이 더 좋은것 같아요. 타건감은 개인취향이니까 패스하시고, 제일 큰 장점은 가벼움인 듯 합니다. 무게는 아이폰 11 pro 투명 케이스 낀거랑 무게가 거의 비슷합니다. 블루투스라 딜레이가 있을까봐 걱정했는데, 적어도 제 타자속도에는 밀리거나 끊기거나 한 현상은 없었습니다. 설명서에 있는 단축기 다 잘 작동하고, 마우스는 5천원이라 그냥 패스하겠습니다. 솔직히 이 가격이면 뭘 따지고 자시고 할건 아닌거같아요. 비싼장비를 써봤다? 주력으로 쓸거다? 하시는 분들은 그냥 겁나 비싼 유선 마우스 사세요. 싼거 사놓고 이래저래 구리다고 따지지 마시고.. 애초에 저는 아이패드랑 쓸거라서 무난하게 싼 가격에 잘 샀다고 생각합니다. 마우스 클릭 소음은 조금 있습니다. 구매하실 분들은 이 점 유의 하시구요. 이거 외에는 정말 불만없이 잘 쓸거같아요 감사합니다. 6개월 내로 고장만 안나면 좋겠어요! ㄹㅈㅌ 사의 현재 유튜버 때문에 떡상한 '그' 키보드를 비싼 돈 주고 사는거보단 이 제품 사는게 더 이득인 것 같습니다.","['https://phinf.pstatic.net/checkout/20201011_142/1602409381869vBBw0_JPEG/review-attachment-ff73dbc8-3636-4dab-a8b9-f5104cfc0221.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_44/1602409382051fka7K_JPEG/review-attachment-0fc2d540-8355-4a4f-a7d5-8e7f47f69afc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_280/1602409382360vQSzf_JPEG/review-attachment-47cacc80-1f9e-4824-bf11-b4fcb514ecc5.jpeg?type=f287']"
5,"원래는 다른 거 살까하다가 가격이 부담되서 찾아보던중 후기가 많아서 구매하게 됐어요.

배송 : 완전 짱 빨리 왔음

포장 : 던져도 안 깨질 듯한 튜브를 낀 것 같은 비주얼의 포장

외관 : 블루투스 키보드 치고 꽤 커서 저는 좋았어요! 그리고 너무 투박하지도 않고 깔끔해요.

성능 : 빠르고 인식도 잘 되네요 히히
돈 안 아까워요!

만족도 : 오늘 처음 받았는데 일단은 . 배터리로 같이 주셔서 받고 바로 쓸 수 있어서 좋았어요. 위에서 말한 것 처럼 페어링이 빠르게 잘 되서 제일 만족스러운 것 같아요.
한달 후에도 좋은 후기 쓸 수 있길 바라며,,","['https://phinf.pstatic.net/checkout/20200822_226/1598069015237IvCA8_JPEG/review-attachment-fd39c5e3-714a-4c9c-9a06-a09e2def19c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_261/1598069015313mYcBB_JPEG/review-attachment-161187d8-5990-422c-8a76-cb0aa15b20fa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_281/1598069014555GhS2r_JPEG/review-attachment-cb8e3b3c-f7d2-488a-bcf5-991f77a56f0d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200822_161/1598069015340HcVhC_JPEG/review-attachment-e26ab029-b860-44e7-b810-74e5b8bdbe61.jpeg?type=f287']"
4,"배송은 하루만에 빠르게 도착했습니다

키보드는 플라스틱 소재가 아니어서인지 어느정도 무게감이 있긴합니다. 하지만 가방등에 넣고 휴대하기에는 괜찮은 크기입니다. 사진상에 제 태블릿이 갤럭시탭s7+인데 가로사이즈가 거의 딱 맞네요.. ㅎㅎㅎ

키감은 일반 키보드에 비해 키간 거리도 좀 있고 백스페이스나 각 키들 사이즈가 조금씩 다른 부분이 있어서 아주 익숙하게 사용하기엔 시간이 좀 걸릴듯 하지만 그래도 나쁘지 않은 타건감입니다.
타건 기본제공되는 키스킨 장착하면 소리는많이 줄어듭니다. 키스킨 장착후 타건감도 나쁘지 않네요.

3가지 기기에 블루투스 페어링되는데 페어링 전환속도가 약 오래걸리면 2~3초정도 걸립니다. 저는 개인적으로 불편하지는 않았습니다.

민트를 선택하려다 실수로 핑크로 선택해서 받았는데 생각보다 색이 꽤 이쁩니다.

가성비가 아주 좋은 블투 키보드라고 생각합니다.

유명한 타사 제품을 써보지는 않았지만 비슷한 성능이라면 이제품 선택하셔도 좋을거 같습니다.","['https://phinf.pstatic.net/checkout/20201029_133/1603976290156ddTcR_JPEG/review-attachment-1004904d-069e-4065-9170-a4386ac9b2af.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_196/1603976296844YqKwT_JPEG/review-attachment-4c891e25-1114-4b88-9a45-0c0ad31cde61.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201029_245/1603976304917mi0Rn_JPEG/review-attachment-e632414b-32a8-4b49-b8f9-42a1ee909db0.jpeg?type=f287']"
5,노트북과 데탑을 쓰는중인데 키보드가 2대나 책상위에 있어서 매우 불편했습니다. 게다가 유선키보드들이라 키보드 선도 정리하기 어려웠구요 보기에도 지저분했습니다. 이 제품으로 바꾸니 책상이 아주 깔끔해졌습니다. 포장 빵빵하게 되어 배달되었고 배송도 빨랐습니다. 친절하게 건전지까지 동봉이 되어 있었고 한성 제품을 처음 써보는데 꼼꼼하게 제품을 준비하였다는 인상을 받았습니다. 키보드 적응하는데 시간이 좀 걸리겠지만 별 기대를 하지 않았는데 아주 만족스럽니다. 키압은 약간 있는 편이지만 나쁘진 않은 편이구요 F1~ del 키 사용을 위해서는 FN + esc 전환을 한번 해줘야 하더군요. 작고 가벼워서 휴대도 편할듯 합니다. 키스킨 없이 보면 키보드가 작그 귀엽습니다. 적극 추천합니다.,"['https://phinf.pstatic.net/checkout/20201020_134/1603203522109nQ0fJ_JPEG/review-attachment-4b2fa8d7-1c11-4645-8374-c3c73c75e798.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_113/1603203530018ab98r_JPEG/review-attachment-92d7701d-3de7-4437-956c-0ac550741723.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_18/1603203529633vE21r_JPEG/review-attachment-9e24e1b4-3a95-46a1-98a7-1414706b65e1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_295/1603203529455wh4Jr_JPEG/review-attachment-bff3df34-17a1-4897-acd8-0547e9fe55c8.jpeg?type=f287']"
5,예전에 쓰던 블루투스 키보드는 반응 속도도 느리고 키감이 너무 안 좋았었어서 지금 제품에 대만족입니다. 연결 느리면 불편한데 키보드 전원 버튼 올리자마자 딱 뜨는 거 보고 깜짝 놀랐습니다. 지금 받자마자 이 상품으로 리뷰 작성 중인데 정말 좋습니다. 색깔 키보드 위에 하얀 키와 회색 버튼이 너무 세련되고 잘 어울립니다. 주문할 때 핑크색이랑 정말 많이 고민했는데 민트 너무 마음에 들고 핑크도 정말 예뻤을 것 같아요. 실물 깡패인듯 ㅠㅠ 실물이 훨!씬! 예쁘고 괜찮습니다. 근데 지금 키스킨 끼고도 소리는 꽤 나네요. 저는 집에서 주로 사용하기 때문에 상관없지만 조용한 장소에서 쓰실 분들은 조심히 누르셔야할 것 같습니다. 태블릿 구매하고 나서 주문했는데도 빨리 와서 바로 사용할 수 있어 정말 좋네요! 왜 다른 분들이 리뷰를 통해서 고민하지 말고 사라는 이유를 알겠어요! 사람마다 체감은 다르겠지만 저에겐 느껴집니다. 이전에 쓰던 키보드는 이 가격에 두배 주고 사고도 마음에 들지 않고 장난감 같았는데 정말 맘에 들어요 ㅠㅠ 이 시리즈로 꾸준히 업그레이드 해주시고 계속 내주시면 다음에도 또 살 의향있습니다!,"['https://phinf.pstatic.net/checkout/20201101_85/1604226306078TYCe1_JPEG/review-attachment-a9202811-4537-4c08-ad3e-b2131df824ea.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_53/1604226314607A6ouX_JPEG/review-attachment-bbbac871-54e4-45c4-a268-3c99afbbae63.jpeg?type=f287']"
5,"여러분 그냥 다른 블루투스 키보드 특히 로지텍 k380이랑 고민하지 마시고 한성bk300으로 결정하세요!!! 훨~~~좋습니다!!!!!

배송 : 와~~진짜 미쳤어요!! 에어캡에 완전 제대로 포장해서 왔어요!!! 고가의 전자제품 회사들도 안 해주는데 있는데 한성 진짜 감동입니다!!! 에어캡에 박스포장 제대로 되어있어요!!

키보드 : 제가 로지텍 k380써봤었는데 한성 bk300이 훨씬 좋네요!! . 그리고 키캄은 사람마다 취향이 다르지만 전 한성 bk300이 훨씬 제 스타일이였고 자판도 커서 타이핑하기 너무 편해요!!
그리고 이 가격에 키스킨이랑 건전지까지 덤으로 보내주시니 정말 한성 칭찬해요~~!!","['https://phinf.pstatic.net/checkout/20201017_54/1602936633500PRMJ3_JPEG/review-attachment-b5c41291-5115-4589-ab8d-7fb7e70108b2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_69/1602936646693K3tns_JPEG/review-attachment-41b9f01f-055d-474c-80cf-b5a77398d2ce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_206/1602936647369ELGKP_JPEG/review-attachment-84002b1e-fc85-456a-ab67-fe5c6759ace7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201017_149/16029366473773Ow2T_JPEG/review-attachment-9028b150-09b4-42a4-9a61-c17f4b774df0.jpeg?type=f287']"
4,"블투 키보드 찾다가 가격과 무게 감안해서 로지x 제품 대신 요거로 구매했습니다. 확실히 가볍네요. 다만 키보드 위쪽이 배터리로 약간 경사진 디자인인데, 아래쪽에 딸깍이로 경사를 조절할수있게 하면 더 좋겠어요. 개인적으로 경사진 키보드가 손목이 손등쪽으로 더 꺾여서 더 피로감이 많이 느껴지거든요.
갤탭s7+ 쓰는데 키보드랑 가로 길이가 거의 흡사해(탭이 0.3cm 정도 짧아요) 세트 같아서 마음에 들어요. 정품 키보드북커버 가격과 비교하면 훌륭해요. 페어링도 잘되고 동글이 오면 데탑이랑도 같이 쓰려고 합니다.
키감이 확실히 기계식이나 일반 키보드에 비해서 많이 떨어지지만 키패드가 사각 모양이라서 오타가 크지 않고 손이 크지 않으신 분들은 그래도 무난히 쓸 수 있는 정도입니다. 휴대용에서 기계식만큼의 키감을 찾는게 무리겠죠. 전체적으로 타건감이 잘 안들 정도로 가벼운 키감에 약간 통통 튀는 느낌입니다.
다만 새로 발매된다는 실버 색상을 구입하고 싶었는데 그냥 예정만 써져있고 유선상으로 문의해도 날짜가 안내되지 않아서 아쉬웠어요ㅠ 솔직히 색은 민트나 핑크가 색감이 좀 촌스러워요. 블랙도 키패드 부분이 너무 기름기가 티 잘나는 재질에 블랙+ 페어링 그레이+포인트 블루 색 조합이 그닥 세련되진 않습니다. 추후 모델 내실 땐 좀 더 색감을 고려하시면 질 거 같네요. 어쨌든 전자기기도 요새 디자인이 중요하니 그것 때문에 별 하나 빼고 평가합니다.",['https://phinf.pstatic.net/checkout/20201112_285/1605157107789wdbrY_JPEG/review-attachment-ecdeb1f9-6b71-4ebc-a90c-4f4efbeac2b9.jpeg?type=f287']
