star_point,comment,photo
5,"글을 쓸 일이 많은데 타자를 원래 세게 치는 편이라 노트북으로 타자를 치면 손이 계속 피곤해지더라고요. 키보드를 따로 쓰면 좋겠다 싶어서 이리저리 추천받고 알아보다가 이 제품을 추천받았어요. 원래 한성 Gtune GK600을 사려고 했다가 이 제품이 전반적인 성능이나 가성비 면에서 훨씬 우월하다고 해서 이 제품으로 구매했습니다. 하얀 제품이 때를 타는게 싫기도 하고, 검은색을 워낙 좋아해서 블랙 색상으로 구매했습니다.

1. 배송이 정말 빠르게 왔습니다. 18일 밤에 구매했고 19일에 물량이 많아서 언제 출고를 할 지 모른다는 답변을 해주셨는데, 그날 저녁에 출고되어서 20일에 받았습니다. 호남권인데도 배송이 정말 빨랐어요.
(네이버 톡톡으로 문의드렸는데 친절하게 답변해주셨습니다.)

2. 포장이 정말 튼튼하게 되어서 왔습니다. 아파트 옥상에서 떨어트려도 멀쩡할 정도로 튼튼한 에어백에 싸서 보내주셨어요. 동 제품 다른 사이트는 배송이 너무 허술하게 왔다는 이야기가 있던데, 공식 사이트라서 그런지 배송면에서는 더할나위 없이 만족스러웠습니다.

3. . 괜히 오피스마스터라는 이름이 붙은게 아니라는 생각이 드네요. 키는 눌렀을때 맑게 울리는 것 보다는 조금 사각사각거리는 느낌이 있습니다. 동영상 참고하면 아시겠지만 제가 타자를 남들보다 강한 힘으로 치는 걸 감안해도 . 저한테도 이어폰을 끼면 잘 들리지 않을 정도였습니다.

4. 게임을 할때도 충분히 좋은 키보드이지만, PC방의 청축 키보드처럼 리드미컬한 느낌은 나지 않습니다. 다만 애초에 타자용으로 산 만큼 이게 부족한 점이라는 생각은 들지 않아요. 애초에 저소음 적축 제품이니까요.

5. 한영키가 있는 자판은 타건음이 들리는 편이지만, 그 외의 키들은 타각이는 소리가 잘 들리지 않습니다. 기분탓인지는 모르겠지만 타자를 칠때는 소리가 큰 편이고, 기타 부호나 숫자를 칠때는 소리가 좀 더 작은 느낌이에요.

일단 받아보고 당일에 느낀 소감은 이정도입니다. 키보드에 대해서는 문외한인 제가 느끼기에는 상당히 괜찮은 키보드라는 생각이 들었는데, 키보드 수집 등을 취미로 하시는 분들은 어떻게 생각하실지 모르겠습니다.

한달간 사용하면서 느낀 장단점은 이후 한달 리뷰를 작성할 수 있으면 그때 추가로 작성하겠습니다. 일단 눈에 띄는 단점은 없다 정도로만 알아주시면 될듯합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_20_0/44e28eb9-e2ce-11ea-9ec6-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_225/1597918591109DLd1C_JPEG/review-attachment-f88d3208-fd77-4763-9ddc-4312a14fe3a4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_29/1597918598676tXJhl_JPEG/review-attachment-2161c390-d21c-40a2-ae9c-b052cf810dda.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_284/1597918605525cBQFx_JPEG/review-attachment-f9fb0de8-5e59-40bf-807c-42447a46097a.jpeg?type=f287']"
2,"그냥 쓰면 제법 조용하긴 한데 뽑기운이 심합니다.
스위치 키감 자체는 적축보다 조금 쫀득한 편인데 스위치 내부 스프링 소음이 심한 키도 있는 반면 소음이 별로 안나는 키도 있습니다.
구름타법 시에 더더욱 심하게 스프링 소음이 나고요.
그런데도 불량이 아니라며 AS를 거부했습니다.
내부 스펀지가 없는것과 마찬가지라서 의미가 없다고 봅니다.
극단적으로 조용한 환경에서 사용하시기 원하는 분은 자가수리 가능한 분에 한해 스펀지 교체와 스위치 윤활을 권장해드립니다.
키스킨은 스카이 디지탈 R3 키스킨이 사이즈가 얼추 맞습니다.

상당히 조용하고 나쁘진 않지만 뽑기운이 아주 심하고, 사용자가 이렇게까지 해야 쾌적하게 사용할 수 있다는 점에서 별은 뺐습니다.

현재 소음은 거의 나지않고요, AS를 포기하면서까지 한 튜닝이니 잘 사용하겠습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_13_0/5f78c810-f5b8-11ea-85fa-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_198/1599997858188bgF3c_JPEG/review-attachment-9c63aa8a-c7ef-4086-bf61-0af41b236799.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_77/1599997911848y0Ir5_JPEG/review-attachment-9b6648ba-28c0-4a9d-a325-c5416568f5dd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_285/15999980188460KtWo_JPEG/review-attachment-e9e101fd-8578-4da0-ae6b-03223011308e.jpeg?type=f287']"
5,"정말 이건 뭐랄까.... 센세이션? 와우...
제가 아는 저소음적축중에 최고였어요...

저는 원래 청축을 사용하고 있었습니다. 예 맞아요 키감은 경쾌하고 사운드는 신나지만 그만큼 시끄럽고 오래타이핑하다보면 손마디도 살짝저리고 밤에 컴퓨터하면 등짝스매싱을 많이 맞고 시끄럽다고 한여름 푹푹찌는더위에도 문을 꼭꼭닫고 해야합니다.

그렇게 알아보다 기본적축, 갈축, 무접점등 알아보다 무조건 조용한건 저소음적축이 갑이다. 그리고 은 오피스마스터다 라는 말을 듣고는 바로 의심없이 질렀습니다. 배송을 기다렸는데 생각보다 빨리오네요.

배송받고 또 놀랐습니다. 와 이건 뭐 에어캡포장이 이대로 바로 미국NASA로 보내서 우주선이 싣고 가도될 만큼 꽁꽁 진공포장이네요. 미쳤다 미쳤어

타이핑을 하는순간 저는 한겨울 눈이 소복이 쌓인 들판위에 서있다는 것을 깨달았습니다. 하나하나 타이핑할때마다 '뽀닥뽀닥' 눈위를 걸어갔습니다. 여름이지만 겨울을 체험할 수 있는 그런 키보드입니다.

led안들어오는데 왜사냐고요? 허허 화면보고 게임하지 키보드보고 게임하나요? 문서작업또한 모니터보고 서류볼 시간도 없는데 키보드를? 노노노 !! 감성을 느끼고싶다면 음악을 들어 귀를 통해 input 하십시오 ! 내 눈은 모니터보기 바쁘니까!!!!! (그리고 불끄고 어두운환경에서 led키보드 반짝이면서 컴퓨터하면 눈에 정말 안좋음)

아 여튼 그냥 이거 사세요. 뭐 알아볼 시간에 하고싶은거 하는게 훨씬 이득입니다.

이거 사!!!!!!!!!!!!! 사라고 당신은 이걸 살수있다. 넌 이미 사고있다.","['https://phinf.pstatic.net/checkout/20200905_34/1599291617396f2jQ8_JPEG/review-attachment-dc50c370-ee02-4728-9cb2-f6d8a417911e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_233/1599291627478gNfxz_JPEG/review-attachment-3d30b17f-616c-4769-9c4f-6b103a92664d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_100/1599291636690wCNu2_JPEG/review-attachment-f6c390c5-4db4-4cbf-90bb-d2c7280939f5.jpeg?type=f287']"
5,"상품자체는 상당히 만족스럽고

처음 문제 있는 상품이 와서 대응도 빠르게 잘해주셔서 너무 좋았습니다

하나 단점은 마감이 별로 좋지 못합니다

이가격에 충분히 건 맞는데 좀 아쉽습니다

사진은 키보드가 사선 모서리 방향으로 높이 차이가 생겨서 그런건지 까딱까딱 거려서 종이를 접어서 대놨는데 아래에 논슬립 고무에 비해 좀 미끄럽습니다 ㅜㅜ","['https://phinf.pstatic.net/checkout/20200727_168/1595835394675rf9YK_JPEG/review-attachment-8b6ff205-0aac-46b8-ad1e-ee0a115ac8e0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_165/1595835394660nB33M_JPEG/review-attachment-c1a8045a-e557-489f-928a-742c8ca51c5f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_175/1595835435033JT3e1_JPEG/review-attachment-2917a03b-0971-400e-9221-6b1c76db7037.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_107/1595835506096NbDlI_JPEG/review-attachment-03882480-240d-41fb-bd91-ab2790e6ff10.jpeg?type=f287']"
5,"* 근무처에서 4 영업일 써보고 수정하는 리뷰.

- 하우징
하우징 뒤틀림이 있습니다. 묘하게 수평 안 맞아서 덜컹거리는데...
플라스틱 하우징 쓰는 분들 다 아시죠?
양쪽 위아래 모서리를 대각선으로 잡고 살살 뒤틀어 보세요.
자신이 쓰는 책상에서 수평이 잡힌다 (...) 싶을 때까지 살살 맞춰서 해보면 됩니다.

그정도로 힘센 사람이 있는지는 모르겠지만
하우징이나 보강판 부서지게 막 뒤틀진 마시고요.

- 키캡
평소에 집에서 레오폴드 660m 쓰는 사람인데 레오폴드 같은 키캡은 당연히 아니지만
ABS보단 훨씬 . 당연하게도.
키캡에 검은 점? 같은 건 간간이 있는 거 같은데
회사에서 쓰는 물건에 그렇게 진지하지 않아서 별로 모르겠습니다.

로우 프로파일 키캡이 생각보다 어색한데 쓰다보니 익숙해지고 괜찮아요.

- 가격
저소음적축 풀배열이 이 가격이라니 가격만 보면 묻지도 따지지도 않음.
집에서 관리하면서 쓸 거라면 더 비싼 걸 살 수도 있겠지만 (레오폴드...)
회사에서 저소음적축을 쓰고 싶은 사람은 선택의 여지가 없음ㅋㅋㅋ

- 키 입력
회사 전산이 문제지
키보드는 문제가 없습니다.
무엇보다 기계식 키보드 숫자키는 처음 써보는데 입력 진짜 깔끔하게 잘 되네요. 멤브레인 쓸 때 숫자쓰다 입력 안 될 때의 급빡침을 생각하면...
납작 멤브레인 쓰다가 쓰니까 정말 좋습니다.

- 키보드 타이핑 하는 느낌
저소음적축과 멤브레인이 뭔 차이냐는 말도 있지만
멤브레인과 저적만 써본 사람 입장에선 그 둘이 정말 다릅니다.

멤브레인 쓰고 있다보면 자꾸 저적 생각나는 그런 게 있음.
회사에서도 저적 생각이 자꾸 나서 결국 한성 걸로 산 거고요.
키보드에 예민해서 그렇겠지만, 그래도 회사에서 빡칠 때 키보드 치고 있으면 기분이 진정됨(?)

그 정도로 저소음적축 키보드를 즐기는데는 무리 없고 조용한 키보드입니다.
기계식 키보드 특유의 키캡이 부딪히는 소리라든가, 스프링 울림 소리라든가 없는 게 아닌데
기계 돌아가는 소리, 에어컨 돌아가는 소리, 사람 돌아다니는 소리 나는 회사에서 쓰면
싸악 다 묻혀서 무소음키보드처럼 됩니다ㅋㅋㅋ",['https://phinf.pstatic.net/checkout/20200819_289/15977642310279vGQV_JPEG/review-attachment-250e6ac7-6022-4210-bf16-9f91e717785d.jpeg?type=f287']
5,"기본기에 충실한제품입니다 그래도 윤활및 스테빌오링작업하시면 스테빌소음이 훨씬더 잘잡힙니다.
기본흡음재는 콕스의것에비해서 훨씬좋은편이나 약간의 통울림이있는데 신슐레이터로 교체하면 조금더 나아집니다. 근데 굳이 분해해서 손봐야할정도는아닙니다.","['https://phinf.pstatic.net/checkout/20200909_165/1599648937697d93FR_JPEG/review-attachment-851a0237-bead-4072-9ea3-9b97bd45ff2c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_125/15996489508488YAxY_JPEG/review-attachment-dc5973d3-d10d-4749-b423-80b837be1839.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_39/1599648950841c17XF_JPEG/review-attachment-675cca4f-f7fe-48f2-b6ea-c50298305807.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_243/1599648958024zVsy7_JPEG/review-attachment-1e4dfe40-967a-4b86-af5f-804dfc145402.jpeg?type=f287']"
5,"생각보다 조용합니다.
만족합니다.

흡음재 1장 들어있습니다. 추가로 보강할까 했지만 기판과 하판 사이의 공간이 좁아 1장 밖에는 들어가지 않더군요.

키캡 퀄리티는 그렇게 뛰어나지 않지만 그럭저럭 쓸만합니다.

케이블은 분리형 C타입 이지만 약간 유격 차이가 있는지 뒤집어서 끼면 완전히 껴지지가 않더군요. 하지만 정방향으로 끼면 되니 신경 쓰이지 않습니다.

타건감은 살짝 먹먹해서 눌리는지 아닌지 헷갈릴 때가 있지만, 적응하니 괜찮습니다.","['https://phinf.pstatic.net/checkout/20200910_174/1599730022949YUlwQ_JPEG/review-attachment-051e4b50-fb11-4e4f-93ed-63fff7ab0dcc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_217/1599730041352SjCgn_JPEG/review-attachment-942535f6-92eb-4f3c-bb34-a9be5e4542be.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_174/1599730053891v3nWm_JPEG/review-attachment-1b03faa6-6097-4814-bbe6-c108c5cc8bdc.jpeg?type=f287']"
5,"저는 이 리뷰를 이 키보드로 작성하고 있습니다. 주관적인 생각이 100퍼센트 함유되어 있습니다. 생각했던 것보다 배송이 빨리 왔습니다. 주문을 하고도 하루 넘게 재고 확인 중이라길래 내심 걱정을 하고 있었지만, 그 걱정은 기우였던 것 같습니다. 타건감은 키압이 살짝 부족하다는 느낌이 들기는 하지만, 그건 흑축이 아닌 적축 그 자체와 제 손의 문제인 것 같습니다. 다만 키캡이 전에 쓰던 것보다 얇아서 스트로크 길이가 짧게 느껴집니다. 키캡에 대하여 더 이야기를 하자면, 무난하다고 생각합니다. 문제가 없어요. LED가 없는 것은 솔직히 말해서 단색 흰색이라도 넣어 주면 좋겠다고 생각하지만, 그랬다면 가격이 올라가 버렸겠지요. 하지만 저소음 적축을 사용하는 주된 이유는 소음 때문일 것 같은데, 정말로 조용합니다. 제 집안에 굴러다니던 오래된 삼성 멤브레인 키보드보다도 조용한 것 같은 기분이 들어요. 다만 어인 이유에서인지 스페이스바를 튕기듯이 누르는 경우에는 일반 키캡보다 소음이 더 크게 나는 것 같습니다. 착각일 수도 있어요. 위에서 언급했듯이 스트로크 길이가 상대적으로 짧은데, 그래서인지 오타가 줄어든 것 같은 기분이 들어요. 물론, 이 말의 진위는 지평선 그 너머로. 전반적으로, 되게 만족스러운 키보드입니다. 추천할 만 하다고 생각해요.",[]
5,"조용해요. 키감도 약간 쫀득한맛도 있고 소리도 예쁘고.. 얌전한 느낌입니다. 쎄게 눌러도 큰 소리가 안 나요. 가장 좋은건 키압이 낮아서 약하게 눌러도 타이핑이 잘 된다는겁니다. 하루종일 타이핑하느라 손가락 빠지는줄알았는데, 앞으로는 좀 괜찮아질 것 같습니다. 색상은 그냥 무난하고 깔끔한 블랙. 보면 볼수록 예쁘다는 생각이 듭니다.","['https://phinf.pstatic.net/checkout.phinf/20200717_7/1594983950461KjnRp_JPEG/review-attachment-a6987223-be6f-47c7-8d93-78938bc3f756.jpeg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200717_246/1594983948699w4qdU_JPEG/review-attachment-553353ed-2178-497b-b862-9610056dd768.jpeg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200717_110/1594983949822Rbx8x_JPEG/review-attachment-364ad58f-c43a-4baa-8faa-1cbcf1c8b9da.jpeg?type=f287']"
5,"한달 사용하면서 키감의 느낌 적용이 되니., 상당히 부르덥고, 편안해 지네요. 처음에는 이게 약간 서걱인다 해야 되나? 키압을 최대한 눌러야 되나? 싶은 생각도 들고했지만, 살짝 최대보다 약하게 눌러도 입력이 되는 포인트를 찾으면 참 부드러운 타격이 가능한 키보드인듯 합니다.
키보드를 오래 쳐서 그런지 사실 키보드의 자판을 볼일이 별로 없어서 불빛여부는 큰 의미가 없어서, 번쩍거리지 않는게 오히려 모니터 집중도 되고 제게는 좋은 것 같네요",['https://phinf.pstatic.net/checkout/20201012_212/1602472706098BuWV7_JPEG/review-attachment-1dce9af5-7aff-49e5-a8b6-7ddd775a8b5e.jpeg?type=f287']
