star_point,comment,photo
5,"한달 사용기입니다! 처음 사용할 때 처럼 드라마틱한 만족감은 사실 거의 사라졌지만, 여전히 만족하며 사용중입니다!!!

장점 1. 타이핑하기 좋은 키보드.
작업하기 위한 키보드가 아니라 타이핑을 위해서 따로 구매했던 키보드였는데, 타이핑 용으로 아주 만족합니다. 키압이 적당히 있는 편(50g)이라 속타에는 그다지 좋지 않지만, 창작하는 글 쓰기에서 확실히 손 맛을 잘 살려줍니다.

장점 2. 작은 사이즈에서오는 몰입감.
크기는 크지않지만 두께가 얇지는 않아 외출 시에 휴대하는 경우는 사실 거의 없습니다. 하지만 확실히 집 안에서 방을 옮겨가며 아이패드와 맥북을 번갈아가며 사용하기에 너무나도 용이합니다. 미니배열 키보드와 아이패드로 글을 쓰다보면, 필요없는 요소들이 배제되는 느낌이어서, 확실히 더욱 몰입할 수 있게 됩니다.


단점 1. Fn 키와 command키 위치가 이상함.
저는 개인적으로 키 매핑을 할 줄 모르고(물론 어렵지 않다고 하지만 그마저 기계치라서 두렵네요.) 맥 유저 이기에 호환된 mac os 키캡을 키보드에 장착해서 사용중입니다. 이 부분에 있어 기존 맥 배열 키보드와 한 거지 다른 점이 스페이스 바 오른 쪽에 바로 fn키가 온다는 점 입니다. 기존 맥 배열 키보드는 스페이스바 오른 쪽 키가 command 였기에, 사용하다 보면 상당히 거슬립니다.

단점 2. 오른쪽 shift키가 너무 작다.
생각보다 제가 오른 쪽 shift키를 많이 쓴다는 걸 이 키보드를 쓰고 나서 알았습니다. 허나, 쉬프트 키가 작아 계속 방향키를 누르게 되는 단점이 있었습니다. 물론 적응하면 할수록 오타는 줄어들어가지만 아직까지도 종종 틀릴 경우가 있습니다.


총평 : 적응이 필요한 부분이 있는 키보드지만, 노뿌 무접점 특유의 키감과 블루투스 그리고 미니 배열에서 오는 장점이 그러한 단점들을 모두 상쇄시켜줍니다. 솔직히 미니배열 무접점 블루투스를 지원하는 키보드는 본 제품 밖에 없어 다른 대안이 없기에 이 제품이 필요하신 분들은 그냥 바로 구매하시는 게 좋지 않을까 생각합니다.","['https://phinf.pstatic.net/checkout/20200802_19/159629765503674iTB_JPEG/review-attachment-9ddb812b-822e-4017-aebf-ab41210e3b9b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200802_205/1596297699460hxxqe_JPEG/review-attachment-e9e11ba2-b8d3-4c24-a329-bc42be20c9bd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200802_19/1596297753610ydNYd_JPEG/review-attachment-f7cab5b1-461b-4f2f-a397-e3eefdae46a3.jpeg?type=f287']"
5,"스트로크 깊이 변경에서 LED가 한번 깜박이는게 깊이가 얕은 건가요 3번 깜박이는 게 얕은 건가요? 설명서 찾아봐도 없어서 일단 중간 단계로 생각되는 2번깜박이는 걸로 놓고 쓰고 있습니다.
문서작업용이라 방향키 필수, 무선 블루투스, 낮은키압, 저소음의 조합을 원했는데 기성품에서는 이게 유일한 것 같습니다. 변태배열인 거 하나가 단점인듯하네요. 키캡놀이 하기 비쌉니다.
35그램은 진짜 스치면 입력되는 정도라고 하길래 정말 가벼울 줄 알았는데 esc랑 백스페이스만 가볍고 알파열은 생각보다 구분감 있습니다. 처음엔 50그램 잘못 온거 아니야? 생각할 정도로요. 100원짜리 동전 7개 올리면 눌리는 걸 보니 35g은 맞는 것 같습니다만 스치면서 입력은 안되더라고요
개인적으로 . 도각서걱 느낌인데 .
다만 . 이리저리 긁힌 자국도 조금씩 보이고요 고질적인 사출자국도 여전합니다.
그리고 스페이스바는 모서리 라운딩처리가 됐는데도 제가 누르는 위치가 애매한 건지 손가락이 아파서 역체결해서 쓰고 있습니다. 원래는 찰칵찰칵거리는 스테빌이 살짝 거슬렸는데 역체결 한다음에는 소리가 다른 키들과 꽤 비슷해져서 굉장히 .
블루투스 멀티페어링으로 아이패드, 노트북, 휴대폰에 연결해서 쓰고 있습니다. 아직은 딜레이나 끊김같은 큰 문제는 못느꼈네요.
완충하고 아직 일주일동안 재충전 안했어요. 나중에 배터리성능 저하가 걱정되기는 합니다. 그래서 배터리 교체형을 더 선호하는데 뭐 선택권이 없으니 어쩔수 없습니다.
원래 화이트를 더 사고 싶었는데 품절이라 어쩔수 없이 블랙을 구매했습니다. 그런데 나중에 하우징 변색을 생각하면 블랙이 나은 것 같기도 합니다. 전 정말 새까만색일 줄 알았는데 짙은 회색, 연필심 색 정도라고 생각하심 될 것 같습니다.",['https://phinf.pstatic.net/checkout/20201026_105/1603640910285BVf81_JPEG/review-attachment-bf0702f5-641d-4c32-94d5-4e7642672e9d.jpeg?type=f287']
5,"제 첫 기계식? 키보드에요
사실 이거 지르고 아마존에서 블프특가로 타 브랜드 키보드 떠서 그거 지르고 한성868티코 받은거거든요
그래서 이거 뜯지말고 반품할까 고민 엄청 하다가 유튜브로 타건영상 보면서 아마존에서 지른 텐키리스 유선이랑 한성 868 무선은 용도가 다르니까 둘다 가지자(!) 라는 결론으로...ㅋㅋ

제가 맥북도 쓰고 윈트북도 쓰고 아이패드도 쓰니까 이 키보드가 여러모로 쓸데가 많을거 가타요 ㅋㅋㅋ 잘쓸게요

제가 아껴둔 수수와타리 키캡도 깔아주니 너무 이쁘네요 ㅠㅠ 쭉 잘 쓸수 있길...","['https://phinf.pstatic.net/checkout/20201128_224/1606559259324iIXna_JPEG/review-attachment-e6cb9445-e92e-4dbb-aeab-e7cdf742c3dd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_275/1606559259252RYRKD_JPEG/review-attachment-412a78c6-05e0-46ec-af3b-e7f20dd89f33.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_100/1606559259160C5XH3_JPEG/review-attachment-254bee67-f821-4da9-b0f2-7e18d1f5fdb2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_26/1606559262699uM7Nj_JPEG/review-attachment-fb15c557-3b3e-4259-97a0-9a577ec90838.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_44/1606559261312PjvMW_JPEG/review-attachment-36b87376-7e12-402b-b60c-f5281b814475.jpeg?type=f287']"
5,"ANNE PRO2 직구 했다가 키 씹힘이 있어서 눈물을 머금고 반품한다음 대안으로 찾은 것이 한성 노뿌입니다 ㅠㅠ 다행히 키 씹힘은 없네요. 물론 가끔은 무한 입력되는 등의 증상은 있어요. 근데 그것은 필코 마제스터치 닌자 컨버터블도 그렇더라고요. 아직 완벽한 블루투스 키보드는 없지 않을까. 하여간 무접점 처음 써보는데(지금까지 체리 청축, 흑축, 갈축만 썼네요.) 좋습니다. 적축을 써봐야겠는데.. 기계식 키보드 무선으로 미니배열로 블루투스로 만들어주세요!","['https://phinf.pstatic.net/checkout/20200425_295/1587807700548LBGO1_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200425_69/1587807700562VsHeD_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200425_2/1587807700690Qn13H_JPEG/4.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200425_132/15878077006372aQyv_JPEG/3.jpg?type=f287']"
5,"인생 첫 기계식/무접점 키보드 입니다. 업무상 타이핑 칠 꽤 되는데 서른 중반 넘어가니 손가락 끝이 저리다 못 해 쓰려서 구입해 봤어요. 후기들 보고 고민하다 35g으로 샀구요.
전 다른 기계식/무접점 경험이 없어서 비교는 어렵지만 키감, 소리, 소음, 크기, 디자인 모두 만족합니다.
키압이 좀 무른 감은 있는데 50g 샀으면 또 세다고 생각하지 않았을까 싶기도 하네요. 구매 생각 있으신 분들은 타건해보고 사시는게 좋을 것 같기는 해요.
전 평소 노트북을 사용해서 키보드 적응도 무리 없었어요. 블루투스 연결시 타자를 멈추었다 다시 재개하면 살짝 딜레이가 있던데 뭐 업무용으로 크게 문제될 정도는 아니에요.
키캡 뒤 사출자국은 좀 그렇긴 한데 앞에서는 안 보이고 평등하게 모든 제품이 그런거니 신경 안씁니다.
한 3주 고민하다 샀는데 일단 매우 만족합니다. 걍 고민되면 지르셔도 괜찮을거 같아요. 전 그동안 고민한 시간이 아깝네요.
술 3번 덜 드시고 사시면 건강에도 더 좋고 아무튼 좋습니다.",['https://phinf.pstatic.net/checkout/20200918_65/1600425140719lqu1q_JPEG/review-attachment-1799b7db-41bd-4850-87e9-3da8a3dc168a.jpeg?type=f287']
5,"언젠가 asmr으로 무접점 키보드를 처음 접하고 나서 긴 고민끝에 구매를 하게 되었습니다. 제가 직접 써보니 정말 신세계같아요,,,,,, 일단 영상으로만 듣던 도각도각 소리가 정말 감동적입니다 흑흑흑... 타이핑 할 일이 많지는 않은데 그냥 만들어서라도 치고 싶게 만드는 소리입니다,, 누르는 느낌도 좋아요 도각도각도각도각 중독적이에요. 미니배열이라 단축키? 기능 키 같은것들은 처음에는 좀 헷갈릴 수 있을 것 같아요. 전 쓰는 게 한정적이라서 몇번 만져보니 조금씩 알겠네여 금방 익숙해 질 수 있을 것 같아요. 제품자체도 만족스럽지만 또 만족스러운 부분은 더스트커버가 구성품이라는 것입니다. 만듦새야 어떻든간에 집에 고양이가 있어서 키보드 사이나 위에 항상 고양이 털이 있어서 약간 스트레스였는데 더스트커버가 있어서 그 점을 커버해줄 것 같아서 좋아요~~~~~~~~ 도착해서 사용한지 불과 몇시간밖에 되지 않았지만 일단은 아주아주아주아주 만족스럽습니다. 한달 뒤에 또 사용기 남길게요!",['https://phinf.pstatic.net/checkout/20201006_24/16019905228352zQ5V_JPEG/review-attachment-01b2b6d2-4471-461a-89ef-ba29d50427d2.jpeg?type=f287']
1,"무접점에 블루투스 키보드가 거의 유일해서 샀는데 키감과 휴대성은 아주 만족합니다. 최상급인것 같습니다. 근데 단점도 꽤 있네요

우선 여러기기 블루투스 하는게 굉장히 버벅거리고 연결 자체가 안 되는 경우가 많습니다. 페어링 해도 다시 전환하면 끊겨있다거나...
기기 1개만 연결해서 하는 건 매끄럽게 잘 작동합니다.

그리고 결정적으로 스페이스바와 'ㅕ' 키가 동일한 압력으로 눌러도 입력이 되다가 안되다가 하는 현상이 나타나네요. 동영상 첨부했습니다.

에휴 서비스 센터 방문해서 수리받고 할 생각하니 번거롭네요ㅠ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_08_0/efffbcea-0920-11eb-8caf-505dac8c3639_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_08_0/083fc6b4-0921-11eb-bd36-505dac8c3721_03.jpg?type=f287']"
5,"윈맥을 자주 왔다갔다하면서 사용합니다. 전환시 Fn 위치가 바뀌는게 조금 불편하다고 구매전 읽었던 글들이 학을 떼시길래 걱정을 좀 했는데 2~3주 사용하니 전 나름 적응할만 하더라고요. 무선은 자주 안쓰지만 변환이 느리진 않은 것 같습니다.
키보드 매니아 뭐 이런분들에겐 스프링소리나 키캡마감등 어떠실지 모르겠는데, 그런거 신경 별로 안쓰는 사람으로서 코딩용으로 정말 잘 쓰고 있습니다. 손이 작은 사람인데 미니배열 사고 나니 ESC 누르는게 너무 편하네요. 키감도 도골도골 참 마음에 듭니다.",['https://phinf.pstatic.net/checkout/20201117_51/1605593195966CHudK_JPEG/review-attachment-ac8273a8-1662-42bd-8488-2cd211b99ac6.jpeg?type=f287']
5,와우 미쳤네요 제 첫기계식키보든데 너무너무 좋아요 소각소각 포각포각 토각토각 사각사각 영상은 좀 또각또각하게나왔는데 실제론 소각포각입니다 키압35랑 50엄청 고민했는데 50도 가볍고 무리되지않아요!! 오히려 살짝 구분감생기면서 아 너무 좋네요ㅠㅠ 50사길 잘한듯 구매하실분들 너무 걱정안하셔도 되겠어요 원래 저적 사려고 했는데 타건샵가서 만져보고 반해서 한성꺼 사게되었습니다 아이패드랑 연결 잘되구요 전환도 fn 이랑 해당키 누르면 슉 돼요! 오른쪽 쉬프트 작은건 제가 손이 작아서 그런지 하나도 안거슬렸어요! 개좋아여ㅠㅠ 돈안아깝네요,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_23_0/6108b3c3-fd81-11ea-85bb-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200923_35/1600854262581c6uoC_JPEG/review-attachment-9a8784a6-6689-4b84-9a76-45032d4aca5d.jpeg?type=f287']"
5,"잘 쓰고 있습니다. 원래 기본키캡이 엄청나게 좋은건 아닌데, 그 핑계로 키캡놀이 하다보니까 신경 안쓰이고요, 맥용으로 변환시 좌측 커맨드키랑 옵션키가 위치가 반대로 되긴 했는데 어짜피 저는 카라비너로 맵핑해서 사용하는 맥북 유저라 큰 불편함 없습니다. 두달 정도 사용했는데, 매일 업무용으로 장시간 썼지만 배터리는 한번 완충으로 2주 넘게 사용 가능하고 키감이나 소리는 변함없이 보글보글하고 좋습니다. 블루투스 기능 잘 작동하고 연결 기기 변환도 아주 빠르고 부드럽게 잘 됩니다.",['https://phinf.pstatic.net/checkout/20201129_183/1606650166437KO7ou_JPEG/review-attachment-80b13f37-afc6-4d79-83b7-d33546d8a6d8.jpeg?type=f287']
