star_point,comment,photo
3,"배송상태도 빠르고 포장도 잘되어 있어서 만족했습니다.
좋았던 것은 전체키들의 소리가 보글거려서 좋고 스테빌도 잘 맞춰져있어서 철심소리도 안납니다.
안좋은 것은 일부 키캡 품질이 별로였고, 기판이 휘어있는듯해서 좌상단과 우상단을 누르면 좌우로 뒤뚱거립니다. 다들 이것부터 확인하셔야할것 같습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_08_0/51c6b2fd-21d1-11eb-9e32-505dacfbaa5c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_291/1604846754152KDTLx_JPEG/review-attachment-97c1be1e-cc7b-4434-a883-e8ac8b3753e8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_17/1604846754025qWLKB_JPEG/review-attachment-95f4e323-db6c-4118-8be4-0af523a7fa8d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_274/160484675382021KDJ_JPEG/review-attachment-8c522b2b-b14a-4671-989f-8e9e6f5d5fe9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_223/1604846754275AgcgK_JPEG/review-attachment-2595c7c3-ea16-47e9-8c07-9421bd95c072.jpeg?type=f287']"
5,키알못이에요. 저소음적축써봤는데 저는 이게 제일 좋은것같아요. 소리도 귀엽고 키감도 좋고. 넘버키를 자주 쓰는데 풀배열은 싫고 이런 미니배열 노뿌 무접점은 한성 외 찾기 힘드네요. ㅜ 868모델 사고싶었지만 end키가 없어서 포기. 받자마자 키캡은 바꿨어요. 키보드 맘에 들어요bb,"['https://phinf.pstatic.net/checkout/20201022_150/1603320994339bx5wI_JPEG/review-attachment-dba94ab3-eea1-46db-ab35-65a556e4ea04.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_214/16033209945840bl9u_JPEG/review-attachment-4d328131-fa77-44fe-a629-8514a8149880.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_27/1603320995363oOz2z_JPEG/review-attachment-de489672-a45c-40aa-9674-e71034d0daef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_225/1603320995378izpS3_JPEG/review-attachment-c92405b5-45c5-44ba-aca7-fa77157ca693.jpeg?type=f287']"
5,"키감이 생각보다 더 좋아서 놀랐습니다. 첨에는 크게 못느꼈는데 한달동안 계속 썼구 키보드를 계속 바꿔보는 중인데 바꿀 생각이 안들정도로 좋았습니다. 고가의 다른 회사 무접점도 썼었는데 왜 이게 더 좋지.. 50g이라고는 하는데 일반 기계식 키보드의 45g 정도 되는것 같구, 키압이 높으면 손가락 통증이 바로 느껴지는데 이 제품은 하루종일 타건해도 느껴지지 않았네요. 화이트가 없어서 넘나 아쉬웠으나, 블랙 바디에 어울리는 마침 어울리는 예쁜 키캡을 찾아서 예쁘게 사용하고 있습니다. 구분감이 좋아서 치는 맛도 좋구 질리지 않네요 ! 무접점 45g, 35g 다 써봤는데 35는 너무 슴슴하구.. 45는 뭔가 아쉬웠었는데 50g이 저는 딱 맞습니다. 텐키리스 배열도 넓게 느껴져서 미니 배열로 사니 보기에도 이쁘고 더 좋네요","['https://phinf.pstatic.net/checkout/20201116_5/1605518797368mzT3M_JPEG/review-attachment-bba54d01-542a-4e03-a129-77e9d28df216.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201116_207/1605518964355Cat8i_JPEG/review-attachment-5c1ba2fc-f8c1-4dff-9f5e-f8a06ee4ef26.jpeg?type=f287']"
4,"1) 블루투스 2) 무접점 3) 검은 하우징
이 요소 때문에 구매했습니다.

어짜피 키캡 바꿔끼울 거였어서 상관없지만,
순정 키보드 키캡은 색상이 너무 별로예요 ㅠㅠ
순정 쓰시는 분들 지못미... 키캡 예쁜 거 추가 구매 권장합니다!!

!!
그런데 엔터키 왼쪽 부분에 딸깍 소리가 나더라고요 ㅠㅠ 뽑기운에서 안타깝게도... ㅠㅠ
구리스 사서 윤활 좀 해보려고요... 흑흑
키캡 필수 윤활제 필수입니다...

포장 아주 튼튼하게 되어있었고
구매한 지 이틀만에 왔습니다!!","['https://phinf.pstatic.net/checkout/20200621_234/1592669289191W7esV_JPEG/613410A1-965E-4EA2-ACCA-B6198B37560B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200621_273/1592669289772ei5ti_JPEG/56EEF2B6-9181-417A-BB6C-2F0DA2075DA8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200621_187/1592669289763X2JCu_JPEG/3127EA61-A89C-4B7B-A690-98821A1529B2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200621_146/15926692893586fBD8_JPEG/86F98736-BA0C-4728-BFA7-264C14086A67.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200621_68/1592669290548wIyG1_JPEG/F177AB0F-C276-4FDF-BF60-F1C1ADD404B4.jpeg?type=f287']"
5,스테빌라이져에서 느껴지는 소음은 조금 있지만 거의 신경쓰이지 않을 정도입니다. 배열 특유의 문제로 오른쪽 쉬프트의 키캡놀이가 조금 불편하거나 불가한 경우가 있지만 그것또한 밸런스를 맞춰서 키캡을 갈아끼운다면 문제없을 정도의 호환성을 보이고있습니다. 전반적인 윤활이 잘 되어있어 보글보글거리는 감이 인상적이며 손이 편합니다. 추천드립니다!,"['https://phinf.pstatic.net/checkout/20200819_111/1597824739614WXjfP_JPEG/review-attachment-bcd7827e-f28f-4df4-b495-1a3596d8ab5c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_237/159782474038890282_JPEG/review-attachment-e70d91df-4d55-4a06-afeb-38063f65ccfe.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_30/1597824740930ib7cq_JPEG/review-attachment-ed37dfca-7ba2-4f37-9fbc-5893883587b5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200819_119/1597824740866cpBL8_JPEG/review-attachment-1c3b5007-13ba-4123-bb4c-eb05055619ef.jpeg?type=f287']"
5,"기존 콕스 엔데버 무접점에서 75%배열이 궁금하여 갈아타봤습니다.

우선 배송은 과하다 싶을정도로 정성들이셔서 포장해주신게 티가납니다. 배송또한 빠르고요.

구성품은 저가형 기계식 키보드에도 들어있는 플라스틱 더스트커버, 청소브러쉬와 플라스틱 키캡리무버는 기본적으로 들어가있고 탈착식 슬리빙케이블과 여분의 키캡(맥os 용), 스페이스바 압력조절용인지 스프링도 들어가있습니다.

제가 뽑기운이 좋았던건지 윤활 전에도 . 특히 스페이스바에 실리콘처리?를 하신것 때문에 .
키감도 콕* 사에 비해서 가볍고 좋은 느낌이네요.
블루투스 기능도 4.1 이라서 조금 걱정하였지만 끊김 현상은 아직 못느끼고 잘 사용중입니다. (약간의 딜레이가 있기는 해 게이밍용으로는 부적합한듯 합니다)

다만 기본제공 키캡은 저가형 느낌이 나네요
마음에 드시는 키캡 구매하셔서 장착하시는것 추천드립니다.

다음 작품은 단색 LED라도 추가되었으면 좋겠네요! 인디케이터 LED 화이트로 나오는게 되게 이쁘더라구요 (caps lock 키 led는 광량이 좀 부족한듯 합니다...)",['https://phinf.pstatic.net/checkout/20200701_292/1593575151104CWsQ7_JPEG/KakaoTalk_20200701_124515540.jpg?type=f287']
5,"제품 잘 받았습니다. 마음에 듭니다.
키캡 하나가 체결부분이 금이 가 있어서 연락 드렸는데 다시 보내주셔서 잘 해결되었습니다. 데브띠키캡으로 교체했는데 타건감도 만족합니다. 스테빌에 철심소리가 난다는 후기를 봐서 걱정이 살짝 됐지만 그런 소리 전혀 없습니다.

다만 수평이 맞지 않아 바닥에 놓으면 덜컹 거리는 점이 있었습니다.대각선으로 몇번 눌러주니 잡히긴 했지만 다시 그러지 않을까 걱정은 조금 됩니다.그리고 하우징 앞쪽이 배가 나온 것 처럼 바르지가 않고 약간 튀어나와 있어서 조금 거슬리긴 합니다.

하지만 전반적으로 매우 만족하는 제품입니다.
잘 사용할게요.","['https://phinf.pstatic.net/checkout/20200713_240/1594635212280fX92z_JPEG/review-attachment-4c9a3231-d586-4033-82cd-a39e29e77ad4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_75/1594635212258MuRik_JPEG/review-attachment-e338e924-37cf-436b-b2ac-f630f6e44dda.jpeg?type=f287']"
5,"블랙은 너무 밋밋한 느낌이 없지않게 있는듯하여 화이트 모델로 구매하고 싶었는데 빨리 써보고 싶은 마음에 블랙 모델로 구매했습니다. 배송은 하루만에 와서 너무 좋았고, 포장도 매우 튼튼하게 왔어요! 상품을 직접 받아보니 블랙 모델도 깔끔하고 매우 마음에 들었습니다 ㅎㅎ 무접점 키보드는 처음 써보는데 영상으로만 듣던 키감을 직접 체험해보니 정말 좋아요~ 스테빌이 쪼금 신경 쓰이는 느낌이 있기도 하지만 그렇게 예민하지 않다면 충분히 괜찮은거 같아요. 마우스 기능은 또 처음 접해보는데 은근히 편하네요! 나중에 화이트 모델로 GK868B 제품도 써보고 싶네요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20201104_155/160447950225272bA2_JPEG/review-attachment-963bb116-8992-4355-b23e-3c6f64f4710e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_243/16044795528357mXXm_JPEG/review-attachment-53567ade-c5ef-4cfb-9cb8-9929b135c27a.jpeg?type=f287']"
4,"반나절 정도 쓴 소감은 전체적으로 만족스럽습니다.우선 장점을 꼽자면, 멀티페어링입니다. 저는 현재 데스크탑, 아이패드, 폰 이렇게 3개 물려 쓰는데 페어링 전환 잘 됩니다. 전환 딜레이는 거의 없다시피 할 정도로 상당히 빠른편입니다. 크기도 75%배열로 작은편인데, 가방에 넣고 다닐만한 크기입니다. 저처럼 패드+키보드 갖고 다니실 분들에겐 좋을듯 합니다. 키감은 제가 무접점을 처음 써봐서 뭐라 정확하게 평을 못하겠지만, 기존 쓰던 기계식과 비교하면 더 부드럽고 사각사각 거리는 키감입니다. 소음도 더 적고요. 그리고 다양한 멀티미디어 키와 키 커스터마이징 가능한 부분도 좋았습니다. Win/Mac 키배열 전환키가 있어서 사소한 부분이지만 좋았고요, 우측 기능키들은 자체 소프트웨어로 본인 입맛대로 커스터마이징 가능해서 저같은 경우 매크로키 만들어서 활용하고 있습니다.단점으로는 키배열이 기존 키보드와 달라서 적응하는 시간이 필요합니다. 우측 shift키가 기존보다 작아서 오타가 날 가능성도 꽤 있어보입니다. 그리고 다양한 기능에 비해 그 상태를 표시해주는 인디케이터가 부실합니다. 키 하단 led 점등으로 알려주긴하지만 직관적이지 못해 처음 사용시 조금 헤맵니다. 아마 디자인 측면에서 이렇게 하지 않았을까 싶은데, 그렇다면 여러가지 led색깔로 좀더 쉽게 사용자가 알 수 있게 했으면 좋지 않았을까 싶네요. 마지막으로는 처음 제품 받아봤을때 생긴 문제인데, 하판 뒤틀림 현상입니다. 그래서 키보드 수평이 맞지 않았는데 as센터에 문의해보니 배송과정 충격이나 온도변화로 생길수 있는 문제라 손으로 힘을 가해 조금 틀어주면 될거라고 하더군요. 그래서 손으로 힘도 줘보고 바닥에 눌러보고 해보니 문제가 해결되긴 했습니다만 키보드 가격대 고려하면 아쉬운 부분입니다.그럼에도 불구하고 워낙 팔방미인같은 키보드인지라 사용하면서 만족합니다. 외출시 가지고 다니면서 쓰거나 집에서 다양한 기기에 물려 쓰면서도 키감을 고려하시는 분이라면 이 제품을 추천합니다.","['https://phinf.pstatic.net/checkout/20190327_201/15536973397898fGoQ_JPEG/E174FF3D-4861-4D2A-B2E7-B52B1D3AD23E.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190327_169/1553697341305IC8YB_JPEG/3F089F10-1AA6-4661-9083-1F754FE9CF93.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190327_268/1553697341472xHVOT_JPEG/96C6110A-89E5-4961-ADDE-E84CC20E9C95.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190327_131/15536973406142HlKy_JPEG/A23AD41A-0C9A-4901-A0D2-406B91220114.jpeg?type=f287']"
4,키감이 좋아요. 사각사각 거리면서 조용해서 좋습니다. 기계식 키보드 처음 써보는데 만족합니다. 애플키보드가 너무 납작하다보니 오래쓰면 손목이 아파서 고민하다 구매했어요~ 맥과 호환이 되면서 키감도 좋고 블루투스도 지원하는걸로 찾다찾다 발견했네요. 단점은 맥과의 호환이 완벽하진 않다는 점입니다. 어쩔땐 맥모드로 잘됐다가 컴퓨터를 껏다키면 원래 윈도우즈모드로 돌아가있고 그래요. 매번 설정해주다 이젠 그냥 포기하고 그려러니 하고 씁니다. 블루투스도 옆에 있는 버튼 눌러서 다시 연결해줘야 합니다 ㅎㅎ 처음에 잘 안돼서 전화로 물어보고 그랬어요~ 다음 버전은 맥과의 호환에 좀더 신경써서 나오면 좋겠어요~ 단정한 디자인과 키감에 있어서는 정말 만족!,['https://phinf.pstatic.net/checkout/20200704_122/15938387070645lLFj_JPEG/review-attachment-7205203c-9c1a-4bc3-b76c-81dd2a93eba9.jpeg?type=f287']
