star_point,comment,photo
5,"기계식키보드 청축, 갈축, 적축 이것저것 써봤는데 느낌은 좋지만 소리가 아무리 소음이 적다고 해도 상대적일 뿐 컸고, 무접점이라는 쉽게 접하기 힘든 키보드가 소리도 작으면서 키감이 매우 매력적이라길래 구매를 고려하다가 이번에 코리아세일페스타 기념 할인을 하기에 구매하게 되었습니다.

받아서 개봉해봤는데, 다른 일부 구매자분들이 받은것과는 다르게 다행히 뒤틀림은 없었고, 전반적인 외양도 문제가 없었으며 키도 잘 작동했습니다.

이상이 없는 것을 확인하고 키보드를 연결해서 써봤는데 너무 만족스럽습니다. 소리도 꽤 작을 뿐더러 진짜 도각도각하는 이 느낌이..와..
블랙은 너무 예전 멤브레인 느낌나서 싸구려틱하지 않을까 걱정했는데 실물은 진짜 깔끔한 블랙이고요, 약간 펄 느낌나게 표면이 되어있어요.
더군다나 항상 키보드는 한글 각인이 같이 되어 있는 것을 써왔는데 왜 사람들이 영문을 고집하는지도 알겠네요. 키보드에 써져 있는 것이 적으니 더 깔끔한 느낌을 줍니다.

맥 쓰시는 분들은 이것을 사는게 맞는지 고민하실텐데, 맥용 키로 작동하게 설정해놓고 쓰고 있는데 배열이 똑같게 되어 있어 이질감 없이 잘 쓰고 있습니다. 지금도 펑션키, 커맨드 키 사용해서 이것저것 사용해보다가 블루투스 연결하여(이전 테스트는 충전 겸 유선으로) 리뷰 작성중입니다.
최신 버전인 Big Sur에서 사용중이니 최신 버전이 호환이 안되면 어쩌나 하는 고민은 덜어도 될 것 같아요","['https://phinf.pstatic.net/checkout/20201114_184/1605280400004hejnf_JPEG/review-attachment-4af9dc6c-3478-432e-877c-42df56d2888f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201114_271/1605280399844RcHDs_JPEG/review-attachment-3a2a64fd-e957-4ad3-a194-9cd20cea7639.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201114_30/1605280400201Dfod7_JPEG/review-attachment-3afde713-4ce8-4237-801d-152f87b6f60c.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201114_126/16052804003133WX85_JPEG/review-attachment-ef8fe581-64f8-439d-b357-6345857305bc.jpg?type=f287']"
5,"사실 비주얼 보자마자 반쯤 충동구매로 사서 제품이 안좋으면 어쩌지 걱정을 좀 했는데 제품받자마자 그런걱정이 모두 날아갔네요. 배송도 빨랐고 모든 기능이 다 마음에 듭니다.

다만 기능상의 문제는 아니나 몇가지 아쉬운점이 있다면
1. 아무래도 블투 겸용이라 무게가 좀 있는 편입니다. 카페같은곳에 노트북과 함께 가지고다니려 그랬는데 무게탓에 자주 망설이게 되네요
2. 케이블을 꽂는 부분을 보면 2번째 사진처럼 되어있는데, 이게 딱 케이블만 들어가는 수준의 깊이라 손가락으로 케이블을 잡고 빼기가 너무 힘듭니다; 그래서 케이블을 빼려면 어쩔 수 없이 케이블 줄을 밖에서 당기는 식으로 뽑아야되는데... 튼튼한 제품이라 당장은 괜찮겠지만 자주 꼈다뺐다하긴 좀 무서운 감이 있네요ㄷㄷ
3. 이건 좀 개인적인건데 키보드 다리를 폈다 접었다 할때마다 아주 크게 플라스틱 부서지는 소리가 납니다.. (3번째영상) 물론 정말 부서진건 아니고 다리 구조상 나는 소리인데 들을때마다 이거 부서진게 아닌가 다시 살펴보게돼요. 저가의 제품은 아니다보니 여러모로 살떨리는 감이 있습니다. 익숙해지려면 시간이 좀 걸리겠네요..

물론 이런 부가적인 것들 외에 타감이나 기능은 굉장히 만족스럽습니다. 특히 블투 반응속도를 제일 걱정했는데 상상이상으로 빠르네요. 기회되면 다음키보드도 한성에서 사보려고요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_02_0/bb8e6948-1cb6-11eb-88f0-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201102_7/1604284667672lbjLQ_JPEG/review-attachment-69ba6ca9-5892-4a8c-9075-5a3f5b9e1fc3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201102_27/1604284772394hR3us_JPEG/review-attachment-b1e4bb58-2eb8-4f73-990b-6662bfea34c4.jpeg?type=f287']"
5,"평소 기계식 키보드를 이것저것 써보다가 소음 문제 때문에 멤브레인 키보드에 키스킨을 씌워 이용하던 사람입니다.
게임이나 문서 작성을 주로 하는데요, 소음을 잡으면 키 동시 인식이, 키 동시 인식을 잡으면 소음이 잡히지 않아 고민하다가 구매하였습니다. 이하 항목별로 솔직한 후기를 말씀드립니다.

1. 배송: 일단 배송이 정말 빨랐습니다. 화요일 자정이 조금 안 되는 밤에 주문했는데 목요일 낮에 왔더군요. 아마 낮에 주문하시면 바로 다음날 저녁쯤 오지 않을까 생각됩니다.
2. 소음: 이전에 기계식 청축, 갈축, 광축을 이용해보았는데, 무접점 키보드 역시 당연히 소리가 나기는 하지만 기계식 키보드들처럼 하이톤의 소음이나 텅텅거리는 울림, 스프링 소리가 나지 않아 있습니다. 무접점 키보드의 소리는 멤브레인 키보드를 키스킨 없이 치는 것과 비슷한 수준이지만, 다른 키보드들에 비해 ASMR처럼 들릴만큼 소음이 저음이므로 소음 문제로 고민하시던 분들에게는 고려할 만하다고 생각합니다.
3. 타건감: 취향의 영역이긴 합니다만, 저는 청축 특유의 딸깍거리는 소리와 강한 구분감에 만족하지 못하고 갈축으로 갈아탔던 사용자이며, 멤브레인 키보드에 실리콘 키스킨을 씌우고 타건하는 느낌을 좋아했기 때문에 무접점 키보드의 타건감에 굉장히 만족하였습니다. 개별적인 키 하나하나가 독립적으로 움직이는 느낌이지만, 강한 구분감이 없이 스무스하게 들어가서 손목과 손가락에 무리가 가지 않습니다. 키보드를 장시간 사용해야 하는 사무직, 게이머에게 .
다만 단점이라면, 너무 스무스하게 눌리는 탓에 키보드에 손을 올리고 있으면 특정 키가 눌려 문서 작성할 때 당황하실 수도 있습니다. (크게 부각되는 단점은 아닙니다.)
4. 가격: 무접점 키보드를 알아보며 높은 가격대에 놀랐는데, 이 정도 품질에 13만원이면 굉장히 좋은 가성비라고 생각합니다. 무접점 키보드는 고장도 잘 안 난다고 하니 기계식 키보드의 경박한 통울림이나 스위치 특유의 반발력이 마음에 안 드시는 분들은 고려해 보셔도 좋을 것 같습니다.
5. 기타: 일단 포장이 굉장히 꼼꼼히 되어 있어서 만족했습니다. 또한 키보드 위에 씌울 수 있는 덮개(PC방에서 볼 수 있는 그것) 가 구비되어 있어 사용하지 않을 때에도 안심할 수 있습니다.

제 후기가 구매를 고려하는 분들께 도움이 되었으면 좋겠습니다. 감사합니다.^^",['https://phinf.pstatic.net/checkout/20201129_284/1606647656022Qahbq_JPEG/review-attachment-de4789b2-643d-4081-8b94-0847c770c046.jpeg?type=f287']
5,이건 정말 사셔야 하는 물건입니다 기계식 키보드 청축으로 4ㅡ5년 ...무접점의 세계는 너무 비쌌는데 요즘 한성에서 퀄리티 및 가격을 평준화해줘서 그나마 경험할수 있어서 감사하다 노뿌가 대륙의 실수라는게 좀 그렇지만 토프레보다 난 노뿌가 더 낫고 50g의 키압이라지만 부드럽고 묘한 보글보글소리가 안정감을 준다 무소음..적축 뭐 이런거 보다 훨씬 나은 꼭 소장해야하고 사용해야 할 키보드...욱체에 무리가 안가는 가벼운 카압처럼 느껴진다 그냥 사라^^한성은 더 좋은 물건 만들어주길,"['https://phinf.pstatic.net/checkout/20201126_68/1606395637104EzwJe_JPEG/review-attachment-b80a0b78-4070-4a14-8ef6-8547dc569390.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_299/1606395655041V1eod_JPEG/review-attachment-9cf12806-298e-444b-8bcb-b492dd9411b7.jpeg?type=f287']"
3,"(제 기준) 비싼 키보드라 다른 제품과 비교하면서 살까 말까 엄청 고민했습니다. 고민 끝에 결제하고 드디어 오늘 받았습니다. 흰색으로 샀는데 키보드가 전체적으로 깔끔했습니다. 전에 쓴 키보드에 비해 수월히 눌리고 소음도 적습니다. 더 써봐야 알겠지만 전체적으로 만족스럽습니다.
단점 두개만 적자면 첫 번째로 키보드가 살짝 휘어서 왔다고 해야 할까요... 책상에 놓고 타자를 치는데 살짝 흔들 걸려서 보니 조금 휘어져 있더라고요. 교환할까 고민하다가 귀찮고 해서 그냥 쓰고 있습니다. 그리고 이건 제가 백스페이스를 누를 때 세게쳐서 그런건지 모르겠는데 백스페이스 소리만 유독 크게 들립니다. 이 두가지 빼고는 만족스럽습니다. 한 달 써보고 한 달 후기 남기겠습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_07_0/364ae9ef-08a4-11eb-89b9-48df379cca40_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_54/1602078689813QMcqz_JPEG/review-attachment-829e8294-059c-467c-8ac7-e024d9558e74.jpeg?type=f287']"
4,"상품 배송과 상태 좋습니다. 약간 아쉬운 점은 윈도우 7 에서 한영키와 한자키가 안먹어서 인터넷으로 찾아 설정한다고 한참을 고생했네요ㅠ 집에서 윈도우 10에서는 키가 잘 인식되었지만, 일하는 곳에서 쓸때는 키 설정이 필요했다는점.. 에서 별 하나 아쉽게 깎았습니다. 그리고 다른 무접점 키보드와 고민을 많이 했었는데 블루투스냐, rgb냐 ... 그 부분이 둘다 충족되면 바로 갈아탈 수 있을 정도로 rgb 감성이 없어서 뭔가 1프로 아쉬운 느낌이 들어요 ㅎㅎ. 설명서 잘 읽고 이해하고 나면 사용하시는데 무리 없으실겁니다. 다만 처음 키 설정과 특히 소프트웨어 다루는 부분이 설명을 보지 않고는 헷갈려서.. 한참을 만지작 거렸네요 좀더 소프트웨어가 더 직관적으로 개선된다면 별 5점 중 6점도 줄 수 있는 제품이 될 거같습니다 ㅎㅎ 그래도 이가격에 블루투스 무접점 키보드는 없다고 봐야하니 잘 산것 같습니다.","['https://phinf.pstatic.net/checkout/20200711_191/15944093148401nsfy_JPEG/review-attachment-5597c5fa-b90a-4c3d-a3e0-4ae17cd23908.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_127/1594409328180J98Qb_JPEG/review-attachment-71ab1c7b-36f1-462b-8cc0-3897ad1cdd43.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_299/1594409337590vwJTt_JPEG/review-attachment-00a32058-abec-4067-a387-2f209e1514d5.jpeg?type=f287']"
5,"처음 무접점 키보드 쓰는데
지금 너무 만족합니다.
이때까지 청축하고 갈축만 써봤는데
이거 쓰니까 진짜 완전 소리도 좋고 손에 무리도 없네요

그리고 다른사람은 불편하다고 할수도 있지만 전 어둡게 컴퓨터 하는 편이라
맨날 키보드 불을 끄고 하는데 이건 불이 안들어와서 저는 아주 만족합니다.

키보드 살때마다 키패드 없는걸로 샀었는데 꽤나 불편해서 풀배열 키보드를 사니 아주 만족 스럽습니다.
단점은 자리차지? 그거 빼곤 다 만족하네요

그리고 풀배열 치고는 별로 무겁진 않네요
지금 막 받아서 블루투스는 실험을 못하겠네요 (배터리 부족)

근데 진짜 다 만족하는데
살짝 아쉬운 점이 선이 유/무선이라서 뺏다 꽂았다 해야하는데
꽂을때는 괜찮은데 뺄때 살짝 불편하네요
이것빼고는 다 만족합니다.

게다가 영문키라서 훨씬 깔쌈합니다.
전부 만족합니다.",['https://phinf.pstatic.net/checkout/20201119_205/16057686390236olPj_JPEG/review-attachment-522f311c-a890-4807-b58d-d15a5259c357.jpeg?type=f287']
5,"좋은 점
1. 주문한 다음날 배송이 옴. 빠름
2. 포장이 튼튼함. 안심됨.
3. 디자인 깔끔. 이쁨
4. 키감 및 소리. 콕스, 앱코 무접점 키보드 사용했었는데 개인적으로는 젤 좋음.
5. 유무선 전환하려 구매했는데 딜레이없이 잘 연결되고 잘 됨.

아쉬운 점
1. 전체가 좀 휘어져서 옴. 힘으로 펴니 돌아옴.
2. 키캡이 일정하지 않고 삐뚤함. 좀 신경쓰임. 사용하는데는 문제는 없음.

일단 받은지 하루 사용해보고는 전체적으로는 만족하는 중입니다.","['https://phinf.pstatic.net/checkout/20201028_278/1603844593601EPMPD_JPEG/review-attachment-6b191437-9ffc-45ae-8f9c-6c503191f11b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_248/1603844593896ieSCT_JPEG/review-attachment-2c7d4e38-e1ed-4797-b374-f7f1a6558a03.jpeg?type=f287']"
5,"기대한 것보다 훨씬 좋네요 배송도 빨랐어요 사무실 끝판왕 아이템입니다
타건 소음도 생각보다 적고 청축의 찰칵거리는 소리가 부담스럽고 날카롭게 들려 싫은 편이었는데
노뿌 무접점 처음 사용이라 그런지 몰라도 도각도각 보글보글 너무 좋아요 ㅋㅋ 일할 맛이 나네요
번쩍거리는 거 사면 게임하러 왓냐고 시비 거는데 얼핏 보면 일반 사무용 같으면서도 깔쌈하고 고급진 키캡 느낌에 책상도 훨 깔끔해 보여요 ㅋ
레이저 헌츠맨 엘리트도 잠깐 사용해 봣었는데
막손이라 그런지 저는 이게 더 좋네요

한성 많이 발전하는 것 같습니다 좋은 상품 많이 출시해 주세요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_27_0/9f07a38d-17a6-11eb-beee-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_85/1603824114752Dx8H0_JPEG/review-attachment-7c901536-f955-43ad-bc1e-4aa43af7b288.jpeg?type=f287']"
5,"아주 고급스러운 무광블랙이네요. 묵직하니 무게감도 있고 완전 만족해요! 기계식 갈축 쓰다가 집에서도 소리가 제법 커서 친구가 추천해줬는데 무접점은 훨씬 조용하고 키감도 좋아요.
주문 후 배송까지 신속하게 처리되었고 포장도 단단히 해주셔서 마음에 들어요.
더스트 커버도 동봉되어 있어서 먼지에 예민한 블랙도 거뜬없겠습니다~","['https://phinf.pstatic.net/checkout/20201007_170/1602066345876qCb7u_JPEG/review-attachment-ec929ade-d4a6-43cb-9368-902db5e2301e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_136/1602066346245SrJ5d_JPEG/review-attachment-4d6c0a7c-3b15-4ed6-bef0-484cc6ae2ff1.jpeg?type=f287']"
