star_point,comment,photo
5,"블루투스 멀티페어링 되는 키보드 엄청나게 찾았습니다.
로지텍이 단연 1순위인데, 기능키가 Funcion 키보다 우선으로 되어있어서 배제 해습니다. KVM 스위치를 쓰고 있어서 Funcion(F1~12)키 우선으로 할수 있는 소프트웨어가 의미가 없어져서요. Funcion 키 우선이면서 멀티 페어링 되는 로지텍 키보드 중 MK850 세트가 있지만, 키감이 별로라는 평이 너무많아서, 로지텍은 선택에서 완전 제외 했습니다. 그 외 무선(2.4GHz) , 유선, 블루트스 지원하는 키보드들 찾아보니, 일부 저가형 모델(아이리버)외엔 선택지가 별로 없더군요. 몇가지 안남은 후보군중에 텐키가 포함된 모델은 한성키보드외에는 찾기가 힘들었습니다. 키보드를 15만원이나 주고 사는게 맞나, 한동안 고민하다, 결국 질렀습니다. 도착해서 몇일 써보니 너무 좋네요, 다만 LED INDICATOR 가 어떤상태인지, 현재 어떤 기기와 페어링 중인지 좀더 직관적이었으면 좋겠네요.
그외에 제품 배송, . 가격만 좀 더 저렴했다면 스테디 셀러가 될 거 같네요.","['https://phinf.pstatic.net/checkout/20201022_84/1603348956127gIrQd_JPEG/review-attachment-d4d32599-a8a8-4480-a2e9-50cbb8cbdef6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_53/1603348947701szoPx_JPEG/review-attachment-dd391a61-6a32-4d35-bdf1-f00570cd08ce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_250/1603348945398jtEMl_JPEG/review-attachment-fbf00b4f-dbcf-4259-94e2-e44ad1d6da8b.jpeg?type=f287']"
5,"타사 기계식 쓰다가 여러제품 오랜만에 비교해보고 구매하였습니다.

사실 디자인 이쁜것도 몹시 원하긴했는데
제가 원하는 기능을 다 갖추고 있는게 한성이었네요.
108풀배열, 한영각인, 저소음적축, 블루투스

일단 부드러운 키감에 약간 서걱거려서 청축을 못쓰는 사무실에서 쓰기에 전혀 문제가 없습니다. 손목에 무리도 덜 가는것 같고
언뜻보면 디자인이 보통인것같은데 레트로 느낌에 (주변 동료들이 386 생각난다고ㅋ) 각인한 색상이 어두운 파랑이라 무심한 멋스러움이 있네요. 안질리게 오래쓸것같습니다.

블루투스 잡으실때 설명서 써있는대로 3초 누르지마시고 기기 찾기에 뜰때까지 계속 누르세요. 그럼 잡혀요.","['https://phinf.pstatic.net/checkout/20201106_119/1604651489368lL5AH_JPEG/review-attachment-a1838ef5-edde-49a0-86a8-5ec488fe5fd0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_174/1604651590578U4qeP_JPEG/review-attachment-602c269d-08c6-4263-9811-c7395c1a99c0.jpeg?type=f287']"
5,"일단 충전 케이블 좋습니다. 연결선 좋고요, 길이 마음에 듭니다. 선 정리하는 찍찍이도 있어서 무선으로 쓸 때 정리하기 편해요. 케이블 연결하면 충전하면서 사용 가능해서 따로 충전할 필요 없어요. 키 입력 좀 예민한 편이고, 통 울림은 거슬리는 정도는 아니에요. 블루투스 동글 쓰시는 분들은 동글이 다른 물체에 막히면 연결 잘 안 되니까 이 점만 주의하시면 될 것 같습니다. 소리는 영상 보시고 알아서 판단하시면 될 것 같아요. 설명서 친절한편이고, 한성컴 홈페이지에도 자세히 나와있으니까 참고하시면 좋을 듯합니다.

무선 마우스 같이 주문했는데 이전 페이지로 돌아가기 버튼 아주 유용합니다. 감도 조절도 가능하니 참고하시면 좋을 것 같아요. 마우스는 배터리로 작동하고, 처음 구매하실 때 배터리도 줍니다. 동글로 연결하는 아이인데 동글이 다른 물체에 막히면 좀 뻑뻑하게 움직여요. 근데 이건 동글 쓰는 제품들 특징이니 걸고 넘어지기에는 억지가 아닌가 싶습니다.

쨌든, 두 제품 모두 아주 잘 쓰고있습니다. 처음에 택배 받았을 때 포장 진짜 꼼꼼하게 돼있어서 깜짝 놀랐어요. 진짜 어느 정도 높이에서는 떨어뜨려도 흠집도 안 날 기세였습니다. 조만간 노트북용으로 저소음 적축 사볼까 생각해보고있어요.",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_26_0/3291da72-2fd9-11eb-b6f4-505dac8c3721_03.jpg?type=f287']
4,"배송 기다리는 동안 쿠폰이 더 붙었네용... 새벽에 고민하다가 2천원이 내렸길래 샀는데 그 새에 더 싸져서 ㅋㅋㅋ 아쉽네요~
키보드는 사무실 동료가 쓰는 커세어 적축을 써보고 반해 시켰습니다 기계식 키보드+풀배열+요란하지않은 준수한 하우징+무선연결이 가능한 키보드가 많지 않아서 오래 고민할 것도 없었네요 ㅋㅋ
오자마자 잠깐 충전하고 노트북+아이폰에 연결해서 테스트해봤는데 설명서가 잘 돼있어서 연결도 금방 했습니다
페어링 간 전환도 한 5초? 정도로 생각보다 빠르게 되서 놀랐어요 키감도 정말 너무 좋구요 적당히 윤활되서 온 것 같은데 조금 사각거리는 느낌이 생각보다 좋았습니다 퀄리티가 느껴지는 키감이에요 ㅋㅋㅋ
사진은 순정+분필 키캡 갈아끼운 모습입니다
나중에 사무실 가져가서 동글 연결해서 무선으로 쓰려구요~
잘 쓸게요~","['https://phinf.pstatic.net/checkout/20201018_144/1602948903798vktnu_JPEG/review-attachment-2bae2248-53dd-44eb-ac68-aab38e7ae8f0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201018_215/1602948903749ylAwS_JPEG/review-attachment-0199050f-344f-44b0-a21e-623e7d4bfdf0.jpeg?type=f287']"
5,"우선 좋은 상품 좋은 가격에 구매하게되서 정말 좋습니다.GK998B 상품을 구매하기 전 사용하던 제품은 한성의 오피스마스터 CHF7제품과 덱 헤슘 적축을 사용하고 있었습니다.만족감으로 말씀드리면 지금 현재 구매해서 쓰고있는 GK998B가 만족도가 가장 높습니다.좋은점을 나열해 보겠습니다.1. 소음에 강한 사무용 키보드! 무소음적축은 제가 가지고있는 덱헤슘의 적축, 한성 오피스마스터 무접점 방식보다 현저히 조용합니다. 특히 사무실에서 구름타법으로 다양한 타이핑하기 정말 좋습니다.소리로 비교하자면덱헤슘 적축 : 사각! 사각!한성 오피스마스터 무접점 : 도각 도각한성 “GK998B” 무소음적축 : ......스.......스.... (소리가 잘 안나서 표현이 어렵네요 ㅜ)2. 문어발식 연결GK998B는 바람둥이 같습니다. 한 키보드로 유선으로 데탑연결하고 무선으로 핸드폰, 노트북, 테블릿 연결하면 정말 자유자재로 기기를 옮겨가며 다양한 타이핑을 즐길 수 있습니다.3. 투박한해서 티안나는 키보드요즘 나오는 기계식 키보드들은 너무 화려합니다. 그래서 사무공간에서 사용하기 부담스럽습니다.(특히 led 탑제한 제품은 완전 부담입니다.) 하지만 GK998B는 일반 보급용 키보드처럼 생겨서 부담이 덜합니다.크게 아쉬운 점은 없으나 다만 바라는게 한가지 있다면아이폰이나 . 물론 인터넷 검색해서 사용해도 되지만 검색 안해도 사용하기 편한 단축키 기능들과 함께 설명서를 제공해주면 활용도는 더욱 극대화 될 것 같습니다.사무실 구석 현자분들은 빨리 구매해서 내가 무슨일 하는지 아무도 모르게 이 키보드를 사용하시길 바랍니다. 적극 추천드립니다.",[]
4,9월 10일 주문해서 9월 14일 물건 받았습니다. 배송이 느린 것도 빠른 것도 아닙니다. 한/영 적축 저소음 (저소음 적축) 2020 09 10 16:13 분 주문했습니다. 제품에 대해서 말씀 드리겠습니다. 제가 받은 제품에 초기 불량이 있는 거 같습니다. 상품 리뷰 다 쓰고 문의 글에 따로 글 남길 생각입니다. 첨부한 사진을 보시면 스페이스바 유격? 이격이? 있습니다. 오른쪽이 너무 많이 벌어져 있는데 이건 초기 불량제품인 거 같습니다. (원래 이런 제품 아니겠죠?) 키보드 차체 무게는 조금 있습니다. 그리고 자판치면 무겁감이 조금 느껴집니다. 물건 받기 전 타건감은 약간 두두둥 이런 느낌일 거 같았는데 아니면 스스슥..이런 느낌 물건 받고 직접 타이핑해본 결과 오른쪽 숫자패드 소리 123456789 왼쪽 qwertyuiopasdfghj 자판이 찰칵 같은 타건감(소리) 어떤 건 보통 키보드 타건감 같은 타타탁 소리가 나는 거 같습니다. 블랙 제품 사용 중인데 . 블루투스 페어링 할 때 처음에는 좀 헤맸는데 요령 익히면 금방 페어링 할 수 있습니다.(말이 쉽지..처음에 좀 힘들었네요) 컴퓨터 스마트폰 페어링 까지 다 확인했습니다. 한 번쯤 구매해서 써봐도 될 제품이라고 생각 듭니다. 타건감 좋음 익숙해지면 더 마음에 들듯합니다. 별 다섯개 드리고 싶은데 일단 눈에 보이는 스페이스 바 때문에 다섯 개 못 드렸네요(별점) 그리고 다른데 불량이 더 있을지 몰라서 다섯 개 못 드렸습니다. 더 이상의 추가 불량이 없길 바랄 뿐입니다.,[]
2,"그렇게 나쁘진 않지만 또 그렇게 좋지도 않습니다. 디자인이 좋고 무선에 체리스위치인것은 좋습니다. 그러나 몇달간 써본 후 발견한 단점으로는 첫번째로 이중사출 키보드이지만 이는 영어나 숫자만 해당하고 한글 각인은 지워집니다 두번째는 제 키보드만 그런진 모르겠지만 1단일때 살짝 수평이 맞지 않습니다 세번째 최고 높이 3단에서 접을때 너무 큰힘이 들어갑니다. 이거 힘주면 부서질것 같은데 까지 줘야 접힙니다. 네번째 새로운 블루투스 기기 추가가 힘듭니다.1,2번에 등록이 되어있는기기가 블루투스가 켜져있으면 새로운 기기를 추가하려고해도 기존의 기기랑 먼저 연결합니다. 다섯번째 몇몇 키캡이 조금 헐겁습니다. 흔들리는건 아닌데 튀기듯이 누르면 키캡이 빠져버리는 키가 몇몇이 있습니다",[]
5,"일단 키배열이 클래식해서 따로 적응할필요 없다는 점이 너무 좋습니다. 기계식 키보드 처음 샀는데 타건감 너무 좋네요. 찰칵찰칵거리는 소리 싫어해서 무소음 적축으로 골랐는데 기계식 키보드 특유의 눌리는 소리를 제외하고는 조용한 편이라 사무실에서 써도 크게 눈치보일 정도는 아닌 것 같아요. led 백라이트가 없는건 좀 아쉽지만, 멀티페어링에 클래식한 키 풀배열에 이정도타건감 제가 찾는 모든 포인트들 다만족합니다. 키캡 색이 그레이라 제취향이아니었는데 실물이 훨씬 예쁘네요.",['https://phinf.pstatic.net/checkout/20201117_177/1605601606045aNuQj_JPEG/review-attachment-fd576447-bfa2-48a8-af9a-4aa922ecc9f5.jpeg?type=f287']
5,"한성 키보드 두번째로 써보는데 꽤나 좋네요. 저소음이라 키감의 재미는 덜하지만 조용해서 진짜 좋아요. 근데 몇가지 건의(?)드리고 싶은부분이 있습니다. 전원 버튼을 누르면 좀 뒤에 LED가 꺼지는데 이게 나중엔 켜진건지 꺼진건지 알수가... 차라리 아날로그 ON/OFF(누르면 들어가고 나오는) 방식을 사용했으면 좋았을거 같아요. 페어링 요청 중인 상태 LED도 계속 깜빡거리면 모를까 갑자기 꺼졌다가 다시 깜빡거려서 페어링 모드 끝난줄 알고 다시 페어링 키 누르고 있게 되네요. 블투 전원키가 있는것도 사실 좀 이해가 안됩니다. 어차피 유선 빼면 무선인데 전원이 아니라 페어링이나 블투 장치 키를 입력 했을때 당근 블투가 켜지면서 하는게 맞지 않나요?? 아니면 블투 전원버튼이 눌렀을때 인디케이터에 파란색, 빨간색, 초록색 외의 색이 나타나던지 해야 원활하게 식별이 될것 같아요. 아무튼 이런 부분들은 사실 쓰다보면 익숙해지는 부분이긴 하지만 조금 더 직관적이였으면 좋겠다는 마음에 오지랖 부려봅니다 ㅋㅋㅋㅋ 이 부분 외에는 진짜 다 맘에 들어요 무선 잘 잡히고 .!!",[]
5,"블루투스 + 108키(텐키 유) + 한/영 키캡 + 체리, 이 조건의 키보드가 도저히 없어서 거의 1년을 찾다가 구매했습니다. 사실 선택권이 없어 디자인이 마음에 안 드는데도 구매한 거라, 키캡을 바꾸려고 찾고 있었어요. 근데 실물을 보니 예쁘네요! 드루갓 k310을 쓰고 있었는데, 그것보단 키감의 쫀득함?이 덜한 편인데 이정도면 만족합니다. 키캡도 k310은 매끈한데 얘는 아주 매끈한 느낌은 아니어서 처음엔 어색했는데 블루투스라는 것에서 이미 모든 역할을 다 했죠.. 텐키 필요하신데 무선 찾으시는 분은 후회 안 하실 것 같습니다.",['https://phinf.pstatic.net/checkout/20200924_91/1600917492695cHYwk_JPEG/review-attachment-fd2c9df0-7832-4856-ad58-e733d9278e4a.jpeg?type=f287']
5,` 특가때 정가보다 저렴하게 구매했습니다. 일단 제품에 대한 설명을 하겠습니다. 배송 : 주말뒤라서 그런지 엄청 빠르진 않고 보통이거나 살짝 느림 ` 색상 및 디자인 : 색상은 개취가 강하지만 이번 모델은 사진에서 보듯이 화이트보단 블랙이 좀더 나아보임. 디자인은 올드하지만 정말 심플함. ` 타건감 : 기계식 키보드 다른것들을 많이 사용해보진 않았지만 나쁘지않음. 옵션이 저소음적축이라 정말 소음은 신경쓸일이 없고 약간은 키압이 느껴지는 다소 안타까움이 있음. 타건을 할때마다 손을 착착 감싸주는 느낌이 없어서 살짝 아쉬움. ` 블루투스 : 이키보드 선택에 있어서 50%이상의 구매 욕구를 불러일으킨 기능중 하나인 무선(블루투스)인데 반응속도 나쁘지 않음. 블루투스4.0이라서 빠름.. 롤 같은 게임을 주로 하는데 반응속도가 밀려서 못한다는 소린 안나옴(다야) ` 전체적인총평 ★★★★★ (5/5) ` 13만원정도의 값어치가 있는 기계식 키보드. `적당한 키감과 착착 감기는맛이 있음 `블루투스 반응속도 또한 끊김을 인지하지 못함 ` 심플한게 상당히 맘에듬 특히 블랙에 형광 각인이 최고! `중가정도 기계식 키보드 입문자분들한테 . LED없는건 아쉽지만.. `약간 부족한건 키압이 좀 높다는것과 통울림이 살짝들림. `또한 블루투스 전원이나 상태표시LED 위치나 크기가 다소 아쉬움.,[]
5,연구실에서 모든 작업을 컴퓨터로해서 오래전부터 키감 괜찮은 저소음 키보드를 사고싶었어요. 블루투스 기능되는 키보드는 예산 밖이라 오랜고민했는데 마침 한성에서 괜찮은 키보드가 있어 구매하게 되었습니다.!!! 엄청 싸진 않지만 동등한스펙대비 가성비 좋네요. 키감은 생각한것보다 무거운데 소음은 확실히 적고 사각사각 거리는 소리가 조아용 ㅎㅎㅎ 뽕뽑을거에요,['https://phinf.pstatic.net/checkout/20201027_96/1603807172645q7lUI_JPEG/review-attachment-679bec3b-f5f4-4f87-9e7e-9c853fea3061.jpeg?type=f287']
5,"고가의 키보드라 물건이 오기 직전까지 잘못한 쇼핑인가?라고 생각했었습니다. 그동안 노트북 사용에 지쳐서 기계식으로 시원시원하게 쓰고 싶었는데, 블루투스까지 된 보기에 깔끔하고, 실용적이고 참 좋습니다. 적축식이긴 한데 이것도 혼자 있는 방에서는 소리가 꽤 크네요. 다만 소리가 재미있네요. 헌데 이거 여러날 지나면 쫌 시끄럽게 느껴질것 같아요. 무소음으로 살 걸 그랬어요.",[]
4,키감 쫀득쫀득하고 반응도 좋아요 다만 페어링시 멀티 페어링이 잘 안먹혀서 각각 블루투스 껐다가 켰다가 더시 허나씩 다 살려서 연결을 했는데 이 과정이 감히 안와요 화면에 표시되거나 하는 것이 아니라 직관적으로 어디까지 진행이 됐는지는 요령으로 알게 됐어요 제품 받고 3일째에 구매취소를 할까하다가제대로 적응했네요 fn키를 다른키와 눌릴 땐 꼭 먼저 눌린 상태에서 페어링 키를 눌리세요 키감 적응이 좀 늦었습니다,[]
4,블투 키보드는 선택지가 많지 않아서 할인해서 살 수 있는 좋은 기회였어요.폰이랑 태블릿에 연결해서 쓰는데 전환도 빠릿 빠릿하고 인식속도도 만족스럽네요.사용하면서 끊긴다거나 인식이 느려서 답답한 느낌은 안들어요. 저적축은 처음 쓰는데 키감이 약간 낯설긴 하네요. 적응하는데 조금 시간이 필요할 듯 하네요.아쉬운 점은 자판에 led가 없다는 점 정도?가격 대비로 생각하면 적극 추천까지는 아니지만 추천할 만한 키보드라 생각됩니다.,[]
5,"키도 적당히 서걱거리고 소음도 크지 않습니다.
받침대 부분 양쪽 고정할 때 한 쪽은 부드럽게 열리고 힌 쪽은 걸리는 소리가 나는데 어느 쪽이 맞는지는 모르겠습니다. 접을 때는 공평하게 부서질 것처럼 딱딱 소리나면서 접히네요^^. 이외에는 만족했습니다.",['https://phinf.pstatic.net/checkout/20200921_260/1600682078704xvDuV_JPEG/review-attachment-b14278ce-eab6-4c0d-92d9-1ce251328701.jpeg?type=f287']
5,"우와 기계식 키보드 처음인데 너무 마음에 들어요. 사무실에서 쓸거라서 무소음 구매했는데, 진짜 소음도 없고 너무 마음에 드네요. 디자인도 고급지고 깔끔해요.
너무 비싼거 산건가 싶었지만, 받아보니깐 비싸보이네요 ㅋㅋㅋ 배송도 꼼꼼하고 5점 만점입니다.",['https://phinf.pstatic.net/checkout/20201020_186/1603188053010cdvRf_JPEG/review-attachment-9d7d9c1a-04be-4a49-838f-038fc0c41bdc.jpeg?type=f287']
5,전에 레오폴드 적축을 쓰다가 블루투스 기능도 되는것이 탐나서 구매하였습니다.키보드 자체의 키감이나 그런것은 저소음적축에 맞게 좋으나 키캡에 일부부분이 얼룩이 있는것처럼 프린팅 된 부분이 있어서 그런점은 아쉬움이 남습니다. 그래도 가격 등을 고려하면 추천할만한 제품으로 생각됩니다.,[]
5,"블루투스 전환이 빠르고 키감도 괜찮습니다. 저소음적축이라 타자소리가 조용합니다..단점은 비슷한 가격대의 타 브랜드 키보드에 비해 마감이 좋지 않습니다. 그리고 키캡을 뺄 때 용두가 함께 빠져서 키캡 분해, 조립시 불편합니다. 이점은 개선되었으면 합니다",[]
5,출시이후에는 세일을 잘 안하는 한성이죠 풀리자마자 바로 사서 잘 받았습니다 저소음 적축은 처음인데 정말 조용하네요 마음에 듭니다 그전에 쓰던 키보드랑 비교해서 높이가 좀 낮은 느낌인데 이건 차차 적응이 되겠죠,[]
5,사무실에서 쓰기에도 무난합니다. 기존에 쓰던 게 (로지텍 무선 태양전지 있던 건데) 고장이 나서 삼실에서 굴러다니는 키보드 쓰다가 요거 쓰니 오호 좋네요 오타도 적고 키 배치 외에 기존 것보다 키보드 사이즈가 줄어서 것도 맘에 듭니다.,[]
5,저소음 적축 소리가 상당히 조용하고 키감도 쫀득하고 좋습니다. 무접점 키보드 보단 반발력이나 눌리는 느낌이 덜하긴한데 그냥 적축보다는 조용하고 좀더 쫀득한 느낌입니다. 블루투스도 되고 체리 저소음적축에 레트로 감성까지 생각하면 상당히 좋은 가격인것 같습니다.,[]
4,나름 블투 연결도 간편한 편이고 마감이나 전체적인 느낌도 좋습니다.다만 윈도우 맥 모드 전환에서 Fn키 위치가 바뀌는걸 처음에 몰라 불량으로 환불 할 뻔했습니다.다들 설명서 꼭 읽어보시고ㅋㅋㅋ더 써봐야 겠지만 저는 만족합니다!,[]
3,"키감/색감/디자이 다 좋아요 정말, 근데 기능이 많아서 그런지 생각보다 불편한점이 많고 가끔 연결성 문제도 있고 ,,, 일단 쓰다가 안되면 초기화를 하라고 하시는데 키보드를 쓰다가 문제가 있을때마다 초기화를 시켜야 한다는게 이해가 잘 가지 않는 부분입니다.",[]
5,지금도 배송받은 키보드로 작성중입니다. 업무상 데스크탑과 패드를 같이 써야되는데 만족합니다. 전화도 빠르고요.. ㅎ절전모드 걱정을 했는데요.. 빨리 연결되는것 같습니다.만족하고 쓰고 있습니다. 저소음적축 진짜 조용합니다.소리가 조금더 낮어도 괜찬을것 같습니다. 적축 또는 갈축 한번 써보고 싶네요,[]
5,"체리스위치는 저적, 갈축만 사용해봤는데 적축을 꼭 한 번 사용해보고 싶어서 구입했어요때마침 출시특가로 좋은 가격에 구매했네요 ㅎㅎ저소음적축이랑은 전혀 다른 키감이고..키압도 낮아서 갈축에 비해 사용하기 좋네요 ㅎㅎ 서걱서걱 소리는 갈축이랑 많이 비슷하구요그리고 키캡 디자인이 너무 고급스럽고 맘에 들어여 ㅎㅎ 게임용으러는 유선으러만 사용해야겠지만 너무 만족스럽습니다 ㅎㅎ",[]
5,키감 색 기능 다 좋습니다,"['https://phinf.pstatic.net/checkout/20201115_151/1605401894451Yvx2p_JPEG/review-attachment-6f4211b8-9d49-46fc-b94e-eac644db7998.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_98/1605401894873i7Os8_JPEG/review-attachment-9990580d-90d6-4369-bde8-3aaaad306e3f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_48/1605401894910K18hr_JPEG/review-attachment-65ab4bbe-89a3-457f-be9a-c71160a168ec.jpeg?type=f287']"
5,"데스크탑, 태블릿, 핸드폰, 노트북... 키보드 하나로 왔다갔다 잘 사용하고 있습니다.","['https://phinf.pstatic.net/checkout/20201122_95/16060545219707BhAP_JPEG/review-attachment-65c161eb-061f-4514-b52b-bae5c35d82fc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201122_19/16060545627936oQ9H_JPEG/review-attachment-05523c34-3b69-4d51-9795-06f962df72f9.jpeg?type=f287']"
5,"제가 계속 찾던 무선+기계식키보드+깔끔한디자인이 gk998이 최곱니다... 키감 마감 다괜찮아요!
여기에 키캡사서 추가하니까 저세상예쁨입니다!","['https://phinf.pstatic.net/checkout/20201007_225/1602062127839TpqQ5_JPEG/review-attachment-4dc0f7a5-7293-4f04-9e7c-f5dbe17cd145.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_33/1602062135384UKb3z_JPEG/review-attachment-bd8ea10a-86b4-4e12-8a8b-abb9def0956c.jpeg?type=f287']"
5,"색감도 키감도 좋아요. 생각보다 부드럽게 눌리네요. 색감도 맘에 들고 잘 산것 같아요. 블루투스 기기도 여러개 연결할 수 있어서 만족합니다.
잘 쓸게요! 배송도 이틀만에 바로 봤어요!","['https://phinf.pstatic.net/checkout/20201106_281/1604650782274j6QRB_JPEG/review-attachment-e7e7d55c-7a83-43da-9945-99eedd11ffae.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_72/160465081201820VvJ_JPEG/review-attachment-181dd9ab-5f0b-4685-8280-e58a44577f95.jpeg?type=f287']"
5,조용하고 블루투스 연결로 다른 장비와 호환되는게 너무 좋아요,"['https://phinf.pstatic.net/checkout/20201111_20/1605060748677oCd9d_JPEG/review-attachment-b684dc7f-abf6-4aa0-8808-07e247766c86.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_161/1605060765550rmlti_JPEG/review-attachment-6b55daa9-03d9-4b79-a516-1c3403710710.jpeg?type=f287']"
5,"아이패드와 노트북, 데스크탑등 여러 디바이스와 같이 쓸 키보드를 찾던중 찾은 키보드 블루투스 전환도 빠르고 무소음적축에 디자인도 맘에 드네요","['https://phinf.pstatic.net/checkout/20201011_67/1602393354222WieID_JPEG/review-attachment-76595f1a-5156-4f1c-85de-0ebdc8565d6f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_201/1602393359508WyIOz_JPEG/review-attachment-d65cd3c9-7ae7-4d93-bce7-4d3107594f10.jpeg?type=f287']"
5,기계식 키보드 첫 구입인데 오래 쓸것 같네요... 왜 좋은 키보드를 쓰는지 알겠네요.. ^^,"['https://phinf.pstatic.net/checkout/20201021_238/1603259901661rD2J7_JPEG/review-attachment-9cf0fc15-25bf-4b1b-ae48-6dc2382a6795.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201021_238/1603259921416Afp7L_JPEG/review-attachment-a84b61cf-0b85-4027-9d5e-5999e281658f.jpeg?type=f287']"
5,갈축~ 마음에 들어요. 블루투스라 더 편해요,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_11_0/69881039-0b61-11eb-bcbe-505dac8c37f3_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201011_253/1602379849951FWD0A_JPEG/review-attachment-c9d9554b-cbea-4c16-b66c-d81dba243229.jpeg?type=f287']"
4,저소음 맞고요. 소리가 작아요. 저는 다만 키감이 생각했던 거보다 가벼워서 좀 아쉽네요.,['https://phinf.pstatic.net/checkout/20201109_298/1604878039077hVDMk_JPEG/review-attachment-ecce8ce6-43f9-43ba-b191-c214d5520f2a.jpeg?type=f287']
5,터치감도좋고 디자인도 색도 너무 좋습니다. 잘쓰고읺어요,['https://phinf.pstatic.net/checkout/20201122_250/1606008882747iSrra_JPEG/review-attachment-aab0d872-dfe7-492f-b09f-0315de8731cf.jpeg?type=f287']
5,실제로 보니까 그레이&하늘색 톤이 너무 예쁩니다. 지일 맘에든건 블루투스 연결된 기계간 전환이 매우 빠르다는점. 업무할 때 스무스하게 노트북 폰 전환되어서 너무 편리해요,['https://phinf.pstatic.net/checkout/20201129_157/1606630604112ztPgf_JPEG/review-attachment-305d5e78-d887-4c13-8031-5a5f43544960.jpeg?type=f287']
4,"최고에욥
음 산지 한 2주되었는데 근데 한글자판은 슬슬 지워지기 시작하네요 ㅠ 그냥 영타로만 할걸 ㅠ",['https://phinf.pstatic.net/checkout/20201120_261/1605857922992HdPBm_JPEG/review-attachment-5b8c3de3-9bd9-4aab-a5af-75ba752921c1.jpeg?type=f287']
3,"키감은 가볍고 소리도 작은데
키보드 글자가 벌써 벗겨지네요
최악의단점",['https://phinf.pstatic.net/checkout/20201115_88/1605435021878uPB7y_JPEG/review-attachment-11bd4d46-6116-4662-a9d6-f3a708653d0d.jpeg?type=f287']
4,"실물이 깡패
블루투스 연결이 살짝 난이도가 있고 스페이스바 유격이 살짝 있어 4점(다시 제대로 꽃음)",['https://phinf.pstatic.net/checkout/20201127_126/1606435390205uPh0D_JPEG/review-attachment-f61c4caa-42c8-4572-bb0b-7d181ea3e719.jpeg?type=f287']
5,깔끔하고 좋아요 편하고요,['https://phinf.pstatic.net/checkout/20201123_76/1606130285886d7UJe_JPEG/review-attachment-ef5e6d44-a0c3-4630-8dae-c319848aa60e.jpeg?type=f287']
5,행복합니다... 역시 하얀색 베이스가 가장 예쁘네요~!,['https://phinf.pstatic.net/checkout/20201123_47/1606140763145jkTl8_JPEG/review-attachment-a7799c8b-44a9-4c79-a26e-efcb0040838c.jpeg?type=f287']
5,아주 맘에 듭니다. 다른 키보드 못 쓰겠어요!,['https://phinf.pstatic.net/checkout/20201130_255/1606701567332ngGFG_JPEG/review-attachment-fbce90aa-1833-48a4-99a3-857e96a14ff8.jpeg?type=f287']
