star_point,comment,photo
1,"구매일은 5월5일이였고 그때 당시에 배송 도착 예정일은 7일에 90%, 5월 8일에는 95%라고 적혀있었고 구매결재된 날짜는 5월 6일이였습니다. 그런데 택배를 부친 날짜는 5월 7일이며 도착일은 5월 11일 오후 8시30분경입니다. 배송속도도 너무늦고 아무리 상품이 아닌 박스라지만 찌그러져있고 이거는 소비자를 무시하고 어짜피 살사람은 사는데 대충대도 되겠지라는 생각을 갖고있는거 같네요 자기 회사 제품을 직접 판매하는 곳이 이정도면 다른 쇼핑몰에서 판매하는 곳은 더할지도 모르겠네요
솔직히 기계식 키보드를 처음 사용하려고 많은 고민 끝에 구매를 결정했는데 이런 태도면 진짜 구매한것이 후회가되고 실망스럽기 짝이 없네요","['https://phinf.pstatic.net/checkout/20200511_39/1589197830703qiY7X_JPEG/20200511_204943.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200511_119/1589197838523QfQc8_JPEG/20200511_204922.jpg?type=f287']"
3,"딱히 키가 씹힌다던지 하는곳은 없었는데... 이거 캡스락, 넘락 상태표시등이 작동을 안하네요...ㅋㅋㅋ 키든 끄든 LED는 꿈쩍도 안하는데 솔직히 고치려니 반품배송이니 뭐니도 귀찮고, 직접방문매장도 없어서 그냥 그런대로 쓰고 있습니다. 그외엔 정말 만족스럽습니다. 외형, 발광, 키감 다 좋네요.",['https://phinf.pstatic.net/checkout/20191029_28/1572298598560dRQSw_JPEG/20191029_063100_836.jpg?type=f287']
2,"통울림이 아~~~주 심함유사한 디자인의 타사 제품이 커스텀한 rgb 메모리 가능이 없어서 리부티하고 나면 커스텀 모드로 바꿔줘야하는 문제로 반품후에 가격대가 더 높지만 선호하는 디자엔에 키캡만 바꾸면 괜찮겠다 싶어 커스텀 칼라모드 저장잘 되는지 문의하여 확인한 후에 구매했는데... 흡음제 되어 있다는 제품이 통울림이 너무 너무 심함. 최악의 통울림임이가격대에 통울림없는 제품이 어디 있겠냐고 할수 있으나 앞서 구매한 제품은 이 gk550 과 거의 같은 스펙에 가격은 오히려 1만원이상 저렴하고 통울림은 이제품의 10% 정도 밖에 않됨. 거의 못느낄 수준이었음. 디자인, 키감, 기능 다 마음에 들지만 엄청난 통울림에 급 실망함.통울림 신경 안쓰는 유저라면 추천할만 하지만 조금이라도 신경쓰는 사용자라면 비추함.",[]
1,이것저것 축 교환하는거 좋아하서 쓰고있는 키보드가 있음에도 1개 새로 샀는데 싼게 비지떡이라더니 다른 회사의 축은 그렇다 쳐도 오테무 축도 교환도 안됨. 축 교환하려고 장착된 축 빼려고 하는데도 뻑뻑해서 빠지지도 않는 정도고 오히려 빼다가 보강판이 휨... 진짜 키보드 이것저것 써봤지만 이런적은 처음.,[]
1,"조금만 더 세심히 보앗으면 낭패 안보앗을것을 ...
나이가 60대 되다보니 키보드 한.영 배열이 기존에것하구 차이가 나서 적응 어려워 결국은 예전 키보드 사용합니다 나이가 나같은 사용자는 쬐금 적응 어려움이 잇군요 개인적이 차이가 잇겟지만...",['https://phinf.pstatic.net/checkout/20191027_56/15721583871976ln3U_JPEG/KakaoTalk_20191027_153855730.jpg?type=f287']
5,방이 전체적으로 화이트라서 때좀 타도 일부러 화이트로 사려고 벼루다가 샀습니다 led색이랑 이것저것 고민했는데 이게 제일 괜찮아보여서 구매했어요.생각보다 타이핑 울리는 소리 있긴한데 원래 키감 가벼운거 쓰다보니까 이게 좀더 무거워서 살살누르면 좀 소리 나는거 같고 이외에는 별로 거슬리는거 없이 깔끔하고 좋아요!다만 받자마가 키캡에 찍힌자국? 흠집같은거 있는걸 봐버려서 맘이조금 아프지만 다시받긴 귀찮아서 그냥 씁니다,['https://phinf.pstatic.net/checkout/20190210_3/1549760861640KxbLJ_JPEG/KakaoTalk_20190210_100707348.jpg?type=f287']
4,사실 앱코꺼 구매할까 아니면 한성꺼 구매할까 하다가주변에 한성쓰는 분이 있는데 생각보다 좋다는 말을 하기에그래도 여러번 유튜브나 보구 구매했습니다사실 청축은 몇번 써봤는데 소음도 심하고 해서갈축으로 했는데 갈축도 상당히 괜찮네요저는 만족하며 몇일동안 사용했습니다조만간 하나 더 구매할 예정인데앱코보다는 약간이나마 가격이 부담되서 그런지가성비 좋다는 말보단딱 그가격에 맞는 키보드 인거 같습니다배송도 빠르고 잘 받았습니다수고하세요^^,['https://shopping-phinf.pstatic.net/20190627_21/bfd9f370-ffe6-4479-9735-6959dd487a01.jpg?type=f287']
5,"제일 좋아하는 심플하고 깔끔한 디자인인 비키타입이라서 골랐고, 갈축밖에 안써봐서 청축에 약간 불안한 점이 있었는데, 막상 사용해보니까 갈축과는 다르지만 꽤나 만족할만한 수준인것 같습니다.제품 자체에는 문제가 없고 앞으로 잔고장 없었으면 좋겠네요.전에 쓰던 다른 오테뮤 제품은 잔고장이 많았거든요.",[]
5,본래 체리 청축 키보드만 사용하다가 다른 축의 느낌이 굼긍하고 rgb효과를 보고 싶어서 하나 구매해보았습니다. 키보드를 여러 개 사서 쓰는 사람은 아니기에 키감이나 통울림등에 관한 객관적인 정보를 적을 수는 없지만 저는 충분히 쓸만하고 좋은 키보드라고 생각합니다. 딱히 스테빌라이저에서 스프링 소리가 들린다거나 통울림 소리가 들리는 것도 없고 키보드도 부드럽게 잘 눌립니다. 다만 저가형이다 보니 공정 자체에서 원가절감을 위해서인지 제품에 각종 이물질들이 적지는 않게 있기는 합니다. 싼 값에 기계식 잘 쓰겠습니다.,[]
4,사무실에서 쓸라고 샀는데 가벼운느낌이면서도 소음도 별로 없는거같네요근데 통통튀는듯한 느낌이랑 조금 세게 누르면 바닥탕탕치는소리는 원래 나는건지(이게 통울림이라하는건지)약간 신경쓰이긴하는데 못쓸정도는 아니네요,[]
5,"가성비, 디자인, 실용성 갑 사무실에서 노트북용으로 사용하려고적축으로 주문했는데키감도 만족스럽고 소음 및 LED도 만족스럽습니다.비슷한 가격대의 다른 것도 사용해 봤는데질감도 그렇고 사용하는 느낌이 훨씬 좋네요.다만 아쉬운점은FN키에 관련된 키들에는 프린터 마스킹이 되어있는데반정도 지워져있네요. 제대로 마스킹 되지 않은 듯 싶습니다.어차피 노트북용이라 FN키 사용할 일이 많지 않지만데스크탑에 메인용으로 사용하실분들은 조금 불만일수도 있겠네요.이점을 감안해서100점 만점에 90점드립니다!",[]
5,GK550 XRGB 갈축 LP타입 적극추천! 일단 한성모니터 ULTRON 2767C 커브드 144 랑 같이쓰면 개이쁩니다. 와 갈축이라 또 조용한데 저번에 쓴 청축하고 타이핑은 비슷한거같네요. 같은 한성키보드라 그런가는 모르겠지만 일단 조용한 청축이라고 느껴집니다. 그리고 밤에 이뻐요!,"['https://phinf.pstatic.net/checkout/20180222_203/1519278275192VGgYq_JPEG/KakaoTalk_20180222_144248409.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180222_1/1519278275627dtwPn_JPEG/KakaoTalk_20180222_144308588.jpg?type=f287']"
5,넘모넘모 맘에 들어여! 갈축 소리가 적당하니 키감도 좋구 키보드 디자인 자체로 청소하기 쉬운 디자인에 빛이 번쩍 번쩍 여러가지 느낌으로 조절 가능하는게 참 좋네요. 무한 중복 키 느낌도 굉장히 좋구요. 이 가격에 이 정도 퀄리티 너무너무 맘에 듭니다. 고장나도 또 똑같은걸로 구매할것 같아요. 아주매우 몹시 훌륭허니 추천 합니다.,[]
5,한성 게이밍 키보드 가격좋고 물품 좋습니다. 키보드 뿐 아니라 모니터도 구매하여 사용중인데 중소기업 제품 이만한것 없는것 같습니다.가격대비 제품 좋고 가성비 좋고 키보드 갈축구매하였는데청축이 게임 하시는분들에겐 좋은거 같습니다. 갈축은 청축보다많이 부드럽습니다. 타격감 조금 덜하고 소리 덜하고 구매하실분들 참고해서 구매하세요 ^^,[]
2,기대치 쉬쉬 탕탕 쇠소리 심해요전화하니통울림 소리라네요근처 한성컴퓨터 가게 가서 물어보니싼거사면서 불평말래요이십만원은 주어야 제대로 된거 사는거라고오타쿠 축? 에 그런거 기대하지 말래요상품평 좋길래 샀는데 통울림 소리는귀에 많이 거슬려요.,['https://phinf.pstatic.net/checkout/20180326_256/15220563619283ji0L_JPEG/PRREW_3478726789007301274.jpeg?type=f287']
5,"역시 믿고쓰는 한성입니다! 한성은 노트북으로 유명해서 키보드도 괜찮을까...? 하고 사봤는데 왠걸, 정말 만족스럽네요!기계식키보드 갈축도 처음 사보는거라서 기대반 걱정반이였습니다만, 청축 적축보다 훨씬 조용하고 잘 쓸수 있을거같습니다!가격대비 성능을 항상 만족시켜준 한성키보드도 믿고써봅니다!",[]
4,적축시켰는데 청축이왔지만 그냥쓰려구요 소리큰거싫어서 적축시켰는데 생각보다 청축도 소리가 그렇게 크진않아서교환안하고 그냥쓰려구요네이버페이라서 선택옵션이 안된건지 아니면 실수인건지는 모르겠으나다른분들은 신경좀써주세여..ㅋㅋ,['https://phinf.pstatic.net/checkout/20180513_144/sex_y_lady__1526205894537vHfjw_JPEG/KakaoTalk_20180512_153346154.jpg?type=f287']
5,가성비에 최고 만족합니다. 이 가격에 이런 가성비를 내기가 쉽지 않을 듯 합니다.조금 더 재미있는 문서 작성을 위해 가성비 좋은 기계식 키보드를 알아보다가 구매하게 되었습니다.우선 5일 정도 사용해본 결과 비용대비 대 만족입니다. 사실 키감은 같은 가격대는 다 비슷할 거 같습니다.저는 LED형태중에 한가지 빛으로 들어오게 설정 가능한 키보드를 원했는데 이상품 말고는 발견을 못했습니다. 만족하고 씁니다! 배송도 빠른건 덤,[]
5,"GK550 만족스러워요 주변에서 기계식 많이 사용하는데 가격이 꽤 고가라 입맛만 다셨었는데 상품평도 좋고 가격도 저렴한 한성키보드 구입후 타이핑해보니 키감, 색감 모두 만족스럽네요. 배송도 주문 당일 출고되어 다음날 받아보게되어 빨랐어요.",[]
5,"오 이뽀이뽀

편하게 잘 쓸게요","['https://phinf.pstatic.net/checkout/20201028_27/1603891893251rpVSv_JPEG/review-attachment-10003af8-0952-4a6a-a6c3-f80bb15dcfd0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_60/1603891915525D5y44_JPEG/review-attachment-37f0affd-9572-4e6f-981b-cd12056234dc.jpeg?type=f287']"
5,"사무실에서 이 제품을 쓰다가
너무 마음에 들어서 집에 있는것도 이걸로 바꿨어요
흰색이라 예쁘기도 너무 예쁘고 좋아요
원래 키보드를 세게 치는 편이라 기계식 두드리는 맛이 있습니다 ㅎㅎㅎ",['https://phinf.pstatic.net/checkout/20201126_78/16063655621357wAvV_JPEG/review-attachment-176e3ca8-a0e6-4d6d-b3a5-32fe5c58337b.jpeg?type=f287']
5,"디자인도 이쁘고 키감도 좋습니다.
감사합니다 ^^",['https://phinf.pstatic.net/checkout/20201127_231/1606439555710pja3Q_JPEG/review-attachment-d9a58524-3a91-430c-b1aa-49f3a6afbe6f.jpeg?type=f287']
5,배송도 빠르고 상품도 만족합니다,['https://phinf.pstatic.net/checkout/20201129_151/1606626877681iJgQ2_JPEG/review-attachment-a7f1294f-a038-47ae-940a-45bf536c8be0.jpeg?type=f287']
4,배송빠르고 가성비 좋아요,['https://phinf.pstatic.net/checkout/20201126_16/1606373036371JsS9T_JPEG/review-attachment-6cbea8e8-e950-4024-bf58-cc2198634dab.jpeg?type=f287']
5,너무 이쁘고 좋아요!,['https://phinf.pstatic.net/checkout/20201124_121/1606178588220lYbCs_JPEG/review-attachment-4334564b-92f6-47c9-9ac6-2e96b40ba637.jpeg?type=f287']
5,너무 이뻐요 불빛모드두 많고 집이 화려해져써용,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_17_0/0a51beb1-28d0-11eb-b148-48df379ccacc_03.jpg?type=f287']
5,이렇게 심플한 디자인 키보드 찾고있었는데 딱 취향저격,['https://phinf.pstatic.net/checkout/20201031_275/1604152224429ySkbD_JPEG/review-attachment-e987acbf-7207-4130-9774-13aaa89fc705.jpeg?type=f287']
5,청축이라 짤깍 거리는 느낌도 좋고 약간 납작한 키캡이라서 귀엽습니다 ㅋㅋㅋ 알록달록하게 설정해봤는데 너무 마음에 듭니다~~,['https://phinf.pstatic.net/checkout/20201106_235/1604658880736KbC6u_JPEG/review-attachment-4682f8a6-c772-4a98-8730-7c020307d722.jpeg?type=f287']
5,타건감도 좋고 디자인도 예뻐서 좋아요~,['https://phinf.pstatic.net/checkout/20201016_147/1602775887863R7Iss_JPEG/review-attachment-e759e1bd-3c6e-4953-96d9-ce8129587311.jpeg?type=f287']
5,호아트 컨셉 키보드 너무 이뻐요,['https://phinf.pstatic.net/checkout/20201018_30/1602992120372oxKED_JPEG/review-attachment-880aaad9-fc21-4798-abf0-333189bf6519.jpeg?type=f287']
5,배송이 좀 느린거 빼고는 소리도 경쾌하고 좋았어요 스프링 소리도 조금은 들려도 그렇게 거슬리진 않아서 게임하기엔 딱인거 같습니다,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_21_0/aa4d5ebc-13a9-11eb-988f-246e963a4708_03.jpg?type=f287']
5,"정말 좋네요~~ 이쁘네요~~
비키스타일에 청소 관리도 쉬울것같은데 청소 도구도 있네요~~
여분 축도 들어가있고
재구입 각일것 같습니다~~",['https://phinf.pstatic.net/checkout/20201023_147/1603455571217tlAxq_JPEG/review-attachment-bbcd6f51-3231-469f-908f-1a1eda9e96c8.jpeg?type=f287']
5,여자 친구한테 선물했는데 너무 좋아하네요 감사합니다,['https://phinf.pstatic.net/checkout/20201017_171/1602920246707Frbo8_JPEG/review-attachment-8f623352-a902-4455-bf16-92bb37bb9412.jpeg?type=f287']
5,작은 키보드를 찾고 있었는데 강냉이들 크기도 작고 키감도 맘에 들어요,['https://phinf.pstatic.net/checkout/20200915_198/160016976117965KP7_JPEG/review-attachment-d4f886fc-321f-4593-b4b2-0b308629c5c0.jpeg?type=f287']
5,가격 대비 괜찮아요. 나름 쓸만합니다.,['https://phinf.pstatic.net/checkout/20201002_276/1601566182666DX0gc_JPEG/review-attachment-309df8e0-1425-4401-9ba5-d2f80dab28b4.jpeg?type=f287']
4,정말 마음에 드네요. 적당한 무게감이 있어서 더 좋아요. 단단한 느낌이 듭니다.,['https://phinf.pstatic.net/checkout/20200919_41/1600449503489JqJpV_JPEG/review-attachment-2f6e37c1-d560-4e65-a5fa-9bed66d060af.jpeg?type=f287']
5,배송도빠르고 너무좋습니다 키감도좋고 다좋음,['https://phinf.pstatic.net/checkout/20200911_7/1599810539931tlh7z_JPEG/review-attachment-461a26b8-eb18-45fb-ba61-f9c8fc0dd444.jpeg?type=f287']
5,화려한 RGB LED와 청축의 경쾌한 타건이 인상 깊은 키보드 였습니다.,['https://phinf.pstatic.net/checkout/20200918_87/1600420409674FAvre_JPEG/review-attachment-846c2c4a-2ec5-401c-879b-c76851599233.jpeg?type=f287']
5,배송도 엄청 빠르고 좋아요,['https://phinf.pstatic.net/checkout/20200922_258/1600710359351hh47L_JPEG/review-attachment-96c57bca-2eba-4897-bca1-83ef3e3bd3e6.jpeg?type=f287']
5,"이 키보드를 사고 나서 과제 하는 게 재미있어졌습니다.
그리고 할 일 없는데도 자꾸 키보드를 만지게 되네영...
영롱쓰....",['https://phinf.pstatic.net/checkout/20200912_290/1599889465085fgdYs_JPEG/review-attachment-aea04698-49b9-4a2a-bbf5-8e96b9c12080.jpeg?type=f287']
5,배송이 좀 걸렸지만 미리 연락주셔서 좋았습니다.,['https://phinf.pstatic.net/checkout/20200906_67/1599376511295pBB2Q_JPEG/review-attachment-cf5c56f8-9fda-4cd2-8e19-4d2d6ba715e1.jpeg?type=f287']
5,아주좋아요 가격대비 만족,['https://phinf.pstatic.net/checkout/20200829_127/1598699362857gOv7M_JPEG/review-attachment-47806fac-10ff-47e1-b2a8-9b27b8007a14.jpeg?type=f287']
5,잘 작동합니다 만족합니다,['https://phinf.pstatic.net/checkout/20200919_272/1600518865373OqNjT_JPEG/review-attachment-32cf94ad-f264-4fdd-bd05-c186c41786a7.jpeg?type=f287']
5,너무 예쁘고 맘에 듭니다 알지비 때문에 샀는데 저는 키감도 만족스러워요,[]
5,키감도 좋고 이뻐요 !,['https://phinf.pstatic.net/checkout/20200810_110/1597008475894fxNCY_JPEG/review-attachment-7caf7f58-4072-4760-9b3b-48a445db8ca4.jpeg?type=f287']
5,제가 led가 층? 별로 나눠져있는거 말고 전체적으로 같은 색 나오는 키보드를 원했거든요. 근데 이게 딱!! 제 눈에 들어와서 딱 샀는데 사길 너무 잘한 것 같아여 ㅋㅋㅋ 키보드 너무 예쁘고 소리도 제스타일이에요 ㅜㅜㅜ,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_23_0/7d302678-8540-11ea-a1fd-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200423_216/1587632141734t8uAu_JPEG/image.jpg?type=f287']"
5,"안전하게 물건 잘 받았습니다
사용하는 아들이 좋다고 맘에 들어합니다
번창하세요",['https://phinf.pstatic.net/checkout/20200810_160/1597025374228XGItH_JPEG/review-attachment-712904da-b3fe-4178-9bc4-58e0295eb87d.jpeg?type=f287']
5,생각보다 넘 좋아요 대 만족 청축 최고 !!♡,['https://phinf.pstatic.net/checkout/20200813_67/1597330351944H0Q58_JPEG/review-attachment-6d803ad9-ff25-476d-aac9-96dbb3c45fb9.jpeg?type=f287']
5,색상도 너무 이쁘고 기존 청축기포드보다 훨씬 타자느낌이 부드럽고 좋네요^^ 넘 이쁘네요,['https://phinf.pstatic.net/checkout/20200810_179/1597040039539IXgr2_JPEG/review-attachment-3ef5b54a-e1ff-4c64-9a60-c7aeb5dffc43.jpeg?type=f287']
5,키 누를 때 쫀득한 맛이 좋은 청축제품이고 기대했던 것보다 훨 좋네요. 앞으로 오래 잘 쓸 수 있길 바라요.,[]
5,"포장 부터 깔끔했고 LED 이상 없고
타자치는 맛도나고 마음에 듭니다",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_30_0/b0d123b3-d23f-11ea-9f28-a0369ff952f4_03.jpg?type=f287']
5,예뻐소 쓸때마다 기분좋네용 소리도 명쾌경쾌~,[]
5,배송도 빠르고 제픔도 맘에 듭니다,['https://phinf.pstatic.net/checkout/20200807_190/1596778098726L3Fq0_JPEG/review-attachment-aa984faa-d004-4452-a28e-7ddbc2233fba.jpeg?type=f287']
5,만족하면서 잘 쓰고 있습니다!,['https://phinf.pstatic.net/checkout/20200723_80/1595491785883YweNG_JPEG/review-attachment-8a736ce3-e51d-4272-bca8-66b461d1585b.jpeg?type=f287']
5,"블랙이랑 화이트 고민 많이 했는데 화이트하길 잘한것 같아요.
색깔도 예쁘고 키보드 두드릴맛이 나네요.",[]
4,사용하니 예쁘고 좋네요.^^,[]
5,너무 예쁘고 최고예요.,['https://phinf.pstatic.net/checkout/20200722_179/1595384383869SzPG7_JPEG/review-attachment-aaeeb7e4-7576-4838-846c-d47af7a2df33.jpeg?type=f287']
5,"텐키리스 쓰다가 은근히 불편해서 풀사이즈로 넘어왔습니다
같은 청축이지만 조금더 조용하네요 키감도 약간 가볍네요",['https://phinf.pstatic.net/checkout.phinf/20200701_205/1593563663095SdhVA_JPEG/20200630_201530.jpg?type=f287']
5,"진짜이쁘구용ㅎㅎ
컴터할맛나네용 색깔도 너무다양해서 고민되버림ㅎㅎ",['https://phinf.pstatic.net/checkout/20200722_2/1595413427896BqNyq_JPEG/review-attachment-9f1cb351-66ff-4686-974a-61e9890ba844.jpeg?type=f287']
5,불빛 들어오는 것고 다양하게 설정할 수 있고 키감도 괜첞네요,[]
4,"저렴한 단가에 적당한 품질입니다.
블랙색상 상판하우징 컬러는 이미지처럼 검은색은 아니고.. 고급져보이진 않으니 화이트 사세요",[]
5,맥스틸이랑같이삿는데 이게 더조음,[]
5,좋아요 ~ 두개 구입했네요 ㅎㅎㅎ 소리가 커서 거실에서 ㅅㅐ벽 늦게 컴퓨터 하는 건 약간 어렵지만... 아무튼 키감도 좋고 만족합니다~,[]
4,"제품은 좋음 역시 청축의 시끄러움이 존재함
근데 배송이 거즘 일주일 걸린거는
코로나 때문이겠죠?",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_15_0/80c5865d-af04-11ea-bdaa-505dac8c3639_03.jpg?type=f287']
5,만족합니다. 사용 잘하겠습니다.,[]
4,생각했던것과는 조금 다르긴한데 제품은 좋네요~,[]
4,"디자인이 너무마음에 듭니다.
배송도 빠르고~~",['https://phinf.pstatic.net/checkout/20200604_70/1591234526419QV4QY_JPEG/1591232932400.jpg?type=f287']
5,너무 예뻐요. 백퍼센트 만족합니다!!,['https://phinf.pstatic.net/checkout/20200621_215/1592723306368qBlLj_JPEG/1592723291092.jpg?type=f287']
5,배송도 빠르고 가성비 조아요,[]
3,좋은거같음.....,[]
5,키 소리가 너무 커서 주위 사람들 한테는 시끄러울 수 있을 거 같아요. 성능과 외관은 만족스럽습니다.,[]
5,타자감도 좋고 가격도 좋고,[]
5,겁나이쁨 또살꺼 또살꺼!!!!,[]
5,배송 빠르고 정확하게 잘 도착 했어요,['https://phinf.pstatic.net/checkout/20200513_253/1589363836937DUQm2_JPEG/20200513_155347.jpg?type=f287']
5,청축의 사운드 여전함 튼튼해여,[]
5,아들 너무 좋아합니다,[]
5,우선 배송이 매우 빨라서 마음에 들었고 깔끔하고 예뻐서 너무 좋아요 ㅎㅅㅎ!!!,[]
5,"아들 생일선물이에요
게임을 너무많이해서 밉긴하지만 그래도 좋아하니 맘은좋네요
이쁘고 키보드누를때 느낌도 좋네요
잘쓸께요~~^^",['https://phinf.pstatic.net/checkout/20200425_269/1587823624593dhw5r_JPEG/1587823610575.jpg?type=f287']
5,저렴하게 빠른배송 이제 한성꺼만 사용하고 있어여,[]
5,역시 청축! 소리도 너무 좋고 타격감도 너무 좋아요!! 레인보우로 백라이트 들어오는 것도 짱 이뻐요! 최고최고!,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_22_0/c1420003-83ec-11ea-9d5b-505dacfbaa5c_03.jpg?type=f287']
4,배송도 빠르고 흰색이라 깔끔 하고 좋아요.,['https://phinf.pstatic.net/checkout.phinf/20200426_22/15878287661493XQWl_JPEG/KakaoTalk_20200426_003042665.jpg?type=f287']
4,"키감이나 RGB,배송은 만족하지만 제품상태는 좀 그렇네요 키 위치가 잘못되거나 돌려서 꽂아져 있거나 불량부분이 보입니다. 완성도가 떨어진다는 느낌?이 드네요 이런부분은 좀 신경쓰셔야 할듯합니다.","['https://phinf.pstatic.net/checkout/20191216_133/1576454645628UiSjG_JPEG/KakaoTalk_20191216_090203775.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191216_242/1576454645797Daj4t_JPEG/KakaoTalk_20191216_090204509.jpg?type=f287']"
5,아직 기능은 잘모르겠지만 이쁘고 좋네요ㅎㅎ 기계식 키보드처음인데 소리도좋고 좋아요~ 서비스로 로또쿠폰도왔네요,"['https://shopping-phinf.pstatic.net/20190423_11/0916b4b9-b1b0-40b4-90dc-cf18f9b58b5c.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190423_13/1a5cfdc2-f110-41f5-85d6-f7886a5cf472.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190423_27/1c058f1a-5cf5-410a-9a92-79bbf2cd1b0e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190628_8/878c2354-be50-49d6-b47c-ce7b7ec66a27.jpg?type=f287']"
5,감사합니다 잘쓰겠습니다,[]
5,예뻐요.맘에들고 두드릴때 소리도 좋아요.,[]
5,배송도 빠르고 상품도 좋네용 잘쓸게요,['https://phinf.pstatic.net/checkout/20200403_100/1585898542474LE5va_JPEG/9929C9E1-ABF5-43D1-A7B5-F6FDC84B5A90.jpeg?type=f287']
4,아들이 좋아해요 잘 쓸게요,['https://phinf.pstatic.net/checkout/20200327_220/1585265856240PlyHV_JPEG/1585265825729.jpg?type=f287']
5,싸고 좋습니다. 핑크 키캡을 껴놨더니 이쁘네요.,[]
5,키캡이 낮아졌네요ㅠ,[]
5,"슬림, 고급스럽고, 백라이트가 매우 인상적입니다.",[]
5,재구매한거에요~ 터치감좋고 불빛모드많아서 좋아요,[]
5,적절한 타격감 너무 쓰기 편하고 좋습니다.,[]
4,빠른 배송 적절한 포장,[]
5,블루투스 기능이 되면 더할나위없이 좋을것같아요~ 타자감도좋고 현란한 불빛모드도 많아서 좋아요~~ ^^,[]
5,"소리, 색깔, 손가락 닿는 느낌이 좋아요",[]
5,"가격도 착하고 키감도 좋아요.
추천",[]
5,재품 퀄리티가 좋고 가성비 갑~!,[]
5,아주 만족합니다 굿이예요,[]
5,좋아요 아이가 넘. 좋아합니다~,[]
5,소리도 색 바뀌는 것도 다 좋아요,[]
5,RGB가 좋습니다. 구성품이나 재질은 동급제품에 비해 밀립니다. LP키캡이 호불호가 갈릴수 있겠습니다.,[]
4,다 좋은데 통울림 있어요 노래들으면서 타건하면 통울림 그렇게 심하진 않아요,[]
5,원랜 갈축으로 사고싶었는데 청축 밖에 없어서 어쩔수 없이 사면서 너무 시끄러우면 어쩌나 걱정했는데 생각만큼 시끄럽지 않고 딱히 거슬리지 않아서 다행입니다,[]
5,역시 한성 키보드 쓰기 좋고 참 편한듯 빠른배송 감사합니다,[]
