star_point,comment,photo
4,"기존 사용하던 키보드의 불망은 led각인인 너무 작다는거였는데 이제품이 딱 제가 원하던 키캡 글씨에요!!!다른 지품을 먼저 발견했는데 단종이라.. 찾던 도중 한성의 제품을 발견해서 구매했어요. 기계식은 처음 구매하는거라 조용한 흑축을 사고싶었지만.. 앞으로 생상을 안하는거 같아서 오렌지로 구매했어요. 기계식의 철걱거리는 소리는 생각보다 거슬리거나 하진 않고 괜찮습다. 아쉬운건 타자시 딩~딩~징~징~하는 울리는 소리가 있는데 거슬림에 정도는 더 써봐야 알거 같아요
안에 보강판이 있어서 울이는게 아닌다 싶은데... 기계식도 보강판 있는거도 처음 싸봐서 다른거랑 비교할수가 없네요 ㅎㅎ
여튼 이 엘리디 키캡을 계속해서 사용하는 모델 만들오주세요 ㅠㅜ 다음에도 사게! 글씨가 크고 굵고 아주 잘보여요~~~키캡 찾느라 힘들었어요 ㅠㅠ
요즘 키캡은 영어만 있기도해서.. 이렇게 한영이 둘다 있고 굵고 큰 글씨는 찾기가 힘드네요. Rgb화이트에 이 키캡을 원해서 구매한거라 만족스럽고 별 4개인건 징징 ㅠㅜㅠ 여튼 엘이디 너무 이쁘구요 글씨완전 잘보이구요 타건감도 괜찮아요. 선 짧을까 걱정했는데 괜찮네요 페브릭선인거도 너무 좋구요~ 키보드는 좀 무거운 편이에여. 너무 좋아요 고장난 안나고 오래 쓰면 좋겠음~~ 안에 축에 흔한건 아니라 고장나면 ㅠㅡㅠ 교체가 힘들거같아요 여튼 너무 이쁨!! 큰글씨 lgb led 화이트 키보드 너무 굿굿","['https://phinf.pstatic.net/checkout/20201027_283/1603770994187hFBQ7_JPEG/review-attachment-d797e42f-0b17-4228-a3ce-92abf726bc70.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_184/16037710091612pQax_JPEG/review-attachment-be563d60-3c3e-4e9f-a46c-3004b3fb0f76.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_162/1603771032253b32vi_JPEG/review-attachment-35478f64-bce5-4074-ae96-d5e4d00f59f3.jpeg?type=f287']"
5,"배송이 빨라서 좋았고 이전까지 rgb제품을 별로 선호하지 않았는데 화이트컬러에 rgb제품에 광축 느낌도 궁금해서 구매했습니다.
디자인과 rgb컬러는 굉장히 만족스럽습니다. 다만 오렌지축은 기계식 청축 비슷한 느낌과 소음이 나니 조용하거나 갈축 느낌을 좋아하시면 블랙축 제품으로 구입하시는것을 추천 드립니다.","['https://phinf.pstatic.net/checkout/20200402_69/15858185274239Dazy_JPEG/20200328_234726.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_176/1585818543887QMvpk_JPEG/20200328_234734.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_73/1585818568771bxnJU_JPEG/20200328_234841.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_32/15858185798954Jg2F_JPEG/20200328_234901.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_56/1585818592205dCiur_JPEG/20200328_234937.jpg?type=f287']"
5,"- 직사각형의 일반적이고 클래식한 외형.- 한/영 이중 사출 키캡.- 구성품은 키캡 리무버, 스위치 리무버, 여분 스위치 2개.- USB 마개가 일체형이라 분실 위험이 적다.- 체리식 스테빌라이저 사용.- MJ 광축 리니어 타입의 타건감은 체리 적축에서 서걱임이 빠진 느낌이다. 스펙상 키압이 높아서 체리 적축보다 무겁다. 흡음재 덕인지 통울림이나 스프링 소음은 크게 느껴지지 않았다.★ 보급형에서 자주 쓰이는 레인보우 RGB가 아닌 어드레서블 RGB로 프리미엄 제품에 들어갈 듯한 여러 예쁜 효과가 있고 소프트웨어 지원도 있다. 특히 흰색 제품이 LED 빨을 잘 받는다.- 스위치 교체식이라 동봉된 리무버로 분리할 수 있다. 처음 분리 시 힘이 좀 들어가고 그 후엔 잘 뽑힌다.★ 보급형에선 드물게 소프트웨어 지원을 한다. 커스텀 키, 매크로, LED 설정 가능. LED는 FN 키로 조절하는 방식에서 크게 다르지 않은데다 개별 키 색상을 변경할 수 없는 점은 조금 아쉽다. 반면 매크로 편집창은 크게 부족함 없이 괜찮게 만들어졌다. 설정값은 내장 메모리에 저장돼 다른 PC에서 그대로 사용할 수 있다.- 애초에 고장이 드문 광축 스위치에 듀얼레이어 PCB, IP68 방수방진 인증을 받아 좋은 내구성을 가졌다.- 보급형 광축 키보드 중에서는 가격대가 조금 있는 편이지만, 소프트웨어 매크로 지원, RGB LED 백라이트, 교체식 스위치, 내부 흡음재 등 추가요소가 그 값어치를 해준다고 생각한다. 광축을 좋아하고 보급형에서 좀 더 추가지출을 할 의향이 있다면 구매해도 나쁘지 않을 것 같다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2018_11_25_0/6cf35e0a-f0b7-11e8-9c2a-48df3726a06a_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181125_234/1543153106257zE47p_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181125_224/154315310639765pel_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181125_125/1543153106520hVXBV_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181125_81/1543153106697Vzpyi_JPEG/4.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181125_262/1543153106844kJhW2_JPEG/5.jpg?type=f287']"
5,"4년전 사서 잘 쓰고 있던 한성 청축 키보드가 많이 사용하다보니 가끔 키가 눌려서 손으로 빼주지 않으면 안올라와 새로 구매해야겠다 생각이 들었습니다. 4년간 만족하며 썼기에 다시 한성 제품을 찾아보다 디자인, 가격이 쏙인 이 제품이 눈에 들어왔습니다. 상품 설명을 읽어보다 보니 기존에 쓰던 청축. 적축과는 조금 다른 오렌지축이라 살짝 걱정했는데 받아보고 타이핑을 해보니 청축보다는 아주 살짝 적축의 느낌이 나지만 그래도 여전히 경쾌한 키감을 자랑합니다. 만족도는 100점입니다. 다음 키보드도 한성으로 사볼까 합니다.",['https://phinf.pstatic.net/checkout/20201007_284/1601999069426DimI3_JPEG/review-attachment-bb0f0f8a-1ce5-4657-abf4-d626997a9187.jpeg?type=f287']
5,"타 브랜드는 이 가격에 오테뮤축이 대부분이거나 카일 광축이어도 단일 LED밖에 구할 수 없었습니다. 오테뮤축은 기대수명이 짧아서 오입력이 잦다는 소리를 많이들어 불만이었고, 단일 LED는 이왕 키보드에 투자하는데 단일색이면 너무 심심해보여서 구매 의욕이 떨어지더라구요.

한성 GK638은 비록 MJ축이라는 유명하지 않은 축이지만 광축(적외선센서의 인식)의 기본은 키보드의 기판입니다. 따라서 MJ축이어도 기판이 다르지는 않을 것이라 생각했고, MJ축의 키압이나 특유의 키감각은 별로 중요하지 않았어요. 단지 키보드로써 얼마나 정확하게 오래 타이핑을 칠 수 있나, RGB LED로 화려한 불빛을 낼 수 있나가 제 기준이었습니다. 이것을 만족하는 것이 바로 한성 GK 638 입니다. 덤으로 MJ축이지만 클릭축과 리니어축을 선택할 수 있다는 것은 매우 마음에 들었습니다.

또한 부가적으로 키보드 내에 LED를 커스텀할 수 있어 자신이 즐기는 키보드 자판의 불빛을 저장할 수 있습니다. 이것이 불편하다면 한성의 홈페이지에서 제공하는 소프트웨어를 통해 RGB LED를 자신이 자유로 변경할 수 있고 부가적으로 매크로까지 입력할 수 있습니다.

정리하자면, 광축으로써 기대되는 긴 수명, RGB LED를 통한 아름다운 효과, 클릭축과 리니어축을 고를 수 있는 넓은 선택폭을 가진 키보드입니다. 하지만 가격은 4만 원이죠.

이것이 제가 한성 GK638에 5점을 드린 이유입니다. 저는 이 제품이 6만원이어도 샀을 겁니다. 매우 .",['https://phinf.pstatic.net/checkout/20191031_33/1572512173148bLNxY_JPEG/20191031_174448.jpg?type=f287']
5,"키 반능속도 빠르며 방수도 잘되고, 오류키 없는 키인식클릭음과 함께 경쾌한 타건이 가능합니다.광축이라서 너무 좋고 소리도 좋아요. LED 기능적인 측면에서나 단축키 면에서 너무 편리하게 만들어 놨어요. 사용자 입장에서 사용하기가 너무 편하네요~^^GK638 Optik RGB 키보드는 제작 당시 각각의 키마다 LED를 따로 설정할 수 있도록 설계하였으며, 12가지의 기본 RGB 효과들을 바탕으로 다양한 RGB 튜닝기능을 지원합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2018_11_19_0/4a329529-ebef-11e8-8610-48df3726a06a_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181119_291/1542626997518txlLP_JPEG/20181116_000617.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181119_161/1542627232597zr70Q_JPEG/A9.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181119_17/1542627477600cJp51_JPEG/20181115_072746.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181119_5/15426274749588BQ1g_JPEG/20181115_071328.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181119_124/15426274747915L3IQ_JPEG/20181115_071231.jpg?type=f287']"
5,우선 리니어축 기준으로 카일이나 LK 광축 보다 키압이 낮아서 타이핑용도로 써도 손가락이 아프지 않습니다. 그리고 스태빌에 윤활이 엄청 잘되어 있어서 상당히 정숙한 느낌을 받을 수 있습니다. 광축 스위치 자체의 소음은 어쩔 수 없지만 광축 중에는 제일 조용하지 않을까 합니다. RGB 색상 표현이 아주 자연스러워 보기 좋습니다. 물론 LED 효과까지 좋다는 말은 아닙니다. 그리고 광축 중에는 다소 저렴한 편에 속하면서도 하우징이나 기타 마감이 나쁘지도 않습니다. 또한 전용 소프트웨어 지원도 하기 때문에 PC방이나 아이가 있는 가정에서 전투용으로 사용하기에 부족함 없다는 생각 힙니다.,"['https://phinf.pstatic.net/checkout/20181125_96/1543136778416bLe1Q_JPEG/IMG_6779-%BB%EC%C6%EC%BA%B8%B1%E2.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20181125_254/1543136778217ccJWg_JPEG/IMG_6756-%BE%F0%B9%DA%BD%CC.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20181125_120/1543136780191sYL6J_JPEG/IMG_6869.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20181125_58/1543136780432VuYvn_JPEG/IMG_6872.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20181125_31/1543136779447HhIs2_JPEG/IMG_6829.JPG?type=f287']"
5,"예전에 한성 gk600 사서 잘 사용하고 있습니다.
이번에 쓰던 다른 제품이 중국 기계식 키 하나가 에러 나서 새로 찾다가 행사 하길래 구매했습니다.
일단 개인적으로 gk600이 더 제 손에 맞네요.
그리고, 클릭 인데 너무 가벼운 클릭 소리감이 제 취향은 아니네요.
가벼운 클릭 소리 싫으신 분들은 리니어로 가는게 나을거 같습니다. 소리가 좁살 터지는 소리같다고 딸이 그러네요.
그리고 블랙은 인자된 글자가 잘 안보이는 감이 있네요. 불 들어오게 하고 쓰면 괜찮은데 그냥 쓰기에 가시성이 조금 않좋네요.
크게 보고 치진 않아서 상관 없다 싶긴 하지만... 그래도 잘 안보이긴 합니다.
몇일 써보니 가벼운 나름의 매력도 있네요. ^^ 별점도 수정합니다.",[]
5,디자인도 예쁘고 주변인이 광축이 수명이 오래 간다길래 광축으로 샀거든요 ㅎㅎ 한성컴퓨터라 믿고 살 수 있는 것 같아요 키보드 줄도 잘 안 끊어지는 재질이라 오래 쓸 수 있을 것 같아요 노트북으로 연결 해서 게임 할때만 쓰려고 샀는데 게임 할때 기대가 됩니다,['https://phinf.pstatic.net/checkout/20200324_11/1585041512025T9gv5_JPEG/image.jpg?type=f287']
5,"4만원이라는 가격에 이 정도 만족감으로 광축 키보드를 구매한 것이 처음에는 의아했습니다. 하지만 화려한 RGB라이트와 가벼운 키감이 타이핑을 칠 때 마다 제게 만족감을 주어서 좋습니다. 그리고 광축의 장점인 오래가는 수명이 말하듯 한 번도 키입력이 안되었다거나 그런 적은 없어서 그게 좋았던 것 같습니다.

개인적으로, 시끄러운 청축이 저하고 안 맞다고 생각해서 적축을 했는데 너무 가벼운 키감으로 오타가 상당히 많이발생하네요. 제 타이핑 습관으로는 적축은 거리가 있는 듯 합니다.",[]
