star_point,comment,photo
5,리뷰를 구매한 키보드로 작성해봅니다. 처음 봤을 때 알루미늄 상판에 흰색 키캡과 RGB 불빛이 잘 어울립니다. 외관은 제 기준에서 매우 만족스럽네요. 광축에 갈축(넌클릭) 스위치를 사용해보고 싶어서 샀는데 갈축이라도 생각보다 걸리는 느낌은 약한 편입니다. 타자를 칠 때 소음은 심하지 않습니다만 이런 종류의 키보드라면 발생하는 소리는 어느 정도 발생합니다. 스테빌라이저 소음도 크게 느껴지지는 않네요. 다만 스페이스바는 철심 소리가 약간 들리긴 합니다. 사진은 RGB느낌을 잘 보이기 위해 어둡게 하고 찍었습니다.,"['https://shopping-phinf.pstatic.net/20201016_23/f235d1a1-b8fc-48c6-a6b9-83323a8a90fe.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201016_24/e59aea6f-e8eb-48d2-ab23-44acfb5a21dd.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201016_15/d3727b9a-964a-485f-a59f-9810c9683d96.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201016_5/45fc5c84-1547-42b9-aa8d-f376c750135c.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201016_5/d1e5fc1a-d389-4eeb-8e84-c6f1c0984bf9.jpg?type=f287']"
5,"그 동안 키보드나 마우스는 티자입력과 클릭만 되면 그만이라고 생각했던지라 키보드와 마우스에 크게 투자하지 않았어요. 저의 컴퓨터 주용도는 문서작업과 인터넷검색 그리고 인강정도라서 평소에 타이핑 감도에 신경을 쓰지 않았습니다. 그런데 언제부터인가 기존에 쓰던 키보드가 답답함을 느낄만큼 입력이 안돼서 키보드를 바꿔야할 시점이라 여겼고 타이핑 감도를 중요하게 생각하게 되었습니다. 제가 원했던 키보드는 부담스럽지 않은 가격에 타이핑시 바로 인식이 되는 것이었어요. 그래서 led나 디자인, 타이핑시 소리, 통울림 등은 고려대상이 아니었죠. 이전에는 그냥 가격대가 저렴하면 바로 구매였는데 가격대와 기능을 꼼꼼히 따져보고 결정하려 하니 쉽게 제품을 고르지 못하겠더라고요. 키보드에 대한 지식이 없다보니 더욱 어려웠던 것 같습니다. 제가 한성 gk700제품을 선택한 이유는 1. 낮은 높이의 키캡으로 타자치기 편한 점 2. 최근에 출시된 점񢉤년 4월) 3.고장시 a/s받기 편하다는 점(집근처에 직영점이 있음) 처음 제품을 받아보고 느낀 인상은 키보드가 꽤 무겁다는것이 었습니다. 제품 자체가 무겁다보니 타자칠때 키보드의 흔들림 없이 타자를 칠수 있는 것 같습니다. 키보드에 대한 전문적인 지식이 없는 상태에서 이 제품의 좋고 나쁨을 적는데는 한계가 있는 것 같습니다. 키보드 제품의 질에 대한 평가는 모두 다르겠지만 저는 만족스럽습니다.","['https://shopping-phinf.pstatic.net/20200525_25/f38acfd4-86e4-42b8-9f9f-552a2195a03d.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200525_1/ad647112-cde5-401d-8d6f-20ff14d94997.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200525_22/6e550fa0-d6c8-4245-aa0c-a183202a103e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200525_24/5cbb0fb7-1a83-4dd1-a4fe-7bc02b57bcae.jpg?type=f287']"
5,"이번에 데스크탑을 새로 맞춰 흰색 키보드를 구매하려고 알아봤는데, 비슷한 가격대에는 대부분 앱코와 콕스가 주를 이루고 이마저도 클릭 또는 청축이거나 텐키리스여서 선택지가 제한적이었습니다. 최근에 GK700 발매를 알고 후기가 별로 없어 고민을 하다 화이트 키보드를 포기할 수 없어 일단 구매하기로 마음 먹었습니다.
기계식 or 광축은 처음이라 아직 취향은 없었지만, 최대한 정숙하면서도 타건감은 어느정도 있는 걸 원해 적축으로 선택했습니다. 유투브에 있는 제품 타건소리를 들어보고 블로그 리뷰도 보니 갈축과 고민을 많이 했는데, 일단 적축도 충분히 마음에 들고 추후에 기회가 된다면 갈축도 사용해 보고 싶네요.
LED 색은 다소 밋밋해보일 수 있지만 어설프게 화려한 거보다 훨씬 좋아보이며 알루미늄으로 된 상판도 애매한 플라스틱보다 훨씬 . 아직까지는 소리도 타건감도 너무 만족스러운데 혹시나 문제가 생겨 a/s 받을 일만 생기지 않았으면 합니다.
사무실에서 사용하기에는 소리가 좀 있는 편이고, 만약 가정에서 사용할 화이트 키보드를 살 생각이라면 무조건 추천합니다.","['https://phinf.pstatic.net/checkout/20200527_158/1590544906768BTRmb_JPEG/8B5050D0-8D9D-40DD-A115-036FF776005F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_249/15905449068378ctKB_JPEG/74F521E2-D68D-4CD9-AA73-BD5C3BAF2176.jpeg?type=f287']"
4,"타건감이 정말 우수합니다.
5만원의 가격대에, 게다가 광축인데 이정도 타건감을 보여주는 키보드는 처음입니다.
게이트론 갈축을 써봤는데 게이트론 광축 넌클릭이라도 광축이라서 실망스럽지 않을까 싶었는데 만족스럽습니다.
스테빌 소음은 조금 있는 편이긴 한데 그만큼 윤활이 적당히 된 느낌입니다.
기존에 썼던 앱코 k660광축은 텅텅거림이 심했는데 이 제품은 흡음재가 있어서 통울림을 잡은 제품입니다.
단점은 .
축이 아주 살짝 옆으로 기울어진 키들이 있습니다. 크게 티는 안나는 편입니다. 저는 좀 심하게 티가 나는 스위치 부분을 뽑아서 다시 똑바로 잡아놓긴 했는데 이 부분은 개선이 필요해보입니다.
제가 받은 키보드는 특히 ~키와 1키 사이, ←방향키와 ↓ 사이가 너무 붙어있습니다. 저는 스위치를 뽑아서 안에 종이조각을 넣어 똑바로 맞추어놓았습니다...
마감까진 바라지 않습니다만, 이부분은 꼭 개선이 되었으면 좋겠네요.
결과적으로 . 쓰는데는 이상이 없는 단점에, . 광축이라서가 아니라 그냥 기계식 기준에서도 준수합니다.",['https://phinf.pstatic.net/checkout/20200617_109/1592397029559N9cul_JPEG/KakaoTalk_20200617_211803750.jpg?type=f287']
5,"배송이 엄청 빨랐구요. 남자친구랑 커플로 맞추려고 샀는데 기존에 쓰던 지프로 키보드보다 더 좋네요. 그건 왜 12만원이었을까요? 지금생각해도 열받긴하네여. 아무튼 갈축으로 했는데 사각사각 잘 들어가요. 청축은 너무 시끄럽고, 적축은 너무 예민해서 쓰기 어려운 분들은 갈축 추천드려요. 어느정도 누르는 느낌도 나면서 소리도 기분좋더라구요. 빛나는것도 커스텀이 가능해서 이것저것 눌러봤네요.
흰색이라 좀 더러워질 것 같지만 현재로써는 너무 마음에들어요. 잘 사용할게요~",['https://phinf.pstatic.net/checkout/20200924_241/1600934822058j1gOW_JPEG/review-attachment-1f31c900-ade6-43b8-ba08-544de620ce74.jpeg?type=f287']
5,"5만원대 가격을 가진 키보드가 이렇게나 좋은지 처음 알았습니다.
저는 그레이/ 적축으로 샀는데 너무나 만족중입니다. 적축 타건감은 청축에 비하여 너무나 가볍구요, 키가 누르는대로 바로바로 입력됩니다. 색상 조합도 아주 잘 맞구요, 키 하나하나에 정상이 들어가 있다는 것을 느끼실 수 있습니다. 또 GK700의 LED는 환상적입니다. 여러가지 모드가 있는 것 뿐만 아니라 색상 또한 여러가지라 좋습니다. LED는 너무 쌔지도, 약하지도 않은 은은하게 비춰주는 아름다운 형태로 나옵니다. 상품 너무 만족중입니다. 잘 쓰겠습니다 !","['https://phinf.pstatic.net/checkout/20200625_62/1593085857532vOxLF_JPEG/KakaoTalk_20200625_181638011.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200625_287/1593085857192lwXof_JPEG/KakaoTalk_20200625_181638011_01.jpg?type=f287']"
5,"게이밍용 본체와 같이 안전하게 잘 받았습니다. 배송에 포장을 잘해주셔서 좋았습니다. 박스에서 개봉하니 무게감이 있으며, 키보드 타격감 그리고 입력속도 모두 마음에 듭니다. 함께 구매한 마우스도 이쁘고 편안하고 좋습니다. 빨리 게임해보고 싶네요.","['https://phinf.pstatic.net/checkout/20200925_53/1600961736897viEFL_JPEG/review-attachment-1879f04d-eeca-42cf-b8b4-254c5b145823.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_196/1600961740765KzljX_JPEG/review-attachment-dc66ef7b-f68b-4824-b21d-9f8495c2abe3.jpeg?type=f287']"
5,배송빠릅니다^^ 일단 받자마자 시험사용해보는데 너무이쁘네요!! 청축 특유의 타건감도 좋고 타건소리도 맘에 드네요~ 기존에 사용하던 키보드 키캡보다 살짝 넓어서 적응할 시간은 좀 필요하겠지만 큰 문제는 안될 것 같아요!! 강추합니다~,"['https://phinf.pstatic.net/checkout/20200602_226/1591092954331sR2po_JPEG/20200602_184848.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_299/1591092971128Yfdh3_JPEG/20200602_190503.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_2/1591092981641ELDTK_JPEG/20200602_190851.jpg?type=f287']"
5,"배송도 만족스럽고 무엇보다 제품이 너무 좋습니다
전에 쓰던 키보드하고 비교하자니 하늘과 땅차이네요 ㅏ
누르면 바로바로 입력되는 이 느낌이 너무 좋네요
믿고쓰는 한성컴퓨터 제품들입니다.
여럿 제품들이 있지만 비슷한 가격대에서는 역시 한성컴퓨터 제품이 제일 좋은거 같아요 자주 애용하겠습니다.","['https://phinf.pstatic.net/checkout/20200927_209/1601205776951vN1sL_JPEG/review-attachment-51611667-1999-4763-a866-afb0db03d150.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_262/1601205776844lDqeE_JPEG/review-attachment-4bcfb356-4672-4dc0-8fae-9210cf20082e.jpeg?type=f287']"
5,찹찹 소리나는 청축 구매하였습니다. 디자인이 무척 고급스럽네요. 어두운 곳에서 led켜놓고 쓰면 무척 이쁩니다. 한성 무접점 적축 사용중이고 재밌는건 청축 편한건 적축 종합적으로 가장 마음에 드는건 무접점입니다. 마지막으로 갈축 한 번 써보싶네요 ㅎㅎ,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_10_0/550ba7de-aa64-11ea-b8b5-a0369ff94f34_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_225/1591715834008EbTqO_JPEG/20294.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200610_107/1591715835173MfXrR_JPEG/20200610_001215.jpg?type=f287']"
