star_point,comment,photo
5,"일단 포장상태 보고 놀랐네요.
보통 책상같은 가구도 저렴한건 그냥 박스채로 포장하는곳이 많은데 저렴한 키보드임에도 불구하고 포장상태는 완벽합니다.
배송도 늦어질줄 알았는데 빨리 왔네요 ㅠㅠ
저렴한 가격에 이정도 퀄리티 ! 생각보다 대만족입니다.
동영상도 첨부합니다. 구매하시는 분들 참고하시라고 타자 치는거 찍어봤어용.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_28_0/698873ff-893a-11ea-a964-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_207/1588069452812uNIPE_JPEG/KakaoTalk_20200428_192045965.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_151/1588069452832UvwEH_JPEG/KakaoTalk_20200428_192045369.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_122/1588069452832TuVxz_JPEG/KakaoTalk_20200428_192045730.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_52/1588069452838kj8fl_JPEG/KakaoTalk_20200428_192046202.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_258/1588069452837aBzVO_JPEG/KakaoTalk_20200428_192046433.jpg?type=f287']"
5,진짜 엄청 저렴한 가격에도 불구하고 키감도 좋고 키보드도 별로 높지 않아서 좋습니당!!아 그리고 포장도 너무너무 잘해주셔서 좋았어요 재구매 의사 100%있습니다. 그 키보드 LED색상바꿀때 갑자기 키 안먹을때 있는데 그때는 연결잭 다시 빼고 끼우면 됩니다!!🔗 화이트로 구매했는데 진짜 화이트 최고에여..,"['https://phinf.pstatic.net/checkout/20200430_81/1588205127308XtHXW_JPEG/E83644B2-DD8A-4C1B-BD10-4779308F9D98.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_268/1588205127962cVRVG_JPEG/55F49D15-40CF-4221-8823-7CA683B03064.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_271/1588205126320scXLI_JPEG/F7B54EF7-BDAA-437F-959A-2ED666DC7582.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_252/1588205127070X5RKI_JPEG/D965A9ED-33A2-4C17-AB7F-B1C0FDD3303A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_33/1588205127276xRQYp_JPEG/FBB2E596-D0DA-4D33-8B8F-F50AE9E2CE6C.jpeg?type=f287']"
5,빠른배송이지만 키보드+상자+봉지가 끝이라서 이상이 있을까 걱정했지만 아무문제 없이 잘 도착했습니다. led색상은 움직이지않고 사진 속처럼 3개의 색상을 갖고있어요. 기계식키보드의 그 청축이 아니라서 샀는데 정말 만족스럽습니다. 키보드가 높아서 손목받침대도 하나 마련해야하지만 전체적으로 만족스럽습니다.,"['https://phinf.pstatic.net/checkout/20201115_8/1605439516296YWFts_JPEG/review-attachment-0cfa9762-2f03-4da9-bb1c-4d24beb7f9f6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_9/1605439612820BquAr_JPEG/review-attachment-05190317-212c-424c-9e43-3457c6c343cc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201115_207/16054396278080XweM_JPEG/review-attachment-87dc15c4-3557-4b40-8efb-ee2f14214d7e.jpeg?type=f287']"
5,"기계식 키감은 아니지만 그럭저럭 마음에 들어요.
키캡누르면 부드럽게 내려가진 않고 서걱거리는데 저는 개인적으로 별로였지만 취향타는 부분같네요.
하지만 무엇보다 이 가격에 디자인이랑 rgb가 너무 예뻐서 가성비면에서는 괜찮은 제품인것 같습니다.",['https://phinf.pstatic.net/checkout/20201110_90/1604943173745WYowC_JPEG/review-attachment-6c719a3c-7fb4-46d4-8662-9afbe57fd96a.jpeg?type=f287']
5,다 좋은데 충돌이 나는지 부팅할때마다 다시 꽂아서 재연결을 시켜주지 않으면 동작하질 않는다 포트 드라이버를 재설치해도 똑같고 다른 키보드들은 다 괜찮으나 이것만 문제. 여러 키를 동시에 누를 수 있다고 하지만 역시 게임할때 3개 이상의 키는 먹지 않는다,['https://shopping-phinf.pstatic.net/20201007_9/bb0c3043-c808-45d3-a325-73609a11e035.jpg?type=f287']
5,"제품은 반도의 실수라는 네임을붙여줄수있
을것같은데 저는 초기 키보드불량이라
잘 안쓰는 마이너스 키가 계속 눌려서
잘안올라옵니다.
초기불럇 맞교환이면 최고의서비스셨을텐데
수리후 보내준다는 대답에 그냥완료했네요
이부분만 개선된다면 키보드시장 제패할것같습니다",['https://phinf.pstatic.net/checkout/20200928_20/1601261867206K5Cqk_JPEG/review-attachment-8b06d819-009a-46a6-ac78-832509bc9784.jpeg?type=f287']
5,"빠른 배송과 저렴한 가격에 먼저 만족합니다.
디자인도 예쁘고 키감도 나쁘지 않네요. 소음도 그렇게 크진 않습니다. (아주 조용하진 않아요)
다만 LED색깔이 단색이면 좋을 것 같아요. 단색으로 할 수 있는 기능이 없어서 그냥 끄고 씁니다. 대체적으로 만족스러운 구매였습니다!",['https://phinf.pstatic.net/checkout/20200917_231/1600337959082xhlSG_JPEG/review-attachment-80a3f4bc-9bac-4e16-8ee2-7196ca623dd5.jpeg?type=f287']
5,"생각한 것보다 더 만족스러워요! 색도 예쁘고 멤브레인 키보드라 소리도 그리 크지 않아서 좋아요. LED를 끄면 무난히 사무용으로도 사용할 수 있고, 무게가 무거워 밀리지 않는 것도 좋아요. 가성비 갑이라 다음에도 구매할 것 같습니다!",['https://phinf.pstatic.net/checkout/20200913_165/1599991171105OGqgd_JPEG/review-attachment-2baabbe5-5486-4650-ad14-649e208e33cd.jpeg?type=f287']
5,"우선 배송이 엄청 빨라요
지방인데도 이틀안되서 받았구요
포장도 꼼꼼히 잘 되어서 왔고
원래 쓰던 키보드가 조금 뻑뻑한 감이 있어서 구매했는데
불편하던 점은 이제 없이 사용할 수 있을 것 같습니다
흰색 주문했는데

엔터키가 안되는 등 양품 못받으신 분들이 많아서 걱정했는데
안되는 키 없이 다 잘 작동하는듯 합니다
업무때문에 타자 칠 일이 많은데 키가 적당히 무거우면서 부드러워서
좋을 것 같기도 하네요
게임하기는 좋을 것 같은게 키보드가 밀리는 현상이 없어요
묵직하게 한 자리에 놓고 게임할 수 있을 것 같네용",[]
5,"상품 정말 맘에듭니다 가성비 최고 인것같습니다만 초기불량을 배송이3일걸리는데 수거해
고쳐서 보내준다고해서 그냥 구매확정후
키 뽑아서 눌러줘 부드럽게 만들었는데
가끔
키가 걸리긴하는데 쓰다보면 더 나아질것같네요.
뽑기운이 없었지만 무게감, 디자인, 키감,
가격 정말 최고의 키보드네요",['https://phinf.pstatic.net/checkout/20200827_197/1598520535416aYOVj_JPEG/review-attachment-04021c8f-3b61-432e-a06c-ef9a2e58f228.jpeg?type=f287']
