star_point,comment,photo
5,"빠르게 배송왔어요. 에어캡슐포장? 으로 안전하게 왔구요! 키감도 만족스럽고, 마감도 가격대비 최고였습니다. 게임은 즐겨하지않지만, 업무중에도 제가 좋아하는 키감을 느끼고자 구매했어요.백라이트도 예쁘고 다양했어요:) 그리고 저는 맥북프로 2019,15인치로 사용중인데, option키를 command키로 설정해두니 맥OS의 단축키를 그대로 사용가능해서 더더욱 만족스러웠습니다~","['https://phinf.pstatic.net/checkout/20200920_237/1600602948345cSY47_JPEG/review-attachment-fb824dc8-c758-45a3-b6e2-da46a0028c98.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200920_53/1600602948312rpo75_JPEG/review-attachment-5d939e6f-77e9-44da-bd46-0e249dc472fb.jpeg?type=f287']"
2,"원래 물건 사고 웬만하면 만족하는 편이라 다 그냥 넘어가는데 이번 건은 의아해서 리뷰 씁니다.첨부한 사진들은 제품의 상태를 더 용이하게 판단하실 수 있도록 밝기만 미세하게 낮춘 것 이외에는 일절 손대지 않았습니다.구매한 키보드는 청축 화이트 색상이고, 4월 2일에 주문해서 4월 4일, 즉 리뷰를 쓰고 있는 오늘 집으로 도착했습니다. 배송은 늦지 않게 보내 주셔서 너무 감사했어요. 열고 나서 구성품들에도 상당히 만족을 했습니다. 포장도 깔끔하고 안전하게 잘해 주셨더라고요.근데 키보드 커버를 열고 타건 테스트라도 해 볼 겸 컴퓨터에 연결하려고 했는데 윈도우 버튼에 있는 얼룩이 눈에 띄더라고요. 그래서 다른 키캡들도 자세히 확인을 해 봤는데, 생각보다 훨씬 더 많은 키캡에 얼룩이 묻어 있었습니다.일단 확인하자마자 사진 찍고, 혹시나 오염 물질인가 싶어 방금 휴지에 물 묻혀서 닦아 봤는데 지워지지 않는 것을 보니 각인 실수인 것 같네요. 아무리 실수라지만 이 정도는 좀 심하지 않나요.... 검수를 안 하신 건지....F2, F3 버튼 뒷부분에는 마지막 사진처럼 누가 봐도 심각할 정도의 자국이 남아 있고, 윈도우 버튼에도 선명하게 자국이 남아 있습니다. 심지어 방향키 위 6 버튼들은 멀쩡한 키캡을 찾아볼 수가 없을 정도로 다들 얼룩을 하나씩 달고 있습니다.중고나라에서 한 1년 쓰던 키보드 만 원에 산 줄 알았네요. 하필 화이트를 샀어서 그런지 얼룩들이 눈에 더 잘 띄고요....사용하는 데에는 크게 문제가 없을 테니 구태여 반품이나 교환, 환불 요청을 하지는 않았습니다. 다만 혹시나 다른 구매 희망자 분들께서 구매하신 후 저와 같은 불평을 토로하실까 싶어 저 같은 경우도 있으니 주의를 바라는 마음으로 리뷰 작성합니다.판매 담당자분께서 이 리뷰를 확인하실지는 모르겠지만 혹시나 확인하시게 된다면 검수에 신경을 좀 더 써 주셨으면 하는 바람입니다.","['https://phinf.pstatic.net/checkout/20190404_18/15543725328042r0tQ_JPEG/KakaoTalk_20190404_185116540.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190404_270/1554372533094ywmEn_JPEG/KakaoTalk_20190404_185117212.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190404_153/1554372533392zmJw2_JPEG/KakaoTalk_20190404_185118369.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190404_50/15543725338116CXEc_JPEG/KakaoTalk_20190404_190507874.jpg?type=f287']"
5,"일단 이거 방탄택배다!!!!!오자마자 기분이 좋다 타건느낌이 10만원대 키보드 부럽지않다 튼튼하고 무게감있어 아주좋다
단점어쩌고 리뷰봤는데 솔직히 단점을 모르겠다
좋은제품 저렴하게 잘샀다고 생각된다 배송도 빨랐다","['https://phinf.pstatic.net/checkout/20201120_235/1605866332433QhF2S_JPEG/review-attachment-2e429ba8-3972-4986-ae1a-c6ac0c34db6d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_191/1605866340921Fcx1m_JPEG/review-attachment-0b3963c9-8966-491a-8ea1-c339a2349ed8.jpeg?type=f287']"
4,"지금은 고물이된 키보드입니다

아메리카노 한번쏟으니 하나둘
맛탱이가 가기 시작했습니다
청소한답시고 자판 뜯어서 휴지랑면봉으로 꼼꼼히
닦아봤으나 더더욱 악효과 ..키안먹히고
먹히면 다른키까지 동시에 쳐지고 환장...
사건발발 일주일후 청소한다고
키보드를 잠깐 들엇는데 쏟았던 아메리카노가 질끔질끔 모서리쪽에서 나오더라구요
그러더니 나머지 자판들도 고장이나버리더라구요
그래도 잠깐이나마 좋았다

잘가렴",['https://phinf.pstatic.net/checkout/20200906_282/1599395430384X7mt3_JPEG/review-attachment-311133f1-f4a6-45ac-b600-df5ba501ef0f.jpeg?type=f287']
5,색상 너무 예쁘네요! 청축은 소리가 클 거 같아 갈축으로 주문했는데 치는 느낌이랑 소리가 딱 좋은 거 같습니다. 그래도 조용한 사무실에서 쓰기엔 조금 소리가 들릴 거 같긴해요! 어차피 집에서 글쓸 때 키감 좋은 걸로 쓰고 싶어서 주문한거라 완전 만족입니다 ㅎㅎ,['https://phinf.pstatic.net/checkout/20200911_23/1599759013364obsvQ_JPEG/review-attachment-3e16061f-e3d5-41aa-a39b-6a0aaf1a8c7f.jpeg?type=f287']
2,"이게 기계식 맞나 싶습니다.

느낌은 거의 멤브레인..
역시 축은 좋은걸 써야 하나봅니다.

듣보잡 갈축 키보드라 멤브레인과 다를바가 없어서
바로 내다 버릴 예정..

흰색이라 예쁘긴 합니다.
그래서 별 2개
원래 별 한개도 아까움.

그리고문자 각인 된거. 외계어처럼 되어 있어서 인지도가 상당히 떨어집니다.

그래서 또 졸라 비추~

싼맞에 예쁜거 쓰고 싶으면 쓰세요.
단 키보드 느낌은 절대 기대하면 안됩니다.",[]
5,"이전에 쓰던 키보드는 타자 치는 소리가 크게 나서 가족들한테 한 소리 들었었는데 갈축은 소리가 작게 나서 너무 좋아요. 그리고 컴퓨터를 새로 맞추면서 하얀 톤으로 깔맞춤 하는데 적절한 키보드라 좋습니당. 또, 불이 들어오면 너무 예뻐요",['https://phinf.pstatic.net/checkout/20200904_246/1599188912517HSELP_JPEG/review-attachment-2472b7bf-dd73-4f79-bda0-ff48587cc888.jpeg?type=f287']
5,"구매한지 한 달 정도 됐네요. 첨부한 사진은 제가 현재 사용중인 모습입니다. (많이 지저분하군요. -_-;)사실 제가 그렇게 민감한 편은 아닌데, 소리 크기도 적당하고, 타격감도 적당한 것같아요.여러가지 스타일로 바꿀 수 있는 LED 불빛 들어오는 것도 아주 마음에 들구요.와이프 노트북과 제 개인노트북, 모니터도 한성껄로 쓰고있는데, 비슷한 기능을 가진 타사 제품과 가격이 차이가 큰 걸 보면 역시 한성이 가성비 최고인 듯해요.아무튼 이 키보드 역시 매우 마음에 들며 적극 추천합니다.",['https://shopping-phinf.pstatic.net/20191205_1/0f215e8a-4cb6-4b2f-9f1f-f74d442a2d2f.jpg?type=f287']
5,"제가 기계식 키보드를 처음 사용하는 거라서 이것도 찾아보고 저것도 찾아보고 축(ex : 청축, 갈축, 적축 등등) 을 거의 한 달 동안 친구들한테 물어보면서 키보드를 고민했는데 다른 건 다 가격도 높고 저는 게임을 위해서 키보드를 사는 게 아니라 그냥 기계식 키보드가 단지 갖고 싶어서 찾던 중 친구들이 한성을 추천해 줘서 오랜 고민 끝에 샀는데 오랫동안 고민한 게 멍청한 거 같아요 리뷰만 보고 안 좋은 평도 있고 좋은 평도 있는데 저는 진짜 너무너무 만족스러워요 대박 나시길 바라요 저는 갈축샀는데 소리도 적당하고 너무 좋아서 타자 연습만 엄청 해요...ㅎㅎㅎ",[]
1,지금 약 한달반 사용했는데 몇일전부터 키하나가 안눌리네요 잘안쓰는키였으면 그러려니하는데 a가 안눌리니까 거참... 이래서 비싼키보드를 사는건가 그냥 두고 멀쩡히 쓰는 키보드가 한달반만에 망가지는게.... 결국 다른키보드를 구매했네요 돈 버린느낌,[]
5,"처음 쓰는 기계식 키보드입니다. 사용감 괜찮아요. 타이핑할 때 울리는 소리가 있습니다. 키압은 괜찮네요. 오타가 많이 나지 않습니다. 엔터키의 위치(면적)가 먼저 키보드와 달라서 오타가 납니다. F12키가 눌리면서 입력내용이 지워져서 고정시켰습니다.
가성비 괜찮습니다.",[]
5,"전에 쓰던 키보드 처분하고.. 새로 샀는데 음.. ㅎㅎ
처음에 청축살지 갈축살지.. 이거 엄청 고민했는데..
집에서 개발자 공부하려고 산거라 키보드 타격감을 중시했어요.

타격감은 굿굿. 아주 좋고요.
소리는... 피시방에서 생각한거? 아니면 타자기? 그런거 생각하시면 청축사세요. 저도 청축이 거라고 생각하고 갈축샀는데 갈축은 . 적축은 도대체 얼마나 조용할지...ㅋㅋ 암튼 다음번에 사게되면 저는 청축 흰색하나 더 사야겠네요 !! ㅎㅎ",[]
2,"키보드 타자 겹쳐눌리는경우 허다하고
Usb 포트인데 3개키 동시입력 씹히는경우 많네요
키보드레지 제어판다 해놔도 그렇네요
사용한지 2주차부터 그랬는데 이제슬슬 못버틸정도네요
그래도 2만원치곤 오래쓴거같습니다
가성비로만 사용하세요",[]
3,방향키를 자주쓰긴하지만 며칠에한번 몇시간 겜할때만 쓰는데 키가 잘 먹히지않아 같이 왔던 구성품 키는 벌써 교환해서 쓴후 f12키랑 교환을 시작해서 현재 f7까지 방향키랑 교환해서 쓰네요..교환할 키가 많아서 좋긴한데 스위치가 오래버티지 못하는듯합니다.,[]
5,제가 근무하는 사무실이 평소 굉장히 조용합니다. 그런 가운데 키보드 소리가 살짝 크긴 하지만 그 소리가 많이 시끄럽지는 않습니다. 키보드 키감도 매우 만족스럽습니다. 적당한 가격에 기계식 키보드 찾으시는 분들은 추천드립니다.,[]
