star_point,comment,photo
5,"안녕하세요 한성 관계자분들
이번에 아이패드를 구매하면서 기존에 쓰던 로xx를 처분하고 새로운 키보드를 찾다 보니 여기까지 오게 되었네요
기존에 쓰던 제품은 트랙패드? 마우스 패드? 가 달리지 않은 제품이었는데
아이패드랑 데스크탑에서 쓸꺼 생각하니 달린 제품도 괜찮을 것 같다 생각이 들었어요
사실 키 간격이나 기타 등등 오타 날 거 때문에 사실 걱정이었었는데 제품 받아보고 생각이 싹 살아졌습니다 아
개인적으로 엔터나 델레트 방향키등이 사실 작아서 아쉽기는 한데 이걸 그 트랙패드냐 마우스패드냐 그 친구가 커버쳐줍니다.
애x 제품이랑은 당근 활용성은 조금 떨어지겠지만 기본적인 것만 있어도 된다 하시는 분은 이 제품이 제일 좋은거 같아요 유튜브 리뷰 처럼 기본적인것은 전부 잘 작동하고
. 시끄럽지 않아요
그리고 이 제품은 동글이가 없어요 데스크탑에 연결 하고 싶은데 포기 하시는 분들은 다이소에서 블루투스 동글이 가서 데탑에 끼워주시면 블루투스로 활용이 가능합니다.
그리고 아웃도어용으로도 생각하고 구매를 한건데 얇고 사이즈도 가방에 들어가는 .

3만원대 가격에서 이 정도로 만족도가 생길지는 몰랐는데 한가지 건의하고 싶은게 있어요
기본 키보드 박스 케이스에 오는데 그냥 비닐 택배에 담아서 주셨더라고요 가격도 싸고 그러니 이해는 하지만 작은 변화가 큰 변화가 되는거니까요 어찌되었든 키보드도 가전 제품이니 파손에 예민하다 보니 건의합니다.


제품은 너무 좋아요 이 패드(?)
앞으로 이런 차별성 있는 제품이 꾸준히 나오면 좋겠습니다.


아 말이 엄청 길었네요","['https://phinf.pstatic.net/checkout/20200817_169/159766469712067u26_JPEG/review-attachment-fa32f124-24ec-4360-bb9e-4e8dc1195dbb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200817_180/15976646994050HDWa_JPEG/review-attachment-7b76e8b6-986e-4d6c-9a09-19865f288652.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200817_293/1597664699916xxM9w_JPEG/review-attachment-7783fad5-f729-4618-ba19-554cbe34d7c7.jpeg?type=f287']"
4,"한달이상 사용 후기입니다.
터치패드가 있어서 샀는데 아이패드와의 활용도가 높습니다. 멀티태스킹 기능도 어느정도 잘 됩니다. 터치패드로 크기 조절이 안되지만 아이패드 단축어키(?)를 활용하여 큰 불편함은 느끼지 못했습니다 (win키를 꾹 누르면 나옵니다)
크기에 비해 무게도 가볍고 가벼운 경우 키보드가 흔들거려서 불편한 경우가 많은데 이 제품은 고정도 잘 되는 것 같습니다.
하지만 생각보다 가로 길이가 큽니다. 그래서 휴대용으로 사실 분은 비추천드려요
다만 크기가 크기 때문에 터치패드가 커서 사용하기 편합니다. 키 간격도 좁지 넓어서 쓰는데 편합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_14_0/ca715a94-2644-11eb-b9fa-a0369ff94ec8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201114_104/1605336231742L848o_JPEG/review-attachment-b0e089f6-1858-4bdb-a59f-80d297ce07d7.jpeg?type=f287']"
5,"만듦새도 괜찮고 블루투스 인식도 잘 되고 타자도 윈도우 안드로이드 가리지 않고 딜레이 없이 잘 입력 됩니다 연결기기 변경도 빠르게 잘 됩니다 그러나 아쉬운건 터치패드가 좀 딜레이 있는 느낌이네요 크롬 띄워두고 확대 축소나 창 닫기 같은 작은 버튼을 누르기가 좀 힘들어요 정밀하게 움직이지 않는 느낌입니다 익숙해지니 조금 조작이 편해지긴 했지만요

키감은 기대하지 마세요 애초에 이렇게 얇은 키보드에 키감을 기대하면 안되지만 이런 종류의 키보드는 거의 써보지 않았는데 그냥 책상을 치는 느낌이라 적응하기힘들었네요",['https://phinf.pstatic.net/checkout/20200920_65/1600609981508lMRbk_JPEG/review-attachment-cf1b4b19-dc63-482f-89cc-5dede7a311e8.jpeg?type=f287']
5,"장단점을 미리 다 알아보고 제 요구사항에 제일 잘맞는 키보드라고 생각해서 산거라 실망스러운 부분 없이 만족스럽습니다. 오히려 키감도 생각보다 괜찮고, 크기도 딱 적당해서 좋아요. 노트북 아이패드 스마트폰 다 연결해 뒀는데 연결, 전환 빨라서 정말 편합니다.
간혹 한영키가 안 먹는다 휠 방향이 이상하다 usb끼우는거 어딨냐(블루투스니까 당연히 없음) 이런 후기들이 보이는데 검색해보시면 해결 방법이 다 나옵니다.
크기 비교해서 참고하시라고 15인치 노트북, 11인치 아이패드랑 같이 찍었습니다.",['https://phinf.pstatic.net/checkout/20200919_7/1600487099620MVojh_JPEG/review-attachment-2a3d2483-52fd-409e-9127-a40e3f4103cb.jpeg?type=f287']
5,"빠른 배송에 만족하구요
생각보다 얇고 묵직합니다
키감은 제스타일은 아니네요 약간 통통거리는??
기본이 기능기로 되어있고
펑션키를 누르고 F1~F12를 누르는게 약간 어색했어요
스마트폰이나 태블릿 기준이라 그런가싶은데
주로 거실컴퓨터에 키보드로 사용하지 않을까 생각들거든요 저도 티비컴퓨터용으로 구매한지라 그런생각이 듭니다
뭐 블루투스 인식은 잘되구요
터치패드는 약간 인식이 굼뜰때 있는것 같긴한데 사용하는데 아무 문제 없을것같아요
이렇다 저렇다했는데 결론은 완전 편리하네요
좋습니다","['https://phinf.pstatic.net/checkout/20200429_295/1588161069070S5f9G_JPEG/20200429_202535.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200429_62/1588161075555dsTCF_JPEG/20200429_202555.jpg?type=f287']"
4,"리뷰가 많이 없길래 고민하실까봐 적습니다
두개 구매했는데 하나는 친구 아이패드(버전모름),하나는 제 갤탭s6 lite 용으로 샀습니다 갤탭엔 만족하며 사용했으나 아이패드엔 단축키등이 호환이 잘 되지않아 비추하는 모양세였습니다
가격대비 마감 만족하고 자동 페어링과 터치패드 모두 괜찮게 쓸만합니다
하지만 패드의 한계떄문에 키보드를 연결하더라도 노트북,데스크탑을 대신하여 사용하시기엔 무리가 있을겁니다
또한 크기가 조금 있습니다 자주 옮기면서 사용하실거라면 불편할수있습니다(대신 키보드 배치가 넓어져 타건이 편함)
필요하시다면 개인적으론 구매하셔도 괜찮을거같습니다",['https://phinf.pstatic.net/checkout/20200613_92/1592025796818k9u46_JPEG/20200613_142112.jpg?type=f287']
5,"터치패드감도가 썩 좋진않지만 못쓸정도는 아니에요 쓸만합니다
아이패드에서 뒤로가기 제스처나 오므리기 핀치줌아웃같은건 안되지만 두손가락으로 스크롤 정돈 가능해요 두번탭하면 꾹누르기 되구요 타건감은 생각보다 좋네요 오타도 안나구요 펑션키도 잘 작동해요 f12가 홈버튼이어서 두번누르면 멀티태스킹 창도 바로 뜨더군요 이정도면 가성비 좋은것같아요",['https://phinf.pstatic.net/checkout/20200916_30/1600256662393WhdUW_JPEG/review-attachment-4c846700-ab4b-4d8e-b642-53c0be7e4aa7.jpeg?type=f287']
4,"가격대비 만족스러운 성능입니다. 키 감은 약간 버석거리는 느낌이 있었는데 사용하다 보니 많이 개선 되었습니다.
키를 누를때 소리가 조금 있어서 조용한 상황에 사용하기에는 살짝 신경 쓰입니다.
동봉되어 있는 미끄럼방지 고무가 없어도 충분히 안정적이고 플라스틱 본체이지만 생각보다 견고한 느낌입니다.
터치패드는 일반적인 노트북 터치패드와 거의 차이가 없는 듯 하지만 , 제가 터치 패드를 싫어하다 보니 만족되는 정도는 아닙니다.
블루투스 마우스가 있기 때문에 같이 꺼내 놓는 상황에서는 터치패드 사용을 안하게 됩니다.
아이패드와 함께 키보드와 마우스를 한번에 들고 다닐 수 있는 장점이 가장 큰 매리트인거 같습니다.",['https://phinf.pstatic.net/checkout/20200425_106/1587775981009vcTzM_JPEG/image.jpg?type=f287']
5,"아이패드에서 터치패드 안될까봐 걱정 했는데 프로 1세대 12.9인치 기준으로는 아주 잘됩니다.
터치도 잘되고 두 손가락으로 스크롤도 됩니다.
무엇보다 멀찍이 세워두고 터치패드만으로 조종할수 있으니까 엄청나게 편하네요.
가격도 합리적이고 만족스럽습니다.
다만 타자칠 때 소리는 작지 않아 조용한 곳에서는 사용할 수 없습니다.
또 한/영키가 안먹어요,, 한영 전환할때 caps lock을 눌러줘야 합니다.
단축키에 볼륨조절, 밝기조절, 음악 건너뛰기/일시정지, 홈화면으로 가기 등은 잘되는데 아쉬운건
화면 잠금 단축키가 있었으면 더 편했을것 같다는 생각이 드네요.
그래도 .",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_26_0/344e29e6-9ead-11ea-8788-505dac8c3607_03.jpg?type=f287']
5,"이번이 두번째 구매입니다. 이전에 쓰던 것은 금방 고장이 나더라구요. 물론 제가 내리치긴 했지만요. 그래도 사용해보고 좋으니 다시 사겠죠? 다들 이거 쓰세요. 근데 너무 터치 패드 믿지 마십쇼. 손가락 두개로 스크롤하다 보면, 손목 건초염인가? 듣도 보도 못한 질병을 손목에 패시브로 장착하게 됩니다. 잘 모르시겠다구요? 겪어보면 됩니다. 돈 주고도 못사는 경험. 굳",['https://phinf.pstatic.net/checkout/20200721_2/15953173813621xuTg_JPEG/review-attachment-e4d341fa-cc9e-4803-9def-3c4ef1b10ad2.jpeg?type=f287']
5,"포장 튼튼하게 와서 마음에 들었습니다!ㅋㅋ
노트북, 아이패드, 아이폰 다 연결해봤는데 연결도 잘되고 키보드 입력, 마우스패드 움직임도 아주 굿굿! 키보드 키감이 별로라는 얘기가 있어서 걱정을 조금 했는데 저는 아주 만족합니다ㅎㅎ","['https://phinf.pstatic.net/checkout/20200623_130/1592880252799vyW8D_JPEG/0E15DBF4-BAFA-4AAE-A27A-04CB14CF10AB.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_77/1592880255166P4rL8_JPEG/1E7FBD9F-56E1-4AAC-AC8F-22D3B48AECAC.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200623_28/1592880255447rkR1v_JPEG/96C1EDC8-E1D8-453C-91D6-FBAA93D0E584.jpeg?type=f287']"
5,아이패드 프로에 사용하기 위해 구매했습니다터치패드는 아이패드에 잘작동합니다 매직트랙패드처럼 모든 제스처 사용은불가능하구요 그저 터치패드 마우스를 쓰는 정도입니다만 꽤 잘 됩니다키감은 제기준에서 맘에 듭니다 키감이란게 개취가 있기에 좋다 나쁘다는 평가 하기 힘드나 분명 싸구려 키감은 아닌듯 합니다 다만 조용한곳에서 쓰기에는 살짝 소리가 부담스럽습니다블투 페어링 3개를 등록하고 3개의 기기를 오고가는 속도도 괜찮았습니다 무게는 생각외로 가벼웠지만 길이는 좀 깁니다 휴대용으로는 애매하고 거치용으로 쓰면 괜찮습니다 결론적으로는 엄청 좋은 제품 이라기 보다는 무난하고 단점을 찾기 힘든 내실있는 제품이였습니다,[]
5,"로지텍 k380쓰다가 아이패드에서 터치패드 쓰려고 갈아탐
k380에 비해 키캡의 높이가 낮아서 타건감은 k380이 좋은것 같으나 이 제품은 키보드 크기가 원래 키보드랑 비슷해서 불편하지는 않네요. k380은 키간 간격이랑 키캡의 크기가 작아서 치기는 불편했어요.
페어링도 잘되고 진짜 터치패드 있는 블루투스 키보드 이만한 가격에 이정도 성능 가진건 hbk50밖에 없는 것 같네요.",['https://phinf.pstatic.net/checkout/20200901_276/1598943479884fiAnQ_JPEG/review-attachment-dfb0268c-dc8f-4a2e-b024-a72574c5f946.jpeg?type=f287']
4,"미박스 용으로 사서 맥북에 쓰고있는데 괜찮아요. 키감은 압력이 좀 있지만 타건이 깔끔해요. 터치패드는 면적에 비해 이동하는 거리가 짧아서 사무용으로는 무리고, 간단하게 쓰는 용도로 적당해요. 그냥 버릴뻔 했는데 박스에 배터리도 포함되어 있어서 좋아요",['https://phinf.pstatic.net/checkout/20200917_54/1600310734751hxueA_JPEG/review-attachment-01967875-be62-4608-99fc-37568b3eb974.jpeg?type=f287']
5,매직키보드나 브릿지프로플러스 둘 중 뭐 살까 고민하다가 현타와서 이걸로 지름. 가성비 짱인걸 이제야 찾았네요. 일포인트 굿. 두손가락 스크롤 약간 버벅이지만 쓸만함. 타건감 로지텍보다 약간 빡빡하나 장시간 이용할거 아니면 상관없음. 장점은 많음. 패드크기. 슬림디자인. 3대연결. 싼티안남. 윈도우키보드. 암튼 만족.,['https://phinf.pstatic.net/checkout/20200527_283/1590571636384PFFWM_JPEG/20200527_153415.jpg?type=f287']
4,"로지텍 살까하다 패드만 보고 구매했는데...
패드가 있으니깐 정말 편하네요...
3개 연결도 잘 되고 유플러스도 잘 연결되고..
단, 유플러스 자체가 문제로 보이는데 유튜브, 넷플릭스 검색할때만 한글이 안되는게 아쉽네요.
물건 자체는 기대이상...배송만 좀 빨랐으면 모든게 완벽했는데...",['https://phinf.pstatic.net/checkout/20200916_168/16002366676623Tr01_JPEG/review-attachment-f30050b3-2df3-474b-8eb9-d46e27d19bd5.jpeg?type=f287']
4,"아직 더 써봐야 알것같지만, 키감이나 패드 터치 감은 아주 마음에 듭니다. 한가지 아쉬운점은 터치패드가 아예 드래그를 할 때 조금은 불편한점이 없지않아있습니다. 그래서 아예 노트북식으로 버튼이 있었다면 더 좋지 않았을까 싶습니다.",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_28_0/e63a3b43-d0c2-11ea-84ff-505dac8c385b_03.jpg?type=f287']
2,"터치패드 일체형 목적으로 샀는데, 터치패드 감도 뮨제인지 뽑기운인지 터치패드가 인식오류가 많고 커서가 자기맘대로 흘러가는 등 문제가 많네요.
문서 작업등이 아니라 레이싱 게임시 게임 셋 정도 사용이라 그냥 사용합니다만...이정도 감도라면 다음에는 그냥 돈 좀 들여서 L사 제품 살것 같네요.",['https://phinf.pstatic.net/checkout/20200817_87/1597644261389xUEP0_JPEG/review-attachment-9c5d54e2-3704-4d8f-a92f-d854d8206e0a.jpeg?type=f287']
4,"아이패드와 pc 2대와 연결해서 사용중입니다.
쓰다보니 터치패드를 잘 안쓰긴 하는데 그래도 쓸만하게 동작합니다.
페어링 전환도 제법 빨라서 마음에 듭니다. 근데 가끔 페어링 전환을 하다가 먹통될때가 있는데
껐다 키면 되서 별 불만은 없습니다. 너무 자주 전환해서 그런거같기도 하고... 그부분 빼곤 괜찮습니다.
타건감?에 대해서는 별로 신경을 안쓰는 타입이라 어떤지는 잘 모르겠는데 괜찮은거같습니다.",[]
5,"안드로이드는 연결즉시 되구요 아이폰은 설정을 몇가지 하니까 되네요~
안드로이드는 노트북처럼 터치패드 사용하고
아이폰은 핸드폰을 손으로 직접 터치하듯이 스크롤이 안드로이드와 반대 방향입니다
노트북 터치패드나 마우스처럼 빠릿빠릿하지는 않지만 쓸만한거 같아요
근데 아이폰에서 우클릭이나 확대축소는 안되는거 같아요..뭔가 설정이 더 필요한지 한번 더 확인해봐야 겠네요",['https://phinf.pstatic.net/checkout/20200611_294/15918634336294oUXM_JPEG/83E4017E-D210-4C92-A99B-025806890576.jpeg?type=f287']
5,"터치패드 진짜 편하고 기기3개 연결할 수 있는 것도 완전 장점이에요!!
아이패드랑 아이폰 둘 다 마우스 잘 작동해요!! 따로 설정 안했는데 그냥 되더라구요ㅎㅎ
아무래도 길이가 길어서 밖에 가지고 다니기는 조금 불편할 수 있지만 저는 집에서만 쓰니까 아무 문제 없습니다!ㅎㅎ",['https://phinf.pstatic.net/checkout/20200728_79/1595946398288QrOfz_JPEG/review-attachment-e9f61e08-1d3c-45ee-93d8-142684aeeea1.jpeg?type=f287']
4,"가격: 매우 만족
제품 마감: 매우 만족
멀티 페어링: 매우 만족
키감: 매우 만족
디자인: 매우 만족
무게 및 크기: 만족
페어링 전환 속도: 보통
노트북과 블루투스 연결 상태: 불만족

전체적으로 매우 만족하고 좋습니다
1번에 노트북 2번에 아이 패드 3번에 핸드폰 연결해서 사용해요
아이패드에서 마우스 패드 사용 잘되고 좋아요

다만 노트북이랑 연결했을 때 연결이 자주 끈켜서 불편하네요 연결 됐을 때에도 연결 오류 현상이 있어요",['https://phinf.pstatic.net/checkout/20200411_139/1586593775838HFJAm_JPEG/image.jpg?type=f287']
5,"블루투스 3대 연결되는 게 일단 너무 좋구요. 맥북, 아이패드, 아이폰에서 터치감이 그렇게 좋은 편은 아니지만 이 가격대에 키보드, 터치패드 된다는 자체가 너무 좋은 거 같아요. 완전 좋습니다. 덕분에 엄청 편리해졌어요. 다른 키보드보다 이 무선 키보드가 훨씬 좋은거같아요. 키패드가 없는게 조금 아쉽긴 합니다.",[]
4,패드가 옆에 있으니 편해 좋습니다. 그러나 클릭 후 드래그해서 원하는 부분 복사하는 기능은 없는 것 같네요. 클릭버튼 함께 있으면 좋겠네요...메인케보드로로 사용하기에는 정밀한 작업에서는 한계가 있어 안되고 다른 마우스 사용하다 손목과 검지손이 아플 때 잠시동안 사용하면 좋긴 합니다.,[]
5,트랙패드있는 무선 키보드만 3개 그냥 무선 키보드 1개 총 네개 키보드 사용중입니다. 마소나 로지텍보다 디자인 느낌은 좀 떨어지지만 하드웨어 마감은 꽤 준수합니다. 마소는 블루투스 멀티디바이스 스위칭이 안되고 로지텍은 잘되지만 트랙패트가 작아 요놈을 가장 많이 쓰고 있네요.스위칭 속도 로지텍과 동일하며 대략 0.5초즘 걸리는 듯 합니다. 후기 이렇게 길게 안쓰는데 흥했으면 좋겠고 다음 세대도 발전되서 더 좋게 나왔으면 해서 남깁니다.대박나세요.,[]
5,k380하고 고민했는데 생각보다 괜찮습니다.터치패드도 잘 작동합니다.제스처는 물론..지원이 안되지만..브릿지프로같은 다른서드파티도 안되니까요..뭐 급한대로 잘쓰고있어요.무게도 가볍고 이만하면 이 가격대에 만족스럽네요.,[]
1,"한성 공홈이라서 시켰더니 누가 봐도 한 번 오픈된 듯한 물품이 왔네요. 기본으로 들어있는 배터리도 안 들어있고, 배터리 들어가는 곳의 뚜껑도 툭 치면 빠질 듯이 헐겁고, 분명 제가 처음 받는 제품일텐데 제가 만지지도 않은 곳에 찍혀있는 지문이며 여러모로 실망스럽습니다. 배터리는 전화 문의로 받긴 했지만 제품 상태가 너무 별로네요. 한성 공홈에서는 안 시킬랍니다ㅋ",['https://phinf.pstatic.net/checkout/20191205_189/15755307230389tNxf_JPEG/FBFE7B1F-D5E0-4474-B8CB-17BBC85F3321.jpeg?type=f287']
5,잘 받았습니다. 키감은 다른분들 리뷰는 안 좋다고 나와있는데 호불호가 갈리는 편인가 저한테는 좋은 느낌입니다. 반응속도도 빠른편이고요. 마우스패드는 포인터속도를 최대로 해도 좀 느리긴합니다. 한번에 먼거리는 못가네요. 종합적으로는 키보드랑 마우스기능이 모두 다 돼서 상당히 만족하면서 사용중입니다.,[]
3,"윈도우7 노트북과 연결 시 애를 좀 먹었습니다.
전반적으로 재질이니 물성이 고급지지는 않은 것 같습니다. 프레임을 공유하다보니 있지도 않은 USB 리시버 표시도 옥의 티로 보이고요.
터치 패드 달린 블루투스 키보드는 제품군이 다양하지 않아 아쉽네요.",[]
5,너무 좋아요. 만족도 500% 입니다. 최고입니다. 마우스 따로 안 써도 되서 어떤 상황에서도 상당히 자유롭게 쓸 수 있습니다. 키보드도 고급스럽고 키감도 좋습니다. 크기와 무게도 적당합니다. 너무 크지도 않아서 갖고 다니기에도 나쁘지 않고 너무 작지도 않아서 키 사이의 거리가 적당하여 오타가 나지 않습니다.,[]
5,"아이폰, 아이패드 그리고
저스 빔 프로젝터에 연결해서 쓰고 있습니다.
https://smartstore.naver.com/w1000/products/4529082435?NaPm=ct%3Dkbasvsl0%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dfa659fa2d98b8b0104d1228c898f89727c31dd74

자체 리모컨으로는 넷플릭스 스크롤이 안되서 같이 구매했는데
엄청 잘됩니다.

미박스와는 호환이 잘 안됩니다 ㅠㅠ 한영키 바꾸는걸 모르겠네요",['https://phinf.pstatic.net/checkout/20200611_59/1591881018052u2zT1_JPEG/IMG_3731.jpg?type=f287']
4,키보드 성능은 좋습니다. 팬터그래프 방식을 사용했다는 것도 장점이고요. 다만 터치 패드는 OS에 따라 반응 속도가 느린 경우가 있습니다. 특히 맥OS에서는 너무 답답합니다. Windows에서도 체감 속도 면에서는 둔감하다는 생각을 갖게 됩니다. 터치 패드에서 아쉬움이 남네요.,[]
1,coms 블루투스 마우스 페드 달린 키보드보단 좋으나 키보드 사용 각도가 낮아 키보드 아래에 물체을 개어놓고 써야하고 높낮이 조절만 되었어도 그런가 보다 하겠는데 키보도 타격감도 매우 안좋음 좀 비싸도 키보드 타격감은 삼성 디지털 티비 사면 같이 동봉되어 있는 블루투스 키보드 타격감이 좋타 마음 같아선 반품 하고싶다 감성 품질에 문제니까 구매는 한다,[]
5,"와우 ~ 이거 정말 물건이네요 키감도 장난 아닙니다. 무선이라생각이 들지 않을정도로 정확한 키감이 정말 좋네요 맥북과 일반 노트북에 연결하려 샀는데 일단 아이폰에 연결해서 지금 사용중이지만 정말 놀랐음~!! 하지만, 아이폰에서는 마우스 패드가 않되는점 너무 아쉽습니다. 판매자님 많이 파세요~!!!",['https://phinf.pstatic.net/checkout/20190917_252/15687018129817PeLn_JPEG/E8FE5B50-AA32-443C-B20F-6D9A327B3F01.jpeg?type=f287']
5,"개인적으로 이런걸 너무 좋아해서 많이 사는편인데, 마우스를 개인적으로 연결해서 핸드폰을 썼었는데~때마침 마우스 패드가 있는 키보드가 있네요!! 무슨 운명인지 ㅋㅋㅋㅋㅋ보자마자 찜해놓고 빅세일 기간에 할인받아서 지금 제손에 ㅋㅋㅋㅋㅋ블루투스로 연결해서 마우스처럼 쓰고,, 사실 진짜 마우스처럼 편하지는 않지만, 손에 익으면 더 괜찮을것 같구요~~키보드 자판은 터치 잘되고 쓰기에 부족함 없어요 ㅎㅎㅎ 다만 크기가 커서 가지고 다니기엔 무리가 있네요 .. 그건 아쉽ㅋㅋㅋ",[]
