star_point,comment,photo
3,"일단 제품을 구매하면 2~3일 검수과정을 거치기 거치기 때문에 전 5일 만에 제품을 받아볼 수 있었습니다.
정확히 어떤 부분을 검수하고 보내주시는 것인지는 모르겠으나.... 박스 상태가.... 정말 더럽고 흠집이 장난 아닙니다 내부에 에어캡을 넣어주신 것으로 봐선 박스 포장 전 검수과정에서 흠집이 나고 먼지가 묻은 것인지.... 흠...
뭐 일단 제품 상태가 중요한 것이니 이 부분은 넘어갑니다~

케이블 품질은 그냥 보통인 것 같고요 키캡 리무버는 요즘 많이 들 사용하는 제품이고 확실히 사용하기 편리하여 좋은 것 같아요 일부 동영상에선 스태빌 상태가 좀 윤활이 필요한 것 같다는 분들도 있었는데 제가 받은 제품은 그 부분이 개선되어 나온 것 같아요.... 아 혹시 이 부분을 검수하고 개선하시느라 2~3일의 검수 기간이?....

암튼 와이프도 사용해보더니 기감이 좋고 LED도 이쁘다고 합니다.

아쉬운 점은 키가 좀 삐뚤빼뚤한데 이건 이미 알고 있던 아트박스 축의 문제여서 전 별로 신경 쓰이지 않는 부분입니다. 다만 키캡이.... 겉으로는 괜찮은데 보이지 않는 부분의 마감이 정말 떨어집니다ㅋㅋ

그리고 마지막으로 한성 측에선 검은색은 출시 계획이 없다고 답변을 보았는데 다른 사이트에서 흰색과 검은색을 판매하고 있습니다. 전 뭐 처음부터 흰색을 사려고 했었기 때문에 아주 잠~~~ 깐 혹했다가 그냥 한성에서 구매하였습니다.

키보드 마감이 아쉬워 4점으로 하려고 했지만 박스 상태가 정말 실망스러워서 별점을 3점으로 하였습니다.
키 간격이 일정하지 않은 것! 박스 상태가 더러울 수 있다는 점! 키캡 마감이 별로라는 점 말고는 괜찮은 선택인 것 같아요!!
한참~ 고민하다가 제 생일선물로 구매하였는데 아무튼 제품은 만족스럽게 사용하고 있습니다~
감사합니다~","['https://phinf.pstatic.net/checkout/20200419_285/1587262451858WglnY_JPEG/KakaoTalk_20200419_104204931_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_216/1587262462324R3S3k_JPEG/KakaoTalk_20200419_104204931_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_140/1587262481720M6aKg_JPEG/KakaoTalk_20200419_104204931_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_50/15872624975508Np2G_JPEG/KakaoTalk_20200419_104204931_10.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200419_144/1587262505575iq3eU_JPEG/KakaoTalk_20200419_104204931_09.jpg?type=f287']"
5,"1. 배송은 그럭저럭 빠르지도 느리지도 않음
2. 아침을 깨우는 택배 띵동 소리에 눈을 뜸
3. 거대란 에어캡에 쌓인 키보드
4. 박스 열어보니 고급진 키보드가 똬!
5. 꺼낼때 무거워서 놀랐음 무슨 돌덩인줄
6. 근데 화이트에 검정연결선른 좀 그랬어.. 다음에 그레이 살건데 혹시 흰색 보낼거에요?
7. .
8. 설명서에는 오로지 한글! 크 이게 좋다.
9. 신나게 설명서 보며 색상도 바꾸고 ㅎㅎ 적축의 타음이 아주 좋았다. 다음은 백축이다~","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_16_0/dd97f966-7fa4-11ea-8cbb-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_16_0/2d0a6a98-7fa5-11ea-9390-505dac8c37f3_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200416_235/1587015520857kq57S_JPEG/AA2546B2-BF62-4679-BEA2-5AE8C710C13A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200416_23/1587015521606GBYyk_JPEG/2A824594-B5E1-4FE4-B235-6A991B64737D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200416_209/1587015522340keVp9_JPEG/601F94D7-0236-48BD-A847-199FB073608C.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200416_64/1587015521409iu98L_JPEG/D8F7FBF4-BB59-4B21-A205-0FD7DF6AED96.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200416_220/1587015520976E5e8t_JPEG/055C4B14-DB99-401D-9FA9-6B1B93DB69EF.jpeg?type=f287']"
5,"1. 포장/배송
- TFG ART를 주문하니 낱개 포장으로 왔다. 이것도 감동이었는데,
포장은 사진과 같이 박스에 흔들림 없이 딱!
그리고 에어캡도 어마무시한 녀석이 상품 전체를 감싸고 있었다.
(사진 참조)
- 심지어 박스 포장도 단단했다. 정말 포장 때문이라도 재구매하고 싶어지는 제품이다. 요 며칠 C 업체의 짜증나는 내부박스 포장과 출하검사도 안된 제품을 판매해서 20% 초기 불량이 나는 제품들을 보다가 아콘을 보니 개안을 한 느낌이다. 별점이 5점이 만점이라는 건 말도 안된다!!
개인적으로 10점

2. 키감/성능
- 게이트론 저소음 갈축 + 닌자 PBT 옵션
- 닌자 PBT는 측각을 좋아해서 골랐는데 TFG ART는 역방향이라 투과가 안된다. LED 눈뽕을 그리 좋아하지 않는지라 그냥 은은하게 빛이 나오는 정도가 되어 오히려 나는 좋다. 하지만 LED 투과를 염두 하신 분들은 역방향 스위치라는 것을 꼭 기억하자.
- TFG ARF 를 사용하고 있기 때문에 구지 TFG ART를 구입하지 않을 생각이었지만, 주변에서 키감이 ARF랑은 다르다고 해서 결국 이 놈의 호기심을 버리지 못하고 총알을 장전하여 질렀다. 심지어 AK89와 동일한 옵션으로 비교를 하기 위해 같이 주문 (아이고 이번 달도 허리띠를)

- 하우징이 얼마나 스위치의 특성을 드러내는데 도움을 주는지 실감하지 못했는데 이번 실험으로 확실히 알았다. (그래서 사람들이 단단하고 속이 꽉찬 하우징에 열광하는구나) 실리콘 SF라는 모델로 게저갈을 처음 접했을 때는 어제 내린 눈을 손으로 꼭곡 눌러 타이핑 하는 느낌이었는데, ART는 갓 내린 눈을 슥슥 누르는 느낌이었다. 체리프로파일 처럼 좀더 낮은 프로파일의 키캡을 쓰면 좀 더 느낌이 좋을텐데. 역방향이라 그 점은 조금 아쉬웠다. 대신 좀더 부드럽게 타이핑 할 수 있어서 실 사용 면에서는 지금 .

- AK89 키감은 AK89에서

3. 총평.

사실 난 텐키리스 키보드를 선호하지 않는다. 왜냐하면 오랜 회사 생활로 106키에 익숙해져서 (사실 104키도 처음엔 어색했다. )
넘버키를 포함한 대부분의 키를 다 사용하는 편이라. 쓰다가 안 쓰면 은근히 불편한게 바로 넘버키라 풀배열만 고집했었는데,
처음으로 텐키리스도 괜찮은데 라는 느낌을 준 모델이다.
불편함을 감수 하고서라도 사용하고 싶어질 정도의 성능이다.

아마, 총알이 장전되면 다른 옵션으로 재구매를 하게 될 제품","['https://phinf.pstatic.net/checkout/20200215_189/1581729933382mznKs_JPEG/20200215_011153.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_176/15817299333371TL60_JPEG/20200215_011331.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_134/1581729933232uQvue_JPEG/20200215_011411.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_204/1581729933093OHbqU_JPEG/20200215_011630.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200215_154/1581729933032KkOWL_JPEG/20200215_014216.jpg?type=f287']"
4,"하판이 통고무로 이루어져 있어 통울림이 거의 없습니다. 디자인도 레트로 느낌의 동글동글한 하우징이라 조약돌 같이 예쁩니다. 풀알루 가격이 부담스러우신 분들을 위한 충분한 대안인듯 하네요.

다만, 고무인지라 변형에 약한지 살짝 미묘하게 하판이 뒤틀려있습니다(사용에 큰 지장은 없음). 그리고 추가로 주문한 키캡도 스크래치가 좀 있고 사출자국이 선명해서 마감이 조금 아쉽습니다.","['https://phinf.pstatic.net/checkout/20200611_138/1591802978799886b8_JPEG/1591802965706-0.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_292/1591802980458VOCuV_JPEG/1591802965706-1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_93/1591802980980JtvM1_JPEG/1591802965706-2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_68/1591802981587utYWG_JPEG/1591802965706-3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_296/1591802981948jz551_JPEG/1591802965706-4.jpg?type=f287']"
5,"1. 포장 /배송
- 한성은 포장 정말 잘 해주는 곳인데, 이번에는 조금 실망스러운 것이 박스에서 움직이지 않게 에어캡을 넣어 주어야 하는데 넣어주긴 했는데, 움직이지 않게 꽉 채우지 않아서 사진과 같이 제품 박스가 박스에 쓸려서 흔적이 남았다.
- 박스 포장에 좀 더 신경 써주면 좋겠다

2. 키감 /성능
- 아콘 오너메이드로 이미 사용중인 제품이지만, 기성품에만 있는 다크 그레이 하우징과 기성품의 키감을 느껴 보고 싶어서 구매
- 아박적의 . 스테빌은 윤활이 필수 였다.

3. 키캡
- 함께 주문한 ABS 키캡들
- 생각보다 , 후면에 사출자국이 있음. 장착하면 뒷면에 있는 사출 자국을 만질 일도 없고, 보이지도 않지만, 이런 부분에 민감한 분은 패스.
- 현재 사용하고 있는 OEM ABS와 비교를 위해 교체해 보았는데, 키캡 끼리 비교했을 때 높이 차이가 크지 않았는데, 실제 장착시 상당히 높았다.
- 이 정도면 역방향 스위치와 간섭 걱정은 없어 보였다.
- 타건 감은 조금 높아진 키캡 때문인지 몰라도 좀 더 피치가 높고 또렷한 소리가 나왔다. 좀 더 정갈한 느낌
- 벌크 포장이라 장착을 하려면 일일이 다 찾아야 하는 수고로움이 있다.

괜찮지만, 벌크포장과 다소 높은 가격이 구매를 아주 신중하게 만드는 포인트다","['https://phinf.pstatic.net/checkout/20200222_170/1582350689224SeCvp_JPEG/20200221_222014.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_89/1582350689182fcWMf_JPEG/20200221_222311.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_277/1582350689148blvOd_JPEG/20200221_222808.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200222_300/1582350689099nOMIp_JPEG/20200221_225653.jpg?type=f287']"
5,"이 제품 정말 물건이네요.
통울림도 없고 스테빌도 잘 잡혀 있어서 타건음이 너무 매력적입니다.
정숙함으로 따지면 10만원 이하에서 원탑이 아닐까 싶을 정도네요.
전에 쓰던 키보드는 통울림이 거슬려서 결국 방출했는데 한고무는 소리가 너무 깔끔하고 타건감도 정말 마음에 듭니다. 핫스왑이라 스위치 놀이 하기에도 좋을 것 같네요. 완전 만족합니다~","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_04_0/57ad53d7-1e86-11eb-88f0-a0369ff9545c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_259/1604484775081pL6wg_JPEG/review-attachment-a9e00619-2e16-4aef-a1d0-1e61b2a163d1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_91/1604484775444u4FXb_JPEG/review-attachment-ef81ec05-7724-4384-a714-ff0caa18469b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_81/1604484774545gnxGh_JPEG/review-attachment-5a55cf0a-5ec0-4a15-84b0-691814159ea2.jpeg?type=f287']"
5,"평범하게 거치형 키보드로 쓰기 좋은 키보드입니다. 무게는 꽤 무거운 편이라서 어디 들고 다니기에 적합하지는 않지만, 대신 안정감이 있어서 타자칠 떄 왠만하면 절대 밀리진 않아요.

텐키리스인건 다들 알고 사시는 거겠지만, 평소에 오른쪽 넘버패드 사용이 많으셨다면 그 부분은 많이 불편할 수 있을 거예요. 일반 사무용으로는 당연히 풀배열이 훨씬 좋습니다.

무엇보다도 통고무를 사용했기 때문에 정말 잡소리는 아예 안들립니다. 통울림은 아예 없다고 봐도 될 거예요. 이 점은 제일 만족스럽습니다.

타건감이나 타건음은 대체로 만족스럽지만, 스페이스바를 누를 때의 소리가 좀 다른데, 그 부분은 좀 신경이 쓰일 수 있을 것 같습니다. 엔터나 시프트, 백스페이스도 평범한 숫자/글자 키와는 소리가 다르지만, 스페이스 바와는 다르게 그렇게 많이 쓰이지 않아서 크게 신경은 안쓰일 것 같습니다.

전반적으로 굉장히 만족스러운 키보드예요. 디자인도 되게 예쁜데, 취향에 따라서 검정색이나 흰색 중 하나 선택하시는게 좋을 것 같습니다. 회색은 다소 애매한 느낌이네요.

정갈하고 말끔한 타건감과 타건음을 원하신다면 정말 추천드립니다.",['https://phinf.pstatic.net/checkout/20200827_143/15985349833288BJXe_JPEG/review-attachment-5f9175c5-f493-4a35-b7a0-697f96672db9.jpeg?type=f287']
4,"사진에 나와 있듯이 박스의 먼지와 제품의 하판을 보고, 새제품이라는 느낌을 전혀 못받았습니다. 오너메이드? 라서 그런건가 싶네요. 그 이외에는 키보드 외에 물품들의 구성도 만족하고 제품 자체도 만족합니다. rgb 예쁘게 들어오고 키감 좋고 통울림도 거의 없네요","['https://phinf.pstatic.net/checkout/20200917_95/1600329435206RSp4N_JPEG/review-attachment-22ba4164-1673-455d-9eeb-16b8a1e0958a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_163/16003294357831zSrO_JPEG/review-attachment-bc753868-ea32-471b-986d-0d146667ff89.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_197/1600329437004s3cXA_JPEG/review-attachment-01c84bfd-730a-4cee-a411-46a960ecb2ce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_164/1600329439882uwr2c_JPEG/review-attachment-f34e9cc4-a804-49d7-9b50-53abfc85ebf6.jpeg?type=f287']"
4,많이 고민하다가 주문했는데 역시 고민은 배송을 늦출뿐이었네요 무선버전도 나온다길래 기다리려다가 카저갈 써보고 싶은 마음에 주문했습니다 현재는 키캡 바꿔서 사용중이고 처음 도착해서 기본키캡으로 좀 만져봤는데 생각했던 키감과 의외로 잘잡혀있는 스테빌에 놀랐습니다 다만 조금 쇳소리는 들려요 하이브리드라서 어쩔수 없는듯.. 암튼 카저갈 키감은 무접점토프레랑 비슷한 똑똑 부러지는듯한 걸림과 적음소음으로 밋밋함없이 재밌는거 같아요 장시간 타건에는 안맞을것 같아도 게임이나 웹서핑때는 무리없이 사용할거 같습니다 무선으로 신제품 나오면 또 고민해봐야할거 같아요 :),"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_12_0/4bfd2739-f4d3-11ea-a1fc-505dac8c35ff_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_26/1599899823919Jq3jF_JPEG/review-attachment-87ca940f-74ef-466f-9770-07b574e156ac.jpeg?type=f287']"
4,"숫자열 `1234 랑 567890-=백스페이스 위치가 조금 다르네요 보강판 설계 문제인가봐요 M자는 괜찮습니다 참고하세요

통고무라 어떤축을 써도 정숙하게 만드는 특징이 있고 기본적으로 스테빌도 어느정도 정돈된 소리를 들려줍니다

RGB 좋아하는데 LED 밝기가 많이 아쉽긴하지만 그런데로 괜찮습니다
그리고 기본적으로 적용된 색상외에 다른색을 적용해서 쓰고 싶으면
소프트웨어를 설치하셔서 사용하면 됩니다
한성컴퓨터 홈페이지 다운로드센터에가셔서 다운 받을 수 있습니다

아무튼 많은 제품을 써본건 아니지만 10만원 내외로 추천할만한 제품인건 맞는거 같습니다

이 제품을 발판삼아 미니배열도 나오면 참 좋겠다는 생각을 하면서
마무리 합니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_12_21_0/292e854c-234d-11ea-8257-48df37269ee2_09.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191221_282/1576861067005vFxlq_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191221_117/1576861067245jaHz6_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191221_30/1576861067294uPsWz_JPEG/2.jpg?type=f287']"
